ກປ.ອອນໄລ - ລະດູບານໃໝ່ປີສະຫຼູ 2021 ແມ່ນລະດູບານໃໝ່ທີ່ພິເສດທີ່ສຸດ.	KPR Online - Lễ hội mùa xuân năm 2021 là mùa xuân đặc biệt nhất.
ບັນດາໝາກຜົນ, ການກະທຳທີ່ເຕັມໄປດ້ວຍມະນຸດສະທຳຂອງລັດ ແລະສັງຄົມຂອງຫວຽດນາມ ໃນການປ້ອງກັນ ແລະຕ້ານພະຍາດ ແລະໄພທຳມະຊາດໃນໄລຍະທີ່ຜ່ານມາໄດ້ຊ່ວຍໃຫ້ພາບພົດປະເທດຊາດ ແລະຊາວຫວຽດນາມ ນັບມື້ນັບສົດໃສສວຍງາມ ແລະມີຄ່າກວ່າໃນສາຍຕາເພື່ອນມິດສາກົນ.	Chính vì vậy, những hành động nhân đạo của Nhà nước và xã hội Việt Nam trong việc phòng, chống dịch bệnh, thiên tai trong thời gian qua đã làm cho hình ảnh đất nước, con người Việt Nam ngày càng đẹp hơn, đáng quý hơn trong mắt bạn bè quốc tế.
ເຫັນໄດ້ຢ່າງຈະແຈ້ງ, ເມື່ອເບິ່ງຄືນປະຫວັດສາດເປັນຫຼາຍພັນປີ, ຫວຽດນາມ ຍັງບໍ່ເຄີຍມີພາລະກິດ, ກໍາລັງບົ່ມຊ້ອນ, ຖານະ ແລະມີອິດທິພົນຊື່ສຽງສາກົນຄືໃນປະຈຸບັນນີ້.	Rõ ràng, nhìn lại lịch sử hàng nghìn năm, chưa bao giờ Việt Nam lại có được sứ mệnh, tiềm lực, vị thế và tầm ảnh hưởng quốc tế như ngày nay.
ເພື່ອໃຫ້ມີພາລະກິດ, ກໍາລັງບົ່ມຊ້ອນ, ຖານະນັ້ນແມ່ນຕ້ອງສືບທອດມູນເຊື້ອຂອງຊາດ, ເຫື່ອແຮງສະຕິປັນຍາຂອງຄົນຮຸ່ນກ່ອນ, ແມ່ນຜົນງານຂອງທັງຂະບວນການປະດິດສ້າງ, ສູ້ຊົນ, ອົດທົນຜ່ານຜ່າຫຼາຍອາຍຸການຂອງທົ່ວພັກ, ທົ່ວປວງຊົນ, ທົ່ວກອງທັບຂອງຫວຽດນາມ.	Để có một sứ mệnh, một lực lượng cần phải kế thừa di sản dân tộc, trí lực của thế hệ đi trước, là thành quả của cả quá trình đổi mới, đấu tranh, bền bỉ qua nhiều thế hệ của toàn Đảng. , toàn dân, toàn quân Việt Nam.
ໃນນັ້ນ, ບົດບາດນຳພາຢ່າງສະຫຼາດສ່ອງໃສ, ເກັ່ງກ້າສາມາດຂອງພັກໃນຕະຫຼອດ 91 ປີທີ່ຜ່ານມາແມ່ນປັດໄຈຕັດສິນ.	Vai trò lãnh đạo của Đảng trong 91 năm qua là nhân tố quyết định.
ກອງປະຊຸມໃຫຍ່ຜູ້ແທນທົ່ວປະເທດ ຄັ້ງທີ XIII ຂອງພັກຫາກໍ່ປະສົບຜົນສຳເລັດຢ່າງຈົບງາມ!	Đại hội đại biểu toàn quốc lần thứ 13 của Đảng vừa thành công vang dội!
ຜົນສຳເລັດອັນໃຫຍ່ຫຼວງຂອງກອງປະຊຸມໃຫຍ່ແມ່ນມາຈາກການວາງອອກແນວທາງ ແລະນະໂຍບາຍຍຸດທະສາດດ້ວຍວິໄສທັດອັນຍາວນານ, ເລິກເຊິ່ງ;	Thành công lớn của hội nghị là do việc hoạch định các chủ trương, chính sách chiến lược có tầm nhìn xa, sâu rộng;
ນັບແຕ່ວຽກງານບຸກຄະລາກອນກໍ່ໄດ້ຮັບການກະກຽມຢ່າງຮອບຄອບຖີ່ຖ້ວນ, ມີວິທະຍາສາດ, ເລືອກເອົາພະນັກງານທີ່ມີຄຸນສົມບັດ, ມີຄຸນນະທາດ, ມີອິດທິພົນຊື່ສຽງສູງ.	Từ công tác nhân sự đều được chuẩn bị kỹ lưỡng, khoa học, lựa chọn những cán bộ có năng lực, phẩm chất, có tầm ảnh hưởng lớn.
ນີ້ແມ່ນປະຖົມປັດໄຈ ເພື່ອປະເທດບືນຕົວຂຶ້ນຢ່າງແຮງໃນໄລຍະທີ່ຈະມາເຖິງ.	Đây là yếu tố chính để đất nước phát triển mạnh mẽ trong tương lai gần.
ເຖິງຢ່າງໃດກໍ່ຕາມ, ເພື່ອໃຫ້ປະຖົມບັດໄຈສຳຄັນດັ່ງກ່າວມີປະສິດທິຜົນໃນສະພາບການຕົວຈິງເຊິ່ງທັງລະບົບການເມືອງຕ້ອງພ້ອມກັນມານະພະຍາຍາມກະທໍາ ເພື່ອນໍາມະຕິຂອງກອງປະຊຸມໃຫຍ່ເຂົ້າສູ່ຊີວິດ, ສ້າງຄວາມຮັ່ງມີທາງດ້ານວັດຖຸ, ນໍາມາເຊິ່ງຄວາມຜາສຸກມາໃຫ້ປະຊາຊົນ.	Tuy nhiên, để những nguyên tắc quan trọng này phát huy tác dụng trên thực tế, cả hệ thống chính trị phải chung sức, chung lòng đưa nghị quyết Đại hội đi vào cuộc sống, ấm no về vật chất, mang lại hạnh phúc cho nhân dân.
ພວກເຮົາຕ້ອງປະຕິບັດຕາມມາດຕະການທີ່ໄດ້ກໍານົດໄວ້ໃຫ້ເປັນຢ່າງດີ.	Chúng ta phải thực hiện tốt các biện pháp đã đề ra.
ພວກເຮົາຕ້ອງເສີມຂະຫຍາຍກໍາລັງບົ່ມຊ້ອນຂອງຊາວຫວຽດນາມ ໃຫ້ເປັນຢ່າງດີກວ່າອີກ.	Chúng ta cần tăng cường tiềm năng của người Việt Nam.
ເພື່ອພັດທະນາແບບຍືນຍົງ, ພວກເຮົາຕ້ອງເອົາໃຈໃສ່ເປັນພິເສດເຖິງການປົກປັກຮັກສາສິ່ງແວດລ້ອມ ແລະວິທີການວັດທະນະທຳຢູ່ຫວຽດນາມ.	Để phát triển bền vững, chúng ta phải đặc biệt quan tâm đến vấn đề bảo vệ môi trường và tiếp cận văn hóa ở Việt Nam.
ໜ້າທີ່ຕໍ່ສູ້ຕ້ານການສໍ້ລາດບັງຫຼວງ ແລະປະກົດການສິ່ງຫຍໍ້ທໍ້ຕ້ອງສືບຕໍ່ໄດ້ດຳເນີນຢ່າງເຂັ້ມງວດ ແລະເຂົ້າສູ່ລວງເລິກກວ່າເກົ່າ, ຕ້ອງຖືນີ້ເປັນໜຶ່ງໃນບັນດາວິທີການຈຸດສຸມ ເພື່ອຮັກສາຄວາມໄວ້ເນື້ອເຊື່ອໃຈຂອງປະຊາຊົນ.	Cuộc chiến chống tham nhũng và hiện tượng chán nản phải tiếp tục được tiến hành nghiêm túc, sâu sát hơn, coi đây là một trong những phương pháp trọng tâm để giữ vững lòng tin của quần chúng.
ບໍ່ພຽງແຕ່ໃນສະໄໝສົງຄາມເທົ່ານັ້ນ ຫາກບົດບາດເປັນເສົາຄ້ຳແຫ່ງຊາດຂອງກອງທັບໃນໄລຍະສັນຕິພາບຍັງນັບມື້ນັບຈະແຈ້ງກວ່າອີກ.	Không chỉ trong thời chiến, quân đội còn giữ vai trò rường cột của quốc gia trong thời bình.
ໃນປີທີ່ຜ່ານມາ, ໄປຄຽງຄູ່ກັບການປະຕິບັດໜ້າທີ່ວຽກງານການຝຶກແອບ, ກຽມພ້ອມສູ້ຮົບ, ປົກປັກຮັກສາອະທິປະໄຕຜືນແຜນດິນຂອງປະເທດໄວ້ຢ່າງໝັ້ນຄົງ, ທະຫານລຸງໂຮ່ ຍາມໃດກໍ່ປະຈັນບານຢູ່ແຖວໜ້າໃນການຮັບມືກັບພະຍາດໂຄວິດ-19 ແລະໄພທຳມະຊາດຢ່າງຮ້າຍແຮງ.	Trong năm qua, cùng với công tác huấn luyện, chuẩn bị chiến đấu, bảo vệ chủ quyền lãnh thổ của Tổ quốc, Bộ đội Cụ Hồ luôn bám sát vùng sông nước đối phó với dịch bệnh, thiên tai.
ບັນດາຜົນງານນັ້ນໄດ້ພິສູດໃຫ້ເຫັນຢ່າງມີຊີວິດຊີວາ ແລະຊວນເຊື່ອວ່າ: ບໍ່ວ່າໃນສະພາບການໃດກໍ່ຕາມ, ພິເສດແມ່ນໃນຍາມທີ່ອັນຕະລາຍຢ່າງຮ້າຍແຮງທີ່ສຸດ, ພັກ, ລັດ ແລະປະຊາຊົນສາມາດເຊື່ອໝັ້ນຕໍ່ບົດບາດເສົາຄໍ້າທີ່ໝັ້ນຄົງ, ໜ້າໄວ້ເນື້ອເຊື່ອໃຈຂອງກອງທັບຫວຽດນາມ.	Những thành tích đó đã minh chứng một cách sinh động và thuyết phục rằng: Dù trong bất cứ hoàn cảnh nào, nhất là trong lúc hiểm nguy nhất, Đảng, Nhà nước và nhân dân luôn tin tưởng vai trò rường cột, tin cậy của Quân đội Việt Nam.
ໃນຕໍ່ໜ້າ, ຫວຽດນາມ ຍັງຈະປະສົບກັບສິ່ງທ້າທາຍນາໆປະການ, ແຕ່ຄວາມມານະພະຍາຍາມຜ່ານຜ່າຄວາມຫຍຸ້ງຍາກໃນຊຸມປີຜ່ານມາ, ໝາກຜົນອັນດີງາມຂອງກອງປະຊຸມໃຫຍ່ຜູ້ແທນທົ່ວປະເທດ ຄັ້ງທີ XIII ຂອງພັກ, ດ້ວຍກໍາລັງແຮງຈາກພູມປັນຍາ, ເຈດຈໍານົງ, ມານະຈິດ ແລະຄວາມສາມັກຄີ, ເຊື່ອໝັ້ນວ່າ ຫວຽດນາມ ຈະຜ່ານຜ່າທຸກສິ່ງທ້າທາຍບັນລຸໄດ້ເປົ້າໝາຍທີ່ວາງອອກ, ສ້າງພື້ນຖານໝັ້ນແກ່ນ ເພື່ອໃຫ້ປະເທດຫວຽດນາມ ພັດທະນາໃນໄລຍະຈະມາເຖິງ.	Trong tương lai, Việt Nam còn nhiều thách thức, nhưng nỗ lực vượt khó trong thời gian qua đã để lại kết quả tốt đẹp của Đại hội đại biểu toàn quốc lần thứ 13 của Đảng.
ໂດຍ: ທະນາພອນ.	Theo: Thanaphone.
