ກປ.ອອນໄລ - ກອງປະຊຸມໃຫຍ່ກໍາມະບານຫວຽດນາມ ຄັ້ງທີ XII ໄດ້ດໍາເນີນໃນວັນທີ 24 ກັນຍາ, ທີ່ນະຄອນຫຼວງຮ່າໂນ້ຍ.	Đại hội Công đoàn Việt Nam lần thứ XII được tổ chức ngày 24/9 tại Hà Nội.
ຄວາມໄວ້ເນື້ອເຊື່ອໃຈກ່ຽວກັບບົດບາດ, ພາລະກຳຂອງກຳລັງປະຈັນບານສຳລັບພາລະກິດປະຕິວັດນັບມື້ນັບໝັ້ນຄົງເຂັ້ມແຂງກວ່າເວລາໃດໝົດ.	Niềm tin vào vai trò, nhiệm vụ của các lực lượng hiện nay đối với nhiệm vụ cách mạng ngày càng lớn mạnh hơn bao giờ hết.
ພາຍຫຼັງກວ່າ 30 ປີແຫ່ງການປ່ຽນແປງໃໝ່, ໂດຍສະເພາະແມ່ນພາຍຫຼັງກອງປະຊຸມໃຫຍ່ຄັ້ງທີ XII ຂອງພັກ ມາຮອດປະຈຸບັນ, ຂອບຂະໜາດ, ພູມປັນຍາຂອງຊົນຊັ້ນກຳມະກອນ ແລະຊາວຜູ້ອອກແຮງງານໄດ້ຮັບການຢັ້ງຢືນບໍ່ພຽງແຕ່ດ້ວຍໝາກຜົນພຶດຕິກຳຕົວຈິງຂອງການປະຕິວັດເທົ່ານັ້ນ, ຫາກຍັງໄດ້ຫັນເປັນລະອຽດໃນການເຄື່ອນໄຫວທຸກຢ່າງຂອງສະຫະພັນໃຫຍ່ແຮງງານຫວຽດນາມ ແລະອົງການຈັດຕັ້ງກຳມະບານທົ່ວປະເທດອີກດ້ວຍ.	Sau hơn 30 năm đổi thay, nhất là sau Đại hội lần thứ XII của Đảng, trí tuệ của giai cấp công nhân và nhân dân lao động không chỉ được khẳng định bằng thực tiễn của cách mạng mà còn được Đảng và toàn Đảng nói chung khẳng định.
ບັນດາຜູ້ແທນເຂົ້າຮ່ວມກອງປະຊຸມໃຫຍ່ກຳມະບານຫວຽດນາມ ຄັ້ງທີ XII.	Đại biểu Đại hội đại biểu Việt Nam lần thứ XII
ພາບ: qdnd.vn.	Ảnh: qdnd.vn.
ທີ່ກອງປະຊຸມໃຫຍ່ກຳມະບານຫວຽດນາມ ຄັ້ງນີ້, ເອກະສານທັງໝົດລ້ວນແຕ່ໄດ້ຮັບການກໍ່ສ້າງບົນພື້ນຖານພູມປັນຍາລວມຂອງ ສະມາຊິກກຳມະບານ, ກຳມະກອນລັດຖະກອນ, ຊາວຜູ້ອອກແຮງງານທັງໝົດ, ຜ່ານການຫັນບັນດາຮູບການລະດົມ, ຮັບເອົາຄຳເຫັນປະກອບຂອງທົ່ວກຳລັງຢູ່ທຸກຂັ້ນເປັນຫຼາຍຮູບຫຼາຍແບບ.	Tại Đại hội Đảng bộ Đảng Cộng sản Việt Nam lần này, các văn kiện đều được sáng tạo trên cơ sở trí tuệ tập thể của toàn thể đoàn viên, công nhân, lao động.
ກອງປະຊຸມໃຫຍ່ກຳມະບານຫວຽດນາມ ຄັ້ງນີ້ຈະສຸມໃສ່ປຶກສາຫາລືບັນດາບັນຫາຕາມເນື້ອໃນເອກະສານຂອງກອງປະຊຸມໃຫຍ່ ຄື: ສ້າງອົງການຈັດຕັ້ງກຳມະບານໝັ້ນຄົງເຂັ້ມແຂງ;	Đại hội đồng Tổng Liên đoàn Việt Nam sẽ tập trung vào các vấn đề liên quan đến nội dung Đại hội: xây dựng tổ chức công đoàn vững mạnh, ổn định;
ກໍ່ສ້າງຖັນແຖວພະນັກງານກຳມະບານຊຳນານງານ, ມີຄຸນນະທາດ, ພູມປັນຍາ, ສຸດຈິດສຸດໃຈ, ມີຄວາມຮັບຜິດຊອບ;	Xây dựng đội ngũ cán bộ đoàn chuyên nghiệp, có phẩm chất, sáng suốt, chân thành và trách nhiệm;
ປ່ຽນແປງໃໝ່ຂະບວນການແຂ່ງຂັນຮັກຊາດໃນໝູ່ສະມາຊິກກຳມະບານ, ກຳມະກອນລັດຖະກອນ, ຊາວຜູ້ອອກແຮງງານຕາມທິດແທດຈິງ, ມີປະສິດທິຜົນ;	Thay đổi quá trình thi đua yêu nước trong đoàn viên, CNVCLĐ theo hướng thực chất, hiệu quả;
ພັດທະນາເປັນຫຼາຍຮູບຫຼາຍແບບ, ເບິ່ງແຍງດູແລເຖິງຜົນປະໂຫຍດໃຫ້ແກ່ສະມາຊິກກຳມະບານ...	Phát triển dưới nhiều hình thức, quan tâm đến lợi ích cho đoàn viên ...
ໂດຍແມ່ນພາກສ່ວນທີ່ສ້າງເປັນລະບົບອົງການຈັດຕັ້ງຂອງຊົນຊັ້ນກຳມະກອນ ແລະຊາວຜູ້ອອກແຮງງານໃນທົ່ວປະເທດ, ຕິດພັນກັບວິວັດການກໍ່ສ້າງ, ຕໍ່ສູ້, ເຕີບໃຫຍ່ຂອງກອງທັບປະຊາຊົນຫວຽດນາມວິລະຊົນ, ຜ່ານບັນດາໄລຍະປະຫວັດສາດ, ຖັນແຖວພະນັກງານ, ສະມາຊິກກຳມະບານ, ກຳມະກອນລັດຖະກອນ, ຊາວຜູ້ອອກແຮງງານທົ່ວກອງທັບຍາມໃດກໍ່ມານະພະຍາຍາມ, ສູ້ຊົນຜ່ານຜ່າຄວາມຫຍຸ້ງຍາກ, ການທ້າທາຍທຸກຢ່າງ, ເສີມຂະຫຍາຍຈິດໃຈກຸ້ມຕົນເອງ, ສ້າງຄວາມເຂັ້ມແຂງດ້ວຍຕົນເອງ, ສາມັກຄີ, ປະດິດສ້າງ, ນຳຂະບວນການກຳມະກອນ, ການເຄື່ອນໄຫວຂອງກຳມະບານໃນກອງທັບໃຫ້ນັບມື້ນັບພັດທະນາຢ່າງໝັ້ນຄົງ, ໜັກແໜ້ນ.	Là một bộ phận tạo nên một tổ chức có hệ thống của những người lao động ưu tú và những người lao động trong nước, gắn với việc xây dựng, chiến đấu ngày càng lớn mạnh của đội quân anh hùng nhân dân, trải qua lịch sử, cán bộ, công đoàn viên, chính quyền công nhân, đội quân lao động dù cố gắng đến đâu. , vượt qua mọi khó khăn, thử thách, nâng cao tinh thần tự cường, đoàn kết, đổi mới, quy trình công nhân, phong trào DQTV ngày càng phát triển ổn định, vững chắc.
