ກປ.ອອນໄລ - ຕອນບ່າຍວັນທີ 14 ເມສາ 2017, ທີ່ສໍານັກງານປະທານປະເທດຫວຽດນາມ, ທ່ານປະທານປະເທດ ເຈິ່ນດ້າຍກວາງ ໄດ້ມີການຕ້ອນຮັບທ່ານ Jeffrey R.	Chiều 14/4/2017, tại Văn phòng Chủ tịch nước, Chủ tịch nước Trần Đại Quang đã tiếp ông Jeffrey R.
ພ້ອມກັນນັ້ນ, ຫວຽດນາມຍາມໃດກໍ່ຖືເປັນສຳຄັນ ແລະປາດຖະໜາຢາກຊຸກຍູ້ການພົວພັນຮ່ວມມືທີ່ຕ່າງຝ່າຍຕ່າງມີຜົນປະໂຫຍດກັບ ອາເມລິກາ ຕາມທິດແທດຈິງ, ຮອບດ້ານ, ມີສະຖຽນລະພາບ, ຍາວນານບົນພື້ນຖານເຄົາລົບລະບອບການເມືອງຂອງກັນ.	Đồng thời, Việt Nam coi trọng và mong muốn thúc đẩy quan hệ hợp tác cùng có lợi với Hoa Kỳ thực chất, toàn diện, ổn định và lâu dài trên cơ sở tôn trọng chế độ chính trị của nhau.
ທ່ານປະທານປະເທດກໍ່ແຈ້ງໃຫ້ຊາບກ່ຽວກັບເລື່ອງ ທ່ານ Donald Trump ປະທານາທິບໍດີ ອາເມລິກາ ໄດ້ສົ່ງຈົດໝາຍເຖິງທ່ານປະທານປະເທດ ຫວຽດນາມ, ຢັ້ງຢືນວ່າຈະພ້ອມກັນຊຸກຍູ້ການພົວພັນດ້ານເສດຖະກິດ, ການຮ່ວມມືດ້ານປ້ອງກັນຄວາມສະຫງົບ ແລະສົມທົບກັນຊອກຫາວິທີການແກ້ໄຂສິ່ງທ້າທາຍຕ່າງໆຢູ່ໃນພາກພື້ນ ແລະທົ່ວໂລກ;	Chủ tịch nước cũng thông báo với Tổng thống Hoa Kỳ Donald Trump đã gửi thư tới Chủ tịch nước Việt Nam, khẳng định sẽ cùng nỗ lực thúc đẩy quan hệ kinh tế, hợp tác an ninh và cùng nhau tìm giải pháp cho các thách thức khu vực và toàn cầu;
ພິຈາລະນາຄຳເຊື້ອເຊີນເຂົ້າຮ່ວມກອງປະຊຸມ ຂັ້ນສູງ APEC 2017 ຢູ່ ຫວຽດນາມ ຢ່າງຕັ້ງໜ້າ.	Xét lời mời tham dự Hội nghị Cấp cao APEC 2017 tại Việt Nam.
ທ່ານປະທານປະເທດ ເຈິ່ນດ້າຍກວາງ ຖືວ່າ: ປີ APEC 2017 ໄດ້ສ້າງໃຫ້ລັດຖະບານ ແລະວິສາຫະກິດຂອງສອງປະເທດ ຫວຽດນາມ ແລະອາເມລິກາ ມີຫຼາຍກາລະໂອກາດຮ່ວມມື.	Chủ tịch nước Trần Đại Quang: “APEC 2017 đã tạo ra nhiều cơ hội hợp tác cho chính phủ và doanh nghiệp Việt Nam - Hoa Kỳ.
ບົນຈິດໃຈດັ່ງກ່າວ, ທ່ານປະທານປະເທດ ເຈິ່ນດ້າຍກວາງ ສະເໜີ GE ແລະບັນດາວິສາຫະກິດຈາກອາເມລິກາ ສືບຕໍ່ເອົາໃຈໃສ່ເຖິງຕະຫຼາດ ຫວຽດນາມ ແລະຊຸກຍູ້ລັດຖະບານ ອາເມລິກາ ເພີ່ມທະວີການພົວພັນດ້ານເສດຖະກິດການຄ້າທີ່ຕ່າງຝ່າຍຕ່າງມີຜົນປະໂຫຍດກັບ ຫວຽດນາມ;	Với suy nghĩ này, Chủ tịch nước Trần Đại Quang GE và các doanh nghiệp Hoa Kỳ tiếp tục chú trọng đến thị trường Việt Nam và khuyến khích Chính phủ Hoa Kỳ tăng cường quan hệ kinh tế thương mại cùng có lợi với Việt Nam.
ສະໜັບສະໜູນ ຫວຽດນາມ ຈັດຕັ້ງປີ APEC 2017 ປະສົບຜົນສໍາເລັດ, ໃນນັ້ນມີເລື່ອງອຸປະຖໍາໃຫ້ກອງປະຊຸມ ABAC 2017;	Về phía Việt Nam, đã tổ chức thành công APEC 2017, trong đó có việc tài trợ cho ABAC 2017;
ຂົນຂວາຍບັນດາເຈົ້າໜ້າທີ່ອາເມລີກາເຂົ້າຮ່ວມປະຊຸມທຸກຂັ້ນໃນຂອບເຂດປີ APEC 2017 ຢູ່ ຫວຽດນາມ.	Kêu gọi các quan chức Hoa Kỳ tham dự các cấp của APEC 2017 tại Việt Nam
ທ່ານ Jeffrey R.	Jeffrey R.
Immelt ປະທານ GE ໄດ້ແບ່ງປັນກັບທ່ານປະທານປະເທດ ຫວຽດນາມ ເຈິ່ນດ້າຍກວາງ ບັນດາຄວາມປະທັບໃຈກ່ຽວກັບການພັດທະນາເສດຖະກິດ-ສັງຄົມຂອງ ຫວຽດນາມ.	Chủ tịch GE Immelt chia sẻ với Chủ tịch nước Việt Nam Trần Đại Quang những ấn tượng của ông đối với sự phát triển kinh tế - xã hội của Việt Nam.
ກ່ຽວກັບການເຄື່ອນໄຫວຂອງ GE ຢູ່ ຫວຽດນາມ, ທ່ານ Jeffrey R.	Về hoạt động của GE tại Việt Nam, Jeffrey R.
Immelt ໃຫ້ຮູ້ວ່າ: ປະຈຸບັນ GE ພວມຜັນຂະຫຍາຍການລົງທຶນ, ການດຳເນີນງານຂອງບັນດາຮາກຖານຜະລິດຢູ່ ຫວຽດນາມ, ດ້ວຍໂຮງງານຜະລິດຕົວບິນໄຟຟ້າໃຊ້ພະລັງແຮງລົມ, ຕົວບິນເຄື່ອງຈັກອາຍນໍ້າສະໜອງໃຫ້ບັນດາສູນການຜະລິດ, ການບໍລິການ ຂອງ GE ຢູ່ ຫວຽດນາມ ແລະທົ່ວໂລກ.	Theo Immelt, GE hiện đang mở rộng đầu tư và hoạt động tại Việt Nam, với các tuabin gió và máy phát điện hơi nước cho các trung tâm sản xuất và dịch vụ của GE tại Việt Nam và trên thế giới.
ໂດຍແມ່ນກຸ່ມບໍລິສັດທົ່ວໂລກ , GE ຕີລາຄາສູງການມີຫົວຄິດປະດິດສ້າງ, ຈິດໃຈອອກແຮງງານຂອງກຳມະກອນ ຫວຽດນາມ, ປະກອບສ່ວນເຂົ້າໃນຜົນສຳເລັດລວມຂອງກຸ່ມບໍລິສັດ GE ໃນປະຈຸບັນ.	Là một tập đoàn toàn cầu, GE đánh giá cao sự khéo léo và chăm chỉ của người lao động Việt Nam, góp phần vào thành công chung của Tập đoàn GE hiện nay.
ທ່ານ Jeffrey R.	Jeffrey R.
Immelt ປະທານ GE ຢັ້ງຢືນວ່າຈະມານະພະຍາຍາມຈົນສຸດຄວາມສາມາດຂອງຕົນ ເພື່ອຊຸກຍູ້ເລື່ອງທ່ານ Donald Trump ປະທານາທິບໍດີ ອາເມລິກາ ມາ ຫວຽດນາມ ເຂົ້າຮ່ວມກອງປະຊຸມຂັ້ນສູງ APEC 2017.	Chủ tịch GE Immelt khẳng định sẽ làm hết sức mình để động viên Tổng thống Hoa Kỳ Donald Trump tham dự Hội nghị Cấp cao APEC 2017 tại Việt Nam.
ຜ່ານນັ້ນ, ທ່ານ Donald Trump ປະທານາທິບໍດີ ອາເມລິກາ ຈະມີໂອກາດເຂົ້າໃຈແຈ້ງກວ່າກ່ຽວກັບດິນແດນ ແລະຊາວຫວຽດນາມ.	Qua đây, Tổng thống Mỹ Donald Trump sẽ có cơ hội hiểu rõ hơn về lãnh thổ và con người Việt Nam.
ແປໂດຍ: ຫງວຽນກຸກ.	Dịch bởi: Nguyen Kuk.
