ກປ.ອອນໄລ - ຄວາມສວຍງາມ, ຄວາມສຸພາບອ່ອນໂຍນ ແລະຄວາມເຊື່ອໝັ້ນຕົນເອງແມ່ນສິ່ງທີ່ໄດ້ເຫັນເມື່ອກັບນາງ.	KPR Online - Vẻ đẹp, sự lịch thiệp và tự tin là những gì cô ấy nhìn thấy ở mình.
ອາຍຸຍັງໜຸ່ມ, ພັດແມ່ນແມ່ຍິງຄົນດຽວທີ່ເປັນນັກສ້າງໂປຼແກຼນໃນສະພາບແວດລ້ອມສ່ວນຫຼາຍແມ່ນຜູ້ຊາຍ.	Khi còn trẻ, Phatt là lập trình viên nữ duy nhất trong môi trường chủ yếu là nam giới.
ສະນັ້ນ, ນາງ ງອັກລິງ ຮູ້ສຶກໂດດດ່ຽວ.	Kết quả là cô Angling cảm thấy cô đơn.
ຍິ່ງໄປກວ່ານັ້ນ, ບໍ່ແມ່ນເພື່ອນຮ່ວມອາຊີບຊາຍຄົນໃດກໍ່ເຊື່ອໝັ້ນວ່ານາງ ລິງ ເຮັດວຽກໄດ້, ຊໍ້າບໍ່ໜໍາເຂົາເຈົ້າຄິດວ່າ ລາວ ເຮັດຫຼິ້ນເທົ່ານັ້ນ ໄດ້ປະມານເຄິ່ງປີ ລາວກໍ່ຂໍຍ້າຍໄປເຮັດວຽກອື່ນ.	Hơn nữa, không phải đồng nghiệp nam nào cũng tin rằng cô Ling có thể làm việc được, thậm chí họ cho rằng cô mới chơi được khoảng nửa năm thì đã xin chuyển sang công việc khác.
ສະນັ້ນ, ບັນດາເພື່ອນຮ່ວມອາຊີບຊາຍຫຼາຍຄົນແມ່ນບໍ່ເອົາໃຈໃສ່ເຖິງນາງ ແລະສ່ວນຫຼາຍແມ່ນ “ນະໂຍບາຍ ໃຫ້ນາງ ເຮັດວຽກເບົາ, ງ່າຍດາຍ ເຊິ່ງບໍ່ໃຫ້ລາວມີໂອກາດເຂົ້າຮ່ວມບັນດາວຽກງານ, ໂຄງການທີ່ມີຂອບຂະໜາດໃຫຍ່.	Do đó, nhiều đồng nghiệp nam không để ý đến cô, và hầu hết đều “bắt cô làm việc nhẹ nhàng và đơn giản, không cho cô cơ hội tham gia các dự án quy mô lớn.
ເມື່ອຮອດປີ 2013, ນາງ ງອັກລິງ ໄດ້ຮັບການມອບໝາຍໃຫ້ເຮັດໂຄງການກໍ່ສ້າງພື້ນຖານໃຫ້ແກ່ລະບົບສາງຂໍ້ມູນດໍາເນີນທຸລະກິດລວມສູນ Viettel BI ແລະໜ້າທີ່ຄົ້ນຄວ້າເຕັກໂນໂລຢີ Big Data ເພື່ອຮັບໃຊ້ການແກ້ໄຂຄວາມຮຽກຮ້ອງຕ້ອງການດ້ານຂໍ້ມູນທີ່ນັບມື້ນັບເພີ່ມຂຶ້ນ, ແກ້ໄຂຄວາມສັບສົນກວ່າເມື່ອທຽບໃສ່ກັບຂໍ້ມູນໂທລະຄົມມະນາຄົມ Viettel.	Năm 2013, bà Ackling được giao nhiệm vụ xây dựng cơ sở hạ tầng cho hệ thống kho dữ liệu kinh doanh tập trung của Viettel BI và công nghệ nghiên cứu Dữ liệu lớn nhằm giải quyết nhu cầu ngày càng tăng về dữ liệu, giải quyết sự phức tạp của dữ liệu viễn thông Viettel.
ຍິ່ງໄປກວ່ານັ້ນ, ເຕັກໂນໂລຢີແກ້ໄຂຂໍ້ມູນໃຫຍ່ຄາວນັ້ນແມ່ນ Apache Spark ກໍ່ກຳລັງໃໝ່ ແລະເປັນສິ່ງທ້າທາຍກັບ ລິງ.	Hơn nữa, công nghệ chỉnh sửa dữ liệu lớn thời đó, Apache Spark, thực sự đang theo đuổi và thách thức lũ khỉ.
ເຖິງວ່າ ລິງ ເຊື່ອໝັ້ນຕົນເອງ ແລະມີຄວາມກະຕຶລືລົ້ນ ກໍ່ຕາມແຕ່ຕົວຈິງຍັງຂາດປະສົບການ.	Mặc dù Ling tự tin và nhiệt tình, anh ấy thực sự thiếu kinh nghiệm.
ງອັກລິງ ໄດ້ຮັບນາມມະຍົດ ຊາວເຄວ ປີ 2016.	Ông Ackling đã được trao tặng danh hiệu Quechua vào năm 2016.
ໝາກຜົນຕົວຈິງຈາກບັນດາໂຄງການທີ່ເຮັດໄດ້, ງອັກລິງ ໄດ້ສະແດງໃຫ້ເຫັນຄວາມສາມາດກໍ່ຄືສ້າງຄວາມໄວ້ເນື້ອເຊື່ອໃຈຈາກຄະນະການນໍາ ແລະໄດ້ຮັບການມອບໝາຍເປັນຫົວໜ້າສູນວິໄຈຂໍ້ມູນໃຫຍ່-BDT, ກາຍເປັນຫົວໜ້າເພດຍິງຄົນດຽວໃນ 7 ສູນ ສັງກັດ VTSoft2.	Nhờ thành công của các dự án, bà Linking đã thể hiện được khả năng tạo dựng niềm tin với hội đồng quản trị và được giao nhiệm vụ Giám đốc Trung tâm Dữ liệu lớn (BDT), trở thành nữ lãnh đạo duy nhất trong 7 công ty thành viên của VTSoft2. .
ປັດຈຸບັນ, ສູນກໍາລັງຄົ້ນຄວ້າ ແລະຜັນຂະຫຍາຍຫຼາຍໂຄງການກ່ຽວກັບ Big Data ຢູ່ຫວຽດນາມຄື: ລະບົບສາງຂໍ້ມູນລວມສູນ Viettel BI, ລະບົບສາງຂໍ້ມູນພູມປັນຍາລູກຄ້າ, ລະບົບ BI ສາຂາ, ລະບົບຕິດຕາມກວດກາຂໍ້ມູນໂດຍກົງທາງເຄືອຂ່າຍອິນເຕີແນັດ...	Hiện tại, trung tâm đang nghiên cứu và triển khai nhiều dự án liên quan đến Big Data tại Việt Nam như: Hệ thống dữ liệu tập trung Viettel BI, Hệ thống dữ liệu thông minh khách hàng, Hệ thống BI chi nhánh, Hệ thống giám sát dữ liệu trực tiếp qua mạng Internet ...
ບັນດາໂຄງການເຫຼົ່ານີ້ໄດ້ ແລະກໍາລັງປະກອບສ່ວນຢ່າງໃຫຍ່ຫຼວງເຂົ້າໃນການພັດທະນາຂອງກຸ່ມບໍລິສັດ.	Các dự án này đã và đang góp phần to lớn vào sự phát triển của Tập đoàn.
ມາຮອດປັດຈຸບັນ, ຕົວ ງອັກລິງເອງ ຍັງເຊື່ອໝັ້ນຢືນຢັນທິດເດີນຂອງ Big Data ໃນປັດຈຸບັນແມ່ນຖືກຕ້ອງ, ໄດ້ ແລະກໍາລັງໄດ້ຮັບການນໍາໃຊ້ໃນຫຼາຍຂົງເຂດ, ນໍາມາເຊິ່ງປະສິດທິຜົນສູງ.	Đến hôm nay, bản thân các nhân vật đều tin chắc rằng hướng đi của Dữ liệu lớn hiện nay là chính xác, có giá trị và đang được ứng dụng trong nhiều lĩnh vực, mang lại hiệu quả cao.
ບໍ່ພຽງແຕ່ໄດ້ຮັບການຮັບຮູ້ໃນການພັດທະນາຂອງກຸ່ມບໍລິສັດເທົ່ານັ້ນ, ໃນປີ 2016, ຊ໊ອບແວລະບົບຕິດຕາມກວດກາຂໍ້ມູນໂດຍກົງທາງເຄືອຂ່າຍອິນເຕີແນັດ ແລະຊ໊ອບແວສາງຂໍ້ມູນລູກຄ້າ ໄດ້ຮັບນາມມະຍົດ ຊາວເຄວ 2016 ຈາກສະມາຄົມຊ໊ອບແວ ແລະບໍລິການເຕັກໂນໂລຢີຂໍ້ມູນຂ່າວສານຫວຽດນາມ.	Không chỉ được ghi nhận trong sự phát triển của nhóm công ty, năm 2016, Phần mềm Giám sát Trực tiếp Internet và Phần mềm Lưu trữ Dữ liệu Khách hàng đã nhận được Danh hiệu Xếp hàng 2016 do Hiệp hội Phần mềm và Dịch vụ Công nghệ Thông tin Việt Nam trao tặng.
ນັ້ນແມ່ນການຮັບຮູ້ຜົນງານແຫ່ງການເຮັດວຽກງານທີ່ບໍ່ໄດ້ຢຸດໄດ້ເຊົາຂອງນາງ ງອັກລິງ ແລະເພື່ອນຮ່ວມອາຊີບ, ການນໍາກຸ່ມບໍລິສັດ.	Đó là sự ghi nhận thành quả lao động không ngừng nghỉ của cô Angling và các đồng nghiệp, ban lãnh đạo tập đoàn.
ຍາມໃດກໍ່ຢຶດໝັ້ນຕໍ່ຄວາມໃຝ່ຝັນ	Luôn bám vào ước mơ của bạn
ໃນອະນາຄົດອັນໃກ້, ລິງ ຄວນສ້າງກົງຈັກການຈັດຕັ້ງບຸກຄະລາກອນກ່ຽວກັບເຕັກໂນໂລຢີ Big Data ຢ່າງແຮງຢູ່ຫວຽດນາມ, ເພື່ອສ້າງບັນດາຜະລິດຕະພັນເຕັກໂນໂລຢີຂໍ້ມູນຂ່າວສານທີ່ມີປະໂຫຍດ, ນໍາມາເຊິ່ງມູນຄ່າສູງ, ບໍ່ພຽງແຕ່ຮັບໃຊ້ Viettel ເທົ່ານັ້ນ, ຫາກຍັງຮັບໃຊ້ໃນຫຼາຍຂົງເຂດ, ຫຼາຍວິສາຫະກິດ, ຫຼາຍອົງການຈັດຕັ້ງຢູ່ຫວຽດນາມອີກດ້ວຍ.	Trong tương lai gần, Ling nên thành lập một tổ chức nhân sự Big Data mạnh tại Việt Nam, để tạo ra những sản phẩm công nghệ thông tin có giá trị cao, không chỉ phục vụ Viettel mà còn phục vụ ở nhiều vùng miền, nhiều doanh nghiệp, nhiều tổ chức trong Việt Nam.
ນາງ ງອັກລິງ ຍັງຖືທັດສະນະຄະຕິທີ່ວ່າ, ຄວາມຫຍຸ້ງຍາກ, ສິ່ງທ້າທາຍ ຍາມໃດກໍ່ແມ່ນກໍາລັງໜູນເພື່ອໃຫ້ພວກເຮົາຮຽນຮູ້ ແລະບືນຕົວຂຶ້ນຢ່າງບໍ່ຢຸດຢັ້ງ, ໂດຍສະເພາະແມ່ນແມ່ຍິງໃນສະໄໝໃໝ່ຍາມໃດກໍ່ຍິ່ງຕ້ອງຢຶດໝັ້ນປະຕິບັດຄວາມໃຝ່ຝັນຂອງຕົນ.	Bà Angling cũng giữ thái độ rằng khó khăn, thử thách luôn thúc đẩy chúng tôi học hỏi và trưởng thành không ngừng, đặc biệt là phụ nữ trong khát vọng luôn phải bám lấy để theo đuổi ước mơ của mình.
ເພາະວ່າ, ຕາມປົກກະຕິແລ້ວ, ແມ່ຍິງມີປັດໄຈກະທົບໃສ່ຫຼາຍກວ່າເພດຊາຍຄື: ຄວາມຄິດຕາຍຕົວທາງສັງຄົມ, ມີຫຼາຍຄົນຕີລາຄາ ຫຼືເລື່ອງຄອບຄົວ, ລູກຜົວ.	Bởi vì, thông thường, phụ nữ có ảnh hưởng nhiều hơn nam giới: định kiến xã hội, nhiều quan điểm hoặc gia đình, con cái.
ນອກຈາກນັ້ນ, ຍັງມີຄວາມເທົ່າທຽມກັນ ແລະການສະໜັບສະໜູນຈາກຄອບຄົວ, ຂ້າພະເຈົ້າ ຄິດວ່ານັ້ນແມ່ນປັດໄຈຂອງຄວາມໂຊກດີ ເພາະວ່າຍາມໃດຄອບຄົວຂອງຂ້າພະເຈົ້າກໍ່ສະໜັບສະໜູນ.	Ngoài ra, còn có sự bình đẳng và hoán đổi gia đình, tôi nghĩ đó là yếu tố may mắn vì gia đình tôi luôn chuyển mình.
ສະນັ້ນ, ບັນດາຜົນງານຍາດມາໄດ້ນັ້ນພຽງແຕ່ແມ່ນບາດກ້າວເລີ່ມຕົ້ນໃນວິວັດການປະຕິບັດຄວາມໃຝ່ຝັນໃນຊີວິດຂອງຕົນ.	Vì vậy, những thành tựu đạt được chỉ là những bước khởi đầu trong quá trình theo đuổi ước mơ trong đời của anh.
ແປໂດຍ: ຮວ່າງເຈື່ອງ.	Người dịch: Hoàng Trường.
