ກປ.ອອນໄລ - ວັນຊາດທີ 2 ກັນຍາ ປີນີ້ແມ່ນວັນພິເສດທີ່ສຸດ, ຍ້ອນວ່າແມ່ນວັນລະນຶກເຖິງປະທານ ໂຮ່ຈີມິນ ມໍລະນະກຳ ຄົບຮອບ 50 ປີແລະ 50 ປີແຫ່ງວັນທົ່ວພັກ, ທົ່ວປວງຊົນ, ທົ່ວກອງທັບປະຕິບັດຄໍາພິໄນກໍາຂອງປະທານ ໂຮ່ຈີມິນ.	Ngày nước ngoài, ngày 2 tháng 9, vì 50 năm của CRIMMA tại nhà cộng sản và 50 năm đăng ký
ເພິ່ນຕັກເຕືອນວ່າ: “ພັກເຮົາແມ່ນພັກກຳອຳນາດ.	Ông cảnh báo: "Đảng là một bữa tiệc mạnh mẽ.
ສະມາຊິກພັກ ແລະພະນັກງານແຕ່ລະຄົນຕ້ອງເຊື່ອມຊຶມຄຸນສົມບັດປະຕິວັດ, ດຸໝັ່ນຂະຫຍັນພຽນ, ປະຢັດມັດທະຍັດ, ຊື່ກົງບໍລິສຸດ, ເຫັນແກ່ສ່ວນລວມບໍ່ເຫັນແກ່ສ່ວນຕົວຢ່າງແທດຈິງ.	Các thành viên bên và mỗi nhân viên phải là những đặc tính mang tính avid, cách mạng, tìm kiếm, sự tích hợp đang hoạt động.
ຕ້ອງຮັກສາພັກເຮົາໃຫ້ປອດໃສ, ຕ້ອງໃຫ້ສົມກັບເປັນຜູ້ນໍາພາ, ເປັນຄົນຮັບໃຊ້ທີ່ຈົ່ງຮັກພັກດີຂອງປະຊາຊົນ.	Phải giữ an toàn, phải có nghĩa vụ dẫn đầu, như một người hầu yêu người.
ກ້າວເຂົ້າສູ່ສະໄໝເຊື່ອມໂຍງ, ຄວາມຮັບຮູ້ຂອງສັງຄົມມີການປ່່ຽນແປງເມື່ອທຽບໃສ່ກ່ອນນີ້, ການຮັກສາພັກໃຫ້ມີຄວາມປອດໃສນັ້ນຕົ້ນຕໍ່ແມ່ນຄວາມຮຽກຮ້ອງຕ້ອງການພື້ນຖານເພື່ອໃຫ້ພັກຍາມໃດກໍ່ແມ່ນສູນມະຫາສາມັກຄີທົ່ວປວງຊົນທັງຊາດ, ຮັກສາ ແລະເສີມຂະຫຍາຍບົດບາດນໍາພາຂອງຕົນໃຫ້ເຂັ້ມແຂງ.	Bước vào sự hội nhập, nhận thức về xã hội có người đầu tiên, giữ và nâng cao sự lãnh đạo của họ.
ໃນໄລຍະຜ່ານມາ, ໝາກຜົນຕັ້ງໜ້າຂອງວຽກງານກໍ່ສ້າງ, ປັບປຸງພັກ;	Trong quá khứ, việc thực hiện công việc xây dựng, cập nhật Đảng;
ໃນການປ້ອງກັນ, ຕ້ານການສໍ້ລາດບັງຫຼວງ;	Trong phòng thủ, chống tham nhũng;
ຕ້ານການ “ຜັນແປດ້ວຍຕົວເອງ , “ຫັນປ່ຽນດ້ວຍຕົວເອງ ;	Chống "bê tông," biến đổi trực tiếp;
ເພີ່ມທະວີບົດບາດການເປັນແບບຢ່າງຂອງພະນັກງານ, ສະມາຊິກພັກໄດ້ປະກອບສ່ວນຮັກສາຄວາມເຊື່ອໝັ້ນຂອງປະຊາຊົນ, ຂອງສັງຄົມຕໍ່ກັບການນໍາພາຂອງພັກ.	Tăng cường nhân viên, các đảng viên đóng góp vào sự tự tin của mọi người, của đảng.
ປີ 2019, ແມ່ນປີຄົບຮອບ 75 ປີແຫ່ງວັນສ້າງຕັ້ງກອງທັບປະຊາຊົນຫວຽດນາມ.	Năm 2019, là kỷ niệm 75 năm của Quân đội Quân đội Nhân dân Việt Nam
ກອງທັບເຮົາຍາມໃດກໍ່ແມ່ນກໍາລັງປະຕິວັດທີ່ຫຼັກແຫຼ່ງແກ່ນສານ, ນໍາໜ້າ, ໄດ້ຮັບຄວາມໄວ້ເນື້ອເຊື່ອໃຈຈາກພັກ, ລັດ, ປະຊາຊົນ.	Đối với quân đội, bất kỳ lực nào khó khăn hơn, dẫn đầu, dẫn đầu, niềm tin, cộng đồng, con người, con người.
ພະນັກງານ, ນັກຮົບກອງທັບຍາມໃດກໍ່ເສີມຂະຫຍາຍມູນເຊື້ອ, ຄຸນນະທາດທີ່ດີງາມຂອງທະຫານລຸງໂຮ່, ກຽມພ້ອມສູ້ຮົບ, ປົກປັກຮັກສາປະເທດຫວຽດນາມ ສັງຄົມນິຍົມໄວ້ໃຫ້ໝັ້ນຄົງເຂັ້ມແຂງ.	Các nhân viên, các chiến binh quân đội đã tăng cường một mầm bệnh, người chú đã chuẩn bị, bảo vệ chủ nghĩa xã hội Việt Nam.
ປີ 2019 ກໍ່ແມ່ນປີບຸກທະລຸເພື່ອປະຕິບັດບັນດາຄາດໝາຍໃນໄລຍະ 2016-2020 ໃຫ້ລື່ນລະດັບທີ່ໄດ້ວາງອອກ.	Năm 2019 là những năm để thực hiện các mục tiêu trong giai đoạn 2016-2020 vượt quá mức đặt ra.
ທົ່ວພັກ, ທົ່ວປວງຊົນ, ທົ່ວກອງທັບເຮົາສືບຕໍ່ອອກແຮງແຂ່ງຂັນ, ປະຕິບັດສໍາເລັດບັນດາວຽກງານດ້ານຕ່າງໆໃຫ້ເປັນຢ່າງດີ, ກະກຽມໃຫ້ກອງປະຊຸມໃຫຍ່ອົງຄະນະພັກທຸກຂັ້ນ, ມຸ່ງໄປເຖິງກອງປະຊຸມໃຫຍ່ຄັ້ງທີ XIII ຂອງພັກຢ່າງຮອບຄອບຖີ່ຖ້ວນ.	Tất cả mọi người trên khắp quân đội, chúng tôi tiếp tục cạnh tranh, việc hoàn thành bữa tiệc của Đảng XIII.
ຜົນສໍາເລັດຂອງກອງປະຊຸມໃຫຍ່ຄັ້ງທີ XIII ຂອງພັກຈະແມ່ນພື້ນຖານເພື່ອໃຫ້ປະເທດຫວຽດນາມ ສືບຕໍ່ເພີ່ມຄວາມໄວຂອງການພັດທະນາໃນໄລຍະຕໍ່ໄປ, ຫັນຄວາມໄຝ່ຝັນກ່ຽວກັບ ປະເທດຊາດເຂັ້ມແຂງແຮງກ້າໃຫ້ປະກົດຜົນເປັນຈິງໂດຍໄວ, ຄືດັ່ງຄວາມຄາດຫວັງຂອງລຸງໂຮ່ ຜູ້ຍິ່ງໃຫຍ່.	Thành công của loạt XIII của phiên XIII sẽ tiếp tục tăng tốc độ phát triển so với kỳ vọng tiếp theo, Bác Hồ Hobe.
