ກປ.ອອນໄລ - ການຮ່ວມມືດ້ານປ້ອງກັນຊາດ ຫວຽດນາມ-ສະຫະພັນລັດເຊຍ ກໍາລັງພັດທະນາຢ່າງຂະຫຍັນຂັນເຄື່ອນທີ່ສຸດ.	KPR Online - Hợp tác quốc phòng Việt-Nga đang phát triển nhanh chóng.
ໄດ້ມີນາຍທະຫານຫວຽດນາມບັນລຸລະດັບສະຖິຕິ ໄດ້ຮັບເອົາໄປບໍາລຸງສ້າງຢູ່ບັນດາໂຮງຮຽນຂອງກະຊວງປ້ອງກັນປະເທດລັດເຊຍ.	Một số lượng kỷ lục sĩ quan quân đội Việt Nam đã được đào tạo tại các trường của Bộ Quốc phòng Nga.
ກອງປະຊຸມຄະນະກໍາມະການລະຫວ່າງລັດຖະບານກ່ຽວກັບການຮ່ວມມືດ້ານເຕັກນິກ-ການທະຫານ ຄັ້ງທີ 21 ໄດ້ດໍາເນີນໃນເດືອນພະຈິກ 2019 ມີລັກສະນະເປັນຂີດໝາຍ.	Cuộc họp lần thứ 21 của Ủy ban Liên Chính phủ về Hợp tác Kỹ thuật-Quân sự được tổ chức vào tháng 11 năm 2019.
ສອງຝ່າຍໄດ້ເນັ້ນໜັກເຖິງການປະຕິບັດ ໂຄງການໄລຍະຍາວກ່ຽວກັບການຮ່ວມມືດ້ານເຕັກນິກ-ການທະຫານ ຮອດປີ 2020 ກໍ່ຄືຮຽບຮຽງແຜນຍຸດທະສາດສົມທົບກັນກະທໍາໃນຂົງເຂດນີ້ໃນທົດສະວັດທີ່ຈະມາເຖິງ.	Hai bên nhấn mạnh sự cần thiết phải thực hiện một chương trình dài hạn về hợp tác kỹ thuật-quân sự đến năm 2020, cũng như xây dựng một kế hoạch chiến lược chung trong lĩnh vực này trong thập kỷ tới.
ບັນດາໝາກຜົນໃນການຮ່ວມມືກໍ່ສະແດງໃຫ້ເຫັນໃນຂົງເຂດທະຫານເຮືອ.	Kết quả của sự hợp tác cũng cho thấy ở hải quân.
ໃນເດືອນກໍລະກົດ 2019, ເປັນຄັ້ງທໍາອິດໃນປະຫວັດສາດທະຫານເຮືອຂອງສອງປະເທດ, ກໍາປັ່ນຂອງຫວຽດນາມ ໄດ້ໄປຢ້ຽມຢາມນະຄອນ Vladivostok ຂອງລັດເຊຍ.	Tháng 7/2019, lần đầu tiên trong lịch sử hải quân hai nước, một tàu Việt Nam đã đến thăm thành phố Vladivostok của Nga.
ສອງຝ່າຍໄດ້ດໍາເນີນການຝຶກຊ້ອມຮ່ວມເປັນທໍາອິດກ່ຽວກັບການຊອກຫາ ແລະກູ້ໄພກູ້ຊີບ ກໍາປັ່ນດໍານໍ້າຖືກປະສົບອຸປະຕິເຫດ.	Hai bên đã tiến hành cuộc tập trận chung đầu tiên về tìm kiếm và cứu hộ xác tàu ngầm.
ສອງຝ່າຍພວມພະຍາຍາມເສີມຂະຫຍາຍບັນດາຂົງເຂດຮ່ວມມືທີ່ມີຄວາມສາມາດບົ່ມຊ້ອນອື່ນໆ, ຄື: ການຮັກສາສັນຕິພາບ, ເສນາຮັກ, ຄວາມສະຫງົບ, ການສື່ສານ...	Hai bên đang nỗ lực tăng cường các lĩnh vực hợp tác khác có tiềm năng như gìn giữ hòa bình, yêu nước, hòa bình, thông tin liên lạc ...
ທ່ານພັນເອກ Roman Boitsov ທີ່ປຶກສາທູດປ້ອງກັນຊາດລັດເຊຍ ປະຈໍາ ຫວຽດນາມ.	Đại tá Roman Boitsov, Cố vấn Đại sứ Quốc phòng Nga tại Việt Nam.
ພາບ: qdnd.vn.	Ảnh: qdnd.vn.
ນັກຂ່າວ: ການເຂົ້າຮ່ວມຂອງບັນດາທີມກອງທັບປະຊາຊົນຫວຽດນາມ ທີ່ງານແຂ່ງຂັນກິລາການທະຫານມີຄວາມໝາຍຄືແນວໃດສໍາລັບການພົວພັນສອງຝ່າຍລະຫວ່າງ ຫວຽດນາມ-ລັດເຊຍ?	PV: Việc các đội tuyển Quân đội nhân dân Việt Nam tham dự hội thao quân sự có ý nghĩa như thế nào đối với quan hệ hai nước Việt - Nga?
ທ່ານພັນເອກ Roman Boitsov: ຂ້າພະເຈົ້າຄິດວ່າແມ່ນສໍາຄັນທີ່ສຸດ.	Đại tá Roman Boitsov: Tôi nghĩ điều đó rất quan trọng.
Army Games ກໍາເນີດຈາກຂໍ້ລິເລີ່ມຂອງລັດຖະມົນຕີກະຊວງປ້ອງກັນປະເທດລັດເຊຍ, ທີ່ເຄີຍແມ່ນການແຂ່ງຂັນລະຫວ່າງບັນດານາຍທະຫານ, ນັກຮົບຂຶ້ນກັບເຫຼົ່າທັບລົດຕັງ.	Đại hội thể thao quân đội bắt nguồn từ sáng kiến của Bộ Quốc phòng Nga, đây từng là cuộc thi giữa các sĩ quan, binh sĩ và xe tăng.
ການແຂ່ງຂັນນີ້ບໍ່ພຽງແຕ່ເປີດກວ້າງຂອບເຂດເທົ່ານັ້ນ, ຫາກຍັງນັບທັງພູມີປະເທດອີກດ້ວຍ.	Cuộc thi không chỉ ở phạm vi rộng, mà còn cả về địa lý.
ປັດຈຸບັນນີ້, Army Games ກາຍເປັນເຫດການສາກົນພົ້ນເດັ່ນ ແລະດຶງດູດຜູ້ຊົມເປັນຈໍານວນຫຼວງຫຼາຍ.	Ngày nay, Đại hội Thể thao Quân đội đã trở thành một sự kiện quốc tế nổi bật và thu hút đông đảo khán giả tham gia.
ສະຫຼຸບລວມນະທີ່ນີ້ແມ່ນບັນຍາກາດໃນການແຂ່ງຂັນ ແລະມີຄວາມເປັນມິດສະໜິດສະໜົມ, ນ້ຳໃຈເພື່ອນມິດ, ໜູນຊ່ວຍເຊິ່ງກັນ ແລະກັນ.	Tóm lại, đây là một bầu không khí cạnh tranh và thân thiện, gần gũi, hỗ trợ lẫn nhau.
ບັນດານັກກິລາໄດ້ສະແດງໃຫ້ເຫັນຄຸນນະທາດ ແລະຄວາມສາມາດເກັ່ງກ້າ, ເດັດດ່ຽວ, ມີຈັງຫວະ, ຕັດສິນໃຈຢ່າງວ່ອງໄວໃນກໍລະນີຮີບດ່ວນ, ເປັນເຈົ້າຂອງພາຫະນະ, ອຸປະກອນເຕັກນິກ ແລະອາວຸດທັນສະໄໝ.	Các vận động viên đã thể hiện phẩm chất và khả năng, ý chí quyết tâm, tốc độ, quyết định nhanh trong trường hợp khẩn cấp, làm chủ phương tiện, trang bị kỹ thuật, vũ khí hiện đại.
ຍ້ອນເຫດ ນັ້ນ, ອາດເວົ້າໄດ້ວ່າ, Army Games ແມ່ນເຄື່ອງມືເພື່ອເປີດກວ້າງສາຍພົວພັນສາກົນໃນຂົງເຂດປ້ອງກັນຊາດ, ເອື້ອອຳນວຍໃຫ້ແກ່ການເພີ່ມທະວີຄວາມເຂົ້າອົກເຂົ້າໃຈເຊິ່ງກັນ ແລະກັນ ແລະຄວາມໄວ້ເນື້ອເຊື່ອໃຈລະຫວ່າງກະຊວງປ້ອງກັນປະເທດສອງປະເທດ, ຊຸກຍູ້ການພົບປະແລກປ່ຽນໃນຂົງເຂດການຮ່ວມມືດ້ານເຕັກນິກ-ການທະຫານ.	Chính vì vậy, có thể nói Hội thao Quân đội là công cụ mở rộng quan hệ quốc tế trong lĩnh vực quốc phòng, tạo điều kiện hiểu biết và tin cậy lẫn nhau giữa hai Bộ Quốc phòng, thúc đẩy giao lưu trong lĩnh vực hợp tác kỹ thuật - quân sự.
ຄຽງຂ້າງນັ້ນ, ບັນດາການແຂ່ງຂັນຍັງແມ່ນກາລະໂອກາດເພື່ອຕີລາຄາລະດັບຄວາມກຽມພ້ອມສູ້ຮົບຂອງກອງທັບສອງປະເທດ.	Ngoài ra, các cuộc thi cũng là dịp để đánh giá khả năng sẵn sàng chiến đấu của quân đội hai nước.
ວຽກງານຝຶກແອບຕາມແຜນການພາຍໃນປະເທດແມ່ນວຽກງານໜຶ່ງ, ແຕ່ຢູ່ບ່ອນໃດກໍ່ສາມາດຕີລາຄາກຳລັງຄວາມສາມາດຕົວຈິງຂອງຕົນ?	Đào tạo theo kế hoạch trong nước là một nhiệm vụ khó khăn, nhưng thực sự có thể đánh giá năng lực thực tế của nó ở đâu?
ໃນງານແຂ່ງຂັນ Army Games 2019, ບັນດານາຍທະຫານຫວຽດນາມ ບັນລຸໄດ້ໝາກຜົນທີ່ດີ, ຈັດຢູ່ອັນດັບທີ 2 ໃນຄະນະ 2 ເຊິ່ງລວມມີ 23 ທີມໃນລາຍການແຂ່ງຂັນລົດຕັງ.	Tại Đại hội Thể thao Quân đội 2019, các sĩ quan Việt Nam đã đạt thành tích tốt, xếp thứ nhì toàn đoàn, gồm 23 đội thi xe tăng.
ປັດຈຸບັນນີ້, ທົ່ວໂລກໄດ້ຮູ້ຈັກທີມລົດຕັງຫວຽດນາມ.	Đội xe tăng Việt Nam giờ đã được cả thế giới biết đến.
ພວກເພື່ອນສຸດຍອດຫຼາຍ.	Người bạn tuyệt vời.
ນັກຂ່າວ: ເນື່ອງໃນໂອກາດປີໃໝ່ປະຈໍາຊາດຂອງຫວຽດນາມ, ທ່ານໄດ້ອວຍພອນໃຫ້ປະຊາຊົນຫວຽດນາມແດ່ບໍ່?	Nhà báo: Nhân dịp Tết Nguyên đán của Việt Nam, ông có chúc phúc cho người dân Việt Nam không?
ທ່ານພັນເອກ Roman Boitsov: ເນື່ອງໃນໂອກາດປີໃໝ່ປະຈໍາຊາດປີຊວດ 2020, ຂໍອວຍພອນໃຫ້ຄະນະການນໍາກະຊວງປ້ອງກັນປະເທດຫວຽດນາມ, ພະນັກງານ, ນັກຮົບກອງທັບປະຊາຊົນຫວຽດນາມ ແລະປະຊາຊົນໝົດທຸກຄົນຈົ່ງມີສຸຂະພາບແຂງແຮງ, ມີຄວາມເບີກບານມ່ວນຊື່ນ ແລະປະສົບຜົນສຳເລັດໃນໜ້າທີ່ວຽກງານ, ຮັບໃຊ້ໃຫ້ກິດຈະການສ້າງລັດທິສັງຄົມນິຍົມຢູ່ຫວຽດນາມ.	Đại tá Roman Boitsov: Nhân dịp năm mới 2020, tôi kính chúc lãnh đạo Bộ Quốc phòng, cán bộ, chiến sĩ Quân đội nhân dân Việt Nam và toàn thể nhân dân dồi dào sức khỏe, hạnh phúc, thành công trong công tác, phục vụ đến Việt Nam.
ນັກຂ່າວ: ຂໍຂອບໃຈທ່ານ!	PV: Xin cảm ơn!
ໂດຍ: ທູຈາງ.	Bởi: Tu Zhang.
