ກປ.	KP
ສະພາບການລະເມີດກົດໝາຍ, ຕິດໄພສັງຄົມໃນໝູ່ຊາວໜຸ່ມເຍົາວະຊົນມີການຜັນແປຢ່າງສັບ ສົນ.	Tình hình vi phạm pháp luật và tệ nạn xã hội trong thanh thiếu niên đang diễn biến theo chiều hướng phức tạp.
ຊີວິດທາງດ້ານວັດທະນະທຳ, ອາລົມຈິດຂອງຊາວໜຸ່ມ, ກຳມະກອນ, ຊົນນະບົດ, ຊົນເຜົ່າສ່ວນໜ້ອຍ, ເຂດຫ່າງໄກສອກຫຼີກຍັງບໍ່ທັນໄດ້ຮັບການຕອບສະໜອງຢ່າງຄົບຖ້ວນ.	Đời sống văn hóa, tình cảm của thanh niên, công nhân, nông thôn, đồng bào dân tộc thiểu số, vùng sâu, vùng xa chưa được quan tâm đầy đủ.
ພິເສດ, ຊາວໜຸ່ມພາກສ່ວນໜຶ່ງຍັງມີປະກົດການສັ່ນຄອນ, ຂາດຄວາມເຊື່ອ ໝັ້ນອຸດົມຄະຕິຈືດຈາງໄປ, ເຫີນຫ່າງຈາກມູນເຊື້ອວັດທະນະທຳອັນດີງາມຂອງປະເທດຊາດ;	Đặc biệt, một số thanh thiếu niên còn dao động, thiếu niềm tin, lý tưởng làm phai nhạt di sản văn hóa tốt đẹp của dân tộc;
ດຳລົງຊີວິດເຫັນແກ່ແຕ່ປະໂຫຍດ, ຂີ້ຄ້ານຮ່ຳຮຽນ, ອອກແຮງງານທຳການຜະລິດ.	Sống cần kiệm, chăm chỉ, lao động sản xuất.
ຕໍ່ໜ້າສະພາບການຕົວຈິງນັ້ນ, ຊາວໜຸ່ມທຸກຂັ້ນຄວນສຸມໃສ່ຍູ້ແຮງວຽກງານສຶກສາອົບຮົມກ່ວາອີກ, ແນໃສ່ປະກອບສ່ວນເຂົ້າໃນການກໍ່ສ້າງຊາວໜຸ່ມຫວຽດນາມ ໃຫ້ມີອຸດົມຄະຕິປະຕິວັດ, ຄຸນນະທາດການເມືອງໜັກແໜ້ນ, ມີຄຸນສົມບັດ, ແບບແຜນດຳລົງຊີ ວິດວັດທະນະທຳ, ມີຄວາມຮັບຜິດຊອບ, ເຄົາລົບກົດໝາຍ, ຮັກຫອມສັນຕິພາບ;	Trước thực trạng đó, các cấp thanh niên cần chú trọng hơn nữa công tác giáo dục, nhằm góp phần xây dựng thanh niên Việt Nam có lý tưởng cách mạng, có phẩm chất chính trị vững vàng, có trình độ, lối sống văn hóa, trách nhiệm, nghĩa tình, trọng đạo;
ມີຄວາມຮູ້, ມີສຸຂະພາບ ແລະມີຄວາມມຸ່ງມາດປາດຖະໜາບືນຕົວຂຶ້ນ;	Có kiến thức, có sức khỏe và sẵn sàng tạo ra sự khác biệt;
ກໍ່ສ້າງຄະນະຊາວໜຸ່ມກອມມູນິດໂຮ່ຈິມິນ ໃຫ້ເຂັ້ມແຂງຢ່າງແທ້ຈິງ, ເຕົ້າໂຮມ, ສາມັກຄີຊາວໜຸ່ມເປັນຈຳນວນຫຼວງຫຼາຍ, ສົມເປັນກອງກຳລັງສຳຮອງທີ່ໄວ້ເນື້ອເຊື່ອໃຈຂອງພັກກອມມູນິດຫວຽດນາມ...	Củng cố Đoàn TNCS Hồ Chí Minh, đoàn kết, thống nhất đông đảo các tầng lớp nhân dân, trở thành lực lượng dự bị động viên tin cậy của Đảng Cộng sản Việt Nam ...
ເພື່ອສຳເລັດພາລະກຳອັນສູງສົ່ງ ແລະໜັກໜ່ວງນັ້ນ, ຮຽກຮ້ອງໃຫ້ມີຄວາມມານະພະຍາຍາມຢ່າງໃຫຍ່ຫຼວງຂອງຖັນແຖວພະນັກ ງານຊາວໜຸ່ມເວົ້າສະເພາະບັນດາອົງການຈັດຕັ້ງຊາວໜຸ່ມເວົ້າລວມໃນການຜັນຂະຫຍາຍການປະຕິບັດບັນດາເປົ້າໝາຍ, ເນື້ອໃນ, ລາຍການໄດ້ປຶກສາ, ຕົກລົງທີ່ກອງປະຊຸມໃຫຍ່ຄັ້ງນີ້.	Để hoàn thành nhiệm vụ cao cả và tâm huyết đó, cần sự nỗ lực rất nhiều của đội công tác thanh niên, đặc biệt là các tổ chức nói tiếng Anh trong việc thực hiện các mục tiêu, nội dung, chương trình đã được thảo luận và thống nhất tại Hội nghị lần này.
ຖັນແຖວພະນັກງານຊາວໜຸ່ມຕ້ອງຮັບຮູ້ຢ່າງເລິກເຊິ່ງກ່ຽວກັບບົດບາດ, ຄວາມຮັບຜິດຊອບຂອງໄວໜຸ່ມສຳລັບພາລະກິດສ້າງສາ ແລະປົກປັກຮັກສາປະເທດຊາດ.	Thanh niên công nhân phải nhận thức sâu sắc vai trò, trách nhiệm của tuổi trẻ trong sứ mệnh xây dựng và bảo vệ Tổ quốc.
ອົງການຈັດຕັ້ງຊາວໜຸ່ມຄວນເອົາໃຈໃສ່ເປັນພິເສດໃນການຜັນຂະຫຍາຍບັນດາມາດຕະການແທດຈິງໃນການເຕົ້າໂຮມ ແລະໜູນຊ່ວຍຊາວໜຸ່ມ;	Các tổ chức thanh niên cần đặc biệt quan tâm đến việc triển khai các biện pháp thiết thực để vận động, giúp đỡ thanh niên;
ເຊື່ອມຕໍ່, ເສີມຂະຫຍາຍຄວາມເກັ່ງກ້າສາມາດໜຸ່ມໃນທຸກຂົງເຂດ;	Kết nối, nâng cao tài năng có thể ăn sâu vào mọi lĩnh vực;
ລະດົມປັນຍາຊົນໜຸ່ມຫວຽດນາມ ຢູ່ຕ່າງປະເທດເຂົ້າຮ່ວມເຄື່ອນໄຫວຂອງຊາວໜຸ່ມ ແລະປະກອບສ່ວນໃຫ້ແກ່ປະເທດ.	Vận động trí thức trẻ Việt Nam ở nước ngoài tham gia các phong trào thanh niên, cống hiến cho đất nước.
ສ້າງ ແລະຜັນຂະຫຍາຍມາດຕະການແນໃສ່ເຊື່ອມຕໍ່ກັບບັນດາໜ່ວຍ, ກົມກອງ, ກຸ່ມ, ສະໂມສອນຊາວໜຸ່ມຈັດຕັ້ງເອງ, ປະກອບສ່ວນດຶງດູດ, ເຕົ້າໂຮມຊາວໜຸ່ມ.	Sáng tạo và triển khai các biện pháp nhằm kết nối các tổ, ban, nhóm, câu lạc bộ thanh niên tự tổ chức, góp phần thu hút, vận động thanh niên tham gia.
ຊາວໜຸ່ມກອງທັບແມ່ນພາກສ່ວນດີເດັ່ນຂອງຊາວໜຸ່ມຫວຽດນາມ.	Thanh niên Quân đội là một bộ phận ưu tú của Thanh niên Việt Nam.
ຕິດພັນກັບປະຫວັດສາດການກໍ່ສ້າງ, ຕໍ່ສູ້, ເຕີບໃຫຍ່ຂະຫຍາຍຕົວຂອງກອງທັບປະຊາຊົນຫວຽດນາມ, ຊາວໜຸ່ມກອງທັບຍາມໃດກໍ່ສືບຕໍ່, ເສີມຂະຫຍາຍທາດແທ້ມູນເຊື້ອທະຫານລຸງໂຮ່, ຫ້າວຫັນຮ່ຳຮຽນ, ຝຶກຊ້ອມ, ປະຕິບັດງານ, ຢຶດໝັ້ນເປົ້າໝາຍເອກະລາດແຫ່ງຊາດ ແລະສັງຄົມນິຍົມ, ຈົ່ງຮັກພັກດີຕໍ່ພັກ, ຕໍ່ປະເທດຊາດ, ຕິດພັນສະໜິດແໜ້ນກັບປະຊາຊົນ, ຜ່ານຜ່າທຸກຄວາມຫຍຸ້ງຍາກ, ສິ່ງທ້າທາຍ, ສາມັກຄີສຳເລັດທຸກໜ້າທີ່ການເມືອງ.	Gắn liền với lịch sử xây dựng, chiến đấu và trưởng thành của Quân đội nhân dân Việt Nam, tuổi trẻ Lực lượng vũ trang sẽ tiếp tục hun đúc di sản Bộ đội Cụ Hồ, tích cực học tập, rèn luyện, hoạt động, giữ vững độc lập dân tộc và chủ nghĩa xã hội, chống chủ nghĩa dân tộc
ໃນໄລຍະໄໝ່, ຊາບຊຶມເນື້ອໃນຈິດໃຈກອງປະຊຸມຄະນະຊາວໜຸ່ມທົ່ວປະເທດຄັ້ງນີ້, ໃກ້ຊິດຕິດແທດກັບໂຄງການດຳເນີນງານຂອງກອງປະຊຸມໃຫຍ່ຜູ້ແທນຄະນະຊາວໜຸ່ມກອມມູນິດໂຮ່ຈິມິນ ກອງທັບຄັ້ງທີ IX, ໄວໜຸ່ມກອງທັບປະຈັນບານກໍ່ສ້າງກຳລັງປະກອບອາວຸດປະຕິວັດເປັນກອງທັບຫຼວງ, ຍອດຢ້ຽມ, ທັນສະໄໝເທື່ອລະກ້າວ;	Trong cuộc hành quân đã gắn chặt tinh thần của Đại hội Đoàn TNCS Hồ Chí Minh với chương trình hoạt động của Đại hội Đoàn TNCS Hồ Chí Minh lần thứ IX.
ພ້ອມກັບຊາວໜຸ່ມທົ່ວປະເທດປະຕິບັດມະຕິກອງປະຊຸມໃຫຍ່ຄັ້ງທີ XII ຂອງພັກຢ່າງມີໄຊ, ຢືນຢັນບົດບາດຫຼັກແຫຼ່ງໃນພາລະກິດສ້າງສາ ແລະປົກປັກຮັກສາປະເທດ ຊາດຫວຽດນາມ ສັງຄົມນິຍົມ.	Cùng với tuổi trẻ cả nước thực hiện thắng lợi nghị quyết Đại hội XII của Đảng, khẳng định vai trò nòng cốt trong sứ mệnh xây dựng và bảo vệ Tổ quốc Việt Nam xã hội chủ nghĩa.
ແປໂດຍ: ຮຸຍດົງ.	Dịch bởi: Huy Đông.
