ກປ.ອອນໄລ - ໜຶ່ງໃນບັນດາເນື້ອໃນທີ່ໄດ້ເຕື້ອງເຖິງຫຼາຍໃນບົດຂຽນ “ບາງບັນຫາທິດສະດີ ແລະພຶດຕິກໍາຕົວຈິງກ່ຽວກັບລັດທິສັງຄົມນິຍົມ ແລະເສັ້ນທາງກ້າວຂຶ້ນສັງຄົມນິຍົມ ຂອງທ່ານ ຫງວຽນຝູຈ້ອງ ເລຂາທິການໃຫຍ່ຄະນະບໍລິຫານງານສູນກາງພັກກອມມູນິດຫວຽດນາມ ນັ້ນແມ່ນຍົກອອກລະບົບທີ່ເປັນປະຖົມປັດໄຈເພື່ອຢັ້ງຢືນລັກສະນະທີ່ຈໍາເປັນຕ້ອງຢຶດໝັ້ນຕໍ່ເສັ້ນທາງກ້າວຂຶ້ນສັງຄົມນິຍົມ ເຊິ່ງພັກ ແລະຊາດເຮົາໄດ້ເລືອກເຟັ້ນ.	Nguyễn Phú Trọng, Tổng Bí thư Ban Chấp hành Trung ương Đảng Cộng sản Việt Nam
ຍິ່ງໄປກວ່ານັ້ນ, ໃນຕະຫຼອດວິວັດແຫ່ງການປະຕິວັດ, ສັດຕູໄດ້ມ້າງເພທໍາລາຍຢ່າງບໍ່ຢຸດຢັ້ງ ແລະຍັງບໍ່ທັນປະຖິ້ມໃຈດຳອຳມະຫິດທໍາລາຍພາລະກິດປະຕິວັດຂອງພັກ ແລະປະຊາຊົນເຮົາ.	Hơn nữa, trong suốt quá trình cách mạng, kẻ thù đã không ngừng tiêu diệt kẻ thù, không từ bỏ dã tâm chống phá nhiệm vụ cách mạng của đảng ta và nhân dân ta.
ພວກມັນຍາມໃດກໍ່ປະຕິບັດກົນອຸບາຍຫວັງລົບລ້າງອຸດົມການ, ຫັນປ່ຽນເປົ້າໝາຍ, ໂຄ່ນລົ້ມລະບອບສັງຄົມນິຍົມຜ່ານຍຸດທະສາດສົງຄາມຮ້ອນ, ສົງຄາມເຢັນ, ຍຸດທະສາດ “ການຜັນແປໂດຍສັນຕິ , ການຈະລາຈົນໂຄ່ນລົ້ມ...	Chúng luôn thực hiện chiến lược xóa bỏ tư tưởng, chuyển mục tiêu, lật đổ chế độ xã hội chủ nghĩa thông qua chiến lược Chiến tranh nóng, Chiến tranh lạnh, chiến lược “Diễn biến hòa bình, khởi nghĩa ...
ແຕ່ວ່າ, ດ້ວຍຄວາມຢຶດໝັ້ນຕໍ່ເສັ້ນທາງເປົ້າໝາຍທີ່ໄດ້ເລືອກ, ບໍ່ມີອິດທິກໍາລັງໃດສາມາດເຮັດໃຫ້ສັ່ນຄອນ, ປ່ຽນແປງ ຫຼືຫັນປ່ຽນອຸດົມການປະຕິວັດທີ່ສະຫງ່າລາສີຂອງພັກ ແລະປະຊາຊົນເຮົາໄດ້.	Song, kiên định với con đường mục tiêu đã chọn, không một thế lực nào có thể lay chuyển, làm thay đổi tư tưởng cách mạng vẻ vang của đảng và nhân dân ta.
“ເໝາະສົມກັບທ່າອ່ຽງພັດທະນາຂອງປະຫວັດສາດ - ນັ້ນແມ່ນການຢ້ັງຢືນກ່ຽວກັບກະແສຂອງການປະຕິວັດໂລກ;	“Phù hợp với xu thế phát triển của lịch sử - tức là sự khẳng định các trào lưu của cách mạng thế giới;
ແມ່ນສັດຈະທຳຍຸກສະໄໝ ເຊິ່ງທຸກປະເທດ, ທຸກຊາດຕ້ອງມຸ່ງໄປເຖິງ.	Nó là một con vật hiện đại mà mọi quốc gia, mọi dân tộc phải hướng tới.
ສິ່ງດັ່ງກ່າວເປັນການອະທິບາຍໃຫ້ຄຳຖາມທີ່ວ່າເປັນຫຍັງເພື່ອນມິດສາກົນຍາມໃດກໍ່ຮັບຮູ້, ເຄົາລົບນັບຖື ແລະເປັນເຈົ້າການຮ່ວມມືກັບພັກກອມມູນິດຫວຽດນາມ ແລະລັດຖະບານຫວຽດນາມ.	Điều này lý giải cho câu hỏi tại sao bạn bè quốc tế luôn ghi nhận, tôn trọng và đồng hành cùng Đảng Cộng sản Việt Nam và nhà nước Việt Nam.
ພາຍໃຕ້ລະບອບສາທາລະນະລັດສັງຄົມນິຍົມ, ມາຮອດປັດຈຸບັນ, ຫວຽດນາມ ໄດ້ສ້າງການພົວພັນທາງການທູດກັບ 189 ໃນ 193 ປະເທດສະມາຊິກຂອງສະຫະປະຊາຊາດ, ສ້າງຂອບເຂດການພົວພັນທີ່ເປັນປົກກະຕິ, ຍາວນານກັບ 30 ຄູ່ຮ່ວມມືຍຸດທະສາດ ແລະຮອບດ້ານ.	Dưới thời Cộng hòa xã hội chủ nghĩa, Việt Nam đã thiết lập quan hệ ngoại giao với 189 trong số 193 quốc gia thành viên Liên hợp quốc, thiết lập khuôn khổ quan hệ bình thường, lâu dài với 30 đối tác chiến lược và toàn diện.
ພ້ອມກັນນັ້ນ, ຫວຽດນາມເປັນສະມາຊິກຂອງ 63 ອົງການຈັດຕັ້ງສາກົນ ແລະມີການພົວພັນກັບກວ່າ 500 ອົງການບໍ່ຂຶ້ນກັບລັດຖະບານຢູ່ໃນໂລກ.	Ngoài ra, Việt Nam còn là thành viên của 63 tổ chức quốc tế và có quan hệ với hơn 500 tổ chức phi chính phủ trên thế giới.
ອາດເວົ້າໄດ້ວ່າ, ດ້ວຍຜົນງານທີ່ບັນລຸຄືດັ່ງກ່າວໄດ້ປັບປຸງ ແລະຍົກສູງຖານະບົດບາດຂອງຫວຽດນາມ ໃນເວທີສາກົນ, ສ້າງທ່າເຄື່ອນທີ່ຢ່າງມີໄຫວພິບໃນການພົວພັນກັບສາກົນ, ນໍາມາເຊິ່ງຜົນປະໂຫຍດໃຫ້ແກ່ການສ້າງສາ ແລະປົກປັກຮັກສາປະເທດຊາດ.	Có thể nói, với những thành tựu đó, Việt Nam đã ngày càng cải thiện và nâng cao vai trò của mình trên trường quốc tế, tạo thế năng động trong quan hệ quốc tế, mang lại lợi ích cho công cuộc dựng nước, giữ nước.
ສິ່ງດັ່ງກ່າວເປັນພະຍານຫຼັກຖານໃຫ້ແກ່ການຮັບຮູ້, ເຄົາລົບນັບຖືກ່ຽວກັບລະບອບລະບຽບການຂອງຫວຽດນາມ;	Đây là một minh chứng cho sự công nhận và tôn trọng của chế độ Việt Nam;
ເປັນການຢັ້ງຢືນຖານະບົດບາດ, ອິດທິພົນຊື່ສຽງຂອງປະເທດສັງຄົມນິຍົມໃນເວທີສາກົນ.	Nó khẳng định vai trò và ảnh hưởng của nước xã hội chủ nghĩa trên trường quốc tế.
ໃນວິວັດການຂອງປະຫວັດສາດ, ມວນມະນຸດໄດ້ເຫັນປະຈັກຕາ ແລະຜ່ານໄລຍະ, ເຫດການຕ່າງໆໄດ້ບັງຄັບໃຫ້ພວກເຮົາຕ້ອງຮັບມືກັບວິກິດການໃນພາກພື້ນ ແລະໃນໂລກ.	Trong suốt lịch sử, loài người đã chứng kiến và theo thời gian, các sự kiện đã buộc chúng ta phải đương đầu với các cuộc khủng hoảng khu vực và toàn cầu.
ໃນ 2 ປີຜ່ານມາ, ພະຍາດໂຄວິດ-19 ໄດ້ເຮັດໃຫ້ 3,4 ລ້ານຄົນເສຍຊີວິດ;	Trong hai năm gần đây, căn bệnh 199 đã giết chết 3,4 triệu người;
“ບຸກໂຈມຕີ ທຸກດ້ານຂອງຊີວິດສັງຄົມ.	“Xâm nhập vào mọi mặt của đời sống xã hội.
ໃນສະພາບການນັ້ນ, ຫວຽດນາມ ຍັງຕ້ອງຕ້ານຄືນໄພທໍາມະຊາດ, ນໍ້າຖ້ວມ.	Trong bối cảnh đó, Việt Nam vẫn phải gồng mình chống chọi với thiên tai, bão lũ.
ແຕ່ວ່າ, ພາຍໃຕ້ການນໍາພາຂອງພັກ, ດ້ວຍການ “ຮ່ວມແຮງຮ່ວມໃຈ ຂອງທົ່ວປວງຊົນ, ຢຶດໝັ້ນເດີນຕາມເປົ້າໝາຍເອກະລາດແຫ່ງຊາດ ແລະລັດທິສັງຄົມນິຍົມໄດ້ຊ່ວຍໃຫ້ປະເທດກ້າວເດີນໄປຢ່າງໝັ້ນແກ່ນ, ຜ່ານຜ່າທຸກຄວາມຫຍຸ້ງຍາກ, ສິ່ງທົດສອບ.	Tuy nhiên, dưới sự lãnh đạo của Đảng, với “sự chung sức, chung lòng của toàn dân, kiên định mục tiêu độc lập dân tộc và chủ nghĩa xã hội, đất nước đã vượt qua mọi khó khăn, thử thách”.
ໃນຂະນະທີ່ປະສົບກັບຄວາມຫຍຸ້ງຍາກ, ຄຸນທາດ ແລະພູມປັນຍາຂອງພັກກອມມູນິດຫວຽດນາມ ຍິ່ງເສີມຂະຫຍາຍ;	Trước khó khăn, đức độ và trí tuệ của Đảng Cộng sản Việt Nam càng được củng cố;
ລັກສະນະດີເລີດຂອງລະບອບສັງຄົມນິຍົມຍິ່ງໄດ້ຮັບການຢັ້ງຢືນ;	Những nét lớn của chế độ xã hội chủ nghĩa càng được khẳng định;
ກໍາລັງແຮງຂອງຄວາມສາມັກຄີທ່ົວປວງຊົນທັງຊາດ, ພ້ອມກັບຄວາມຂະຫຍັນຂັນເຄື່ອນ, ປະດິດສ້າງຂອງຊາວຫວຽດນາມ ຍິ່ງເສີມຂະຫຍາຍ!	Sức mạnh đại đoàn kết toàn dân tộc cùng với sự cần cù, đổi mới của dân tộc Việt Nam càng được nâng cao!
ເປັນອັນວ່າ, ພວກເຮົາສາມາດຢັ້ງຢືນວ່າ ການພັດທະນາຕາມເສັ້ນທາງກ້າວຂຶ້ນສັງຄົມນິຍົມບໍ່ພຽງແຕ່ແມ່ນການເລືອກເຟັ້ນຂອງຊາດ, ແມ່ນເສັ້ນທາງຖືກຕ້ອງໜຶ່ງດຽວຂອງການປະຕິວັດຫວຽດນາມເທົ່ານັ້ນ, ຫາກຍັງແມ່ນທ່າອ່ຽງທີ່ຈໍາເປັນຂອງຍຸກສະໄໝ.	Vì vậy, chúng ta có thể khẳng định, phát triển theo con đường chủ nghĩa xã hội không chỉ là sự lựa chọn của dân tộc, là con đường đúng đắn duy nhất của cách mạng Việt Nam, mà còn là xu thế cần thiết của thời kỳ hiện đại.
ຫຼືເວົ້າຕາມແບບອື່ນ: ຜົນງານທີ່ຍິ່ງໃຫຍ່, ຄວາມຈິງທີ່ມີຊີວິດຊີວາໃນວິວັດການພັດທະນາໄດ້ສ້າງຄວາມເຊື່ອໝັ້ນທີ່ແຮງກ້າກ່ຽວກັບເສັ້ນທາງປະຕິວັດຂອງຫວຽດນາມ ອີກດ້ວຍ!	Nói cách khác: những thành tựu to lớn, những sự thật sống động trong quá trình phát triển cũng đã tạo nên niềm tin sắt đá vào con đường cách mạng Việt Nam!
ໂດຍ: ທູຈາງ.	Bởi: Tu Zhang.
