ກປ.ອອນໄລ - ກອງປະຊຸມວົງແຄບລັດຖະມົນປ້ອງກັນປະເທດບັນດາປະເທດອາຊຽນ ໄດ້ໄຂຂຶ້ນໃນຕອນເຊົ້າວັນທີ 17 ພະຈິກ, ທີ່ບາງກອກ, ປະເທດໄທ.	Hội nghị Bộ trưởng Quốc phòng ASEAN được tổ chức sáng 17/11 tại Bangkok, Thái Lan.
ທ່ານພົນເອກ ໂງຊວນລິກ ລັດຖະມົນຕີກະຊວງປ້ອງກັນປະເທດຫວຽດນາມ ກ່າວຄໍາເຫັນທີ່ ADMM ວົງແຄບ.	Đại tướng Ngô Xuân Lik, Bộ trưởng Bộ Quốc phòng Việt Nam phát biểu tại ADMM.
ພາບ: ທູຈາງ.	Ảnh: Thu Zhang
ກ່າວຄໍາເຫັນທີ່ກອງປະຊຸມ, ທ່ານພົນເອກ ໂງຊວນລິກ ສະແດງຄວາມເຫັນດີເຫັນພ້ອມກັບການແບ່ງປັນຂອງບັນດາຫົວໜ້າຄະນະ, ນັ້ນແມ່ນພາກພື້ນ ເຊິ່ງປັດຈຸບັນ ພວມປະເຊີນໜ້າກັບບັນດາສິ່ງທ້າທາຍຕໍ່ຄວາມໝັ້ນຄົງທີ່ກ່ຽວຂ້ອງກັບການທະຫານ ແລະຄວາມໝັ້ນຄົງບໍ່ແມ່ນການທະຫານ, ຮຽກຮ້ອງໃຫ້ບັນດາປະເທດພາຍໃນ ແລະນອກພາກພື້ນຕ້ອງຮ່ວມມືກັນບົນພື້ນຖານກົດບັດສະຫະປະຊາຊາດ ແລະກົດໝາຍສາກົນ ເພື່ອພ້ອມກັນແກ້ໄຂບັນດາສິິ່ງທ້າທາຍລວມ.	Phát biểu tại cuộc họp, Thượng tướng Ngô Xuân Liên nhất trí với sự phân hóa của các nhà lãnh đạo, đó là khu vực hiện đang phải đối mặt với những thách thức liên quan đến sự ổn định liên quan đến quân sự và sự bền vững phi quân sự, kêu gọi các nước trong và ngoài khu vực cùng hợp tác để thiết lập chung. đất.
ບົນພື້ນຖານນັ້ນ, ທ່ານພົນເອກ ໂງຊວນລິກ ເນັ້ນໜັກເຖິງບາງບັນຫາ ເຊິ່ງພາກພື້ນພວມປະເຊີນໜ້າ.	Trên cơ sở đó, Đại tướng Ngô Xuân Liên đã nêu bật một số vấn đề mà khu vực đang phải đối mặt.
ກ່ອນອື່ນໝົດແມ່ນການແກ່ງແຍ້ງລະຫວ່າງບັນດາປະເທດມະຫາອໍານາດໃນພາກພື້ນ ທີ່ຈະນໍາມາເຊິ່ງຄວາມສະດວກຫຼາຍຢ່າງແຕ່ກໍ່ວາງອອກບັນດາສິ່ງທ້າທາຍບໍ່ແມ່ນໜ້ອຍ.	Trước hết, đó là sự ganh đua giữa các cường quốc trong khu vực sẽ mang lại nhiều tiện ích nhưng cũng đặt ra những thách thức không hề nhỏ.
ສະນັ້ນ, ບັນດາປະເທດອາຊຽນ ຄວນເປັນເຈົ້າການ, ຕັ້ງໜ້າຊຸກຍູ້ຄວາມສາມັກຄີພາຍໃນກຸ່ມເພື່ອເສີມຂະຫຍາຍບົດບາດໃຈກາງຂອງອາຊຽນ, ພ້ອມທັງເປີດກວ້າງການຮ່ວມມືກັບພາຍນອກຜ່ານບັນດາກົນໄກຮ່ວມມືປ້ອງກັນຊາດການທະຫານໂດຍອາຊຽນ ນໍາພາ.	Do đó, các nước ASEAN cần đi đầu và thúc đẩy đoàn kết trong khối để tăng cường vai trò trung tâm của ASEAN, cũng như mở rộng hợp tác với thế giới bên ngoài thông qua các cơ chế hợp tác quốc phòng quân sự do ASEAN đứng đầu.
ບັນຍາກາດທີ່ ADMM ວົງແຄບ.	Khí quyển tại ADMM Vòng hẹp.
ພາບ: ທູຈາງ.	Ảnh: Thu Zhang
ຍົກຕົວຢ່າງກ່ຽວກັບບັນດາຄວາມເຄັ່ງຕຶງຢູ່ທະເລຕາເວັນອອກໃນໄລຍະຜ່ານມາ, ທ່ານລັດຖະມົນຕີກະຊວງປ້ອງກັນປະເທດຫວຽດນາມ ຖືວ່າ, ເພື່ອໃຫ້ທະເລຕາເວັນອອກ ກາຍເປັນທະເລແຫ່ງສັນຕິພາບ, ສະຖຽນລະພາບ ແລະພັດທະນາແບບຍືນຍົງຢ່າງແທດຈິງ, ເງື່ອນໄຂຕັດສິນຊີ້ຂາດແມ່ນກົດໝາຍສາກົນ ແລະມາດຕະຖານສາກົນ, ພິເສດແມ່ນສົນທິສັນຍາສະຫະປະຊາຊາດ ກ່ຽວກັບກົດໝາຍວ່າດ້ວຍທະເລ ປີ 1982 (UNCLOS 1982) ຕ້ອງໄດ້ຮັບການເຄົາລົບ ແລະສິ່ງນີ້ຮຽກຮ້ອງໃຫ້ມີຄໍາໝັ້ນສັນຍາຢ່າງເຂັ້ມງວດ ແລະມີຄວາມຮັບຜິດຊອບຮັກສາຂອງທຸກໆປະເທດພາຍໃນ ແລະນອກພາກພື້ນ.	Ví dụ, về căng thẳng trên Biển Đông trong thời gian qua, Thủ tướng Bộ Quốc phòng Việt Nam, để biển Đông trở thành vùng biển hòa bình, ổn định và phát triển bền vững có điều kiện thực tiễn quyết định là luật pháp quốc tế và các tiêu chuẩn quốc tế, đặc biệt là Công ước của Liên hợp quốc về Luật Biển 1982 (UNCLOS 1982) phải được tôn trọng và điều này đòi hỏi sự cam kết đối xử nghiêm túc và có trách nhiệm của tất cả các quốc gia trong và ngoài khu vực.
ໃນວັນທີ 17 ພະຈິກ, ທີ່ບາງກອກ, ທ່ານພົນເອກ ໂງຊວນລິກ ໄດ້ເຂົ້າຮ່ວມການພົບປະບໍ່ເປັນທາງການລະຫວ່າງບັນດາລັດຖະມົນຕີປ້ອງກັນປະເທດອາຊຽນ ກັບລັດຖະມົນຕີປ້ອງກັນປະເທດຈີນ;	Ngày 17/11, tại Bangkok, Đại tướng Ngô Xuân Liên đã tham dự cuộc gặp không chính thức giữa Bộ trưởng Quốc phòng các nước ASEAN và Bộ trưởng Quốc phòng Trung Quốc;
ຍີ່ປຸ່ນ ແລະອາເມລິກາ.	Nhật Bản và Hoa Kỳ.
ໃນວັນດຽວກັນ, ທ່ານພົນເອກ ໂງຊວນລິກ ໄດ້ມີການພົບປະສອງຝ່າຍກັບລັດຖະມົນຕີປ້ອງກັນປະເທດບັນດາປະເທດ: ອົດສະຕາລີ, ບຣູໄນ, ນິວຊີແລນ, ສ.ເກົາຫຼີ.	Cùng ngày, Đại tướng Ngô Xuân Liên đã có các cuộc gặp với Bộ trưởng Quốc phòng các nước Australia, Brunei, New Zealand và Hàn Quốc.
ບັນດາລັດຖະມົນຕີ ລ້ວນແຕ່ຢັ້ງຢືນສະໜັບສະໜູນກະຊວງປ້ອງກັນປະເທດຫວຽດນາມ ຈັດຕັ້ງສໍາເລັດບັນດາການເຄື່ອນໄຫວດ້ານການທະຫານ, ການປ້ອງກັນຊາດ ໃນປີທີ່ຫວຽດນາມ ດໍາລົງຕໍາແໜ່ງປະທານອາຊຽນ 2020.	Các Bộ trưởng khẳng định Bộ Quốc phòng Việt Nam đã hoàn thành các hoạt động quân sự, quốc phòng trong năm Việt Nam làm Chủ tịch ASEAN 2020.
ໂດຍ: ໄຊຊະນະ.	Bởi: Chiến thắng.
