ກປ.ອອນໄລ - ຕອນເຊົ້າວັນທີ 2 ມີນາ, ທີ່ຮ່າໂນ້ຍ, ຄະນະພັກການທະຫານສູນກາງ, ກະຊວງປ້ອງກັນປະເທດ ໄດ້ຈັດຕັ້ງພິທີສະເຫຼີມສະຫຼອງວັນສ້າງຕັ້ງທະຫານຊາຍແດນ ຄົບຮອບ 60 ປີ (3-3-1959 / 3-3-2019), 30 ປີແຫ່ງວັນທົ່ວປວງຊົນປ້ອງກັນຊາຍແດນ (3-3-1989 / 3-3-2019) ແລະປະດັບຫຼຽນໄຊວິລະກໍາ ຊັ້ນ I ໃຫ້ແກ່ທະຫານຊາຍແດນ.	Blog - ngày 2 tháng 3, tại Hà Nội, Sở Phòng thủ Biên phòng.
ຕັ້ງໜ້າເຂົ້າຮ່ວມການກໍ່ສ້າງ, ປັບປຸງລະບົບການເມືອງຢູ່ຂັ້ນຮາກຖານ, ພ້ອມກັບປະຊາຊົນເຂດຊາຍແດນພັດທະນາເສດຖະກິດ-ສັງຄົມ, ຍົກສູງລະດັບຄວາມຮູ້ຂອງປະຊາຊົນ...	Theo chiều dọc để xây dựng, cải thiện hệ thống chính trị, cùng với biên giới kinh tế xã hội, người dân cải thiện kiến thức về người ...
ທ່ານພົນເອກ ໂງຊວນລິກ, ລັດຖະມົນຕີກະຊວງປ້ອງກັນປະເທດ ກ່າວຄໍາເຫັນທີ່ພິທີ.	Tướng Úc, Bộ trưởng Bộ Quốc phòng cho biết lễ.
ພາບ: qdnd.vn.	Ảnh: QĐND.VN.
ກ່າວຄໍາເຫັນທີ່ພິທີ, ຕາງໜ້າຄະນະພັກການທະຫານສູນກາງ, ການນໍາກະຊວງປ້ອງກັນປະເທດ ແລະພະນັກງານ, ນັກຮົບໃນທົ່ວກອງທັບ, ທ່ານພົນເອກ ໂງຊວນລິກ ໄດ້ສະແດງຄວາມຮູ້ບຸນຄຸນອັນເລິກເຊິ່ງຕໍ່ຄວາມເອົາໃຈໃສ່ຂອງ ພັກ, ລັດ, ແນວໂຮມປະເທດຊາດຫວຽດນາມ...	Nói về các nghi lễ, đại diện cho Hội đồng quân sự Trung ương, Bộ Quốc phòng và Nhân viên trong suốt Đảng, Đại tướng, Việt Nam)
ແລະປະຊາຊົນໃນທົ່ວປະເທດທີ່ມີຕໍ່ກອງທັບເວົ້າລວມ, ທະຫານຊາຍແດນເວົ້າສະເພາະ.	Và những người trên khắp đất nước chống lại các cuộc đàm phán quân đội, những người lính biên giới.
ທ່ານພົນເອກ ໂງຊວນລິກ, ລັດຖະມົນຕີກະຊວງປ້ອງກັນປະເທດ, ຕາງໜ້າຄະນະພັກການທະຫານສູນກາງ, ກະຊວງປ້ອງກັນປະເທດ ມອບທຸງໄຊໃຫ້ແກ່ທະຫານຊາຍແດນ ດ້ວຍເນື້ອໃນຂຽນວ່າ: ທະຫານຊາຍແດນ “ມີຄວາມຈົ່ງຮັກພັກດີ.	Tướng Australia, Bộ trưởng Bộ Quốc phòng, Cộng hòa Khu nghỉ dưỡng Quân sự Quốc phòng, "Người lính biên giới.
ມີຄວາມສາມັກຄີ, ມີລະບຽບວິໄນ.	Đoàn kết, với kỷ luật.
ປ່ຽນແປງໃໝ່ຢ່າງມີຫົວຄິດປະດິດສ້າງ.	Thay đổi lại với một phát minh.
ມີຄວາມສະຫງົບຢູ່ເຂດຊາຍແດນ.	Có hòa bình trong biên giới.
ພາບ: qdnd.vn.	Ảnh: QĐND.VN.
ຄະນະພັກການທະຫານສູນກາງ, ກະຊວງປ້ອງກັນປະເທດ ຮັບເອົາ ແລະຊາບຊຶມ, ຜັນຂະຫຍາຍການປະຕິບັດບັນດາການຊີ້ນໍາຂອງນາຍົກລັດຖະມົນຕີ ຢ່າງເຂັ້ມງວດ ແລະມີປະສິດທິຜົນ;	Đảng quân sự trung ương được chấp nhận và hấp thụ, hành động chỉ đạo nghiêm ngặt và hiệu quả của Thủ tướng và hiệu quả;
ສຸມໃສ່ຊາບຊຶມກໍາແໜ້ນໜ້າທີ່, ປະຕິບັດພາລະໜ້າທີ່ເປັນເສນາທິການໃຫ້ ພັກ, ລັດ ກ່ຽວກັບໜ້າທີ່ການທະຫານ, ການປ້ອງກັນຊາດເປັນຢ່າງດີ;	Tập trung vào nhiệm vụ, thực hiện các chức năng của Đảng cho Đảng, Nhà nước về Nhiệm vụ quân sự, Quyền phòng thủ;
ຍົກສູງຄຸນນະພາບສັງລວມ, ກໍາລັງແຮງສູ້ຮົບຂອງທົ່ວກອງທັບ;	Xâm nhập chất lượng của Survarium, Battle Lực lượng trong toàn quân đội;
ປະຕິບັດວຽກງານຂົນຂວາຍມະຫາຊົນ, ແກ້ໄຂຜົນຮ້າຍຢ້ອນຫຼັງຈາກໄພທໍາມະຊາດ, ລົບລ້າງຄວາມອຶດຫິວ, ຫຼຸດຜ່ອນຄວາມທຸກຍາກຢ່າງບໍ່ຢຸດຢັ້ງ;	Thực hiện các chiến dịch hàng loạt, giải quyết trị liệu từ thiên tai, loại bỏ đói, giảm nghèo;
ຍົກສູງຄຸນນະພາບ, ປະສິດທິພາບວຽກງານຊາຍແດນ, ວຽກງານພົວພັນຕ່າງປະເທດດ້ານປ້ອງກັນຊາດເປັນຢ່າງດີ...	Để cải thiện chất lượng, công việc biên giới hiệu quả, quan hệ quốc phòng ...
ເນື່ອງໃນໂອກາດນີ້, ທ່ານພົນເອກ ໂງຊວນລິກ ໄດ້ມອບທຸງໄຊຂອງຄະນະພັກການທະຫານສູນກາງ, ກະຊວງປ້ອງກັນປະເທດ ໃຫ້ແກ່ທະຫານຊາຍແດນ ດ້ວຍເນື້ອໃນຂຽນວ່າ: ທະຫານຊາຍແດນ “ມີຄວາມຈົ່ງຮັກພັກດີ.	Nhân dịp này, Tướng Austich đã đưa ra một lá cờ đảng quân sự trung ương, Bộ Quốc phòng, Quận, "Lính biên giới.
ມີຄວາມສາມັກຄີ, ມີລະບຽບວິໄນ.	Đoàn kết, với kỷ luật.
ປ່ຽນແປງໃໝ່ຢ່າງມີຫົວຄິດປະດິດສ້າງ.	Thay đổi lại với một phát minh.
ມີຄວາມສະຫງົບຢູ່ເຂດຊາຍແດນ.	Có hòa bình trong biên giới.
ໂດຍ: ໄຊຊະນະ.	Bởi: chiến thắng.
