ກປ.ອອນໄລ - ຫວຽດນາມ ເກັບກູ້ໄດ້ຜົນປະໂຫຍດຫຼາຍຢ່າງຈາກການເປີດກວ້າງສາຍພົວພັນການຄ້າ ແລະລົງທຶນກັບບັນດາປະເທດ.	Việt Nam đã gặt hái được nhiều lợi ích từ việc mở rộng quan hệ thương mại và đầu tư với các nước.
ຊີ້ອອກບັນດາສິ່ງທ້າທາຍເຊິ່ງວິສາຫະກິດຂະໜາດນ້ອຍ ແລະກາງຕ້ອງປະເຊີນໜ້າເມື່ອເຂົ້າຮ່ວມບັນດາການເຄື່ອນໄຫວການຄ້າສາກົນ, ທ່ານ ຟ້າມຮວ່າງຕ໋ຽນ, ຜູ້ອໍານວຍການສູນໜູນຊ່ວຍວິສາຫະກິດຂະໜາດນ້ອຍ ແລະກາງ, ຫ້ອງການຄ້າ ແລະອຸດສາຫະກໍາຫວຽດນາມ ຊີ້ແຈ້ງວ່າ, ປະຊາຄົມວິສາຫະກິດນີ້ຍັງບໍ່ມີແຫຼ່ງກໍາລັງດ້ານການເງິນພຽງພໍເທື່ອເພື່ອເຂົ້າຮ່ວມລະບົບຕອບສະໜອງໃນທົ່ວໂລກ.	Chỉ ra những thách thức mà doanh nghiệp nhỏ và vừa phải đối mặt khi tham gia hoạt động thương mại quốc tế, ông Phạm Hoàng Tiến, Giám đốc Trung tâm Hỗ trợ doanh nghiệp nhỏ và vừa, Phòng Thương mại và Công nghiệp Việt Nam cho rằng, cộng đồng doanh nghiệp toàn cầu chưa đầy đủ hòa nhập vào cộng đồng quốc tế.
ດ້ານອື່ນ, ວິສາຫະກິດຂະໜາດນ້ອຍ ແລະກາງຍັງປະສົບກັບຄວາມຫຍຸ້ງຍາກໃນການເປັນກໍາມະສິດຖັນແຖວພະນັກງານມີລະດັບຄວາມຮູ້, ບົດຮຽນຢ່າງພຽງພໍເພື່ອປະຕິບັດແລກປ່ຽນຄ້າຂາຍສາກົນ ແລະເຄົາລົບບັນດາຫຼັກການການຄ້າສາກົນ.	Mặt khác, các doanh nghiệp vừa và nhỏ vẫn gặp khó khăn trong việc sở hữu một đội ngũ nhân viên được đào tạo bài bản, có đầy đủ bài học kinh nghiệm thực hành thương mại quốc tế và tôn trọng các nguyên tắc thương mại quốc tế.
ຫຼັກຖານກ່ຽວກັບການພິນິດໄສນີ້, ທ່ານນາງ ຟ້າມທູຮັ່ງ, ເລຂາທິການໃຫຍ່ຫ້ອງການຄ້າ ແລະອຸດສາຫະກໍາ ໃຫ້ຮູ້ວ່າ, ບັນດາວິສາຫະກິດຂະໜາດນ້ອຍ ແລະກາງປະກອບສ່ວນຢ່າງແຮງໃຫ້ບັນດາການເຄື່ອນໄຫວການຄ້າ, ສ້າງວຽກເຮັດງານທໍາ, ຊຸກຍູ້ການເຕີບໂຕດ້ານເສດຖະກິດ ຫວຽດນາມ.	Theo bà Phạm Thu Hằng, Tổng Thư ký Bộ Thương mại và Công nghiệp, các doanh nghiệp nhỏ và vừa đóng góp vào thương mại, tạo việc làm và tăng trưởng kinh tế ở Việt Nam.
ເຖິງຢ່າງໃດກໍ່ຕາມ, ອັດຕາສ່ວນວິສາຫະກິດຂະໜາດນ້ອຍ ແລະກາງ ຫວຽດນາມ ເຂົ້າຮ່ວມການຄ້າສາກົນຍັງຕ່ຳຢູ່ເມື່ອທຽບໃສ່ກັບບັນດາປະເທດໃນພາກພື້ນ.	Tuy nhiên, tỷ lệ doanh nghiệp nhỏ và vừa của Việt Nam tham gia thương mại quốc tế còn thấp so với các nước trong khu vực.
ຄຽງຂ້າງນັ້ນ, ອັດຕາສ່ວນວິສາຫະກິດຂະໜາດນ້ອຍ ແລະກາງ ຫວຽດນາມ ເຂົ້າຮ່ວມເຄືອຂ່າຍການຄ້າໃນທົ່ວໂລກຍັງຕໍ່າ, ກວມເອົາພຽງແຕ່ປະມານ 21%.	Ngoài ra, tỷ lệ doanh nghiệp vừa và nhỏ của Việt Nam tham gia vào mạng lưới thương mại toàn cầu còn thấp, chỉ chiếm 21%.
ທ່ານ ມາກກ໋ວກແອງ, ຮອງປະທານ, ເລຂາທິການໃຫຍ່ສະຫະສະມາຄົມວິສາຫະກິດຂະໜາດນ້ອຍ ແລະກາງ ຮ່າໂນ້ຍ ສະໜອງຕື່ມວ່າ, ຕາມການສ່ອງແສງຂອງບັນດາວິສາຫະກິດ, ມີ 62% ບັນດາວິສາຫະກິດປະສົບກັບຄວາມຫຍຸ້ງຍາກໃນການຊອກຫາລູກຄ້າ.	Ông Mark Quốc Anh, Phó Chủ tịch kiêm Tổng Thư ký Hiệp hội Doanh nghiệp nhỏ và vừa Hà Nội cho biết, 62% doanh nghiệp gặp khó khăn trong việc tìm kiếm khách hàng.
ຄວນມີອົງການທີ່ມີຄວາມໄວ້ເນື້ອເຊື່ອໃຈຮ່ວມສຳພັນກັບວິສາຫະກິດຂະໜາດນ້ອຍ ແລະກາງ	Cần có một tổ chức đáng tin cậy liên kết với các doanh nghiệp vừa và nhỏ
ຊຸມປີມໍ່ໆມານີ້, ລັດຖະບານໄດ້ປະກາດໃຊ້ຫຼາຍນະໂຍບາຍໜູນຊ່ວຍວິສາຫະກິດຂະໜາດນ້ອຍ ແລະກາງພັດທະນາຄືປັບປຸງສະພາບແວດລ້ອມແຫ່ງການດໍາເນີນທຸລະກິດ, ຍົກສູງກຳລັງຄວາມສາມາດໃນການແກ່ງແຍ້ງເພື່ອໃຫ້ບັນດາວິສາຫະກິດມີເງື່ອນໄຂສະດວກກວ່າໃນການເຊື່ອມໂຍງເຂົ້າກັບສາກົນ.	Trong những năm gần đây, Chính phủ đã công bố một số chính sách hỗ trợ phát triển doanh nghiệp nhỏ và vừa như cải thiện môi trường kinh doanh, nâng cao năng lực cạnh tranh để doanh nghiệp hội nhập quốc tế sâu rộng hơn.
ສິ່ງທີ່ໜ້າເອົາໃຈໃສ່ແມ່ນເລື່ອງລັດຖະບານໄດ້ປະຕິຮູບຮອບດ້ານບັນດາການກໍານົດກ່ຽວກັບເງື່ອນໄຂດໍາເນີນທຸລະກິດ, ປ່ຽນແປງໃໝ່ວຽກງານຄຸ້ມຄອງວິຊາສະເພາະກັບສິນຄ້າ, ປ່ຽນແປງໃໝ່ການບໍລິການນໍາເຂົ້າ-ສົ່ງອອກຕາມທຳນຽມສາກົນຢ່າງຂ້ຽວຂາດ.	Điều quan trọng cần lưu ý là Chính phủ đã cải cách toàn diện các quy định về điều kiện kinh doanh, thay đổi trọng tâm quản lý nghiệp vụ hàng hóa và dịch vụ, chuyển trọng tâm sang dịch vụ xuất nhập khẩu theo tiêu chuẩn quốc tế.
ເຖິງຢ່າງໃດກໍ່ຕາມ, ຕາມທ່ານ ຟ້າມຮວ່າງຕ່ຽນ ແລ້ວ, ບັນດາການໜູນຊ່ວຍຈາກລັດຖະບານຍັງຄົງມີລັກສະນະມະຫາພາກ, ວິສາຫະກິດຄວນມີບັນດາມາດຕະການທີ່ລະອຽດ, ແທດຈິງ.	Tuy nhiên, theo ông Phạm Hoàng Tiến, sự hỗ trợ của Chính phủ vẫn mang tính chất vĩ mô, doanh nghiệp cần có những biện pháp cụ thể, sát thực.
ພິເສດ, ເມື່ອປະຕິບັດການຄ້າສາກົນ, ບັນດາວິສາຫະກິດຄວນມີບັນດາມາດຕະການຊໍາລະເງິນຮອບດ້ານ, ການບໍລິການເງິນຕາຕ່າງປະເທດຢ່າງມີປະສິດທິຜົນ, ປອດໄພ.	Đặc biệt, khi thực hiện thương mại quốc tế, doanh nghiệp cần có các biện pháp thanh toán toàn diện, dịch vụ ngoại hối hiệu quả và an toàn.
ສິ່ງນີ້ຄວນມີການເຂົ້າຮ່ວມຂອງບັນດາວິສາຫະກິດທີ່ກ່ຽວຂ້ອງຄືທະນາຄານ, logistics, ການບໍລິການນໍາເຂົ້າ-ສົ່ງອອກ...	Điều này cần có sự tham gia của các doanh nghiệp liên quan như ngân hàng, logistics, dịch vụ xuất nhập khẩu ...
ສະນັ້ນ, ບັນດາວິສາຫະກິດຄວນຈັດຕັ້ງອົງການໄກ່ເກ່ຍເພື່ອຮ່ວມສຳພັນ, ໜູນຊ່ວຍວິສາຫະກິດຂະໜາດນ້ອຍ ແລະກາງໃນການຄ້າສາກົນ.	Vì vậy, doanh nghiệp nên thành lập cơ quan hòa giải để hợp tác, hỗ trợ doanh nghiệp vừa và nhỏ trong thương mại quốc tế.
ນັກຊ່ຽວຊານດ້ານເສດຖະກິດ ຫວໍຈີ໋ແທ່ງ ຖືວ່າ, ຄຽງຂ້າງການຍົກສູງສະພາບແວດລ້ອມແຫ່ງການລົງທຶນດໍາເນີນທຸລະກິດນັ້ນບົດບາດຂອງລັດໃນການພັດທະນາວິສາຫະກິດຂະໜາດນ້ອຍ ແລະກາງແມ່ນສໍາຄັນທີ່ສຸດ, ຄືສາມາດເປັນກໍາມະການ, ປົກປ້ອງສິດຊັບສິນຂອງສ່ວນບຸກຄົນ, ເປັນເຈົ້າການໃນການແລກປ່ຽນຄ້າຂາຍສາກົນ.	Theo chuyên gia kinh tế Võ Chí Thành, bên cạnh việc cải thiện môi trường đầu tư kinh doanh, vai trò của nhà nước đối với sự phát triển của doanh nghiệp nhỏ và vừa là rất quan trọng, chẳng hạn như tư cách thành viên, bảo vệ quyền tài sản cá nhân, đi đầu trong lĩnh vực thương mại quốc tế.
ພິເສດ, ບັນຫາໜູນຊ່ວຍການເງິນໃຫ້ວິສາຫະກິດຈາກຝ່າຍທະນາຄານ ແລະອົງການຈັດຕັ້ງສິນເຊື່ອກໍ່ສໍາຄັນທີ່ສຸດ.	Trong đó, vấn đề hỗ trợ tài chính cho doanh nghiệp từ các ngân hàng, tổ chức tín dụng là rất quan trọng.
ກໍ່ຕາມທ່ານ ຫວໍຈີ໋ແທ່ງ ແລ້ວ, ບັນດາວິສາຫະກິດຂະໜາດນ້ອຍ ແລະກາງ, ປະຈຸບັນແມ່ນຍາກທີ່ຈະສໍາຜັດກັບແຫຼ່ງທຶນທະນາຄານຍ້ອນກຳລັງຄວາມສາມາດດ້ານຊັບສົມບັດບໍ່ສູງ, ຈໍາກັດການອະພິປາຍກ່ຽວກັບຄວາມເປັນໄປໄດ້ຂອງໂຄງການກໍ່ຄືແຜນການຜະລິດດໍາເນີນທຸລະກິດຂອງຕົນເພື່ອເກ້ຍກ່ອມທະນາຄານໜູນຊ່ວຍ.	Theo ông Võ Chí Thành, các doanh nghiệp vừa và nhỏ hiện khó tiếp cận các nguồn vốn ngân hàng do năng lực tài sản thấp, hạn chế tính khả thi của dự án cũng như phương án sản xuất kinh doanh của họ để lôi kéo các ngân hàng trợ giá.
ພິເສດ, ວິສາຫະກິດຂະໜາດນ້ອຍ ແລະກາງຍັງບໍ່ທັນເຊື່ອມຕໍ່ກັບບັນດາວິສາຫະກິດ “ນໍາໜ້າ.	Đặc biệt, các doanh nghiệp nhỏ và vừa chưa kết nối được với các doanh nghiệp “nước”.
ເປັນຢ່າງດີເທື່ອ.	Chà.
ການເຊື່ອມຕໍ່ຂອງບັນດາກຸ່ມບໍລິສັດໃຫຍ່, ບັນດາວິສາຫະກິດນໍາໜ້າ, ຍັງອ່ອນດ້ອຍສະນັ້ນຄວາມເຊື່ອໝັ້ນຂອງທະນາຄານບໍ່ສູງ.	Sự liên kết của các nhóm công ty lớn, doanh nghiệp ngành nước còn yếu nên niềm tin của ngân hàng chưa cao.
ສະນັ້ນ, ລັດຄວນມີບັນດາໂຄງການໜູນຊ່ວຍ, ສ້າງບັນດາອົງການມີຄວາມໄວ້ວາງໃຈໃຫ້ວິສາຫະກິດສາມາດກູ້ຢືມແຫຼ່ງທຶນທະນາຄານ.	Vì vậy, nhà nước cần có các chương trình hỗ trợ, thành lập các tổ chức ủy thác để doanh nghiệp có thể vay vốn ngân hàng.
ແປໂດຍ: ເກື່ອງດັ້ງ.	Dịch bởi: Cuong Dang.
