ກປ.ອອນໄລ - ວັນທີ 7 ພະຈິກ, ຢູ່ຈັດຕຸລັດແດງ, ລັດເຊຍ ໄດ້ວາດພາບບັນດາຮູບພາບກ່ຽວກັບການສວນສະໜາມຄັ້ງປະຫວັດສາດປີ 1941.	Ngày 7/11, tại Quảng trường Đỏ, Nga đã vẽ những bức tranh về công viên lịch sử năm 1941.
ມີພະນັກງານ, ນັກຮົບທັງໝົດປະມານ 30.000 ຄົນ, ປືນໃຫຍ່ທຸກປະເພດ 140 ກະບອກ;	Có khoảng 30.000 người, tất cả binh lính, 140 viên đạn pháo các loại;
ລົດຕັງ 160 ຄັນ ແລະ 232 ພາຫະນະການທະຫານເຂົ້າຮ່ວມການສວນສະໜາມ.	160 xe và 232 xe quân sự đã tham gia cuộc khảo sát.
79 ປີກ່ອນ, ຢູ່ຈັດຕຸລັດແດງ ໄດ້ດໍາເນີນພິທີສວນສະໜາມຄັ້ງປະຫວັດສາດ.	Cách đây 79 năm, một buổi lễ lịch sử của khu vườn đã được tổ chức tại Quảng trường Đỏ.
ພາຍຫຼັງພິທີສວນສະໜາມ, ບັນດາກົມກອງ ໄດ້ເຄື່ອນທັບອອກສູ່ສະໜາມຮົບ.	Sau buổi lễ, các sư đoàn hành quân ra trận địa.
ພາບ: qdnd.vn	Ảnh: qdnd.vn
ເວລາ 8 ໂມງ 10 ນາທີຂອງວັນທີ 7 ພະຈິກ 1941, ບັນດາວິທະຍຸກະຈາຍສຽງຂອງໂຊວຽດ ເລີ່ມເປີດບົດກ່າວປາໄສຂອງຜູ້ບັນຊາການທະຫານສູນສຸດ Joseph Stalin ຕໍ່ໜ້າບັນດາຜູ້ເຂົ້າຮ່ວມການສວນສະໜາມ.	Vào lúc 8:10 sáng ngày 7 tháng 11 năm 1941, các đài phát thanh Liên Xô bắt đầu phát bài phát biểu của Tổng tư lệnh Joseph Stalin cho những người tham gia công viên.
ພາຍຫຼັງພິທີສວນສະໜາມ, ບັນດາກົມກອງ ໄດ້ອອກສູ່ສະໜາມຮົບ ເພາະເວລານັ້ນ ຟາດຊິດ ເຢຍລະມັນ ພຽງແຕ່ຫ່າງຈາກນະຄອນຫຼວງປະມານ 30 ກິໂລແມັດ ເທົ່ານັ້ນ.	Lễ xong quân ra trận vì lúc đó phát xít Đức chỉ cách thủ đô khoảng 30 cây số.
ຫຼັງຈາກນັ້ນ, ກອງທັບແດງ ໄດ້ຕີເອົາຊະນະບັນດາທິດບຸກໂຈມຕີຂອງຟາດຊິດ ເຢຍລະມັນ, ເຮັດໃຫ້ສະຖານະການຢູ່ສະໜາມຮົບມີການປ່ຽນແປງ.	Sau đó, Hồng quân đã đánh bại quân xâm lược Phát xít Đức, làm thay đổi cục diện trên chiến trường.
ຍ້ອນແນວນັ້ນ, ພິທີສວນສະໜາມໃນຈັດຕະລັດແດງໃນປີ 1941 ໄດ້ຮັບຖືວ່າແມ່ນ ເຫດການການເມືອງສໍາຄັນສໍາລັບກອງທັບແດງ ແລະສະຫະພາບໂຊວຽດ, ສະຫະພັນລັດເຊຍ ນັບແຕ່ນັ້ນມາຮອດປັດຈຸບັນ.	Do vậy, lễ kỷ niệm Chữ thập đỏ năm 1941 được coi là sự kiện chính trị quan trọng đối với Hồng quân và Liên Xô, Liên bang Nga kể từ đó.
ໂດຍ: ໄຊຊະນະ.	Bởi: Chiến thắng.
