ກປ.ອອນໄລ - ເນື່ອງໃນໂອກາດທ່ານ ຫງວຽນຝູຈ້ອງ ເລຂາທິການໃຫຍ່, ປະທານປະເທດຫວຽດນາມ ສິ້ນສຸດການຢ້ຽມຢາມສັນຖະວະໄມຕີ ສປປ ລາວ ຢ່າງເປັນທາງການ ແລະຢ້ຽມຢາມທາງລັດຖະກິດລາຊະອານາຈັກກໍາປູເຈຍ ປະສົບຜົນສຳເລັດຢ່າງຈົບງາມ, ທ່ານ ຮວ່າງບິ່ງກວນ, ກໍາມະການສູນກາງພັກ, ຫົວໜ້າຄະນະພົວພັນຕ່າງປະເທດສູນກາງພັກ ໄດ້ຕອບສໍາພາດຕໍ່ສື່ມ່ວນຊົນກ່ຽວກັບບັນດາໝາກຜົນພົ້ນເດັ່ນຂອງການຢ້ຽມຢາມ.	Thuy Phú Trọng Tổng Tổng thư ký, Tổng thống Vương quốc Bambian, đứng đầu đại diện vacco, PDR Lào)
ທີໜຶ່ງ, ການຢ້ຽມຢາມໄດ້ເປັນການຢັ້ງຢືນໃຫ້ເຫັນການຖືເປັນສໍາຄັນ ແລະຄວາມຕັດສິນໃຈຂອງການນໍາ 3 ປະເທດໃນການປັບປຸງຄວາມໄວ້ເນື້ອເຊື່ອໃຈດ້ານການເມືອງແບບພິເສດຢ່າງບໍ່ຢຸດຢັ້ງ, ເພີ່ມພູນຄູນສ້າງນໍ້າໃຈສາມັກຄີມິດຕະພາບ ແລະການຮ່ວມມືຮອບດ້ານລະຫວ່າງຫວຽດນາມ - ລາວ ແລະຫວຽດນາມ - ກໍາປູເຈຍ ໃຫ້ນັບມື້ນັບສະໜິດແໜ້ນ ແລະເລິກເຊິ່ງ.	Đầu tiên, xác nhận thị giác của Việt Nam, Lào và Campuchia, yêu cầu và sự lãnh đạo và hậu quả của Campuchia của Công ước và Campuchia.
ການນໍາຂັ້ນສູງສອງປະເທດຢືນຢັນວ່າຍາມໃດກໍຖືເປັນສໍາຄັນການພົວພັນກັບຫວຽດນາມ ແມ່ນການພົວພັນແບບພິເສດ, ການພົວພັນໄດ້ຮັບການກໍ່ຕັ້ງ, ເພີ່ມພູນຄູນສ້າງດ້ວຍການເສຍສະຫຼະເລືອດເນື້ອຂອງບັນດານັກຮົບ ແລະປະຊາຊົນແຕ່ລະປະເທດ, ແມ່ນກໍາລັງແຮງ ແລະປັດໄຈຕັນສິນພາລະກິດປົກປັກຮັກສາ ແລະສ້າງສາປະເທດຊາດຢູ່ແຕ່ລະປະເທດ;	Hai phân khúc xác nhận nó quan trọng đối với Việt Nam, tích lũy và người dân bị ngăn cản và quốc gia của đất nước.
ນັກຂ່າວ: ດ້ວຍໝາກຜົນຂອງການຢ້ຽມຢາມ, ທ່ານມີຂໍ້ສັງເກດຄືແນວໃດກ່ຽວກັບແງ່ຫວັງໃນການພົວພັນຫວຽດນາມ - ລາວ ແລະຫວຽດນາມ - ກໍາປູເຈຍ?	Các nhà báo: Với thành quả của một chuyến thăm, làm thế nào để bạn có thể đáng chú ý về Việt Nam-Lào và Việt Nam - Việt Nam - Việt Nam - Việt Nam - Việt Nam - Việt Nam - Việt Nam - Việt Nam - Lào!
ທ່ານ ຮວ່າງບິ່ງກວນ: ການພົວພັນຂອງຫວຽດນາມ ກັບ ລາວ ແລະກໍາປູເຈຍ ລ້ວນແຕ່ມີຄວາມສະດວກໂດຍພື້ນຖານ, ນັ້ນແມ່ນຄວາມໄວ້ເນື້ອເຊື່ອໃຈດ້ານການເມືອງສູງ, ປະຊາຊົນມີຄວາມສະໜິດຕິດພັນແບບເລືອດເນື້ອໃນປະຫວັດສາດ;	Mối quan hệ của Việt Nam và Campuchia với Lào và Campuchia, đó là một sự tự tin chính trị cao, nội dung công cộng.
ບັນດາຝ່າຍໄດ້ພ້ອມກັນແບ່ງປັນຜົນປະໂຫຍດ ແລະທັດສະນະຄ້າຍຄືກັນ, ມີຄວາມສາມາດບົ່ມຊ້ອນໃນການຮ່ວມມືທີ່ອາດສາມາດເພີ່ມເຕີມ, ໜູນຊ່ວຍໃຫ້ແກ່ກັນໃນວິວັດການພັດທະນາ.	Các bên cũng được chia sẻ lợi ích và thái độ tương tự trong sự hợp tác tiềm năng trong hợp tác có thể được phát triển trong phát triển.
ການນໍາຂັ້ນສູງຂອງລາວ ແລະກໍາປູເຈຍ ລ້ວນແຕ່ຖືເປັນສໍາຄັນພິເສດການພົວພັນກັບຫວຽດນາມ.	Sự tiến bộ của ông và Campuchia đã được tổ chức đầy đủ ở Việt Nam.
ນີ້ແມ່ນບັນດາພື້ນຖານອັນໜັກແໜ້ນ, ດົນນານເພື່ອຊຸກຍູ້ ແລະເປີດກວ້າງບັນດາຂົງເຂດຮ່ວມມື.	Đây là một cơ sở rất mạnh, dài để khuyến khích và hợp tác cởi mở.
ດ້ານອື່ນ, ການຢ້ຽມຢາມຄັ້ງນີ້ຂອງທ່ານ ຫງວຽນຝູຈ້ອງ ໄດ້ນໍາມາເຊິ່ງຄວາມຮັບຮູ້ລວມທີ່ສໍາຄັນຫຼາຍຢ່າງທັງມີລັກສະນະຍຸດທະສາດ, ກໍານົດທິດຍາວນານໃຫ້ແກ່ການພົວພັນລະຫວ່າງຫວຽດນາມ ກັບສອງປະເທດໃນໄລຍະໃໝ່, ທັງຊີ້ນໍາບັນດາມາດຕະການລະອຽດເພື່ອແນໃສ່ແກ້ໄຂຂໍ້ຄົງຄ້າງ, ຕິດຂັດຢ່າງທັນການ.	Phía bên kia, chuyến thăm Nguyễn Phú Trọng đã được đưa đến một vấn đề rất quan trọng, cả hai chi tiết về điều chỉnh, bao gồm các biện pháp chi tiết.
ບັນດາຄວາມສະດວກນີ້ພ້ອມກັບບັນດາໝາກຜົນສໍາຄັນ ແລະຮອບດ້ານທີ່ບັນລຸໄດ້ໃນການຢ້ຽມຢາມຄັ້ງນີ້ ແນ່ໃຈວ່າຈະສ້າງພື້ນຖານອັນໜັກແໜ້ນ ແລະເປັນພະລັງແຮງຊຸກຍູ້ສາຍພົວພັນມິດຕະພາບອັນຍິ່ງໃຫຍ່, ຄວາມສາມັກຄີແບບພິເສດ ແລະການຮ່ວມມືຮອບດ້ານລະຫວ່າງ ຫວຽດນາມ ກັບ ລາວ ແລະສາຍພົວພັນມິດຕະພາບທີ່ເປັນມູນເຊື້ອ, ການຮ່ວມມືຮອບດ້ານ, ຍືນຍົງຍາວນານກັບ ກໍາປູເຈຍ ໃຫ້ນັບມື້ນັບພັດທະນາເຂົ້າສູ່ລວງເລິກ, ມີປະສິດທິຜົນ ແລະແທດຈິງ.	Sự tiện lợi này cùng với các mối quan hệ quan trọng và liên tiếp nhất, và sự hợp tác toàn diện với sự hợp tác của luật và chủ động.
ຂໍຂອບໃຈ!	Cảm ơn!
ໂດຍ: ໄຊຊະນະ.	Bởi: chiến thắng.
