ກປ.ອອນໄລ - ຄະນະກໍາມະການແຫ່ງຊາດອາຊຽນ 2020 ໄດ້ສະເໜີຕົວຢ່າງເປັນທາງການ ແລະປະຊຸມວາລະທໍາອິດຢູ່ຮ່າໂນ້ຍ.	Ủy ban Quốc gia ASEAN 2020 đã chính thức ra mắt và họp phiên đầu tiên tại Hà Nội.
ທ່ານ ຫງວຽນກວກຢູ້ງ ເນັ້ນໜັກວ່າ “ເຖິງຢ່າງໃດກໍ່ຕາມ, ພວກຂ້າພະເຈົ້າເຫັນໄດ້ວ່າຫົວຂໍ້ ແລະຈຸດສຸມບຸລິມະສິດຂອງຫວຽດນາມ ໃນປີເປັນປະທານອາຊຽນ 2020 ຕ້ອງຕອບສະໜອງບາງມາດຖານ, ໃນນັ້ນຕ້ອງສືບທອດຊຸມປີກ່ອນ, ເປັນຕົ້ນແມ່ນປີເປັນປະທານອາຊຽນຂອງຟີລິບປິນ, ສິງກະໂປ ແລະໄທ.	Nguyễn Quốc Dũng nhấn mạnh: “Tuy nhiên, chúng tôi thấy rằng chủ đề và ưu tiên của Việt Nam trong cương vị Chủ tịch ASEAN 2020 phải đáp ứng một số tiêu chí nhất định, kể cả kế thừa những năm trước, như chức Chủ tịch ASEAN của Philippines, Singapore và Thái Lan.
ພ້ອມກັນນັ້ນ, ຫົວຂໍ້ ແລະຈຸດສຸມບຸລິມະສິດຕ້ອງກົມກຽວກັບຄວາມເອົາໃຈໃສ່ລວມຂອງບັນດາປະເທດສະມາຊິກອາຊຽນ ກໍ່ຄື ບັນດາຄູ່ຮ່ວມມືຂອງອາຊຽນ, ຕອບສະໜອງ ແລະເໝາະສົມກັບຜົນປະໂຫຍດຂອງຫວຽດນາມ.	Đồng thời, các chủ đề và ưu tiên phải phù hợp với lợi ích chung của các quốc gia thành viên ASEAN cũng như các đối tác ASEAN, đáp ứng và phù hợp với lợi ích của Việt Nam.
ຫົວຂໍ້ຕ້ອງຕອບສະໜອງການກໍ່ສ້າງປະຊາຄົມ, ຕ້ອງຄິດໄລ່ເຖິງການພົວພັນ, ຖານະບົດບາດຂອງອາຊຽນ, ການປັບຕົວຂອງອາຊຽນໃນສະພາບພາກພື້ນ ແລະສາກົນພວມມີການປ່ຽນແປງ.	Chủ đề là xây dựng cộng đồng, coi trọng mối quan hệ, vai trò của ASEAN, sự thích ứng của ASEAN trong bối cảnh quốc tế và khu vực đang thay đổi.
ທ່ານ ຫງວຽນກວກຢູ້ງ ຖືວ່າ, ການຮັບດໍາລົງຕໍາແໜ່ງເປັນປະທານອາຊຽນ 2020 ທັງແມ່ນຄວາມຮັບຜິດຊອບ, ທັງແມ່ນກາລະໂອກາດສໍາລັບຫວຽດນາມ.	Theo ông Nguyễn Quốc Dũng, đảm nhận cương vị chủ tịch ASEAN 2020 vừa là trách nhiệm vừa là cơ hội đối với Việt Nam.
ທ່ານ ຫງວຽນກວກຢູ້ງ ເນັ້ນໜັກວ່າ “ພວກເຮົາ ກໍ່ຕ້ອງຊັກຈູງເຮັດຈັ່ງໃດເພື່ອໃຫ້ອາຊຽນ ບໍ່ພຽງແຕ່ມີຄວາມໝັ້ນຄົງເຂັ້ມແຂງພາຍໃນອາຊຽນເທົ່ານັ້ນ ຫາກຍັງຕ້ອງເພີ່ມອິດທິພົນຊື່ສຽງ, ບົດບາດຢູ່ພາກພື້ນ ກໍ່ຄື ປະກອບສ່ວນເຂົ້າບັນດາບັນຫາ ເຊິ່ງທົ່ວໂລກມີຄວາມສົນໃຈລວມອີກດ້ວຍ.	Nguyễn Quốc Dũng nhấn mạnh: “Chúng ta phải làm hết sức mình để ASEAN không chỉ mạnh hơn trong khối ASEAN mà còn nâng tầm ảnh hưởng, uy tín và vai trò của mình trong khu vực, cũng như đóng góp vào các vấn đề toàn cầu quan tâm.
ແລະນີ້ກໍ່ແມ່ນກາລະໂອກາດເພື່ອໃຫ້ຫວຽດນາມ ສະແດງບົດບາດຂອງຕົນຢ່າງແນ່ນອນ.	Và đây là cơ hội để Việt Nam chắc chắn phát huy vai trò của mình.
ນີ້ແມ່ນກາລະໂອກາດທີ່ດີເພື່ອໃຫ້ຫວຽດນາມ ເສີມຂະຫຍາຍຄວາມສາມາດໃນການຊັກຈູງປະຊາຄົມອາຊຽນ ແລະໂຄສະນາຮູບພາບປະເທດຊາດເພື່ອໃຫ້ພາກພື້ນ ແລະໂລກມີຄວາມເຂົ້າໃຈກວ່າກ່ຽວກັບຫວຽດນາມ.	Đây là cơ hội tốt để Việt Nam tăng cường năng lực gắn kết Cộng đồng ASEAN và quảng bá hình ảnh đất nước để khu vực và thế giới hiểu rõ hơn về Việt Nam.
ທ່ານ ຫງວຽນກວກຢູ້ງ ໃຫ້ຮູ້ວ່າ, ເພື່ອໃຫ້ຫວຽດນາມ ຮັບດໍາລົງຕຳແໜ່ງເປັນປະທານອາຊຽນ 2020 ສໍາເລັດຜົນແມ່ນຕ້ອງມີຄວາມເຫັນດີເຫັນພ້ອມໃນທົ່ວລະບົບການເມືອງ, ປະຊາຊົນ ແລະປະຊາຄົມວິສາຫະກິດ.	Theo ông Nguyễn Quốc Dũng, để Việt Nam chủ trì thành công ASEAN 2020, cần có sự đồng thuận của cả hệ thống chính trị, người dân và cộng đồng doanh nghiệp.
ຍ້ອນເຫດນັ້ນ, ວຽກງານໂຄສະນາຈະຕ້ອງເລີ່ມຕົ້ນຍິ່ງໄວກໍ່ຍິ່ງດີ ແລະໃນຕໍ່ໜ້າຈະມີແຜນການໂຄສະນາສັງລວມໃຫ້ທັງປີ 2019 ແລະປີ 2020.	Do đó, chiến dịch sẽ phải bắt đầu sớm hơn và tốt hơn, và trong tương lai sẽ có một kế hoạch chiến dịch toàn diện cho cả năm 2019 và 2020.
ໂດຍ: ແສງພະຈັນ.	Bởi: Moonlight.
