ກປ.ອອນໄລ - 70 ປີກ່ອນນີ້, ໃນຈຸດເວລາທີ່ລໍາບາກ, ດຸເດືອດທີ່ສຸດຂອງການຕໍ່ສູ້ຕ້ານລ່າເມືອງຂຶ້ນຝະລັ່ງ ຮຸກຮານ, ວັນທີ 11 ມິຖຸນາ ປີ 1948, ປະທານໂຮ່ຈິມິນ ໄດ້ອອກ “ຄໍາຮຽກຮ້ອງແຂ່ງຂັນຮັກຊາດ.	Ngày 11/6/1948, Chủ tịch Hồ Chí Minh ra lời kêu gọi thi đua ái quốc.
ພາບ: ສໍານັກຂ່າວສານຫວຽດນາມ	Ảnh: Thông tấn xã Việt Nam
ເຖິງຢ່າງໃດກໍ່ຕາມ, ທຸກໄຊຊະນະ, ຜົນສໍາເລັດຂອງຂະບວນການແຂ່ງຂັນຮັກຊາດບໍ່ແມ່ນວ່າຈະບັນລຸໄດ້ຢ່າງງ່າຍດາຍ.	Tuy nhiên, cứ thắng lợi, thành công của phong trào yêu nước không phải là điều dễ dàng có được.
ມັນແມ່ນການສົມທົບກຳລັງແຮງ, ພູມປັນຍາ ແລະການອຸທິດສ່ວນ, ການເສຍສະຫຼະຊີວິດບໍ່ຈັກວ່າເທົ່າໃດຂອງປະຊາຊົນ, ນັກຮົບເຮົາ.	Đó là sự tổng hòa của sức mạnh, trí tuệ và sự cống hiến, hy sinh tính mạng của biết bao con người, những chiến binh của chúng ta.
ຍ້ອນເຫດນັ້ນ, ໃນສະໄໝສົງຄາມກໍ່ຄືໃນສັນຕິພາບ, ພະນັກງານ, ນັກຮົບກອງທັບປະຊາຊົນຫວຽດນາມ ຫຼາຍຮຸ່ນຄົນຍາມໃດກໍ່ເຊື່ອມຊຶມ, ປະຕິບັດຕາມຄໍາສັ່ງສອນຂອງລຸງໂຮ່.	Nhờ vậy, trong chiến tranh cũng như thời bình, các thế hệ cán bộ chiến sĩ Quân đội nhân dân Việt Nam luôn làm theo lời Bác Hồ dạy.
ມີຫຼາຍໝູ່ຄະນະ, ບຸກຄົນ, ແບບຢ່າງດີເດັ່ນກ້າວໜ້າໄດ້ປະກົດຕົວ, ໃນຂະບວນການແຂ່ງຂັນຮັກຊາດ.	Nhiều nhà yêu nước, cá nhân, gương điển hình tiên tiến đã xuất hiện trong phong trào yêu nước.
ໃນສະໄໝໃດ, ເວລາໃດກໍ່ມີບັນດາແບບຢ່າງດີເດັ່ນເພື່ອປະເທດຊາດ, ເພື່ອປະຊາຊົນ.	Trong mọi thời đại, luôn có những hình mẫu tốt cho quốc gia, cho dân tộc.
ຊື່ສຽງຂອງວິລະຊົນຫຼາຍຄົນຄື: ລາວັນເກົ່າ, ກູ່ຈິ໋ງລານ, ໂຕຫວີ້ງຢ້ຽນ, ເບ໋ວັນດ່ານ, ຟານດິ່ງຢອດ, ຫງວຽນວັນໂຈ໊ຍ, ຫງວຽນວຽດຊວນ, ແມ່ ຊວດ, ເອື້ອຍ ອຸດຕິກ...	Tên tuổi của nhiều anh hùng như: La Văn Kao, Ku Jing Lan, Tô Vĩnh Diện, Bế Văn Đàn, Phan Đình Yốt, Nguyễn Văn Chọi, Nguyễn Viết Xuân, Mae Chuat, Chị Uttik ...
ເປັນສັນຍາລັກຂອງນໍ້າໃຈຮັກຊາດ ແລະກຳລັງແຮງຂອງຫວຽດນາມ.	Nó là biểu tượng của lòng yêu nước và sức mạnh Việt Nam.
ໃນແນວຮົບແຮງງານຜະລິດ, ສ້າງສາປະເທດຊາດ, ຂະບວນການແຂ່ງຂັນຮັກຊາດ ໄດ້ມີຫຼາຍແບບຢ່າງທີ່ດີເດັ່ນ ຄື: ໂງຢາຂາມ, ຕ້າກວາງບືວ, ເລືອງດີ້ງກົ໊ວ, ຕົນເທີດຕຸ່ງ, ດັ້ງວັນຫງື໊, ຮວ່າງແຮງ, ກູ່ທີ້ເຮົ້າ...ໃນໄລຍະທາງກວ່າ 30 ປີແຫ່ງການປ່ຽນແປງໃໝ່, ພາຍໃຕ້ການນໍາພາຂອງພັກ, ຂະບວນການແຂ່ງຂັນຮັກຊາດຍັງຄົງໄດ້ຮັບການປະຕິບັດ, ນັບມື້ນັບຟົດຟື້ນ ແລະມີປະສິດທິຜົນກວ່າເກົ່າ.	Trong đấu tranh lao động sản xuất, xây dựng đất nước, trong quá trình thi đua ái quốc có nhiều tấm gương tiêu biểu: Ngô Ya Khảm, Tạ Quang Bửu, Lương Đình Cuô, Tôn Thết Tùng, Đặng Văn Ngữ, Hoàng Haeng, Ku Huê ... 30 năm cách mạng,
ຄວາມໝາຍມະນຸດສະທໍາຂອງຂະບວນການແຂ່ງຂັນຮັກຊາດ ບໍ່ພຽງແຕ່ແມ່ນເລື່ອງຍາດເອົາຜົນງານ, ຍ້ອງຍໍຊົມເຊີຍຄຸນງາມຄວາມດີເທົ່ານັ້ນ.	Tinh thần nhân đạo của phong trào yêu nước không phải chỉ là thu phục thành tích, biểu dương phẩm hạnh.
ລຸງໂຮ່ທີ່ແສນເຄົາລົບຮັກ ເຄີຍຢັ້ງຢືນວ່າ: “ແຂ່ງຂັນແມ່ນຮັກຊາດ, ຮັກຊາດແມ່ນຕ້ອງແຂ່ງຂັນ.	Bác Hồ kính yêu đã khẳng định: “Cạnh tranh là yêu nước, yêu nước là cạnh tranh.
ບົດເພງແຂ່ງຂັນຮັກຊາດຍັງຄົງດັງກ້ອງກັງວານຕະຫຼອດໄປ, ຕໍ່ກໍາລັງໜູນ, ຈິດໃຈໃຫ້ທົ່ວປວງຊົນທັງຊາດໃນໄລຍະທາງໃໝ່, ປະກອບສ່ວນເຮັດໃຫ້ປະເທດຊາດນັບມື້ນັບສວຍສົດງົດງາມກວ່າເກົ່າ.	Bài ca yêu nước sẽ còn được hát mãi, ngân hết mình, ngân hết tâm trí của cả dân tộc trong suốt chặng đường góp phần làm cho đất nước ngày càng giàu đẹp.
ແປໂດຍ: ທູຈາງ.	Dịch bởi: Tu Zhang.
