ກປ.ອອນໄລ - ເຫຼົ່າທັບເຮືອໄດ້ຮັບການສ້າງຕັ້ງເມື່ອວັນທີ 7 ພຶດສະພາ 1955.	KPR Online - Hải quân được thành lập vào ngày 7 tháng 5 năm 1955.
ມີເຈດຈໍານົງຕັດສິນໃຈຕໍ່ສູ້ຢ່າງສູງ ແລະມີຄວາມເຊື່ອໝັ້ນຕໍ່ໄຊຊະນະ...	Có quyết tâm chiến đấu cao và có niềm tin chiến thắng ...
ຕໍ່ຈາກນັ້ນ, ຄວນເອົາໃຈໃສ່ສຶກສາອົບຮົມຄຸນສົມບັດ, ປະຫວັດສາດ, ມູນເຊື້ອ, ວັດທະນະທຳ, ກົດໝາຍ...	Sau đó, cần chú trọng giáo dục về tài sản, lịch sử, di sản, văn hóa, pháp luật ...
ຍ້ອນວ່ານີ້ກໍ່ແມ່ນບັນດາປັດໄຈສໍາຄັນສ້າງເປັນກໍາລັງແຮງການເມືອງດ້ານຈິດໃຈໃຫ້ແກ່ທະຫານແຕ່ລະຄົນ.	Bởi đây là yếu tố quan trọng tạo nên tâm lý vững vàng cho mỗi chiến sĩ.
ເພື່ອສ້າງເຫຼົ່າທັບເຮືອໃຫ້ມີຄວາມໝັ້ນຄົງດ້ານການເມືອງນັ້ນຕ້ອງປະຕິບັດນະໂຍບາຍຕໍ່ກອງທັບ ແລະແນວຫຼັງກອງທັບເປັນຢ່າງດີ ເພື່ອໃຫ້ທະຫານເຮືອມີຄວາມອຸ່ນອ່ຽນໃຈປະຕິບັດໜ້າທີ່ວຽກງານ, ສະໜິດຕິດພັນກັບເຂດທະເລ, ໝູ່ເກາະ...	Để xây dựng hải quân vững vàng về chính trị, cần thực hiện tốt chính sách đối với quân, binh chủng để hải quân yên tâm thực hiện nhiệm vụ nơi công tác, liên quan mật thiết đến vùng biển, quần đảo. ...
ເພື່ອມີກໍາລັງແຮງຕໍ່ສູ້ຕອບສະໜອງຄວາມຮຽກຮ້ອງຕ້ອງການຢ່າງສູງໃນການປົກປັກຮັກສາອະທິປະໄຕເຂດທະເລ, ໝູ່ເກາະຂອງປະເທດຊາດ, ນັບແຕ່ສະໄໝສັນຕິພາບ, ເຫຼົ່າທັບເຮືອຄວນມີກໍາລັງທີ່ແຂງແຮງ, ມີທ່າສະໜາມຮົບທີ່ດີ, ອາວຸດຍຸດທະພັນທັນສະໄໝ.	Để có lực lượng chiến đấu đáp ứng yêu cầu cao của bảo vệ chủ quyền biển, đảo của Tổ quốc, thực hiện hòa bình, lực lượng hải quân cần có lực lượng mạnh, thiện chiến, trang bị vũ khí hiện đại.
ກໍາລັງແຮງຕໍ່ສູ້ຂອງເຫຼົ່າທັບເຮືອສ່ວນຫຼາຍແມ່ນອີງໃສ່ຄວາມຮູ້ດ້ານເຕັກນິກ, ຍຸດທະວິທີ, ລະດັບຄວາມຮູ້ດ້ານການຈັດຕັ້ງ, ບັນຊາ ແລະສະຕິໃນການປະຕິບັດລະບຽບວິໄນຂອງພະນັກງານ, ນັກຮົບ.	Lực lượng chiến đấu của bộ đội hải quân hầu hết dựa trên kiến thức kỹ, chiến thuật, trình độ hiểu biết về tổ chức, chỉ huy và ý thức chấp hành kỷ luật của cán bộ, chiến sĩ.
ບົນພື້ນຖານກໍາແໜ້ນທັດສະນະ, ແນວທາງ, ຍຸດທະສາດການທະຫານ, ການປ້ອງກັນຊາດຂອງພັກ, ເຫຼົ່າທັບເຮືອຄວນສືບຕໍ່ຄົ້ນຄວ້າ, ສັງລວມບັນດາບົດຮຽນຕີສັດຕູຢູ່ແມ່ນໍ້າ, ທະເລຂອງປະເທດຊາດ, ບັນດາບັ້ນຮົບ, ບັ້ນຕໍ່ສູ້ ແລະການເຄື່ອນໄຫວຂອງເຫຼົ່າທັບໃນສົງຄາມປົດປ່ອຍກໍ່ຄືໃນການປົກປັກຮັກສາອະທິປະໄຕເຂດທະເລ, ໝູ່ເກາະ, ຈາກນັ້ນປັບປຸງທິດສະດີກ່ຽວກັບຍຸດທະວິທີຂອງບັນດາກໍາລັງ ແລະສິລະປະສູ້ຮົບຂອງທະຫານເຮືອໃຫ້ສົມບູນແບບ.	Căn cứ vào quan điểm, đường lối, chiến lược quân sự, bảo vệ Tổ quốc của Đảng, Bộ đội Hải quân cần tiếp tục nghiên cứu, đúc kết những bài học kinh nghiệm về đường sông, vùng biển, thế trận, trận đánh và cách di chuyển của bộ đội trong chiến tranh giải phóng cũng như trong phòng thủ. chủ quyền lãnh thổ của chiến trường.
ໃນສະພາບການປະຕິວັດອຸດສາຫະກໍາ 4.0 ພວມສົ່ງຜົນກະທົບເຖິງຂົງເຂດການທະຫານຢ່າງແຮງນັ້ນ, ເຫຼົ່າທັບເຮືອຄວນຍູ້ແຮງການຄົ້ນຄວ້າເປັນເຈົ້າຂອງວິທະຍາສາດ-ເຕັກນິກ, ເຕັກໂນໂລຢີ, ຈຸດສຸມແມ່ນການຄົ້ນຄວ້າເປັນເຈົ້າຂອງອາວຸດຍຸດທະພັນໃໝ່ທີ່ທັນສະໄໝໄປຄຽງຄູ່ກັບການເກັບຮັກສາ ຫັນອາວຸດຍຸດທະພັນເກົ່າເປັນທັນສະໄໝ...	Trong bối cảnh cuộc cách mạng công nghiệp 4.0 đang tác động mạnh mẽ đến lĩnh vực quân sự, hải quân cần tăng cường nghiên cứu, làm chủ khoa học công nghệ, trọng tâm là nghiên cứu, làm chủ vũ khí hiện đại, cùng với việc tích trữ vũ khí hiện đại. ...
ຕໍ່ການຜັນແປທີ່ສັບສົນຫຼາຍຢ່າງຂອງສະພາບການຢູ່ທະເລ, ເຫຼົ່າທັບເຮືອຕ້ອງກໍາແໜ້ນ, ຄາດຄະເນທຸກໆການກະທໍາໂດຍໄວ ເພື່ອເປັນເຈົ້າການສ້າງແຜນການ, ວິທີການຮັບມືໃຫ້ມີໄຊ;	Trước nhiều diễn biến phức tạp của tình hình trên biển, lực lượng hải quân phải chủ động, dự kiến mọi hành động nhanh nhất có thể để nắm vững phương án, cách thức xử lý thắng lợi;
ຮັກສາບັນດາກໍາລັງຍົກສູງສະຕິລະວັງຕົວ, ກຽມພ້ອມສູ້ຮົບ, ບໍ່ປະໃຫ້ຕົກຢູ່ໃນທ່າຮັບໂດຍບັງເອີນ ແລະກະກຽມຢ່າງຮອບຄອບຖີ່ຖ້ວນໃນທຸກໆດ້ານ ເພື່ອຮັບປະກັນດ້ານພະລາທິການ, ເຕັກນິກໃຫ້ບັນດາກໍລະນີທີ່ເກີດຂຶ້ນຢູ່ທະເລ.	Duy trì lực lượng cảnh giác, sẵn sàng chiến đấu, không để xảy ra tình huống bất ngờ, chuẩn bị kỹ lưỡng về mọi mặt để đảm bảo kỹ thuật, phương tiện khi có sự cố xảy ra trên biển.
ເມື່ອມີກໍລະນີທີ່ເກີດຂຶ້ນ, ເຫຼົ່າທັບຄວນເປັນເສນາທິການ, ສະເໜີຕໍ່ພັກ, ລັດ, ຄະນະພັກການທະຫານສູນກາງ, ກະຊວງປ້ອງກັນປະເທດກ່ຽວກັບທິດນຳ, ແຜນນະໂຍບາຍຮັບມື, ມາດຕະການແກ້ໄຂພ້ອມທັງຊີ້ນໍາ, ນໍາພາ, ບັນຊາບັນດາກໍາລັງປົກປັກຮັກສາອະທິປະໄຕ, ຮັກສາສະພາບແວດລ້ອມແຫ່ງສັນຕິພາບ, ສະຖຽນລະພາບຢູ່ທະເລຢ່າງຂ້ຽວຂາດ, ຢຶດໝັ້ນ, ຄ່ອງແຄ້ວ.	Khi có vụ việc xảy ra, Bộ đội tham mưu, Đảng, Nhà nước, Quân ủy Trung ương, Bộ Quốc phòng về phương hướng, chủ trương, biện pháp ứng phó, hướng dẫn, lãnh đạo, chỉ huy lực lượng bảo vệ chủ quyền, giữ vững bình yên. môi trường, hòa bình và ổn định.
ເລື່ອງເສີມຂະຫຍາຍມູນເຊື້ອຕີຊະນະບັ້ນຮົບທໍາອິດ, ຍົກສູງກໍາລັງແຮງຕໍ່ສູ້ຂອງເຫຼົ່າທັບເຮືອຄວນດໍາເນີນໄປຢ່າງຄົບຊຸດ.	Việc nâng cao di sản thắng trận đầu, nâng cao sức chiến đấu của hải quân cần được thực hiện toàn diện.
ພ້ອມກັບຄວາມເອົາໃຈໃສ່ຊີ້ນໍາ, ນໍາພາ, ລົງທຶນກໍ່ສ້າງຂອງພັກ, ລັດ, ຄະນະພັກການທະຫານສູນກາງ ແລະກະຊວງປ້ອງກັນປະເທດ;	Cùng với sự chỉ đạo, lãnh đạo, đầu tư xây dựng của Đảng, Nhà nước, Quân ủy Trung ương, Bộ Quốc phòng;
ຄວາມຮັກແພງ, ອຸປະຖຳຄ້ຳຊູ, ຊ່ວຍເຫຼືອຂອງປະຊາຊົນໃນທົ່ວປະເທດ, ພະນັກງານ, ນັກຮົບທະຫານເຮືອປະຊາຊົນຫວຽດນາມ ຈົ່ງສືບຕໍ່ມານະພະຍາຍາມສູ້ຊົນສໍາເລັດທຸກໆໜ້າທີ່ທີ່ໄດ້ຮັບການມອບໝາຍເປັນຢ່າງດີ ເພື່ອໃຫ້ສົມກັບມູນເຊື້ອ ແລະຈິດໃຈອົງອາດກ້າແກ່ນຂອງໄຊຊະນະບັ້ນຮົບທໍາອິດກ່ອນໜ້ານີ້ 55 ປີ.	Với sự tin yêu, đùm bọc, giúp đỡ của nhân dân cả nước, quân, dân, thủy thủ Việt Nam sẽ tiếp tục phấn đấu hoàn thành tốt mọi nhiệm vụ được giao để xứng đáng với di sản và khí phách hào hùng của trận đầu 55 nhiều năm trước.
ໂດຍ: ທະນາພອນ.	Theo: Thanaphone.
