ກປ.ອອນໄລ - ທຸກຄົນເກືອບທັງໝົດເມື່ອໃກ້ຈະລ່ວງລັບໄປ ລ້ວນແຕ່ມີຄວາມຫວັງ ຢາກໄດ້ກັບຄືນບ່ອນທີ່ເຂົາເຈົ້າ ກໍາເນີດ ແລະເຕີບໃຫຍ່.	KPR Online - Hầu hết tất cả họ khi chết đều mong được trở về nơi mình sinh ra và lớn lên.
ມີເທື່ອໜຶ່ງ, ທ່ານເວົ້າກັບຂ້າພະເຈົ້າຄວາມໃຝ່ຝັນໃຫຍ່ທີ່ສຸດຂອງທ່ານແມ່ນເມື່ອເຖິງແກ່ມໍລະນະກຳ ທ່ານຢາກໄດ້ປົງສົບຢູ່ເຂດທ່ົງນາຊານເມືອງນະຄອນຮ່າໂນ້ຍ.	Có lần, anh nói với tôi rằng ước mơ lớn nhất của anh là được chôn chân ở cánh đồng lúa ngoại thành Hà Nội.
ເມື່ອຟັງ Bruce Weigl ເວົ້າຄືແນວນັ້ນ, ຂ້າພະເຈົ້າ ກໍ່ຫວນຄືນເຖິງຕອນຄໍ່າມື້ໜຶ່ງໃນປີ 2013, ປະລິນຍາໂທ ບຸ່ຍດຶກຖັ໋ງ, ເຮັດວຽກຢູ່ກົມສຸຂະອະນາໄມກັນໂລກລະບາດສູນກາງ ໄດ້ໂທຫາຂ້າພະເຈົ້າແຈ້ງໃຫ້ຮູ້ວ່າ: ວັນທີ 21 ກໍລະກົດ 2013, ລູກສາວ ແລະລູກເຂີຍຂອງທ່ານນາງ ສຈ.ປອ Judith Ladinsky ຈະນໍາເອົາກະດູກແມ່ຂອງຕົນມາຫວຽດນາມເພື່ອປົງສົບ, ເຂົາເຈົ້າໄດ້ປະຕິບັດຕາມຄວາມມຸ່ງຫວັງສຸດທ້າຍຂອງແມ່.	Khi nghe Bruce Weigl nói như vậy, tôi nhớ lại vào một buổi tối năm 2013, khi anh Bùi Đức Thắng, nhân viên Khoa Dịch tễ Trung ương gọi điện cho tôi và thông báo rằng ngày 21/7/2013, con gái và con trai của anh- luật đã qua đời.
ທ່ານນາງ Judith Ladinsky ເສຍຊີວິດເມື່ອປີ 2011.	Judith Ladinsky qua đời năm 2011.
ໃນຊຸມປີທ້າຍຊີວິດ, ເພິ່ນໄດ້ເວົ້າກັບຜູ້ຮ່ວມງານຫວຽດນາມ ແລະລູກສາວກ່ຽວກັບຄວາມມຸ່ງຫວັງຂອງຕົນ.	Về cuối đời, ông đã nói chuyện với các đồng nghiệp và con gái Việt Nam về nguyện vọng của mình.
ແລະບັນດາຍາດຕິພີ່ນ້ອງຂອງເພິ່ນຢູ່ສອງປະເທດໄດ້ປະຕິບັດຕາມຄວາມມຸ່ງຫວັງນີ້.	Và những người thân của anh ở cả hai nước đã thực hiện được mong muốn này.
ທ່ານນາງ ສຈ.ປອ Judith Ladinsky.	Giáo sư Judith Ladinsky.
ພາບ: ຟານເກວ້	Ảnh: Phan Quốc
ໃນຫຼາຍສິບປີຄືນຫຼັງນີ້, ໃນຂະນະທີ່ອາເມລິກາ ພວມດໍາເນີນຄຳສັ່ງຂວ້ຳບາດຫວຽດນາມ, ເປັນຫຍັງ ທ່ານນາງ Judith Ladinsky ພັດມາປະເທດນີ້ດ້ວຍຄວາມມ່ວນຊື່ນ ແລະສະໝັກໃຈຄືແນວນັ້ນ?	Nhiều thập kỷ trước, trong khi Hoa Kỳ đang áp đặt các biện pháp trừng phạt đối với Việt Nam, tại sao Judith Ladinsky lại đến đất nước này với niềm vui và sự nhiệt tình như vậy?
ແລະເພິ່ນໄດ້ມາແຫ່ງນີ້ເພື່ອເຮັດທຸກສິ່ງທຸກຢ່າງທີ່ອາດສາມາດເປັນໄປໄດ້ເພື່ອຊ່ວຍໃຫ້ຜູ້ຮ່ວມງານຫວຽດນາມ ເມື່ອປະເທດນີ້ພວມຕົກຢູ່ໃນສະພາບທຸກຍາກຂາດເຂີນ ແລະຫຼ້າຫຼັງຫຼາຍຢ່າງພາຍຫຼັງໄລຍະສົງຄາມອັນຍືດເຍື້ອຍາວນານ ແລະຮ້າຍແຮງ.	Và anh ấy đến đây để làm mọi thứ có thể để giúp đỡ những người đồng cấp Việt Nam khi đất nước đang gặp khó khăn khủng khiếp và tụt hậu do hậu quả của một cuộc chiến tranh kéo dài và tàn khốc.
ການມາຫວຽດນາມແຕ່ລະຄັ້ງ, ເພິ່ນລ້ວນແຕ່ນໍາເອົາເຄື່ອງຂອງຫຼາຍຢ່າງເພື່ອຊ່ວຍໃຫ້ຫວຽດນາມ ຄື: ອຸປະກອນການແພດ, ຢາ, ປຶ້ມຄົ້ນຄວ້າ, ຕຳລາສອນກ່ຽວກັບແພດສາດ, ເຄື່ອງຈັກ...	Mỗi lần đến Việt Nam, ông đều mang theo rất nhiều thứ để giúp đỡ Việt Nam: thiết bị y tế, thuốc men, sách nghiên cứu, giáo trình y khoa, máy móc ...
ເພິ່ນ ຍັງຈັດສົ່ງບັນດາແພດໝໍຫວຽດນາມໄປຮໍ່າຮຽນ, ບໍາລຸງສ້າງຢູ່ອາເມລິກາ, ແລ້ວໃຫ້ຄໍາປຶກສາແກ່ຂະແໜງສາທາລະນະສຸກຂອງຫວຽດນາມ ແລະເປີດກວ້າງການຮ່ວມມືກັບຂະແໜງຕ່າງໆ.	Ông cũng cử các bác sĩ Việt Nam sang học tập và đào tạo tại Hoa Kỳ, sau đó tư vấn cho ngành y tế Việt Nam và mở rộng hợp tác với các lĩnh vực khác.
ໃນຍາມນັ້ນ, ເພິ່ນແມ່ນປະທານຄະນະກໍາມະການຮ່ວມມືດ້ານວິທະຍາສາດກັບຫວຽດນາມ.	Khi đó, ông là Chủ tịch Ủy ban Hợp tác Khoa học với Việt Nam.
ຕອນເຊົ້າວັນທີ 22 ກໍລະກົດ 2013, ໂດຍໄດ້ຮັບຄວາມເຫັນດີຈາກລັດຖະບານແຫ່ງ ສສ ຫວຽດນາມ, ພິທີມອບຮັບກະດູກຂອງທ່ານນາງ ສຈ.ປອ Judith Ladinsky ໄດ້ຈັດຂຶ້ນຢູ່ກະຊວງວິທະຍາສາດ ແລະເຕັກໂນໂລຢີຫວຽດນາມ.	Sáng ngày 22 tháng 7 năm 2013, được sự chấp thuận của Chính phủ nước Cộng hòa xã hội chủ nghĩa Việt Nam, Lễ hiến xương của Giáo sư Judith Ladinsky đã được tổ chức tại Bộ Khoa học và Công nghệ Việt Nam.
ດ້ວຍບັນດາການອຸທິດສ່ວນຫຼາຍຢ່າງໃຫ້ແກ່ຫວຽດນາມ, ເພິ່ນໄດ້ຮັບການປະດັບຫຼຽນໄຊມິດຕະພາບ ແລະນາມມະຍົດອັນສູງສົ່ງຫຼາຍຢ່າງ ໂດຍກະຊວງສາທາລະນະສຸກ, ກະຊວງວິທະຍາສາດ ແລະເຕັກໂນໂລຢີ, ສະຫະພັນແມ່ຍິງຫວຽດນາມ ມອບໝາຍໃຫ້...	Với hầu hết những cống hiến của mình cho Việt Nam, bà đã được Bộ Y tế, Bộ Khoa học và Công nghệ, Hội Liên hiệp Phụ nữ Việt Nam tặng thưởng Huân chương Hữu nghị và nhiều danh hiệu cao quý.
ແລະປະຈຸບັນແມ່ນນັກກະວີ Bruce Weigl.	Và bây giờ là nhà thơ Bruce Weigl.
ທ່ານໄດ້ມາຫວຽດນາມ ແລະດໍາລົງຊີວິດປຽບເໝືອນຊາວຫວຽດນາມຜູ້ໜຶ່ງ.	Anh đến Việt Nam và sống như một người đàn ông Việt Nam.
ບາງເທື່ອ, ຄິດວ່າຂ້າພະເຈົ້າຈະລືມໄປ, ທ່ານກໍ່ເວົ້າຢ້ຳກັບຂ້າພະເຈົ້າວ່າ ຈົ່ງຈື່ຈຳຄໍາສະເໜີຂອງທ່ານເດີ.	Đôi khi, nghĩ rằng tôi sẽ quên, bạn nói với tôi, "Hãy nhớ lời của bạn."
ຄໍາສະເໜີນັ້ນເຮັດໃຫ້ຂ້າພະເຈົ້າ ຮູ້ສຶກວ່າ: ມີເພື່ອນມິດຊາວອາເມລິກາ ບາງຄົນ ພັດມີຄວາມຮັກຕໍ່ປະເທດຫວຽດນາມ ຄືແນວນັ້ນ.	Câu nói đó khiến tôi cảm thấy: Có một số người bạn Mỹ rất yêu Việt Nam.
ໂດຍ: ທູຈາງ.	Bởi: Tu Zhang.
