ກປ.ອອນໄລ - ບຸນປີໃໝ່ປະຈໍາຊາດປີຈໍ 2018 ວຽນມາອີກວາລະໜຶ່ງ.	KPR Online - Tết Quốc gia 2018 lại sắp đến.
ໂດຍໄດ້ຮັບການຊ່ວຍເຫຼືອຈາກບັນດາສະຫາຍໃນກອງບັນຊາການທະຫານແຂວງ ເທື່ອທຽນເຫວ້, ຄະນະພວກຂ້າພະເຈົ້າ ໄດ້ມອບຂອງຂວັນເຖິງມືບັນດາຄອບຄົວເປົ້າໝາຍນະໂຍບາຍ, ຄອບຄົວທຸກຍາກຖືກຕາມແຜນການ.	Được sự giúp đỡ của các đồng chí trong Bộ Chỉ huy Quân sự tỉnh Huế, đoàn chúng tôi đã đến tận tay các đối tượng, gia đình nghèo theo kế hoạch.
ອໍານາດການປົກຄອງ ແລະປະຊາຊົນບັນດາທ້ອງຖິ່ນຮູ້ສຶກດີໃຈ ແລະມີຄວາມເບີກບານມ່ວນຊື່ນທີ່ສຸດ.	Chính quyền và người dân địa phương rất vui mừng.
ອ້າຍ Ra Pat Eo, ອາຍຸ 46 ປີ, ຢູ່ບ້ານ Pa Ring, ຕາແສງ ຮົ່ງຮ້າ (ເມືອງ ອາ ເລື໋ອຍ) ແລະພໍ່ເຖົ້າ ເທິນບ໋າກາ, ອາຍຸ 77 ປີ, ຢູ່ບ້ານ ກືແຈ໋ງ 2, ຕາແສງ ຖຸຍບັ່ງ (ເທດສະບານເມືອງ ເຮືອງຖຸຍ) ໄດ້ແບ່ງປັນຄວາມໃນໃຈສູ່ຟັງວ່າ: “ຄິດຮອດຄິດເຖິງອາລົມຈິດຂອງທະຫານ, ຂອງໜັງສືພິມກອງທັບປະຊາຊົນຫວຽດນາມ.	Ra Pat Eo, 46 tuổi, thôn Pá Ring, xã Hồng Hà (huyện A Leuy) và Theun Baka, 77 tuổi, thôn Ku Chang 2, xã Thủy Bằng (huyện Hương Thủy) chia sẻ suy nghĩ của mình:
ທະຫານໄດ້ມາຢ້ຽມຢາມ ແລະມອບຂອງຂວັນໃຫ້ອີກແລ້ວ.	Bộ đội lại đến thăm và tặng quà.
ປີນີ້, ໃນພາເຂົ້າບູຊາບັນພະບຸລຸດມີເຂົ້າຕົ້ມ, ເຂົ້າໜົມຕື່ມອີກຄອບຄົວຍິ່ງເພີ່ມຄວາມອົບອຸ່ນ...	Năm nay, trong mâm cơm cúng gia tiên có thêm cơm lam, thêm cơm lam, gia đình thêm đầm ấm ...
.	.
ໃນເດືອນ ຕຸລາ 2017, ເມື່ອເຂດພາກເໜືອ ແລະທິດເໜືອພາກກາງ ປະສົບກັບໄພທໍາມະຊາດໃນບໍລິເວນທີ່ກວ້າງຂວາງ, ຄະນະປະຕິບັດງານຂອງ ໜັງສືພິມກອງທັບປະຊາຊົນຫວຽດນາມ ພ້ອມກັບຜູ້ໃຈບຸນກຸສົນ ໄດ້ແຂ່ງຝົນຜ່ານຜ່ານໍ້າແກ່ງ ເພື່ອຂົນສົ່ງເຂົ້າ ແລະເງິນໄປໜູນຊ່ວຍບັນດາຄອບຄົວຖືກປະສົບໄພທໍາມະຊາດ ຢູ່ບັນດາແຂວງ ກວ້າງບິ່ງ, ຮ່າຕິ້ງ, ພໍ່ແມ່ປະຊາຊົນເຂດຫ່າງໄກສອກຫຼີກຢູ່ແຂວງ ຖ໋າຍງວຽນ, ດ້ຽນບຽນ, ລາຍເຈົາ, ອຽນບ໋າຍ...	Tháng 10/2017, khi khu vực miền Bắc và miền Trung xảy ra thiên tai trên diện rộng, đoàn công tác của Quân đội nhân dân Việt Nam và các nhà hảo tâm đã vượt sông vận chuyển gạo, tiền giúp đỡ các gia đình vùng bị thiên tai, các tỉnh bị thiên tai.
ປະຊາຊົນຢູ່ເຂດຖືກນໍ້າຖ້ວມຫຼາຍຄົນຢູ່ຕາແສງ ລົກຖຸຍ, ເມືອງ ເລ້ຖຸຍ (ແຂວງ ກວ້າງບິ່ງ) ຮູ້ສຶກຕື້ນຕັນໃຈຈົນນໍ້າຕາໄຫຼ ເມື່ອເຫັນສະພາບນໍ້າຖ້ວມຮອດເຄິ່ງເຮືອນແຕ່ທ່ານພັນເອກພິເສດ ດວ່ານຊວນໂບ້, ຮອງຫົວໜ້າບັນນາທິການໃຫຍ່ໜັງສືພິມກອງທັບປະຊາຊົນຫວຽດນາມ ແລະຜູ້ຕາງໜ້າກຸ່ມບໍລິສັດ ລົກເຈີ່ຍ (ແຂວງ ອານຢາງ) ພ້ອມດ້ວຍບັນດານັກຂ່າວ-ນັກຮົບຍັງແຂ່ງຝົນ, ຜ່ານຜ່າພາຍຸນໍ້າຖ້ວມເພື່ອມາມອບເຂົ້າ ແລະມອບເງິນອຸດໜູນໃຫ້ປະຊາຊົນ.	Nhiều người dân vùng lũ xã Lậu Thủy, huyện Lệ Thủy (Quảng Bình) xót xa đến mức rơi nước mắt khi thấy nước lũ dâng cao đến nửa nhà.
ທ່ານພັນເອກພິເສດ ຮ່າແມ້ງເຕື່ອງ ຮອງຫົວໜ້າບັນນາທິການໃຫຍ່ໜັງສືພິມກອງທັບປະຊາຊົນຫວຽດນາມ ແບ່ງປັນວ່າ: ອາລົມຈິດຍິ່ງເຕັມໄປດ້ວຍ ຄວາມຮັກແພງ, ພາຍຫຼັງການໄປທຳບຸນກຸສົນຫຼາຍເທື່ອພ້ອມກັບບັນດາຜູ້ໃຈບຸນກຸສົນ: ມອບທຶນການສຶກສາຫຼາຍຮ້ອຍທຶນ (ມູນຄ່າ 5 ລ້ານດົ່ງ/ທຶນ) ເພື່ອຊ່ວຍເຫຼືອພວກນ້ອງນັກຮຽນທີ່ປະສົບກັບຄວາມຫຍຸ້ງຍາກແຕ່ຮຽນເກັ່ງຢູ່ຕາແສງ ງວຽນຮວ່າ, ເມືອງ ຟູກື, ແຂວງ ຮຶງອຽນ;	Đại tá Đặc công Hà Mạnh Tường, Phó Tổng Biên tập Thông tấn xã Quân đội nhân dân Việt Nam xúc động nói: “Trọn vẹn tình thương.
ນັກສຶກສາທີ່ປະສົບກັບຄວາມຫຍຸ້ງຍາກຢູ່ສະຖາບັນສື່ມວນຊົນ ແລະໂຄສະນາ, ມະຫາວິທະຍາໄລວັດທະນະທໍາສິລະປະກອງທັບ...	Sinh viên khó khăn Học viện Truyền thông và Quảng cáo, Đại học Văn hóa Nghệ thuật Quân đội ...
“ຫວັງວ່າບັນດາທຶນການສຶກສາເຫຼົ່ານີ້ ຈະຕໍ່ກໍາລັງແຮງ ແລະຄວາມເຊື່ອໝັ້ນຕື່ມອີກ ເພື່ອໃຫ້ພວກນ້ອງຜ່ານຜ່າຄວາມຫຍຸ້ງຍາກໃນຕໍ່ໜ້າ, ມານະພະຍາຍາມບືນຕົວຂຶ້ນໃນການຮໍ່າຮຽນ.	“Hy vọng những suất học bổng này sẽ tiếp thêm niềm tin, sức mạnh để các em vượt qua nghịch cảnh, phấn đấu vươn lên trong học tập.
ນັ້ນກໍ່ແມ່ນຄວາມຜາສຸກ, ຄວາມເບີກບານມ່ວນຊື່ນຂອງບັນດານັກຂ່າວ-ນັກຮົບ.	Đó là niềm hạnh phúc và vui sướng của những người làm báo, những người cựu chiến binh.
ລະດູບານໃໝ່ວຽນມາໃນທຸກແຖບຖິ່ນໃນທົ່ວປະເທດ.	Mùa xuân đang về trên mọi miền đất nước.
ພວກຂ້າພະເຈົ້າ, ບັນດານັກຂ່າວ-ນັກຮົບ, ພັດຮູ້ສຶກຮ້ອນຮົນໃນໃຈເມື່ອຫວນຄືນໜຶ່ງປີທີ່ຄຽງບ່າຄຽງໄຫຼ່ໄປພ້ອມກັບຫຼາຍອົງການຈັດຕັ້ງ, ສ່ວນບຸກຄົນຜູ້ມີໃຈບຸນໃຈກຸສົນ ເດີນທາງໄປລຽບຕາມລວງຍາວຂອງປະເທດຊາດ ເພື່ອເຮັດວຽກງານສັງຄົມ, ເພື່ອການກຸສົນ.	Chúng tôi, những người làm truyền thông - cựu chiến binh, cảm thấy choáng ngợp khi nhìn lại một năm qua với nhiều tổ chức, cá nhân, nhà hảo tâm đã đồng hành cùng chiều dài đất nước để làm công tác xã hội, từ thiện.
ດີໃຈເພາະບັນດາຜົນງານບັນລຸໄດ້, ແຕ່ພວກຂ້າພະເຈົ້າຍັງກັງວົນໃຈວ່າ ເມື່ອບຸນປີໃໝ່ປະຈໍາຊາດປີຈໍ 2018 ນີ້ຍັງມີຄອບຄົວຈໍານວນບໍ່ໜ້ອຍ ທີ່ມີຄຸນງາມຄວາມດີຕໍ່ການປະຕິວັດ, ຄອບຄົວເປົ້າໝາຍນະໂຍບາຍທີ່ປະສົບກັບຄວາມຫຍຸ້ງຍາກ ກໍາລັງລໍຄອຍການຊ່ວຍເຫຼືອຂອງທົ່ວສັງຄົມ.	Mừng vì thành tích đạt được, nhưng cũng lo trong dịp Tết Nguyên đán 2018 vẫn còn rất đông gia đình người có công với cách mạng, các đối tượng thuộc diện chính sách khó khăn đang trông chờ sự giúp đỡ của các đồng chí. toàn xã hội.
ແປໂດຍ: ຮວ່າງເຈື່ອງ.	Người dịch: Hoàng Trường.
