ກປ.ອອນໄລ - ຫວຽດນາມ ເລີ່ມຕົ້ນປະຕິບັດວຽກງານກະກຽມໃຫ້ແກ່ການເປັນປະທານອາຊຽນ ໃນປີ 2020 ມາແຕ່ດົນແລ້ວ ແລະປະຈຸບັນຫວຽດນາມ ພ້ອມແລ້ວທີ່ຈະປະຕິບັດໜ້າທີ່ສໍາຄັນນີ້, ນີ້ແມ່ນຄຳຢັ້ງຢືນຂອງທ່ານ ຫງວຽນກ໊ວກຢູງ ຮອງລັດຖະມົນຕີກະຊວງການຕ່າງປະເທດຫວຽດນາມ, ເລຂາທິການຄະນະກຳມະການແຫ່ງຊາດອາຊຽນປີ 2020 ທີ່ກອງປະຊຸມຂ່າວສາກົນກ່ຽວກັບປີເປັນປະທານອາຊຽນ 2020 ຂອງຫວຽດນາມ ໄດ້ດຳເນີນຢູ່ຮ່າໂນ້ຍໃນຕອນເຊົ້າ 18 ພະຈິກ.	Invini Limber 2020 Bí thư năm 2010, Chủ tịch Việt Nam Trương Tấn đã phục vụ vào năm trước
5 ບຸລິມະສິດໃນປີເປັນປະທານອາຊຽນ 2020	5 ưu tiên trong Chủ tịch năm 2020
ທ່ານ ຫງວຽນກ໊ວກຢູງ ໃຫ້ຮູ້ວ່າດ້ວຍຖານະຕຳແໜ່ງເປັນປະທານອາຊຽນ, ຫວຽດນາມ ຈະຊຸກຍູ້ 5 ບຸລິມະສິດ.	Thủ tướng Nguyễn Tuyền biết rằng với vị trí của ASEAN, Việt Nam khuyến khích 5 ưu tiên.
ທີໜຶ່ງ, ອາຊຽນຕ້ອງເສີມຂະຫຍາຍບົດບາດ ແລະຕັ້ງໜ້າປະກອບສ່ວນເຂົ້າກິດຈະການຮັກສາສະພາບແວດລ້ອມສັນຕິພາບ, ສະຖຽນລະພາບ ແລະຄວາມໝ້ັນຄົງຢູ່ພາກພື້ນບົນພື້ນຖານເພີ່ມທະວີຄວາມສາມັກຄີ, ເປັນເອກະພາບຂອງອາຊຽນ;	ASEAN phải nâng cao vai trò và tỷ lệ với hòa bình, ổn định và cạnh tranh, cơ sở của sự thống nhất ASEAN;
ຍູ້ແຮງຈິດໃຈສະໜິດຕິດພັນ, ຊ່ວຍເຫຼືອ ແລະສະໜັບສະໜູນເຊິ່ງກັນ ແລະກັນລະຫວ່າງບັນດາປະເທດສະມາຊິກ;	Đẩy tâm trí tương tác, giúp đỡ và hỗ trợ lẫn nhau giữa các quốc gia thành viên;
ຍົກສູງຄວາມສາມາດໃນການສົມທົບຫຼັກໝັ້ນລວມຂອງອາຊຽນ ເຂົ້າໃນການແກ້ໄຂບັນດາບັນຫາພາກພື້ນ ແລະສາກົນ;	Cải thiện khả năng kết hợp OveGraration của ASEAN trong các vấn đề khu vực và quốc tế.
ຊຸກຍູ້ການສ້າງຕັ້ງ ແລະເຄົາລົບບັນດາລະບຽບຫຼັກການ, ມາດຕະຖານການປະພຶດລວມໃນການພົວພັນລະຫວ່າງບັນດາປະເທດ;	Khuyến khích việc thành lập và sơ yếu lý lịch, tiến hành các tiêu chuẩn bao gồm trong mối quan hệ giữa các quốc gia;
ຮັບມື ກັບບັນດາສິ່ງທ້າທາຍຂົ່ມຂູ່ເຖິງສັນຕິພາບ, ສະຖຽນລະພາບ ແລະຄວາມໝັ້ນຄົງຢູ່ພາກພື້ນຢ່າງທັນການ ແລະມີປະສິດທິຜົນ.	Đối phó với những thách thức đe dọa hòa bình, ổn định và an ninh trong khu vực và hiệu quả.
ທີສອງ, ຊຸກຍູ້ການຮ່ວມສຳພັນ ແລະເຊື່ອມຕໍ່ພາກພື້ນ, ຍົກສູງຄວາມສາມາດປັບຕົວໃຫ້ແທດເໝາະ ແລະໝູນໃຊ້ບັນດາກາລະໂອກາດຂອງການປະຕິວັດອຸດສາຫະກຳ 4.0.	Thứ hai, thúc đẩy khu vực và kết nối khu vực, nâng cao sự thích nghi và thao túng cơ hội của cuộc cách mạng công nghiệp 4.0.
ຕາມນັ້ນແລ້ວ, ແມ່ນການຮ່ວມສຳພັນດ້ານເສດຖະກິດຢ່າງເລິກກວ້າງ ແລະການເຊື່ອມຕໍ່ພາຍໃນກຸ່ມ ແລະກັບບັນດາຄູ່ຮ່ວມມືຢ່າງຮອບດ້ານ;	Theo các liên kết kinh tế sâu sắc sâu sắc sâu sắc trong nhóm và với các đối tác toàn diện;
ຊຸກຍູ້ການເຕີບໂຕແບບຍືນຍົງ ແລະກວມລວມດ້ານເສດຖະກິດ, ການເງິນ ແລະສັງຄົມບົນພື້ນຖານປ່ຽນແປງໃໝ່ຫົວຄິດປະດິດສ້າງ ແລະໝູນໃຊ້ເຕັກໂນໂລຢີດີຈີຕອນ ແລະບັນດາເຕັກໂນໂລຢີໃໝ່;	Khuyến khích tăng trưởng bền vững và bao gồm xã hội, tài chính và xã hội, công nghệ chuyển đổi và công nghệ mới;
ສືບຕໍ່ມານະພະຍາຍາມຮັດແຄບໄລຍະຫ່າງຂອງການພັດທະນາ;	Tiếp tục cố gắng thu hẹp khoảng cách phát triển;
ກໍ່ສ້າງແຫຼ່ງຊັບພະຍາກອນມະນຸດໃຫ້ມີຄຸນນະພາບສູງ;	Xây dựng nguồn nhân lực của nhân lực;
ເພີ່ມທະວີບັນດາການບໍລິການສັງຄົມເພື່ອຮັບໃຊ້ປະຊາຊົນ...	Tăng dịch vụ xã hội để phục vụ người ...
ທີສາມ, ຊຸກຍູ້ສີສັນອາຊຽນ, ສ້າງບັນດາຄ່ານິຍົມລວມຂອງອາຊຽນ ແລະເຜີຍແຜ່ຢ່າງກວ້າງຂວາງໃນໝູ່ປະຊາຊົນ, ຍົກສູງຮູບພາບຂອງປະຊາຄົມອາຊຽນ ຢູ່ພາກພື້ນ ແລະໃນໂລກ.	Thứ ba, màu sắc ASEAN, phát triển các giá trị toàn diện ASEAN và phổ biến rộng rãi trong khu vực của cộng đồng ASEAN trong khu vực và trên thế giới.
ທີສີ່, ຍູ້ແຮງການພົວພັນຄູ່ຮ່ວມມືເພື່ອສັນຕິພາບ ແລະການພັດທະນາແບບຍືນຍົງກັບບັນດາປະເທດໃນໂລກ, ເສີມຂະຫຍາຍບົດບາດ ແລະການປະກອບສ່ວນຂອງອາຊຽນ ໃນປະຊາຄົມສາກົນ;	Thứ tư, thúc đẩy sự hợp tác cho hòa bình và phát triển ở các nước thế giới, nâng cao các nước ASEAN trong cộng đồng quốc tế;
ເປີດກວ້າງ ແລະຍົກລະດັບການພົວພັນກັບບັນດາຄູ່ຮ່ວມມືໃນທົ່ວໂລກ.	Mở và nâng cấp quan hệ với quan hệ đối tác trên toàn thế giới.
ທີຫ້າ, ຍົກສູງກຳລັງຄວາມສາມາດໃນການປັບຕົວໃຫ້ແທດເໝາະ ແລະປະສິດທິຜົນການເຄື່ອນໄຫວຂອງກົງຈັກອາຊຽນ.	Thứ năm, nâng khả năng thích ứng và hiệu quả hiệu quả của ASEAN.
ປະຕິຮູບລະບອບລະບຽບການ, ເພີ່ມທະວີປະສິດທິຜົນການເຄື່ອນໄຫວຂອງກົງຈັກອາຊຽນ;	Cải cách các quy định, tăng hiệu quả của các hoạt động của ASEAN;
ດັດປັບ, ສ້າງ ແລະຍົກລະດັບບັນດາຂັ້ນຕອນ, ມາດຕະຖານໃນອາຊຽນ ໃຫ້ສົມບູນ.	Điều chỉnh, xây dựng và nâng cấp các bước, tiêu chuẩn ASEAN.
ຍູ້ແຮງວິວັດທະນາການເຈລະຈາ COC	Đẩy các cuộc đàm phán COC
ທີ່ກອງປະຊຸມຂ່າວ, ເມື່ອຕອບຄຳຖາມຂອງນັກຂ່າວກ່ຽວກັບວິວັດທະນາການເຈລະຈາປະມວນກົດແຫ່ງການປະພຶດຢູ່ທະເລຕາເວັນອອກ (COC), ທ່ານ ຫງວຽນກ໊ວກຢູງ ໃຫ້ຮູ້ວ່ານີ້ແມ່ນໜຶ່ງໃນບັນດາໂຄງການດຳເນີນງານບຸລິມະສິດຂອງອາຊຽນ ແລະຈີນ.	Tại buổi họp báo, khi trả lời các câu hỏi về Bộ trưởng Bộ Phức khai, Thủ tướng và COC.
ທັງ ອາຊຽນ ແລະຈີນ ລ້ວນແຕ່ກຳນົດຢາກຍູ້ໄວວິວັດທະນາການເຈລະຈາ COC ໃຫ້ໄວທີ່ສຸດ.	Cả ASEAN và Trung Quốc cũng được yêu cầu đẩy các cuộc đàm phán COC phát triển nhanh.
ເຖິງຢ່າງໃດກໍ່ຕາມ, ບັນດາບຸລິມະສິດ, ຜົນປະໂຫຍດກໍ່ຄືຄວາມເອົາໃຈໃສ່ຂອງຝ່າຍຕ່າງໆຍັງມີຄວາມແຕກຕ່າງກັນ, ສະນັ້ນຈຶ່ງມີຄວາມສັບສົນ ແລະຕ້ອງມີເວລາເພື່ອເຈລະຈາຕື່ມອີກ.	Tuy nhiên, ưu tiên, lợi ích là các bên của Đảng cũng khác nhau, vì vậy có một thời gian để đàm phán.
ທ່ານ ຫງວຽນກ໊ວກຢູງ ຊີ້ແຈ້ງວ່າ “ພວກຂ້າພະເຈົ້າລ້ວນແຕ່ມີຄວາມເຂົ້າໃຈກ່ຽວກັບຄວາມສຳຄັນຂອງເອກະສານສະບັບນີ້, ດ້ວຍເຫດນັ້ນ, ບັນດາຝ່າຍພວມຕັ້ງໜ້າຊຸກຍູ້ການເຈລະຈາ.	Thủ tướng Nguyễn đang chỉ ra rằng tất cả chúng ta đều là tất cả, tầm quan trọng của tầm quan trọng của tài liệu này, do đó, các Bên được mua sắm.
ດ້ວຍຖານະຕໍາແໜ່ງເປັນປະທານອາຊຽນ 2020 ຫວຽດນາມ ຈະປະກອບສ່ວນເຂົ້າໃນການຍູ້ແຮງວິວັດທະນາການເຈລະຈາ COC.	Với vị trí của ASEAN 2020 Chủ tịch Việt Nam đóng góp cho sự tiến hóa đàm phán COC.
ຫວຽດນາມ ຈະໃຫ້ຄວາມຕັດສິນໃຈ ແລະໃຫ້ບຸລິມະສິດສູງສຸດ	Việt Nam sẽ từ bỏ và ưu tiên cao nhất
ຫວຽດນາມ ດຳລົງຕຳແໜ່ງເປັນປະທານອາຊຽນ ໃນປີ 2020 ຖືວ່າແມ່ນປີບານພັບໃນການຜັນຂະຫຍາຍແຜນການຫັນວິໄສທັດປະຊາຄົມອາຊຽນ 2025 ໃຫ້ປະກົດຜົນເປັນຈິງ, ພ້ອມທັງເປັນຂີດໝາຍຫວຽດນາມ ເຂົ້າຮ່ວມ “ຊາຍຄາລວມ ອາຊຽນ ຄົບຮອບ 25 ປີ.	Chủ tịch Việt Nam được tổ chức tại Tổng thống năm 2020 năm 2012, cộng đồng người Việt chuyển sang cộng đồng Việt Nam
ດ້ວຍເຫດນັ້ນ, ທ່ານ ຫງວຽນກ໊ວກຢູງ ຈຶ່ງໃຫ້ຮູ້ວ່າ ຫວຽດນາມ ກຳນົດເລື່ອງດຳລົງຕຳແໜ່ງເປັນປະທານອາຊຽນ ແມ່ນຄວາມຮັບຜິດຊອບອັນໃຫຍ່ຫຼວງແຕ່ວ່າຈະນຳເອົາກາລະໂອກາດມາໃຫ້ຫຼາຍທີ່ສຸດ.	Kết quả là, Nguyễn, ông cho biết Việt Nam đặt cấp bậc ASEAN là một trách nhiệm lớn nhưng để mang đến những cơ hội phổ biến nhất.
ທ່ານ ຫງວຽນກ໊ວກຢູງ ຢັ້ງຢືນວ່າ "ຫວຽດນາມ ຈະໃຫ້ຄວາມຕັດສິນໃຈ ແລະໃຫ້ບຸລິມະສິດສູງສຸດເພື່ອແນໃສ່ປະຕິບັດໜ້າທີ່ສຳຄັນໃຫ້ສຳເລັດ ແລະປະກອບສ່ວນກໍ່ສ້າງປະຊາຄົມອາຊຽນ ໃຫ້ນັບມື້ນັບໝັ້ນຄົງເຂັ້ມແຂງບົນພື້ນຖານສືບທອດບັນດາໝາກຜົນຂອງບັນດາປະທານອາຊຽນ ບັນລຸໄດ້ກ່ອນໜ້ານີ້ ແລະເສີມຂະຫຍາຍບັນດາບົດຮຽນກ່ຽວກັບການພັດທະນາເສດຖະກິດ-ສັງຄົມ, ບົດຮຽນການຈັດຕັ້ງບັນດາກອງປະຊຸມໃຫຍ່, ຄື: ກອງປະຊຸມສຸດຍອດອາຊຽນ ປີ 1998, ປະທານອາຊຽນ 2010, ກອງປະຊຸມສຸດຍອດ APEC 2017.	"Việt Nam sẽ ưu tiên cao nhất để đáp ứng ASEAN-20198
ໂດຍ: ສົມເພັດ.	Đăng bởi: Kim cương trộn.
