ກປ.ອອນໄລ - ໃນປີ 2020, ຫວຽດນາມ ຈະດໍາລົງຕໍາແໜ່ງເປັນປະທານອາຊຽນ 2020.	Dòng - Đến năm 2020, Việt Nam sẽ giữ vị trí đến 2020 ghế ASEAN.
ເພາະສະນັ້ນ, ປີ 2020, ຫວຽດນາມຈະດໍາລົງຕໍາແໜ່ງປະທານອາຊຽນ ໃນເງື່ອນໄຂ, ທ່າແຮງ ແລະກໍາລັງທີ່ແຕກຕ່າງກັນ, ມີຄວາມສະດວກໃໝ່ ແຕ່ກໍມີຄວາມຫຍຸ້ງຍາກໃໝ່.	Do đó, Việt Nam sẽ tổ chức ghế ASEAN về mặt, tiềm năng và các lực lượng khác nhau, với sự dễ dàng mới, nhưng những khó khăn mới.
ປີ 2020, ຫວຽດນາມ ຈະດໍາລົງຕໍາແໜ່ງເປັນປະທານອາຊຽນ 2020 ແລະກໍເປັນກໍາມະການບໍ່ປະຈໍາການ ສະພາຄວາມໝັ້ນຄົງ ສະຫະປະຊາຊາດ ອາຍຸການ 2020-2021.	2020, Việt Nam sẽ tổ chức vào năm 2020 Chủ tịch ASEAN, Việt Nam sẽ được tổ chức tại Chủ tịch Liên Hợp Quốc 2020 và Bộ trưởng Hội trưởng Thường trực của Liên Hợp Quốc 2020-2021.
ຕາມທ່ານແລ້ວ, ບົດບາດນີ້ຈະປະກອບສ່ວນຫຍັງແດ່ໃຫ້ແກ່ປະຊາຄົມອາຊຽນ ໃນປັດຈຸບັນ?	Như bạn, vai trò gì sẽ đóng góp cho cộng đồng ASEAN bây giờ?
ຫວຽດນາມ ດໍາລົງຕໍາແໜ່ງເປັນປະທານອາຊຽນ ແລະກໍາມະການບໍ່ປະຈໍາການສະພາຄວາມໝັ້ນຄົງ ສະຫະປະຊາຊາດ ໝາຍຄວາມວ່າວຽກງານຈະຫຼາຍກວ່າ, ສັບສົນກວ່າແຕ່ກໍມີບັນດາຄວາມສະດວກ ເພາະວ່າສອງບົດບາດນີ້ມີລັກສະນະຊ່ວຍຊູກັນ.	Văn phòng Việt Nam, Thư ký Liên Hợp Quốc, Vương quốc Anh có nghĩa là phức tạp hơn
ບັນດາປະເທດໃນປະຊາຄົມອາຊຽນກໍແມ່ນສະມາຊິກຂອງສະຫະປະຊາຊາດ, ຕ້ອງປະຕິບັດໜ້າທີ່ ແລະຜັນຂະຫຍາຍມະຕິຂອງສະຫະປະຊາຊາດ.	Các quốc gia trong cộng đồng ASEAN là thành viên của Liên Hợp Quốc, để thực hiện các nhiệm vụ và nghị quyết của Liên Hợp Quốc.
ບັນດາປະເທດນີ້ກໍມີບົດບາດປະກອບສ່ວນເຂົ້າໃນວຽກງານຂອງສະຫະປະຊາຊາດ.	Các quốc gia này cũng góp phần vào công việc của Liên Hợp Quốc.
ທ່ານ ຫງວຽນກ໊ວກຢຸ້ງ, ຮອງລັດຖະມົນຕີກະຊວງການຕ່າງປະເທດຫວຽດນາມ.	Thủ tướng Nguyễn Trọng, Phó Bộ trưởng Ngoại giao Ngoại giao
ພາບ: ສໍານັກຂ່າວສານຫວຽດນາມ.	Ảnh: Tin tức VNA.
ດ້ວຍຖານະເປັນປະທານອາຊຽນ 2020, ພວກເຮົາສາມາດເຕົ້າໂຮມເພື່ອສ້າງຄວາມເຫັນດີເຫັນພ້ອມ ພາໃຫ້ສຽງເວົ້າຂອງຫວຽດນາມຢູ່ສະພາຄວາມໝັ້ນຄົງ ສະຫະປະຊາຊາດ ຈະແຂງແຮງກວ່າ.	Với chiếc ghế ASEAN 2020, chúng tôi có thể thu thập đồng ý với việc Việt Nam nói chuyện với các cuộc đàm phán của Việt Nam đối với Hội đồng Bảo an Liên Hợp Quốc.
ກົງກັນຂ້າມ, ບັນດາລາຍການ, ແຜນການຂອງສະຫະປະຊາຊາດ ຈະໄດ້ຮັບການຜັນຂະຫຍາຍດີກວ່າຈາກອາຊຽນ;	Ngược lại, Kế hoạch của Liên Hợp Quốc, các gói của Liên Hợp Quốc sẽ bị xóa tốt hơn từ ASEAN;
ແຜນການຂອງອາຊຽນຈະເໝາະສົມກັບເປົ້າໝາຍ, ແຜນການຂອງສະຫະປະຊາຊາດ.	Kế hoạch của ASEAN sẽ phù hợp với mục tiêu, kế hoạch của Liên Hợp Quốc.
ໂດຍເປັນປະທານອາຊຽນ 2020, ຫວຽດນາມ ຈະປະກອບສ່ວນຫຍັງແດ່ໃຫ້ແກ່ປະຊາຄົມອາຊຽນ ເພື່ອແນໃສ່ຊຸກຍູ້ເວທີປາໄສຫຼາຍຝ່າຍໃຫ້ນັບມື້ນັບຍົກສູງບົດບາດຂອງອາຊຽນ, ປະຊາຄົມສາມັກຄີ, ໝັ້ນຄົງເຂັ້ມແຂງ ແລະເຫັນດີເປັນເອກະພາບ?	Đó là bởi chiếc ghế ASEAN 2020, Việt Nam để góp phần lên ASEAN để quảng bá diễn đàn đa phương về ASEAN, mạnh mẽ, mạnh mẽ, ổn định, mạnh mẽ và dễ chịu?
ປັດຈຸບັນ, ລັດທິຫຼາຍຝ່າຍກໍ່ປະສົບກັບສິ່ງທ້າທາຍຫຼາຍຢ່າງ.	Hiện tại, các bên của tiểu bang đang trải qua nhiều thách thức.
ຫວຽດນາມຈະພ້ອມກັບບັນດາປະເທດໃນປະຊາຄົມອາຊຽນ ມານະພະຍາຍາມຮັກສາລັດທິຫຼາຍຝ່າຍ, ຮັກສາຄວາມເສລີດ້ານການຄ້າ, ລະບົບການຄ້າຫຼາຍຝ່າຍຢູ່ພາກພື້ນ.	Việt Nam cũng sẽ bao gồm các quốc gia trong cộng đồng ASEAN để cố gắng duy trì sự hợp tác, duy trì tần suất thương mại, hệ thống thương mại đa phương trong khu vực.
ຫົວຂໍ້ຂອງປີປະທານອາຊຽນ 2020 ໄດ້ຮັບການກໍານົດວ່າ: “ຄວາມສະໜິດຕິດພັນ ແລະເປັນເຈົ້າການໃນການປັບຕົວ , ສະແດງຄວາມມຸ່ງມາດປາດຖະໜາຂອງພວກເຮົາແມ່ນຢາກໃຫ້ອາຊຽນ ຍືນຍົງຄົງຕົວຕໍ່ໜ້າບັນດາການກະທົບຂອງສະພາບການຢູ່ພາກພື້ນ ແລະໃນໂລກ.	Chủ đề của Tổng thống ASEAN 2020 đã được xác định: "Đóng và ý chí kết án mong muốn của chúng tôi" - Clovation Asean liên tục muốn, ASEAN.
ເພື່ອເຮັດໄດ້ສິ່ງນັ້ນ, ອາຊຽນ ຄວນເສີມຂະຫຍາຍບົດບາດໃຈກາງ.	Để làm điều đó, ASEAN nên nâng cao vai trò trung tâm.
ຢາກເສີມ ຂະຫຍາຍບົດບາດໃຈກາງນັ້ນບັນດາສະມາຊິກອາຊຽນ ຕ້ອງສາມັກຄີກັນ, ເຫັນດີເປັນເອກະພາບ, ສະນັ້ນບົດບາດຂອງປະເທດເຈົ້າພາບແມ່ນສຸດທີ່ສໍາຄັນ.	Muốn nâng cao trung tâm của The Crush, các thành viên ASEAN phải hợp nhất, vì vậy nước chủ nhà rất quan trọng.
ນີ້ແມ່ນບັນດາບຸລິມະສິດ ເຊິ່ງຫວຽດນາມ ຢາກໃຫ້ອາຊຽນ ມີຄວາມສະໜິດຕິດພັນໃນທຸກດ້ານ, ລວມທັງລະບອບລະບຽບການ, ເສດຖະກິດ, ກໍຄື ບຸກຄະລາກອນ, ຈາກນັ້ນ ອາຊຽນ ຈະມີຫຼັກໝັ້ນລວມ, ຜົນປະໂຫຍດລວມ, ມີການປະພຶດສະເໝີຕົ້ນສະເໝີປາຍຕໍ່ກັບບັນດາບັນຫາສາກົນ ແລະພາກພື້ນ.	Đây là một trong những công suất phát sóng, ASEAN, khu vực, bao gồm các quy định, phiên tòa, hiệp hội quốc tế và khu vực.
ຂໍຮຽນທ່ານ?	Bạn có thể học?
ຂໍທ່ານໃຫ້ຮູ້ ວຽກງານກະກຽມໃຫ້ແກ່ປີປະທານອາຊຽນ 2020 ໄລ່ມາຮອດປັດຈຸບັນ ແລະບັນດາບຸລິມະສິດໃຫ້ແກ່ບົດບາດນີ້ຂອງຫວຽດນາມ ແມ່ນຫຍັງ?	Bạn có thể biết sự chuẩn bị của Tổng thống ASEAN 2020 và ưu tiên?
ໃນອາຍຸການປະທານອາຊຽນ 2020, ຫວຽດນາມ ຈະຊຸກຍູ້ 5 ບຸລິມະສິດ ລວມມີ: ທີໜຶ່ງແມ່ນ, ເສີມຂະຫຍາຍບົດບາດ ແລະການປະກອບສ່ວນຢ່າງຕັ້ງໜ້າຂອງອາຊຽນ ເຂົ້າໃນກິດຈະການຮັກສາສະພາບແວດລ້ອມສັນຕິພາບ, ຄວາມໝັ້ນຄົງ ແລະສະຖຽນລະພາບຢູ່ພາກພື້ນບົນພື້ນຖານເພີ່ມທະວີຄວາມສາມັກຄີ, ຄວາມເຫັນດີເປັນເອກະພາບຂອງອາຊຽນ;	Vào năm 2020, tuổi đáng khích lệ của Việt Nam, Việt Nam sẽ thúc đẩy: Chủ động và đóng góp của ASEAN cho sự thống nhất của sự thống nhất ASEAN;
ຍູ້ແຮງນໍ້າໃຈສະໜິດຕິດພັນ, ຊ່ວຍຊູ ແລະສະໜັນສະໜູນເຊິ່ງກັນ ແລະກັນລະຫວ່າງບັນດາປະເທດສະມາຊິກ;	Đẩy mạnh sự chú ý của dự định, giúp hỗ trợ lẫn nhau và hỗ trợ lẫn nhau giữa các quốc gia thành viên;
ຮັບມືກັບບັນດາສິ່ງທ້າທາຍທີ່ນາບຂູ່ເຖິງສັນຕິພາບ, ຄວາມໝັ້ນຄົງ ແລະສະຖຽນລະພາບຢູ່ພາກພື້ນຢ່າງທັນການ ແລະມີປະສິດທິຜົນ.	Đối phó với những thách thức đe dọa hòa bình, ổn định và ổn định trong khu vực và hiệu quả.
ທີສອງແມ່ນ, ຊຸກຍູ້ການເຊື່ອມຈອດ ແລະເຊື່ອມຕໍ່ພາກພື້ນ, ຍົກສູງຄວາມສາມາດປັບຕົວ ແລະໝູນໃຊ້ບັນດາກາລະໂອກາດຂອງການປະຕິວັດອຸດສາຫະກໍາ ຄັ້ງທີ 4, ເຊື່ອມຈອດເສດຖະກິດໃຫ້ເລິກເຊິ່ງກວ້າງຂວາງ ແລະເຊື່ອມຕໍ່ຮອບດ້ານພາຍໃນກຸ່ມ ແລະກັບບັນດາຄູ່ຮ່ວມ;	Thứ hai là, đẩy liên kết và kết nối khu vực, khai sáng chương của sửa đổi công nghiệp lần thứ 4 và đối tác trong nhóm và với quan hệ đối tác;
ຊຸກຍູ້ການເຕີບໂຕແບບຍືນຍົງ ແລະກວມລວມທາງດ້ານເສດຖະກິດ, ການເງິນ ແລະສັງຄົມບົນພື້ນຖານປ່ຽນແປງໃໝ່ປະດິດສ້າງ ແລະນໍາໃຊ້ເຕັກໂນໂລຢີດີຈີຕອນ ແລະບັນດາເຕັກໂນໂລຢີໃໝ່;	Khuyến khích tăng trưởng bền vững và bao gồm xã hội, bao gồm tài chính và xã hội trên cơ sở xây dựng mới và sử dụng công nghệ và công nghệ;
ສືບຕໍ່ມານະພະຍາຍາມຮັດແຄບຊ່ອງວ່າງໃນການພັດທະນາ...	Tiếp tục thu hẹp không gian thắt chặt lỏng lẻo trong việc phát triển ...
ທີສາມແມ່ນ, ຊຸກຍູ້ສະຕິປະຊາຄົມ ແລະສີສັນອາຊຽນ: ສ້າງບັນດາຄຸນຄ່າລວມຂອງອາຊຽນ ແລະເຜີຍແຜ່ຢ່າງກວ້າງຂວາງໃຫ້ແກ່ປະຊາຊົນ, ຊຸກຍູ້ຄວາມຮັບຮູ້ກ່ຽວກັບປະຊາຄົມອາຊຽນ ເຫັນດີເປັນເອກະພາບໃນຫຼາຍ ຮູບຫຼາຍແບບ, ຍົກສູງຮູບພາບຂອງປະຊາຄົມອາຊຽນ ຢູ່ພາກພື້ນ ແລະໃນໂລກ.	Thứ ba là, khuyến khích giá trị tổng thể ASEAN cho người dân, cộng đồng ASEAN trong khu vực và thế giới.
ທີສີ່ແມ່ນ, ຍູ້ແຮງການພົວພັນຄູ່ຮ່ວມມືເພື່ອສັນຕິພາບ ແລະການພັດທະນາແບບຍືນຍົງກັບບັນດາປະເທດໃນໂລກ, ເສີມຂະຫຍາຍບົດບາດ ແລະການປະກອບສ່ວນຂອງອາຊຽນໃນປະຊາຄົມສາກົນ;	Thứ tư là, thúc đẩy sự hợp tác cho hòa bình và phát triển ở các nước thế giới, nâng cao các nước ASEAN và đóng góp cho cộng đồng;
ເປີດກວ້າງ ແລະຍົກລະດັບການພົວພັນກັບບັນດາຄູ່ຮ່ວມມືໃນທົ່ວໂລກ, ປະກອບສ່ວນສ້າງໂຄງປະກອບ ແລະກົດໃໝ່ຢູ່ພາກພື້ນ ແລະໃນໂລກ.	Mở và nâng cấp quan hệ với quan hệ đối tác toàn cầu, góp phần vào cơ cấu và luật chính trong khu vực và trên thế giới.
ທີຫ້າແມ່ນ, ຍົກສູງຄວາມສາມາດປັບຕົວ ແລະປະສິດທິຜົນການເຄື່ອນໄຫວຂອງກົງຈັກອາຊຽນ: ປະຕິຮູບລະບອບລະບຽບການ, ເພີ່ມທະວີການເຄື່ອນໄຫວຂອງກົງຈັກອາຊຽນໃຫ້ມີປະສິດທິຜົນ;	Thứ năm là, nâng cao khả năng thích ứng và hiệu quả của các quy định, nâng cao hiệu quả của ASEAN
ດັດປັບ, ປັບປຸງ ແລະຍົກລະດັບບັນດາຂັ້ນຕອນ ແລະມາດຕະຖານໃນອາຊຽນ ໃຫ້ສົມບູນແບບ.	Điều chỉnh, cập nhật và nâng cấp các bước và tiêu chuẩn trong ASEAN.
ວຽກງານຂອງປີປະທານອາຊຽນ 2020 ແມ່ນຫຼາຍທີ່ສຸດ, ແຕ່ດ້ວຍການກະກຽມຢ່າງຮອບຄອບຖີ່ຖ້ວນໃນທຸກດ້ານ, ຈາກວຽກງານຈັດຕັ້ງ, ບຸກຄະລາກອນ ຕະຫຼອດຮອດເນື້ອໃນລ້ວນແຕ່ຜັນຂະຫຍາຍຖືກຕາມຄວາມຄືບໜ້າ ແລະຄວາມຕ້ອງການທີ່ໄດ້ວາງອອກ.	Nhiệm vụ của công việc của Chủ tịch ASEAN 2020 chủ yếu là, nhưng với sự chuẩn bị của công việc, nhân sự, do kết quả của nội dung và nhu cầu được đặt ra.
ເຖິງຢ່າງໃດກໍ່ຕາມ, ຍັງມີສິ່ງຕ່າງຢູ່ຕໍ່ໜ້າ, ສະນັ້ນ ສິິ່ງທ້າທາຍຍັງຫຼາຍຢູ່ສໍາລັບຫວຽດນາມ ໃນປີ 2020.	Tuy nhiên, có một sự khác biệt ở phía trước, vì vậy cũng thách thức thách thức đối với Việt Nam vào năm 2020.
ຂໍຂອບໃຈ!	Cảm ơn!
.	.
ໂດຍ: ໄຊຊະນະ.	Bởi: chiến thắng.
