ກປ.ອອນໄລ - ນັບແຕ່ວັນທີ 1 ມັງກອນ 2020, ຫວຽດນາມ ດໍາລົງຕໍາແໜ່ງເປັນປະທານອາຊຽນ.	Từ ngày 1 tháng 1 năm 2020, Việt Nam sẽ giữ chức chủ tịch ASEAN.
ດ້ວຍການກະກຽມຢ່າງຮີບດ່ວນ ແລະຕັ້ງໜ້າໃນທຸກດ້ານ, ການສົມທົບກັນຈາກອົງການ, ຂະແໜງການ, ທ້ອງຖິ່ນຕ່າງໆ ແລະພິເສດແມ່ນປະຊາຊົນໃນທົ່ວປະເທດ, ການສະໜັບສະໜູນຈາກບັນດາປະເທດອາຊຽນ, ເພື່ອນມິດຂອງອາຊຽນ, ຫວຽດນາມ ເຊື່ອໝັ້ນວ່າ ພ້ອມແລ້ວທີ່ຈະປະຕິບັດສໍາເລັດໜ້າທີ່ເປັນປະທານອາຊຽນ 2020 ເປັນຢ່າງດີ.	Với sự chuẩn bị khẩn trương và quyết tâm về mọi mặt, sự chung tay của các tổ chức, cơ quan, địa phương và đặc biệt là nhân dân cả nước, sự ủng hộ của các nước ASEAN, bạn bè ASEAN, Việt Nam tin tưởng đã sẵn sàng hoàn thành tốt nhiệm vụ Chủ tịch ASEAN 2020.
ທ່ານ ຫງວຽນກວກຢູງ, ຮອງລັດຖະມົນຕີກະຊວງການຕ່າງປະເທດ ເປັນປະທານກອງປະຊຸມຂ່າວກ່ຽວກັບປີເປັນປະທານອາຊຽນ 2020 ຂອງຫວຽດນາມ.	Thứ trưởng Ngoại giao Nguyễn Quốc Dũng chủ trì họp báo về chức Chủ tịch ASEAN năm 2020 của Việt Nam.
ພາບ: ສໍານັກຂ່າວສານຫວຽດນາມ.	Ảnh: Thông tấn xã Việt Nam
ນັກຂ່າວ: ຂໍຮຽນທ່ານຮອງລັດຖະມົນຕີກະຊວງການຕ່າງປະເທດ ທ່ານຈົ່ງໃຫ້ຮູ້ໃນອາຍຸການເປັນປະທານອາຊຽນ 2020, ຫວຽດນາມ ຈະຊຸກຍູ້ບັນດາເນື້ອໃນບຸລິມະສິດອັນໃດ ?	PV: Thưa Thứ trưởng, một số ưu tiên mà Việt Nam sẽ thúc đẩy trong vai trò Chủ tịch ASEAN năm 2020 là gì?
ທ່ານ ຫງວຽນກວກຢູງ, ຮອງລັດຖະມົນຕີກະຊວງການຕ່າງປະເທດຫວຽດນາມ: ພາຍໃຕ້ຫົວຂໍ້: “ສະໜິດຕິດພັນ ແລະເປັນເຈົ້າການຮັບມື , ຫວຽດນາມ ຈະຊຸກຍູ້ 5 ບຸລິມະສິດ: ທີໜຶ່ງແມ່ນຄວາມສາມັກຄີ ແລະຄວາມເປັນເອກະພາບ;	Ông Nguyễn Quốc Dũng, Thứ trưởng Bộ Ngoại giao Việt Nam, cho biết: “Việt Nam sẽ thúc đẩy 5 ưu tiên: đoàn kết, thống nhất;
ທີສອງແມ່ນ: ຜົນປະໂຫຍດດ້ານເສດຖະກິດ;	Thứ hai là: lợi ích kinh tế;
ທີສາມແມ່ນມູນຄ່າລວມ;	Thứ ba là tổng giá trị;
ທີສີ່ແມ່ນການພົວພັນຄູ່ຮ່ວມມື;	Thứ tư là quan hệ đối tác;
ທີຫ້າແມ່ນກໍາລັງຄວາມສາມາດກ່ຽວກັບລະບອບລະບຽບການ.	Thứ năm là lực lượng quản lý.
ຄວາມສາມັກຄີ ແລະຄວາມເປັນເອກະພາບແມ່ນເພື່ອກໍ່ສ້າງປະຊາຄົມອາຊຽນໃຫ້ມີຄວາມສະໜິດຕິດພັນ ແລະເປັນເຈົ້າການໃນການປັບຕົວ.	Thống nhất và đoàn kết là xây dựng một cộng đồng ASEAN gần gũi và có thẩm quyền trong việc thích ứng.
ຫວຽດນາມ ຈະຍູ້ແຮງຈິດໃຈສະໜິດຕິດພັນ, ໜູນຊ່ວຍ ແລະສະໜັບສະໜູນເຊິ່ງກັນ ແລະກັນລະຫວ່າງບັນດາປະເທດສະມາຊິກ;	Việt Nam sẽ tăng cường tinh thần quan hệ gắn bó, ủng hộ và hiểu biết lẫn nhau giữa các nước thành viên;
ເສີມຂະຫຍາຍບົດບາດໃຈກາງຂອງອາຊຽນ;	Tăng cường vai trò trung tâm của ASEAN;
ຍົກສູງຄວາມສາມາດສົມທົບກັນຕໍ່ຫຼັກໜັ້ນລວມຂອງອາຊຽນໃນການແກ້ໄຂບັນດາບັນຫາຂອງພາກພື້ນ ແລະສາກົນ...	Nâng cao khả năng phối hợp với các nguyên tắc chung của ASEAN trong giải quyết các vấn đề khu vực và quốc tế ...
ຫວຽດນາມ ຈະມານະພະຍາຍາມຊຸກຍູ້ບັນດາຈຸດຄ້າຍຄືກັນກ່ຽວກັບຜົນປະໂຫຍດດ້ານເສດຖະກິດລະຫວ່າງບັນດາປະເທດສະມາຊິກຂອງອາຊຽນ, ຄື: ເພີ່ມທະວີການຮ່ວມສໍາພັນດ້ານເສດຖະກິດ, ການແລກປ່ຽນດ້ານການລົງທຶນ ແລະການຄ້າພາຍໃນ, ປ່ຽນແປງໃໝ່ຫົວຄິດປະດິດສ້າງ, ກໍ່ສ້າງຊັບພະຍາກອນມະນຸດໃຫ້ມີຄຸນນະພາບສູງ ແລະກຳແໜ້ນບັນດາກາລະໂອກາດຂອງການປະຕະວັດອຸດສາຫະກໍາ ຄັ້ງທີ 4...	Việt Nam sẽ nỗ lực thúc đẩy các lợi ích kinh tế chung giữa các quốc gia thành viên ASEAN như tăng cường hợp tác kinh tế, đầu tư và thương mại trong nước, chuyển dịch đổi mới sáng tạo, xây dựng nguồn nhân lực chất lượng cao và nắm bắt cơ hội.
ມູນຄ່າລວມສວມບົດບາດທີສາມແມ່ນເພື່ອກໍ່ສ້າງປະຊາຄົມໃຫ້ມີຄວາມສະໜິດຕິດພັນ.	Giá trị tập thể Vai trò thứ ba là xây dựng một cộng đồng gắn kết hơn.
ຫວຽດນາມ ຈະຊຸກຍູ້ການສ້າງບັນດາມູນຄ່າລວມຂອງອາຊຽນ, ຍົກສູງຈິດໃຈພົນລະເມືອງອາຊຽນ ກໍ່ຄືຄວາມຮັບຮູ້ກ່ຽວກັບປະຊາຄົມອາຊຽນ ທີ່ເປັນເອກະພາບໃນຫຼາຍຮູບຫຼາຍແບບຢູ່ພາກພື້ນ ແລະໃນໂລກ.	Việt Nam sẽ thúc đẩy việc tạo dựng các giá trị chung của ASEAN, nâng cao tinh thần của người dân ASEAN và nâng cao nhận thức về một cộng đồng ASEAN đoàn kết dưới nhiều hình thức trong khu vực và trên thế giới.
ວິວັດທະນາການກໍ່ສ້າງປະຊາຄົມອາຊຽນ ບໍ່ອາດຂາດໄດ້ການສະໜັບສະໜູນ ແລະການປະກອບສ່ວນຈາກບັນດາປະເທດຄູ່ຮ່ວມມື, ບັນດາອົງການຈັດຕັ້ງໃນພາກພື້ນ ແລະສາກົນ.	Sự phát triển của Cộng đồng ASEAN là tất yếu cần có sự hỗ trợ và đóng góp của các nước đối tác, các tổ chức khu vực và quốc tế.
ຫວຽດນາມ ຕ້ອງຍູ້ແຮງບັນດາກົນໄກ ເຊິ່ງອາຊຽນກໍ່ສ້າງ ກໍ່ຄືຊັກຈູງ, ພ້ອມກັນນັ້ນຊຸກຍູ້ການພົວພັນຄູ່ຮ່ວມມືເພື່ອສັນຕິພາບ ແລະການພັດທະນາແບບຍືນຍົງກັບປະເທດຕ່າງໆໃນໂລກ...	Việt Nam phải củng cố các cơ chế mà ASEAN đã xây dựng và khuyến khích, cũng như thúc đẩy quan hệ đối tác vì hòa bình và phát triển bền vững với các nước trên thế giới.
ສຸດທ້າຍແມ່ນຍົກສູງກໍາລັງຄວາມສາມາດ, ປະສິດທິຜົນຂອງລະບອບລະບຽບການ, ນຳໃຊ້ພື້ນຖານດ້ານວັດຖຸທີ່ມີຢູ່ແລ້ວ, ຕົວຢ່າງຄືສໍານັກງານແຫ່ງໃໝ່ຂອງອາຊຽນ ຢູ່ Jakarta, ອິນໂດເນເຊຍ.	Cuối cùng là nâng cao năng lực, hiệu quả của hệ thống quản lý, tận dụng cơ sở vật chất hiện có, ví dụ như Trụ sở ASEAN tại Jakarta, Indonesia.
ນັກຂ່າວ: ຂໍຂອບໃຈ!	PV: Xin cảm ơn!
ໂດຍ: ທູຈາງ.	Bởi: Tu Zhang.
