ກປ.ອອນໄລ - ກ່ອນນີ້ 100 ປີ, ການປະຕິວັດເດືອນຕຸລາລັດ ເຊຍ ໂດຍ V.I.	Cách đây 100 năm, Cách mạng Tháng Mười Nga do V.I.
ສາຍພົວພັນລະຫວ່າງການກໍ່ສ້າງກັບການປົກປັກຮັກສາປະເທດຊາດສັງຄົມນິຍົມ.	Mối quan hệ giữa xây dựng và bảo vệ Tổ quốc xã hội chủ nghĩa.
ບັນດາບົດຮຽນເຊິ່ງພັກກອມມູນິດຫວຽດນາມ ແລະປະທານ ໂຮ່ຈິມິນ ໄດ້ຮັບເອົາຈາກການປະຕິວັດເດືອນຕຸລາ ລັດເຊຍ, ໄດ້ໝູນໃຊ້ຢ່າງມີຫົວຄິດປະດິດສ້າງໃນເງື່ອນໄຂຕົວຈິງຂອງ ຫວຽດນາມ.	Những bài học kinh nghiệm của Đảng Cộng sản Việt Nam và Chủ tịch Hồ Chí Minh từ Cách mạng Tháng Mười Nga đã được vận dụng sáng tạo vào thực tiễn Việt Nam.
ປະທານ ໂຮ່ຈິມິນ ແລະພັກກອມມູນິດຫວຽດນາມ ຢືນຢັນ, ການຕໍ່ສູ້ປົດປ່ອຍຊາດຕ້ອງໄປຕາມເສັ້ນທາງປະຕິວັດກຳມະຊີບ, “ບໍ່ມີເສັ້ນທາງໃດອື່ນອີກ.	Chủ tịch Hồ Chí Minh và Đảng Cộng sản Việt Nam khẳng định cuộc đấu tranh giải phóng dân tộc phải đi theo con đường cách mạng chuyên nghiệp, “Không có con đường nào khác.
ນັບແຕ່ການປະຕິວັດສັງຄົມນິຍົມເດືອນຕຸລາ ລັດເຊຍ ຍາດໄດ້ໄຊຊະນະເປັນເວລາໜຶ່ງສະຕະວັດ, ມວນມະນຸດໄດ້ເຫັນປະຈັກຕາການປ່ຽນແປງຫຼາຍຢ່າງຂອງປະຫວັດສາດ.	Kể từ thắng lợi của Cách mạng xã hội chủ nghĩa tháng Mười Nga cách đây nửa thế kỷ, quần chúng nhân dân đã chứng kiến nhiều biến động của lịch sử.
ແຕ່ວ່າບັນດາຄຸນຄ່າພື້ນຖານຂອງການປະຕິວັດເດືອນຕຸລາ ລັດເຊຍ ເວົ້າລວມ, ບັນດາຄຸນຄ່າພື້ນຖານຂອງການປະຕິວັດເດືອນຕຸລາ ລັດເຊຍ ກ່ຽວກັບການປົກປັກຮັກສາປະເທດຊາດສັງຄົມນິຍົມເວົ້າສະເພາະສືບຕໍ່ສ່ອງແສງສະຫວ່າງ, ເຍືອງສ່ອງໃຫ້ພາລະກິດຕໍ່ສູ້ປົດປ່ອຍຂອງບັນດາຊົນຊາດຖືກກົດຂີ່ຂູດຮີດ, ກໍ່ຄືພາລະກິດກໍ່ສ້າງ ແລະປົກປັກຮັກສາປະເທດຊາດສັງຄົມນິຍົມ.	Nhưng những giá trị cơ bản của Cách mạng Tháng Mười Nga nói chung, những giá trị cơ bản của Cách mạng Tháng Mười Nga về bảo vệ Tổ quốc xã hội chủ nghĩa nói riêng vẫn tiếp tục soi sáng sứ mệnh đấu tranh giải phóng dân tộc. , cũng như sứ mệnh xây dựng và bảo vệ quốc gia.
ຈົງຮັກພັກດີ ແລະໝູນໃຊ້, ພັດທະນາທິດສະດີຂອງ V.I.	Trung thành và vận dụng, phát triển lý luận của V.I.
ເລນິນ ກ່ຽວກັບການປົກປັກຮັກສາປະເທດຊາດສັງຄົມນິຍົມເຊິ່ງໄດ້ຖອດຖອນຈາກພຶດຕິກຳຕົວຈິງຂອງການປະຕິວັດເດືອນຕຸລາລັດເຊຍ, ໃນວິວັດການນຳພາພາລະກິດປົກປັກຮັກສາປະເທດຊາດສັງຄົມນິຍົມຢູ່ພາກເໜືອແຕ່ປີ 1954 ແລະໃນທົ່ວປະເທດນັບແຕ່ພາຍຫຼັງໄຊຊະນະຂອງການບຸກໂຈມຕີຄັ້ງໃຫຍ່ ແລະລຸກຮຶ້ຂຶ້ນລະດູບານໃໝ່ປີ 1975 ຢ່າງມີຫົວຄິດປະດິດສ້າງ, ພັກກອມມູນິດຫວຽດນາມ ໄດ້ວາງອອກທິດທາງ, ໜ້າທີ່ປົກປັກຮັກສາປະເທດຊາດຫວຽດນາມ ສັງຄົມນິຍົມຖືກຕ້ອງ, ມີຫົວຄິດປະດິດສ້າງ;	Lê-nin bảo vệ chủ nghĩa xã hội dân tộc xuất phát từ hành vi thực tiễn của cách mạng Tháng Mười Nga trong quá trình phát triển, lãnh đạo sứ mệnh bảo vệ Tổ quốc chủ nghĩa xã hội ở miền Bắc từ năm 1954 và trên cả nước kể từ sau chiến thắng phong kiến và đứng chân mùa xuân năm 1975 với tư tưởng Đổi mới, Đảng Cộng sản Việt Nam đã có những chủ trương, đường lối bảo vệ Tổ quốc xã hội chủ nghĩa đúng đắn, có những đổi mới;
ໄດ້ຜັນຂະຫຍາຍການຈັດຕັ້ງປະຕິບັດນຳມາໃຫ້ບັນດາຜົນງານອັນໃຫຍ່ຫຼວງ, ຮອບດ້ານ, ຮັບປະກັນໃຫ້ປະເທດຊາດຫວຽດນາມ ສັງຄົມນິຍົມໄດ້ຮັບການປົກປັກຮັກສາຢ່າງໝັ້ນຄົງ, ສ້າງພື້ນຖານໃຫ້ແກ່ການຈັດຕັ້ງ ແລະຜັນຂະຫຍາຍພາລະກິດກໍ່ສ້າງປະເທດຊາດໃນທຸກຂົງເຂດຂອງຊີວິດສັງຄົມ, ບັນລຸໄດ້ບັນດາຜົນງານໃຫຍ່ຫຼວງ, ມີຄວາມໝາຍປະຫວັດສາດ, ປະຕິບັດການຫັນເປົ້າໝາຍປະຊາຊົນຮັ່ງມີ, ປະເທດຊາດເຂັ້ມແຂງ, ປະຊາທິປະໄຕ, ຍຸຕິທຳ ແລະສີວິໄລໃຫ້ເປັນຮູບປະທຳເທື່ອລະກ້າວ.	(VOVworld) - Chúng ta đã thực hiện những thành tựu to lớn, toàn diện, bảo đảm bảo vệ vững chắc Tổ quốc Việt Nam xã hội chủ nghĩa, làm nền tảng cho việc tổ chức và triển khai nhiệm vụ xây dựng đất nước trên mọi lĩnh vực của đời sống xã hội, được quốc gia và các mục tiêu cách mạng, và đạt được các mục tiêu quốc gia và cách mạng.
ໃນຍຸກສະໄໝໃໝ່, ພາລະກິດປົກປັກຮັກສາປະເທດຊາດຫວຽດນາມ ສັງຄົມນິຍົມສືບຕໍ່ດຳເນີນໃນສະພາບການໃໝ່, ດ້ວຍບັນດາຂໍ້ສັງເກດສຸດທີ່ສຳຄັນຂອງພັກກອມມູນິດຫວຽດນາມ ກ່ຽວກັບສະພາວະສາກົນ, ພາກພື້ນ ແລະພາຍໃນປະເທດ.	Trong thời kỳ mới, sứ mệnh bảo vệ Tổ quốc Việt Nam xã hội chủ nghĩa tiếp tục trong bối cảnh nguyện vọng, với những nhận xét quan trọng nhất của Đảng Cộng sản Việt Nam về tình hình quốc tế, khu vực và trong nước.
“ໂຄງການກໍ່ສ້າງປະເທດຊາດໃນໄລຍະຂ້າມຜ່ານກ້າວຂຶ້ນສັງຄົມນິຍົມ (ປັບປຸງ, ພັດທະນາ ປີ 2011) ຊີ້ແຈ້ງວ່າ: ລັກສະນະພົ້ນເດັ່ນໃນໄລຍະປັດຈຸບັນຂອງຍຸກສະໄໝແມ່ນບັນດາປະເທດດ້ວຍລະບອບສັງຄົມ ແລະລະດັບພັດທະນາແຕກຕ່າງກັນພ້ອມກັນຄົງຕົວ, ທັງຮ່ວມມືທັງຕໍ່ສູ້, ແກ່ງແຍ້ງຢ່າງຂ້ຽວຂາດເພື່ອຜົນປະໂຫຍດຂອງປະເທດ, ຊົນຊາດ.	“Đề án xây dựng đất nước trong thời kỳ quá độ lên chủ nghĩa xã hội (sửa đổi, bổ sung năm 2011) nêu rõ: Đặc điểm nổi bật của thời đại hiện nay là các nước có chế độ xã hội và trình độ phát triển khác nhau đều ổn định, hợp tác và đấu tranh vì lợi ích của dân tộc.
ການຕໍ່ສູ້ຂອງປະຊາຊົນບັນດາປະເທດເພື່ອສັນຕິພາບ, ເອກະລາດແຫ່ງຊາດ, ປະຊາທິປະໄຕ, ພັດທະນາ ແລະຄວາມກ້າວໜ້າສັງຄົມ, ເຖິງວ່າຈະປະສົບຄວາມຫຍຸ້ງຍາກ, ສິ່ງທ້າທາຍຫຼາຍຢ່າງ, ແຕ່ຈະມີບັນດາບາດກ້າວໃໝ່.	Cuộc đấu tranh của nhân dân các nước vì hòa bình, độc lập dân tộc, dân chủ, phát triển và tiến bộ xã hội tuy còn nhiều khó khăn, thách thức nhưng sẽ có những bước tiến mới.
ຕາມກົດເກນແຫ່ງການຈະເລີນກ້າວໜ້າຂອງປະຫວັດສາດ, ມວນມະນຸດຈະກ້າວຂຶ້ນສັງຄົມນິຍົມຢ່າງແນ່ນອນ.	Theo quy luật tiến bộ của lịch sử, quần chúng nhân dân nhất định sẽ tiến lên chủ nghĩa xã hội.
ເອກະສານກອງປະຊຸມໃຫຍ່ຄັ້ງທີ XII ຂອງພັກສືບຕໍ່ຊີ້ແຈ້ງວ່າ: ສະຖານະການການເມືອງ-ຄວາມໝັ້ນຄົງສາກົນມີການປ່ຽນແປງຢ່າງວ່ອງໄວ, ຜັນແປໄປຢ່າງສັບສົນ, ຍາກທີ່ຈະຄາດຄະເນລ່ວງໜ້າໄດ້.	Văn kiện Đại hội XII của Đảng nhận định thêm, tình hình an ninh - chính trị quốc tế diễn biến nhanh chóng, phức tạp, khó lường.
ບັນດາປະກົດການຂອງລັດທິຫົວຮຸນແຮງ, ລັດທິເຫັນແກ່ປະໂຫຍດນັບມື້ນັບປະກົດຕົວຂຶ້ນໃນການພົວພັນສາກົນ.	Hiện tượng cực đoan, ích kỷ ngày càng nổi lên trong quan hệ quốc tế.
ການຂັດແຍ່ງຜືນແຜ່ນດິນ, ອະທິປະໄຕທະເລ, ເກາະໃນພາກພື້ນ ແລະບົນທະເລຕາເວັນອອກສືບຕໍ່ມີການຜັນແປໄປຢ່າງຂ້ຽວຂາດ, ສັບສົນ.	Xung đột về chủ quyền đất liền, biển, đảo trong khu vực và trên Biển Đông tiếp tục diễn biến.
ສະພາບການເຊື່ອມທາດຂາດຄຸນດ້ານແນວຄິດການເມືອງ, ຄຸນສົມບັດ, ວິຖີຊີວິດ, ບັນດາປະກົດການ “ຜັນແປໂດຍ ຕົນເອງ , “ປ່ຽນແປງໂດຍຕົນເອງ ໃນໝູ່ພະນັກງານ, ສະມາຊິກພັກ, ລັດຖະກອນ, ພາລະກອນພາກສວ່ນໜຶ່ງ ແລະໄພອາດຍາສິດ, ສໍ້ຫຼາດບັງຫຼວງ, ຟຸມເຟືອຍມີການຜັນແປໄປຢ່າງສັບສົນ...	Suy thoái về tư tưởng chính trị, trình độ, lối sống, hiện tượng “tự sửa”, tự thay đổi trong đội ngũ cán bộ, đảng viên, công chức, kiêm nhiệm và tội phạm, tham nhũng, xa hoa diễn biến phức tạp ...
ໃນເງື່ອນໄຂນັ້ນ, ຍິ່ງກວ່າເວລາໃດໝົດ, ພວກເຮົາຕ້ອງສືບຕໍ່ເສີມຂະຫຍາຍບັນດາຄຸນຄ່າຂອງການປະຕິວັດເດືອນຕຸລາ ລັດເຊຍ, ໂດຍສະເພາະແມ່ນຄຸນຄ່າຂອງການປະຕິວັດເດືອນຕຸລາ ລັດເຊຍ ໃນການປົກປັກຮັກສາໝາກຜົນແຫ່ງການປະຕິວັດ, ປົກປັກຮັກສາປະເທດຊາດສັງຄົມນິຍົມ;	Trong bối cảnh đó, hơn bao giờ hết, chúng ta phải tiếp tục phát huy những giá trị của Cách mạng Tháng Mười Nga, nhất là những giá trị của Cách mạng Tháng Mười Nga trong bảo vệ tác dụng của cách mạng, bảo vệ Tổ quốc xã hội chủ nghĩa;
ຈົງຮັກພັກດີ, ໝູນໃຊ້ ແລະຂະຫຍາຍທິດສະດີຂອງ V.	Trung thành, vận dụng và mở rộng lý thuyết của V.
I.	TÔI.
ເລນິນ ກ່ຽວກັບການປົກປັກຮັກສາປະເທດຊາດສັງຄົມນິຍົມຢ່າງມີຫົວຄິດປະດິດສ້າງ, ເໝາະສົມກັບເງື່ອນໄຂສະພາບການປະຫວັດສາດຕົວຈິງຢູ່ປະເທດຫວຽດນາມ ໃນປັດຈຸບັນ.	Lê-nin về đổi mới bảo vệ Tổ quốc xã hội chủ nghĩa, thích ứng với điều kiện thực tế lịch sử Việt Nam hiện nay.
ໃນນັ້ນ, ຕ້ອງສືບຕໍ່ຢັ້ງຢືນບັນດາບັນຫາພື້ນຖານທີ່ສຸດກ່ຽວກັບເປົ້າໝາຍ, ໜ້າທີ່ປົກປັກຮັກສາເອກະລາດ, ອະທິປະໄຕ, ເອກະພາບ, ຜືນແຜ່ນດິນອັນຄົບຖ້ວນ ແລະລະບອບສັງຄົມນິຍົມ;	Muốn vậy, chúng ta phải tiếp tục khẳng định những vấn đề cơ bản nhất liên quan đến mục tiêu, mục tiêu bảo vệ độc lập, chủ quyền, thống nhất, toàn vẹn lãnh thổ và chủ nghĩa xã hội;
ສົມທົບຢ່າງແໜ້ນແຟ້ນລະຫວ່າງການສ້າງສາ ແລະປົກປັກຮັກສາປະເທດຊາດຕາມຈິນຕະນາການໃໝ່ກ່ຽວກັບການປົກປັກຮັກສາປະເທດຊາດຫວຽດນາມ ສັງຄົມນິຍົມໃນໄລຍະໃໝ່.	Kết hợp chặt chẽ giữa xây dựng và bảo vệ Tổ quốc gắn với nguyện vọng bảo vệ Tổ quốc Việt Nam xã hội chủ nghĩa trong tương lai gần.
ຕາມນັ້ນ, ຕ້ອງເບິ່ງແຍງດູແລເຖິງການກໍ່ສ້າງປະເທດໃຫ້ເຂັ້ມແຂງທຸກດ້ານ, ມີເສດຖະກິດພັດທະນາ;	Vì vậy, phải chăm lo xây dựng đất nước vững mạnh về mọi mặt, có nền kinh tế phát triển;
ການເມືອງ, ສັງຄົມໝັ້ນຄົງ;	Chính trị, xã hội ổn định;
ວັດທະນະທຳກ້າວໜ້າເຂັ້ມຂົ້ນໄປດ້ວຍສີສັນຊາດ;	Văn hóa tiến bộ, đậm đà màu sắc dân tộc;
ດ້ານປ້ອງກັນຊາດ, ປ້ອງກັນຄວາມສະຫງົບໄດ້ຮັບການປັບປຸງ ແລະເພີ່ມທະວີຢ່າງບໍ່ຢຸດຢັ້ງ;	Quốc phòng, an ninh không ngừng được cải thiện và mở rộng;
ການພົວພັນຕ່າງປະເທດນັບມື້ນັບເປີດກ້ວາງ.	Quan hệ đối ngoại ngày càng rộng mở.
ຕ້ອງເບິ່ງແຍງດູແລເຖິງການກໍ່ສ້າງພື້ນຖານປ້ອງກັນຊາດທົ່ວປວງຊົນ, ຮອບດ້ານ, ນັບມື້ນັບທັນສະໄໝ.	Phải chăm lo xây dựng nền quốc phòng toàn diện, vững chắc.
ກໍ່ສ້າງກຳລັງປະກອບອາວຸດປະຊາຊົນ, ກອງທັບປະຊາຊົນ ແລະຕຳຫຼວດປະຊາຊົນປະຕິວັດ, ໃຫ້ກາຍເປັນກຳລັງຫຼວງ, ຍອດຢ້ຽມ, ທັນສະໄໝເທື່ອລະກ້າວ, ພິເສດແມ່ນກໍ່ສ້າງດ້ານການເມືອງໃຫ້ໝັ້ນຄົງເຂັ້ມແຂງເພື່ອເປັນພື້ນຖານຍົກສູງຄຸນນະພາບສັງລວມ ແລະກຳລັງແຮງສູ້ຮົບຂອງບັນດາກຳລັງປະກອບອາວຸດປະຊາຊົນ.	Xây dựng Lực lượng vũ trang nhân dân, Quân đội nhân dân và Công an nhân dân cách mạng trở thành lực lượng to lớn, xuất sắc, từng bước hiện đại, nhất là xây dựng cơ sở chính trị vững mạnh để nâng cao chất lượng tổng hợp và sức mạnh chiến đấu của LLVT nhân dân.
ເພີ່ມທະວີບົດບາດນຳພາຂອງພັກ, ເສີມຂະຫຍາຍບົດບາດຈັດຕັ້ງ, ຄຸ້ມຄອງ, ບໍລິຫານຂອງລັດສັງຄົມນິຍົມ, ຂອງບັນດາອົງການການເມືອງ-ສັງຄົມ, ຫັນບັນດາຄຸນຄ່າຂອງການປະຕິວັດເດືອນຕຸລາ ລັດເຊຍ ໂດຍສະເພາະແມ່ນຄຸນຄ່າຂອງການປະຕິວັດເດືອນຕຸລາ ລັດເຊຍ ກ່ຽວກັບການປົກປັກຮັກສາຜົນຂອງການປະຕິວັດ, ປົກປັກຮັກສາປະເທດຊາດສັງຄົມນິຍົມ;	Tăng cường vai trò lãnh đạo của Đảng, tăng cường tổ chức, quản lý, điều hành của Nhà nước xã hội chủ nghĩa, của các tổ chức chính trị - xã hội, biến những giá trị của Cách mạng Tháng Mười thành tiếng Nga, nhất là những giá trị của Cách mạng Tháng Mười về bảo vệ thành quả của cách mạng, bảo vệ Tổ quốc xã hội chủ nghĩa;
ບັນດາແນວຄິດຂອງ V.	Những ý tưởng của V.
I ເລນິນ ກ່ຽວກັບການປົກປັກຮັກສາປະເທດຊາດສັງຄົມນິຍົມໃຫ້ເປັນກຳລັງແຮງຕົວຈິງໃນທົ່ວປະເທດຫວຽດນາມ.	Lê-nin về bảo vệ Tổ quốc xã hội chủ nghĩa với tư cách là lực lượng thực sự trên toàn đất nước Việt Nam.
ແປໂດຍ: ຮຸຍດົງ.	Dịch bởi: Huy Đông.
