ກປ.ອອນໄລ - ປີ 2018 ເປັນຄັ້ງທໍາອິດທີ່ຫວຽດນາມເຂົ້າຮ່ວມງານແຂ່ງຂັນການທະຫານສາກົນ (International Army Games) ໂດຍສະຫະພັນລັດເຊຍ ຈັດຕັ້ງ.	2018 - Lần đầu tiên Việt Nam tham dự Đại hội thể thao quân đội quốc tế do Liên bang Nga tổ chức.
ລາວ ໄດ້ໂອ້ລົມກັບສະມາຊິກໃນທີມເຮືອນຄົວກາງສະໜາມຂອງຫວຽດນາມ.	Anh trao đổi với các thành viên trong nhóm Bếp Việt Miền Trung.
Yulia Andreeva ມັກກິນເຍື່ອງອາຫານແນມທີ່ສຸດ ແລະຍັງຢາກຮູ້ຈັກວິທີເຮັດອາຫານເຍື່ອງນີ້ອີກດ້ວຍ.	Yulia Andreeva rất thích ăn đồ cay và cũng muốn biết cách chế biến món ăn ngon này.
ລາວແບ່ງປັນວ່າ: ໃນຈໍານວນ 12 ຄະນະທີ່ເຂົ້າຮ່ວມການແຂ່ງຂັນໃນຄັ້ງນີ້, ອາຫານຂອງຫວຽດນາມມີຄວາມແຕກຕ່າງກັນຫຼາຍ ແລະແຊບອີ່ຫຼີເມື່ອຈໍ້າກັບນໍ້າແຈ່ວໂດຍຄະນະຫວຽດນາມປຸງແຕ່ງ.	Anh chia sẻ, trong số 12 đội tham gia cuộc thi này, món ăn Việt Nam rất khác biệt và ngon khi ăn kèm với món mì Việt Nam do chính đội Việt Nam nấu.
ຜ່ານຜ່າສິ່ງທ້າທາຍ	Vượt qua những thách thức
ໃນຈໍານວນ 3 ເນື້ອໃນແຂ່ງຂັນ, ເຮືອນຄົວກາງສະໜາມແມ່ນສິ່ງທ້າທາຍທີ່ບໍ່ນ້ອຍສໍາລັບທີມຫວຽດນາມ.	Trong ba nội dung thi, Bếp ăn miền Trung là thử thách lớn đối với đội Việt Nam.
ລາຍການແຂ່ງຂັນນີ້ລວມມີ: ຍິງປືນ, ແຕ່ງກິນກັບວັດຖຸດິບໂດຍຄະນະຈັດຕັ້ງສະໜອງ ແລະເຮັດເຂົ້າຈີ່.	Phần thi bao gồm: bắn súng, nấu ăn với các nguyên liệu do ban tổ chức và làm bánh mì.
ທີມຫວຽດນາມ ບໍ່ພຽງແຕ່ຂາດຂໍ້ມູນກ່ຽວກັບການແຂ່ງຂັນເທົ່ານັ້ນ ຫາກຍັງບັນດາສະມາຊິກໃນທີມຫວຽດນາມ ຍັງຕ້ອງຮຽນຮູ້ວິທີນໍາໃຊ້ບັນດາພາຫະນະ, ອາວຸດ-ຍຸດໂທປະກອນທີ່ທັນສະໄໝ ເຊິ່ງເປັນຄັ້ງທໍາອິດທີ່ໄດ້ສໍາຜັດ.	Đội tuyển Việt Nam không chỉ thiếu thông tin về cuộc thi mà các thành viên của đội tuyển Việt Nam lần đầu tiên phải học cách sử dụng các phương tiện, vũ khí, khí tài hiện đại.
ຄຽງຂ້າງນັ້ນ, ລາຍການອາຫານຂອງຄະນະຈັດຕັ້ງ ຮຽກຮ້ອງແມ່ນບັນດາເຍື່ອງອາຫານຂອງລັດເຊຍ, ໃນນັ້ນມີລາຍການປີ້ງເຂົ້າຈີ່.	Ngoài ra, thực đơn của ban tổ chức gọi các món ngon của Nga, trong đó có bánh mì nướng.
ນີ້ບໍ່ແມ່ນທ່າແຮງຂອງທີມຫວຽດນາມ.	Đây không phải là tiềm năng của đội tuyển Việt Nam.
ແຕ່ວ່າເພື່ອເສີມຂະຫຍາຍຄຸນທາດທະຫານລຸງໂຮ່ ນັ້ນ “ໜ້າທີ່ໃດກໍ່ຕ້ອງປະຕິບັດໃຫ້ສໍາເລັດ, ຄວາມຫຍຸ້ງຍາກໃດກໍ່ຕ້ອງຜ່ານຜ່າ , ບັນດານາຍທະຫານ, ນັກຮົບຂອງກອງທັບປະຊາຊົນຫວຽດນາມ ໄດ້ມານະພະຍາຍາມ, ແກ້ໄຂຄວາມຫຍຸ້ງຍາກ, ເປັນເຈົ້າການໃນການນໍາໃຊ້ພາຫະນະ, ອາວຸດ-ຍຸດໂທປະກອນໂດຍໄວ ເພື່ອປະຕິບັດສໍາເລັດເນື້ອໃນລາຍການຂອງຕົນເປັນຢ່າງດີ.	Tuy nhiên, để củng cố tài năng quân sự của Bác, Bác nói: “Nơi nào có khó khăn vướng mắc thì phải khắc phục, cán bộ, chiến sĩ Quân đội nhân dân Việt Nam đến nơi, đến chốn.
ພິເສດຢູ່ທີ່ລາຍການແຂ່ງຂັນຍິງປືນ, ທີມເຮືອນຄົວກາງສະໜາມຫວຽດນາມ ບັນລຸໄດ້ 101/120 ຄະແນນ, ລື່ນກາຍທີມເຈົ້າພາບລັດເຊຍ (95 ຄະແນນ) ແລະຢືນອັນດັບທີ 2, ຖັດຈາກທີມ ສປ ຈີນ.	Ở phần thi bắn súng, đội Bếp Trung Việt đạt 101/120 điểm, vượt qua đội chủ nhà Nga (95 điểm) và xếp thứ 2, sau đội Trung Quốc.
ນີ້ແມ່ນໝາກຜົນທີ່ບໍ່ໄດ້ຄາດຄິດສໍາລັບບັນດາທີມ.	Đây là một kết quả ngoài mong đợi của các đội.
ເຂົ້າຮ່ວມງານແຂ່ງຂັນຢູ່ສະຫະພັນລັດເຊຍເປັນເວລາເຄິ່ງເດືອນ, ສິ່ງທີ່ທີມຫວຽດນາມ ຮູ້ສຶກໄດ້ຢ່າງຈະແຈ້ງທີ່ສຸດແມ່ນການຊ່ວຍເຫຼືອຢ່າງສຸດອົກສຸດໃຈ, ເປັນມິດຂອງເພື່ອນມິດສາກົນ, ພິເສດແມ່ນປະເທດເຈົ້າພາບສະຫະພັນລັດເຊຍ.	Tham gia thi đấu tại Liên bang Nga trong nửa tháng, điều mà đội tuyển Việt Nam cảm nhận rõ nhất là sự ủng hộ hết lòng, thân thiện của bạn bè quốc tế, đặc biệt là nước chủ nhà Liên bang Nga.
ໂດຍຮູ້ວ່າ, ຫວຽດນາມ ເປັນຄັ້ງທໍາອິດທີ່ເຂົ້າຮ່ວມການແຂ່ງຂັນ, ນາຍທະຫານ Viacheslav Dmitry ໄດ້ຮັບມອບໝາຍໜ້າທີ່ຮັບຜິດຊອບແນະນໍາທີມເຮືອນຄົວກາງສະໜາມຂອງຫວຽດນາມ ຮູ້ຈັກວິທີນໍາໃຊ້ພາຫະນະອາວຸດ-ຍຸດໂທປະກອນຢ່າງລະອຽດ, ພ້ອມກັນນັ້ນກໍ່ແນະນໍາໃຫ້ທີມຫວຽດນາມ ຮູ້ຈັກວິທີປຸງແຕ່ງບັນດາເຍື່ອງອາຫານຂອງລັດເຊຍ ອີກດ້ວຍ.	Được biết Việt Nam là quốc gia đầu tiên tham gia cuộc thi, Viacheslav Dmitry được giao nhiệm vụ hướng dẫn đội Bếp Trung Việt cách sử dụng vũ khí, trang thiết bị kỹ lưỡng, cũng như hướng dẫn đội Việt Nam cách nấu các món ăn Nga.
International Army Games 2018 ໄດ້ອັດລົງ, ແຕ່ບັນດາອານຸສອນກ່ຽວກັບປະເທດລັດເຊຍ, ກ່ຽວກັບອາລົມຈິດຢ່າງຈິງໃຈຂອງເພື່ອນມິດສາກົນຍັງໄດ້ຈາລຶກໄວ້ໃນດວງໃຈຂອງບັນດາສະມາຊິກທີມເຮືອນຄົວກາງສະໜາມຫວຽດນາມ.	Hội thao Quân đội Quốc tế 2018 đã khép lại, nhưng những kỷ niệm về đất nước Nga, những tình cảm chân thành của bạn bè quốc tế vẫn còn khắc sâu trong trái tim các thành viên của đội Bếp Trung Việt.
ກົງກັນຂ້າມ, ຮູບພາບທະຫານລຸງໂຮ່ ຍາມໃດກໍ່ເປັນເຈົ້າການ, ປະດິດຄິດສ້າງ, ຜ່ານຜ່າຄວາມຫຍຸ້ງຍາກນາໆປະການເພື່ອປະຕິບັດສໍາເລັດໜ້າທີ່ ກໍ່ຈະບໍ່ຈາງຫາຍໄປຈາກດວງໃຈຂອງບັນດາເພື່ອນມິດສາກົນ.	Ngược lại, hình ảnh Bác Hồ luôn tinh thông, đổi mới, trải qua bao gian nan thử thách vẫn không bao giờ phai nhạt trong lòng bạn bè quốc tế.
ໂດຍ: ໄຊຊະນະ.	Bởi: Chiến thắng.
