ນັກຂ່າວ: ເອກະສານທັດສະນະອາຊຽນ ກ່ຽວກັບມະຫາສະໝຸດອິນເດຍ - ປາຊີຟິກ ໄດ້ຮັບການຮັບຮອງເອົາແລ້ວ.	Nhà báo: Quan điểm ASEAN trên Ấn Độ Dương - Thái Bình Dương đã được thông qua.
ເຖິງຢ່າງໃດກໍ່ຕາມ, ໃນສະພາບການບັນດາປະເທດໃຫຍ່ແກ່ງແຍ້ງກັນ, ລັດທິອາລັກຂາເພີ່ມຂຶ້ນ, ບັນດາຫຼັກການ, ບັນທັດຖານ, ກົດໝາຍ ທີ່ໄດ້ເປັນຮູບເປັນຮ່າງມີແຕ່ເຫິງນານຂອງລະບົບການຄ້າຫຼາຍຝ່າຍຢືນຢູ່ຕໍ່ໜ້າສິ່ງທ້າທາຍ, ສິ້ນສຸດການເຈລະຈາ RCEP ຈະສົ່ງສານທີ່ມີຄວາມໝາຍດ້ານການເມືອງສຳຄັນ, ລະບົບການຄ້າຫຼາຍຝ່າຍເປີດ, ໂປ່ງໃສ, ກວມລວມ ແລະອີງຕາມລະບຽບກົດໝາຍ.	Tuy nhiên, trong tình hình của các quốc gia bị mâu thuẫn, tiểu bang của khu vực, vụ kiện, luật pháp, luật pháp, luật pháp, luật pháp, luật pháp, luật pháp, luật pháp)
ພ້ອມກັບຄວາມຕັດສິນໃຈຂອງບັນດາປະເທດ, ການເຈລະຈາພວມໄດ້ຮັບການຊຸກຍູ້ເພື່ອສາມາດຮັດແຄບຊ່ອງຫວ່າງລະຫວ່າງປະເທດຕ່າງໆເພື່ອແນໃສ່ກ້າວໄປເຖິງບັນລຸໄດ້ເປົ້າໝາຍສິ້ນສຸດການເຈລະຈາ RCEP ໃນປີນີ້.	Với quyết định của các quốc gia, việc đàm phán được khuyến khích thu hẹp những khoảng trống quốc tế để đạt được kết thúc các cuộc đàm phán RCEP trong năm nay.
ນັກຂ່າວ: ສຳລັບບັນຫາທະເລຕາເວັນອອກ, ຂໍທ່ານຮອງລັດຖະມົນຕີໃຫ້ຮູ້ການຜັນແປ ແລະທັດສະນະຂອງປະເທດຕ່າງໆທີ່ກອງປະຊຸມຄັ້ງນີ້?	Nhà báo: Đối với vấn đề Biển Đông, yêu cầu phó thủ tướng của đất nước tại quốc gia tại cuộc họp này?
ທ່ານ ຫງວຽນກ໊ວກຢູງ ຮອງລັດຖະມົນຕີການຕ່າງປະເທດຫວຽດນາມ: ດ້ວຍຄວາມສຳຄັນຂອງຕົນ, ການຜັນແປອ້ອມຂ້າງທະເລຕາເວັນອອກ ຍາມໃດກໍ່ແມ່ນຫົວຂໍ້ທີ່ດຶງດູດຄວາມສົນໃຈ, ຄວາມເອົາໃຈໃສ່ຈາກປະເທດຕ່າງໆ.	Bộ trưởng Ngoại giao Việt Nam Nguyễn Tấn Dũng: Với tầm quan trọng của Bộ trưởng Ngoại giao, từ bất kỳ Biển Đông, mọi sự chú ý.
ທີ່ກອງປະຊຸມຄັ້ງນີ້, ບັນດາປະເທດລ້ວນແຕ່ເນັ້ນໜັກເຖິງຄວາມສຳຄັນຂອງສັນຕິພາບ ແລະສະຖຽນລະພາບຢູ່ເຂດທະເລສຳຄັນຂອງໂລກ.	Tại hội nghị này, các quốc gia nhấn mạnh tầm quan trọng của hòa bình và sự ổn định trong Chìa khóa của thế giới.
ບັນດາປະເທດເຫັນດີເປັນເອກະພາບປະກອບສ່ວນຮັກສາສັນຕິພາບ, ສະຖຽນລະພາບ, ຄວາມໝ້ັນຄົງ, ຄວາມປອດໄພໃນການເດີນທະເລ ແລະການບິນຢູ່ທະເລຕາເວັນອອກແມ່ນພັນທະຂອງທຸກປະເທດ, ທຸກຝ່າຍ.	Các quốc gia đồng ý là thống nhất, ổn định, ổn định, biển, bờ biển, tất cả các mặt.
ໃນສະພາບການດັ່ງກ່າວ, ບັນດາປະເທດຄວນຢຶດໝັ້ນບັນດາຫຼັກການຂອງກົດໝາຍສາກົນ, ສົນທິສັນຍາສະຫະປະຊາຊາດກ່ຽວກັບກົດໝາຍວ່າດ້ວຍທະເລ 1982 (UNCLOS 1982).	Trong bối cảnh đó, các quốc gia sẽ diễn ra trong luật quốc tế, Công ước Liên hợp quốc trong Luật năm 1982 vào năm 1982 (UNCLOS 1982).
ພ້ອມກັນນັ້ນ, ບັນດາປະເທດກໍ່ຕ້ອງຮັບຮູ້ໝາກຜົນທີ່ບັນລຸຸໄດ້ໃນການເຈລະຈາ COC, ປາດຖະໜາວ່າຈະມີ COC ທີ່ມີປະສິດທິພາບ ແລະປະສິດທິຜົນໂດຍໄວ ແລະໄດ້ຮັບການຮັບຮອງ, ສະໜັບສະໜູນຈາກປະຊາຄົມສາກົນ.	Đồng thời, các quốc gia phải nhận ra kết quả trong các cuộc đàm phán COC, mong muốn có một COC mạnh mẽ và kết thúc.
ນັກຂ່າວ: ຂໍຂອບໃຈ !	Nhà báo: Cảm ơn!
ໂດຍ: ແສງເດືອນ.	Đăng bởi: Tháng ánh sáng.
