ກປ.ອອນໄລ - “ວຽກງານການສະໜອງກໍ່ມີຄວາມສຳຄັນຄືກັບວຽກງານຕີສັດຕູຢູ່ສະໜາມຮົບ.	KPR Online - “Công việc dự bị cũng quan trọng như việc đánh bại kẻ thù trên chiến trường.
ໃນນັ້ນ, 2 ວັນທຳອິດ, ບັນດານັກກິລາ ຈະແຂ່ງຂັນເນື້ອໃນລາຍການປຸງແຕ່ງອາຫານແບບບັງຄັບ ແລະວັນສຸດທ້າຍແມ່ນຈະໄດ້ແຂ່ງຂັນເຮັດເຂົ້າຈີ່.	Hai ngày đầu, các vận động viên thi nội dung thực đơn nấu ăn bắt buộc, ngày cuối thi làm bánh mì.
ໃນຂະນະການຍິງປືນໄດ້ຖືວ່າແມ່ນທ່າແຮງ, ເນື້ອໃນຄົວກິນໄດ້ຖືວ່າແມ່ນສິ່ງທ້າທາຍຕໍ່ກັບທີມເຮືອນຄົວກາງສະໜາມ.	Trong khi nội dung bắn súng được đánh giá là tiềm năng thì nội dung nấu ăn lại được coi là một thử thách đối với đội Bếp Trung tâm.
ຄວາມແຕກຕ່າງກັນກ່ຽວກັບວັດທະນະທຳອາຫານການກິນແມ່ນຮົ້ວກີດຂວາງໃຫຍ່ທີ່ສຸດທີ່ເຂົາເຈົ້າຕ້ອງໄດ້ຜ່ານຜ່າໃນວິວັດການຝຶກແອບ.	Sự khác biệt trong thói quen ăn uống là rào cản lớn nhất mà họ phải vượt qua trong quá trình tập luyện phát triển.
ເພື່ອມີເຍື່ອງອາຫານທີ່ມີລົດຊາດຖືກຕາມຄະນະຈັດຕັ້ງກຳນົດ, ຮຽກຮ້ອງໃຫ້ບັນດານັກກິລາຕ້ອງມານະພະຍາຍາມຈົນສຸດຄວາມສາມາດຂອງຕົນ, ຍ້ອນວ່າທຸກເຍື່ອງອາຫານໃນເນື້ອໃນຂອງການແຂ່ງຂັນເຮືອນຄົວກາງສະໜາມລ້ວນແຕ່ແມ່ນເຍື່ອງອາຫານເອີລົບ, ນັບແຕ່ລົດຊາດຈົນຮອດເຕັກນິກການປຸງແຕ່ງກໍ່ມີຄວາມແຕກຕ່າງກັບບັນດາເຍື່ອງອາຫານທີ່ເປັນມູນເຊື້ອຂອງຫວຽດນາມ.	Để có một món ăn ngon theo Ban tổ chức, đòi hỏi các vận động viên phải làm hết khả năng của mình, bởi tất cả các món ăn trong nội dung thi Bếp miền Trung đều là món Âu, từ hương vị đến kỹ thuật nấu đều khác với những món ăn truyền thống của Việt Nam.
ແຕ່ວ່າ, ຄວາມຫຍຸ້ງຍາກບໍ່ແມ່ນມີພຽງແຕ່ເທົ່ານັ້ນ.	Nhưng, khó khăn không phải là duy nhất.
ທ່ານພັນເອກ ຫງວຽນເດືອງຫາຍ, ຮອງຫົວໜ້າຫ້ອງເສນາທິການແຜນການ, ກົມອຸປະໂພກ-ບໍລິໂພກ, ຜູ້ຕິດຕາມທີມນັບແຕ່ຊຸມວັນຝຶກແອບທຳອິດ, ໃຫ້ຮູ້ວ່າ: “ຄະນະຈັດຕັ້ງໄດ້ຮຽກຮ້ອງຢ່າງເຄັ່ງຄັດກ່ຽວກັບປັດໄຈຄວາມປອດໄພສຸຂະອະນາໄມດ້ານສະບຽງອາຫານກໍ່ຄື ກຳນົດປະລິມານຂອງບັນດາເຍື່ອງອາຫານ.	Đại tá Nguyễn Dương Hải, Phó Giám đốc Phòng KHLCNT, người theo sát đội từ ngày tập huấn đầu tiên cho biết:
ຍ້ອນເຫດນັ້ນ, ການແຂ່ງຂັນໃນແຕ່ລະຮອບ, ນັບແຕ່ເມື່ອຮັບວັດຖຸດິບ, ຜ່ານບັນດາຂັ້ນຕອນປຸງແຕ່ງສະບຽງອາຫານໃຫ້ເປັນເຍື່ອງອາຫານ.	Kết quả là, các đối thủ ở mỗi vòng thi, từ khâu tiếp nhận nguyên liệu đến khâu chế biến món ăn thành món ăn.
ຕາມປົກກະຕິແລ້ວນັກກິລາຕ້ອງປ່ຽນຖົງມືແຕ່ 15-20 ຄູ່.	Các vận động viên thường chỉ cần thay 15-20 đôi găng tay.
ພາລະກຳສຳຄັນ	Gánh nặng quan trọng
ເຮືອນຄົວກາງສະໜາມແມ່ນໜຶ່ງໃນຈຳນວນໜ້ອຍບັນດາທີມຂອງກອງທັບປະຊາຊົນຫວຽດນາມ, ເຄີຍເຂ້ົາຮ່ວມແຂ່ງຂັນຢູ່ Army Games ມາສອງຄັ້ງແລ້ວ.	Bếp Trung tâm là 1 trong 7 đội của Quân đội nhân dân Việt Nam, đã 2 lần tham gia Hội thao quân đội.
ບົດຮຽນຈາກການເຂົ້າຮ່ວມການແຂ່ງຂັນຄັ້ງຕ່າງໆໄດ້ສະແດງໃຫ້ເຫັນການກະກຽມຢ່າງຮອບຄອບຖີ່ຖ້ວນ, ຕົ້ນຕໍແມ່ນປັດໄຈປະກອບສ່ວນຕັດສິນຊະນະຂອງທີມ.	Bài học kinh nghiệm khi tham gia các cuộc thi đã cho thấy sự chuẩn bị chu đáo, chủ yếu góp phần quyết định chiến thắng của đội.
ຍ້ອນເຫດນັ້ນ, ນັບແຕ່ເມື່ອໄດ້ຮັບຄຳສັ່ງຈາກຂັ້ນເທິງກ່ຽວກັບການໄປເຂົ້າຮ່ວມງານແຂ່ງຂັນ Army Games 2020, ກົມອຸປະໂພກ-ບໍລິໂພກ ໄດ້ຕັ້ງໜ້າເຮັດວຽກງານກະກຽມ, ໃນນັ້ນ, ບຸກຄະລະກອນແມ່ນປັດໄຈທີ່ໄດ້ພິຈາລະນາກ່ອນໝູ່.	Chính vì vậy, ngay từ khi nhận lệnh cấp trên tham gia Hội thao Quân đội 2020, Ban Công tác tiêu dùng đã đặt ra những công việc để chuẩn bị, trong đó, nhân sự là yếu tố đã được cân nhắc từ trước.
ທ່ານພັນເອກ ຫງວຽນເດືອງຫາຍ ແບ່ງປັນວ່າ “ປີນີ້, ໃນຈຳນວນນັກກິລາ 11 ຄົນຂອງທີມມີ 6 ຄົນເຄີຍເຂົ້າຮ່ວມການແຂ່ງຂັນຢູ່ Army Games ມາແລ້ວ.	Đại tá Nguyễn Dương Hải chia sẻ: “Năm nay, sáu trong số 11 vận động viên của đội đã tham gia Hội thao Quân đội.
ພວກຂ້າພະເຈົ້າກຳນົດວ່ານີ້ແມ່ນແຫຼ່ງຊັບພະຍາກອນມະນຸດທີ່ມີຄ່າ, ເຕັມໄປດ້ວຍບົດຮຽນ, ປະສົບການ, ມີຄຸນນະທາດໃນການແຂ່ງຂັນເປັນຢ່າງດີ.	Chúng tôi xác định đây là nguồn nhân lực quý, có đầy đủ bài học, kinh nghiệm và phẩm chất cạnh tranh.
ນອກຈາກປັດໄຈບຸກຄະລາກອນແລ້ວ, ການກະກຽມຢ່າງຮອບຄອບຖີ່ຖ້ວນກ່ຽວກັບພື້ນຖານດ້ານວັດຖຸ, ອາວຸດຍຸດທະພັນການຝຶກແອບໃຫ້ບັນດານັກກິລາກໍ່ປະກອບສ່ວນເຂົ້າໃນຜົນສຳເລັດຂອງທີມ.	Ngoài yếu tố nhân sự, việc chuẩn bị chu đáo về cơ sở vật chất, vũ khí, khí tài huấn luyện cho các vận động viên cũng góp phần làm nên thành công của đoàn.
ທ່ານພັນເອກ ຕົ໊ງຊວນເຮົ້າ, ຜູ້ອຳນວຍການສູນຝຶກແອບ (ກົມເສນາທິການ, ກົມໃຫຍ່ພະລາທິການ), ອົງການຮັບຜິດຊອບວຽກງານຮັບປະກັນດ້ານພະລາທິການກໍ່ຄືການຫັດແອບຍິງປືນ ແລະອອກກຳລັງກາຍໃຫ້ສອງທີມຕໍ່ກຳລັງແຮງເສນາຮັກ ແລະເຮືອນຄົວກາງສະໜາມທີ່ຈະໄປເຂົ້າຮ່ວມ Army Games 2020, ໃຫ້ຮູ້ວ່າ: “ພະນັກງານ, ນັກຮົບຂອງສູນຝຶກແອບລ້ວນແຕ່ມານະພະຍາຍາມຮັບປະກັນບັນດາເງື່ອນໄຂດີທີ່ສຸດໃຫ້ວິວັດການຝຶກແອບຂອງສອງທີມເຂົ້າຮ່ວມ Army Games.	Đại tá Tong Xuanhao, Giám đốc Trung tâm Huấn luyện (Ban Thư ký, Tổng cục Chiến tranh)
ພວກຂ້າພະເຈົ້າກໍານົດວ່ານີ້ແມ່ນໜ້າທ່ີການເມືອງສໍາຄັນຂອງສູນໃນປີ 2020.	Chúng tôi xác định đây là mục tiêu chính trị chính của trung tâm đến năm 2020.
Army Games ແມ່ນສະໜາມແຂ່ງຂັນການທະຫານສາກົນ, ແຕ່ວ່ານີ້ກໍ່ແມ່ນສະໜາມເພື່ອໃຫ້ບັນດາທີມສາມາດພົບປະແລກປ່ຽນ, ເພີ່ມທະວີສາຍພົວພັນມິດຕະພາບ ແລະຄວາມເຂົ້າອົກເຂົ້າໃຈເຊິ່ງກັນ ແລະກັນລະຫວ່າງບັນດາພື້ນຖານວັດທະນະທຳ.	Hội thao quân đội là nơi tổ chức các cuộc thi đấu quân sự quốc tế nhưng cũng là nơi để các đội gặp gỡ, giao lưu, làm sâu sắc thêm tình bạn, sự hiểu biết lẫn nhau giữa các nền văn hóa.
ທີ່ການແຂ່ງຂັນຄັ້ງນີ້, ທີມເຮືອນຄົວກາງສະໜາມຂອງກອງທັບປະຊາ ຊົນຫວຽດນາມ ບໍ່ພຽງແຕ່ຈະແຂ່ງຂັນຢູ່ສະໜາມຝຶກຊ້ອມເທົ່ານັ້ນເຂົາເຈ້ົາຍັງມີພາລະກຳສຳຄັນທີ່ສຸດແມ່ນປະກອບສ່ວນໂຄສະນາເຜີຍແຜ່ວັດທະນະທຳ, ອາຫານການກິນ, ຊຸກຍູ້ການຮ່ວມມືໄມຕີຈິດມິດຕະພາບລະຫວ່າງຫວຽດນາມ ກັບເພື່ອນມິດສາກົນອີກດ້ວຍ.	Trong cuộc thi này, đội Bếp Trung tâm Quân đội nhân dân Việt Nam không chỉ thi đấu trên sân tập, họ còn có vai trò quan trọng nhất là góp phần quảng bá văn hóa, ẩm thực, thúc đẩy quan hệ hợp tác hữu nghị giữa Việt Nam và bạn bè quốc tế.
ໂດຍ: ສົມເພັດ.	Bởi: Somphet.
