ກປ.ອອນໄລ - ຕອນເຊົ້າວັນທີ 1 ມີນາ, ຢູ່ຮ່ອມພູດອກໄມ້ ໜອງໄຕ (ຮ່າໂນ້ຍ) ໄດ້ໄຂງານບຸນດອກໄມ້ຍາມລະດູບານໃໝ່.	Sáng 1/3, Thung lũng hoa Phong Tài (Hà Nội) đăng cai tổ chức Hội hoa xuân.
ນັກທ່ອງທ່ຽວກໍ່ມີໂອກາດໄດ້ໄປຢ້ຽມຢາມ, ແລກປ່ຽນຢູ່ເຂດແນະນໍາກ້າເບ້ຍ, ບົວລະບັດ ແລະປູກດອກໄມ້ດ້ວຍເຕັກໂນໂລຢີສູງ.	Khách tham quan còn có cơ hội tham quan, giao lưu tại các khu vườn ươm, vườn ươm, trồng hoa công nghệ cao.
ພາບ: ຫງວຽນທ໊າວ.	Ảnh: Nguyên Thảo
ມີດອກໄມ້ແປກປະຫຼາດຫຼາຍແນວໄດ້ປູກຢູ່ຮ່ອມພູ ຄື: ດອກກຸຫຼາບ ບຸນກາຣີ, Scarlet Sage, Cleome spinosa...	Nhiều loài hoa lạ được trồng trong thung lũng: hoa hồng Bulgary, Scarlet Sage, Cleome spinosa ...
ພາບ: ຫງວຽນທ໊າວ.	Ảnh: Nguyên Thảo
ບັນດາກະຖາງດອກໄມ້ທີ່ເປັນເອກະລັກສະເພາະ, ງາມຕາ.	Chậu hoa độc, đẹp.
ພາບ: ຫງວຽນທ໊າວ.	Ảnh: Nguyên Thảo
ບ່ອນນີ້ກາຍເປັນສະຖານທີ່ທ່ອງທ່ຽວທີ່ອຸດົມຄະຕິບໍ່ພຽງແຕ່ໃຫ້ແກ່ຊາວຮ່າໂນ້ຍ ເທົ່ານັ້ນ, ຫາກຍັງສ້າງຄວາມດຶງດູດນັກທ່ອງທ່ຽວທີ່ມາຈາກທຸກສາລະທິດມາຢ້ຽມຊົມ, ຖ່າຍຮູບອີກດ້ວຍ.	Nơi đây đã trở thành điểm du lịch lý tưởng không chỉ của người dân Hà Nội mà còn của du khách thập phương.
ພາບ: ຫງວຽນທ໊າວ.	Ảnh: Nguyên Thảo
ມາຮອດຮ່ອມພູດອກໄມ້ໃນໂອກາດຕົ້ນລະດູບານໃໝ່, ນັກທ່ອງທ່ຽວ ຈະຮູ້ສຶກໄດ້ບັນຍາກາດຄຶກຄື້ນຂອງລະດູບານໃໝ່.	Đến Thung lũng hoa vào dịp đầu xuân, du khách có thể cảm nhận được không khí vui tươi của mùa xuân.
ພາບ: ຫງວຽນທ໊າວ.	Ảnh: Nguyên Thảo
ແປໂດຍ: ເຈິ່ນຮວ່ຽນ.	Người dịch: Trần Huyền
