ກປ.ອອນໄລ - ລະດູບານໃໝ່ປີນີ້, ພັກກອມມູນິດຫວຽດນາມ ມີອາຍຸ 89 ປີ.	KPR Online - Mùa xuân năm nay, Đảng Cộng sản Việt Nam tròn 89 năm tuổi.
ປະເທດຊາດໄດ້ຮັບການປົດປ່ອຍແລ້ວ, ແຕ່ຍັງປະສົບກັບຄວາມຫຍຸ້ງຍາກ, ຂາດເຂີນຫຼາຍຢ່າງ.	Đất nước đã được giải phóng, nhưng còn nhiều khó khăn, thiếu thốn.
ເພື່ອບໍ່ໃຫ້ປະເທດຕົກເຂົ້າສູ່ສະພາບອຶດຫິວ, ຫຼ້າຫຼັງ, ພັກກອມມູນິດຫວຽດນາມ ໄດ້ນຳໜ້າໃນການນໍາພາປະຊາຊົນທົ່ວປະເທດກ້າວຂຶ້ນກໍ່ສ້າງລັດທິສັງຄົມນິຍົມເທື່ອລະກ້າວ.	Để đất nước không còn lâm vào cảnh đói kém, Đảng Cộng sản Việt Nam đã đi đầu lãnh đạo nhân dân cả nước từng bước xây dựng chủ nghĩa xã hội.
ພິເສດ, ດ້ວຍຈິນຕະນາການປ່ຽນແປງໃໝ່, ທັງຢຶດໝັ້ນຕໍ່ເປົ້າໝາຍອຸດົມຄະຕິເອກະລາດແຫ່ງຊາດຕິດພັນກັບລັດທິສັງຄົມນິຍົມ, ທັງຍາດແຍ່ງໝູນໃຊ້ການພັດທະນາຢ່າງແຮງຂອງທ່າອ່ຽງຍຸກສະໄໝ, ພາຍຫຼັງກວ່າ 30 ປີແຫ່ງການປະຕິບັດແນວທາງປ່ຽນແປງໃໝ່, ພາຍໃຕ້ການນໍາພາຂອງພັກ, ປະຊາຊົນຫວຽດນາມ ໄດ້ສ້າງເປັນຜົນງານມະຫັດສະຈັນທີ່ມີຄວາມໝາຍປະຫວັດສາດໃນການສ້າງສາ ແລະພັດທະນາປະເທດຊາດ;	Đặc biệt, với tư tưởng vừa thay đổi, vừa bám sát mục tiêu độc lập dân tộc, độc lập theo chủ nghĩa xã hội, vừa phấn đấu cho sự phát triển mạnh mẽ của xu thế hiện đại, sau hơn 30 năm theo đuổi con đường đổi mới, dưới sự lãnh đạo của Đảng,
ພ້ອມທັງສະແດງໃຫ້ເຫັນຄວາມຮັບຜິດຊອບຂອງຕົນໃນຫຼາຍບັນຫາສາກົນ ແລະພາກພື້ນ.	Nó cũng thể hiện trách nhiệm của mình trong nhiều vấn đề quốc tế và khu vực.
ອິດທິພົນຊື່ສຽງ, ຖານະບົດບາດຂອງຫວຽດນາມ, ຂອງພັກກອມມູນິດຫວຽດນາມ ນັບມື້ນັບໄດ້ຮັບການຢັ້ງຢືນໃນເວທີສາກົນ.	Uy tín và vai trò của Đảng Cộng sản Việt Nam ngày càng được ghi nhận trên trường quốc tế.
ຜົນງານຂອງກວ່າ 30 ປີແຫ່ງການປະຕິບັດແນວທາງປ່ຽນແປງໃໝ່ໂດຍພັກກອມມູນິດຫວຽດນາມ ລິເລີ່ມ ແລະນໍາພາໄດ້ນໍາປະເທດຫວຽດນາມ ຈາກປະເທດດ້ອຍພັດທະນາ ກາຍເປັນປະເທດພັດທະນາປານກາງ;	Công cuộc hơn 30 năm thực hiện đường lối đổi mới do Đảng Cộng sản Việt Nam khởi xướng và lãnh đạo đã đưa Việt Nam từ nước kém phát triển trở thành nước phát triển trung bình;
ຊີວິດການເປັນຢູ່ຂອງປະຊາຊົນນັບມື້ນັບໄດ້ຮັບການປັບປຸງ ແລະຍົກສູງ.	Mức sống của người dân ngày một được cải thiện và nâng cao.
ດ້ວຍທັດສະນະສົມທົບກັນຢ່າງແໜ້ນແຟ້ນລະຫວ່າງເສດຖະກິດກັບການຮັບປະກັນຄວາມສະເໝີພາບໃນສັງຄົມ, ພັກກອມມູນິດຫວຽດນາມ ໄດ້ນໍາພາປະເທດຊາດສໍາເລັດເປົ້າໝາຍພັດທະນາສະຫັດສະວັດ, ໄດ້ຮັບການຮັບຮູ້ຈາກໂລກ.	Với tầm nhìn mạnh mẽ kết hợp kinh tế và bảo đảm bình đẳng xã hội, Đảng Cộng sản Việt Nam đã lãnh đạo đất nước đạt được các Mục tiêu phát triển Thiên niên kỷ đã được thế giới công nhận.
ປະເທດຊາດພັດທະນາ, ຊີວິດການເປັນຢູ່ຂອງປະຊາຊົນນັບມື້ນັບໄດ້ຮັບການຍົກສູງຂຶ້ນ, ຊີວິດສັງຄົມໄດ້ຮັບປະກັນ, ອະທິປະໄຕແຫ່ງຊາດໄດ້ຮັບການຮັກສາໄວ້ຢ່າງໝັ້ນຄົງ, ຖານະບົດບາດຂອງຫວຽດນາມ ນັບມື້ນັບໄດ້ຮັບການຢັ້ງຢືນໃນເວທີສາກົນ...	Đất nước phát triển, đời sống nhân dân ngày một nâng cao, đời sống xã hội được bảo đảm, chủ quyền quốc gia được giữ vững, vai trò của Việt Nam ngày càng được ghi nhận trên trường quốc tế ...
ສິ່ງທັງໝົດເຫຼົ່ານັ້ນຈະບໍ່ມີໄດ້ຖ້າຫາກບໍ່ມີການນໍາພາຂອງພັກກອມມູນິດຫວຽດນາມ.	Tất cả những điều này sẽ không thể thực hiện được nếu không có sự lãnh đạo của Đảng Cộng sản Việt Nam.
ນັ້ນແມ່ນຖານະບົດບາດຂອງພັກກອມມູນິດຫວຽດນາມ.	Đó là vai trò của Đảng Cộng sản Việt Nam.
ໂດຍ: ບົວພອນ.	Bởi: Buaphone.
