ກປ.ອອນໄລ - ຫວຽດນາມ ເຄີຍແມ່ນຫົວເມືອງຂຶ້ນຂອງຝະລັ່ງ ເປັນເວລາເກືອບ 100 ປີ.	Việt Nam đã là thủ đô của Pháp trong gần 100 năm.
ທ່ານພົນໂທ ຫງວຽນຈີີ໋ວິ້ງ ເປັນສັກຂີພິຍານທີ່ພິທີເຊັນບັນດາເອກະສານຫວຽດນາມ-ຝະລັ່ງ.	Trung tướng Nguyễn Chí Vịnh chứng kiến lễ ký kết các văn kiện Việt - Pháp.
ພາບ: ຟ້າມຟອງ	Ảnh: Phạm Phong
ໃນ 45 ປີແຫ່ງວັນສ້າງຕັ້ງການພົວພັນທາງການທູດ, 5 ປີແຫ່ງວັນສ້າງຕັ້ງການພົວພັນຄູ່ຮ່ວມມືຍຸດທະສາດ, ຝະລັ່ງ ຍາມໃດກໍ່ແມ່ນຄູ່ຮ່ວມມືສຳຄັນຂອງຫວຽດນາມ.	Kỷ niệm 45 năm thiết lập quan hệ ngoại giao và kỷ niệm 5 năm thiết lập quan hệ Đối tác chiến lược, Pháp luôn là đối tác quan trọng của Việt Nam.
ບັນດາສາຍພົວພັນ ຫວຽດນາມ-ຝະລັ່ງ ໃນຂອບເຂດສອງຝ່າຍ ກໍ່ຄື ຫຼາຍຝ່າຍ, ພັດທະນານັບມື້ນັບອຸດົມສົມບູນ, ຫຼາຍຮູບຫຼາຍແບບ.	Quan hệ Việt - Pháp phong phú, đa phương trên các lĩnh vực song phương và đa phương.
ໃນແງ່ມູມເສດຖະກິດ, ການຄ້າ, ວັດທະນະທຳ, ການສຶກສາ, ສາທາລະນະສຸກ...	Về kinh tế, thương mại, văn hóa, giáo dục, y tế ...
ຝະລັ່ງ ແມ່ນນັກອຸປະຖຳແຖວໜ້າຂອງເອີລົບໃຫ້ແກ່ຫວຽດນາມ.	Pháp là nước châu Âu ủng hộ Việt Nam.
ໃນແງ່ມູມດ້ານການເມືອງ, ການພົວພັນຕ່າງປະເທດ, ປີ 1993, ປະທານາທິບໍດີຝະລັ່ງ ແມ່ນປະມຸກລັດຝະລັ່ງ ຜູ້ທຳອິດມາຢ້ຽມຢາມຫວຽດນາມ ຢ່າງເປັນທາງການນັບແຕ່ເມື່ອຫວຽດນາມ ຍາດໄດ້ເອກະລາດໃນປີ 1954.	Về chính trị và đối ngoại, năm 1993, Tổng thống Pháp là nguyên thủ quốc gia đầu tiên của Pháp thăm chính thức Việt Nam kể từ khi Việt Nam giành được độc lập năm 1954.
ມາຮອດປັດຈຸບັນ, ການນຳຂັ້ນສູງສອງປະເທດ ໄດ້ດຳເນີນການຢ້ຽມຢາມ 12 ຄັ້ງ.	Cho đến nay, lãnh đạo cấp cao hai nước đã có 12 chuyến thăm.
ການຢ້ຽມຢາມແຕ່ລະຄັ້ງແມ່ນຂີດໝາຍສຳຄັນເພື່ອເພີ່ມທະວີການພົວພັນລະຫວ່າງສອງປະເທດ.	Mỗi chuyến thăm là một dấu mốc quan trọng để nâng cao quan hệ giữa hai nước.
ພິເສດ, ການຢ້ຽມຢາມຝະລັ່ງ ຢ່າງເປັນທາງການຂອງທ່ານເລຂາທິການໃຫຍ່ ຄະນະບໍລິຫານງານສູນກາງພັກກອມມູນິດ ຫວຽດນາມ ຫງວຽນຟູ໋ຈ້ອງ ຕາມຄຳເຊີນຂອງທ່ານປະທານາທິບໍດີ Emmanuel Macron ໃນລະຫວ່າງວັນທີ 25-28 ມີນາ 2018 ສະແດງໃຫ້ເຫັນຄວາມເຄົາລົບ, ຄວາມໄວ້ເນື້ອເຊື່ອໃຈຂອງຝະລັ່ງ ກ່ຽວກັບລະບອບການເມືອງຂອງຫວຽດນາມ;	Đặc biệt, việc Tổng Bí thư Ban Chấp hành Trung ương Đảng Cộng sản Việt Nam Nguyễn Phú Trọng thăm chính thức Pháp theo lời mời của Tổng thống Emmanuel Macron trong hai ngày 25-28 / 3/2018 thể hiện sự coi trọng và tin tưởng của Pháp đối với chính thể Việt Nam;
ສ້າງກຳລັງໜູນໃໝ່, ບາດກ້າວກະໂດດຂັ້ນໃນການພົວພັນຄູ່ຮ່ວມມືຍຸດທະສາດຫວຽດນາມ-ຝະລັ່ງ.	Tạo ra những khát vọng, những bước phát triển nhảy vọt trong quan hệ đối tác chiến lược Việt - Pháp.
ໃນການຢ້ຽມຢາມຄັ້ງນີ້, ເມື່ອຫວນຄືນອະດີດ, ປະທານາທິບໍດີ ແລະບັນດາການນຳຝະລັ່ງ ໄດ້ສະແດງອອກຢ່າງຈິງໃຈວ່າ: ປະຫວັດສາດການພົວພັນສອງປະເທດ ມີບາງໄລຍະຂຶ້ນລົງ, ບົນຫຼັກການເຄົາລົບເອກະລາດ, ປະຊາທິປະໄຕ, ເຄົາລົບກົດໝາຍສາກົນ, ເພື່ອຜົນປະໂຫຍດຂອງແຕ່ລະປະເທດ, ການພົວພັນຂອງສອງປະເທດ ແລະເພື່ອຜົນປະໂຫຍດລວມຂອງພາກພື້ນ, ໂລກ.	Trong chuyến thăm này, nhắc lại quá khứ, Tổng thống và các nhà lãnh đạo Pháp chân thành bày tỏ rằng: Lịch sử quan hệ hai nước có những bước thăng trầm, dựa trên các nguyên tắc tôn trọng độc lập, dân chủ, tôn trọng luật pháp quốc tế, lợi ích của mỗi nước, lợi ích chung của hai nước và khu vực.
ພິເສດ, ຝະລັ່ງຖືເປັນສຳຄັນທີ່ສຸດ, ຕີລາຄາສູງໝາກຜົນການພົບປະເຈລະຈາລະຫວ່າງປະທານາທິບໍດີ ຝະລັ່ງ Emmanuel Macron ກັບທ່ານເລຂາທິການໃຫຍ່ ຫງວຽນຟູ໋ຈ້ອງ ແລະຄະນະຜູ້ແທນຂັ້ນສູງຫວຽດນາມ;	Đặc biệt, Pháp coi trọng kết quả hội đàm giữa Tổng thống Pháp Emmanuel Macron với Tổng Bí thư Nguyễn Phú Trọng và Đoàn đại biểu cấp cao Việt Nam;
ຖືວ່າພາຍຫຼັງ 5 ປີແຫ່ງວັນສ້າງຕັ້ງການພົວພັນຄູ່ຮ່ວມມືຍຸດທະສາດ, ນີ້ແມ່ນຈຸດເວລາເຊິ່ງສອງຝ່າຍສາມາດແລກປ່ຽນບັນດາບັນຫາຍຸດທະສາດທີ່ຕ່າງຝ່າຍຕ່າງມີຄວາມສົນໃຈຢ່າງກົງໄປກົງມາ, ຄົບຖ້ວນ ແລະແທດຈິງ.	Xét 5 năm kể từ khi thiết lập quan hệ Đối tác Chiến lược, đây là thời điểm hai bên có thể trao đổi các vấn đề chiến lược mà hai bên cùng quan tâm một cách trực tiếp, toàn diện và thiết thực.
ບັນດານັກການເມືອງ, ນັກຄົ້ນຄວ້າສາກົນຕີລາຄາສູງການຢ້ຽມຢາມ ແລະຜົນສຳເລັດການພົບປະເຈລະຈາລະຫວ່າງການນຳສູງສຸດຂອງສອງປະເທດ ແມ່ນຂີດໝາຍສຳຄັນນຳການພົວພັນຄູ່ຮ່ວມມືຍຸດທະສາດຫວຽດນາມ-ຝະລັ່ງພັດທະນາຢ່າງຮອບດ້ານຂຶ້ນສູ່ລະດັບສູງໃໝ່;	Các chính trị gia và nhà nghiên cứu quốc tế ca ngợi chuyến thăm và thành công của cuộc hội đàm giữa lãnh đạo cấp cao hai nước là dấu mốc quan trọng trong sự phát triển toàn diện của quan hệ Đối tác chiến lược Việt Nam - Pháp.
ປະກອບສ່ວນສ້າງສັນຕິພາບ, ສະຖຽນລະພາບ, ຄວາມໝັ້ນຄົງຂອງພາກພື້ນ ແລະໂລກ.	Đóng góp vào hòa bình, ổn định và an ninh của khu vực và toàn cầu.
ນັບແຕ່ເມື່ອຫວຽດນາມ-ຝະລັ່ງ ສ້າງຕັ້ງການພົວພັນທາງການທູດ, ໂດຍສະເພາະແມ່ນນັບແຕ່ປີ 2013, ການພົວພັນດ້ານປ້ອງກັນຊາດລະຫວ່າງສອງປະເທດໄດ້ກໍ່ສ້າງ, ປັບປຸງ, ສະແດງຄວາມໄວ້ເນື້ອເຊື່ອໃຈ, ກາຍເປັນໜຶ່ງໃນບັນດາເສົາຄ້ຳການພົວພັນຄູ່ຮ່ວມມືຍຸດທະສາດ.	Kể từ khi thiết lập quan hệ ngoại giao giữa Việt Nam và Pháp, đặc biệt là năm 2013, quan hệ quốc phòng giữa hai nước được xây dựng, cải thiện, thể hiện sự tin cậy và trở thành một trong những trụ cột của quan hệ Đối tác chiến lược.
ການພົວພັນດ້ານປ້ອງກັນຊາດຫວຽດນາມ ແລະຝະລັ່ງ ແມ່ນໝູນໃຊ້ໝາກຜົນການພົວພັນຂອງບັນດາຂົງເຂດອື່ນໃຫ້ຫຼາຍທີ່ສຸດ, ພ້ອມທັງໜູນຊ່ວຍ, ສ້າງເງື່ອນໄຂໃຫ້ແກ່ການພົວພັນໃນບັນດາຂົງເຂດຕ່າງໆພັດທະນາຢ່າງສະດວກ.	Quan hệ quốc phòng Việt-Pháp đang tận dụng tối đa các mối quan hệ khác trong khu vực, cũng như giúp đỡ và tạo điều kiện phát triển quan hệ trên các lĩnh vực.
ທ່ານລັດຖະມົນຕີກະຊວງປ້ອງກັນປະເທດຝະລັ່ງ ຖືວ່າ ຈຸດເວລາໃນປະຈຸບັນ, ການພົວພັນຄູ່ຮ່ວມມືຍຸດທະສາດລະຫວ່າງສອງປະເທດທັງຄົບຖ້ວນ ແລະແທດຈິງ, ຜ່ານບັນດາການພົບປະເຈລະຈາຍຸດທະສາດດ້ານປ້ອງກັນຊາດ, ສອງຝ່າຍໄດ້ສະແດງໃຫ້ເຫັນຄວາມຄ້າຍຄືກັນ ກ່ຽວກັບບັນດາບັນຫາຄວາມໝັ້ນຄົງຂອງພາກພື້ນ, ໂລກ;	Theo Bộ trưởng Bộ Quốc phòng Pháp, hiện nay, quan hệ Đối tác chiến lược giữa hai nước đã hoàn thiện và thực chất, qua hội đàm quốc phòng chiến lược, hai bên đã cho thấy những điểm tương đồng về các vấn đề an ninh khu vực và toàn cầu;
ໃນນັ້ນມີບັນຫາຄວາມເສລີ, ຄວາມໝັ້ນຄົງໃນການເດີນທະເລ, ການບິນຢູ່ທະເລຕາເວັນອອກ, ບັນຫານິວເຄຼຍຢູ່ແຫຼມເກົາຫຼີ, ຕ້ານການກໍ່ການຮ້າຍ ແລະແກ້ໄຂບັນດາຂໍ້ຂັດແຍ່ງອະທິປະໄຕໂດຍສັນຕິວິທີ, ອີງຕາມພື້ນຖານກົດໝາຍສາກົນ...	Các vấn đề này bao gồm tự do đi lại, an ninh hàng hải, hàng không ở Biển Đông, vấn đề hạt nhân trên Bán đảo Triều Tiên, chống khủng bố và giải quyết hòa bình các tranh chấp chủ quyền, phù hợp với luật pháp quốc tế ...
ເຊິ່ງແມ່ນປະເທດຂຶ້ນກັບພາກພື້ນປາຊີຟິກ, ມີຫຼາຍປະເທດເປັນຫົວເມືອງຂຶ້ນເກົ່່າ, ມີຜົນປະໂຫຍດຍຸດທະສາດນັບມື້ນັບສູງຢູ່ພາກພື້ນ, ຝະລັ່ງ ຖືອາຊີ-ປາຊີຟິກ ແມ່ນຈຸດສຸມຍຸດທະສາດໜຶ່ງ, ຢືນຢັນເພີ່ມທະວີການມີໜ້າຍາວນານສືບຕໍ່ເສີມຂະຫຍາຍການພົວພັນ, ການຮ່ວມມືດ້ານເສດຖະກິດ, ວັດທະນະທຳ, ການພົວພັນຕ່າງປະເທດ, ພ້ອມທັງຍູ້ແຮງການພົວພັນ, ການຮ່ວມມືດ້ານປ້ອງກັນຊາດ, ປ້ອງກັນຄວາມສະຫງົບ.	Là một quốc gia thuộc khu vực Thái Bình Dương, với việc nhiều nước ngày càng trở thành thủ đô cũ, có lợi ích chiến lược ngày càng lớn trong khu vực, Pháp coi châu Á - Thái Bình Dương là đầu mối chiến lược, khẳng định sẽ tăng cường ngoại giao lâu dài, tiếp tục tăng cường. quan hệ quốc phòng, hợp tác kinh tế
ຝະລັ່ງ ຕີລາຄາສູງບົດບາດ, ອິດທິພົນຊື່ສຽງຂອງຫວຽດນາມ ຕໍ່ກັບພາກພື້ນ, ຖືຫວຽດນາມ ແມ່ນຂົວເຊື່ອມຕໍ່ເພື່ອເພີ່ມທະວີການພົວພັນກັບອາຊຽນ ແລະພາກພື້ນອາຊີ-ປາຊີຟິກ.	Pháp đánh giá cao vai trò và ảnh hưởng của Việt Nam tại khu vực, coi Việt Nam là cầu nối để tăng cường quan hệ với ASEAN và khu vực châu Á - Thái Bình Dương.
ຝະລັ່ງ ຊົມເຊີຍການສະໜັບສະໜູນ ກໍ່ຄື ຂໍ້ລິເລີ່ມຂອງຫວຽດນາມສຳລັບຄວາມປາດຖະໜາຂອງຝະລັ່ງ ຢາກເຂົ້າຮ່ວມກົນໄກ ADMM+ ຢ່າງເປັນທາງການ, ເພີ່ມທະວີການມີໜ້າຂອງຝະລັ່ງ ເພື່ອສັນຕິພາບ, ສະຖຽນລະພາບ ແລະຄວາມໝັ້ນຄົງຢູ່ພາກພື້ນອາຊີ-ປາຊີຟິກ.	Pháp đánh giá cao sự sẵn sàng và sáng kiến của Việt Nam trong việc chính thức tham gia cơ chế ADMM +, nâng cao cam kết của Pháp đối với hòa bình, ổn định và an ninh ở khu vực châu Á - Thái Bình Dương.
ໂດຍເຊື່ອມຕໍ່ໝາກຜົນການຮ່ວມມືໃນຊຸມປີກ່ອນ, ໃນຂອບເຂດການຢ້ຽມຢາມຝະລັ່ງ ຢ່າງເປັນທາງການຂອງທ່ານເລຂາທິການໃຫຍ່ ຫງວຽນຟູ໋ຈ້ອງ, ສອງຝ່າຍຢືນຢັນຄວາມປາດຖະໜາຢາກເຮັດໃຫ້ການພົວພັນ, ການຮ່ວມມືດ້ານປ້ອງກັນຊາດເລິກເຊິ່ງກວ່າອີກ;	Trong khuôn khổ chuyến thăm chính thức Pháp của Tổng Bí thư Nguyễn Phú Trọng, hai bên tái khẳng định mong muốn làm sâu sắc hơn nữa quan hệ và hợp tác quốc phòng.
ເພີ່ມທະວີການເຈລະຈາຍຸດທະສາດ, ເປີດກວ້າງເນື້ອໃນການຮ່ວມມືດ້ານປ້ອງກັນຊາດດ້ວຍບັນດາຮູບການໃໝ່, ມີຄວາມໄວ້ເນື້ອເຊື່ອໃຈສູງ, ເພີ່່ມທະວີການຮ່ວມມືລະຫວ່າງບັນດາກຸ່ມບໍລິສັດ, ວິສາຫະກິດອຸດສາຫະກຳດ້ານປ້ອງກັນຊາດ, ສືບຕໍ່ຮ່ວມມືບຳລຸງສ້າງ, ຄົ້ນຄວ້າວິທະຍາສາດ, ເປີດກວ້າງການຮ່ວມມືຄົ້ນຄວ້າກ່ຽວກັບບັນດາພະຍາດເຂດຮ້ອນ, ປິ່ນປົວພະຍາດອັນຕະລາຍ.	Tăng cường đối thoại chiến lược, mở rộng nội dung hợp tác quốc phòng theo hình thức mới, có sự tin cậy cao, tăng cường hợp tác giữa các nhóm công ty, doanh nghiệp công nghiệp quốc phòng, tiếp tục hợp tác đào tạo, nghiên cứu khoa học, mở rộng hợp tác trong lĩnh vực bệnh nhiệt thán.
ຝະລັ່ງ ພ້ອມແລ້ວທີ່ຈະໜູນຊ່ວຍຫວຽດນາມ ຜັນຂະຫຍາຍບັນດາຄະນະປະຕິບັດງານຮັກສາສັນຕິພາບຢູ່ບໍລິເວນບັນດາປະເທດໃຊ້ພາສາຝະລັ່ງ.	Pháp sẵn sàng hỗ trợ Việt Nam triển khai các sứ mệnh gìn giữ hòa bình tại các nước nói tiếng Pháp.
ບັນດາເອກະສານໄດ້ຮັບການລົງນາມ ແລະທິດທາງຮ່ວມມືດ້ານປ້ອງກັນຊາດໃນໄລຍະຈະມາເຖິງໄດ້ຫັນເນື້ອໃນກຳນົດທິດໃນການພົບປະເຈລະຈາລະຫວ່າງການນຳສູງສຸດຂອງຫວຽດນາມ ແລະຝະລັ່ງເປັນລະອຽດ, ສອດຄ່ອງກັບທັດສະນະ, ແນວທາງພົວພັນຕ່າງປະເທດທີ່ເປັນເອກະລາດ, ເປັນເຈົ້າຕົນເອງ, ຫັນການພົວພັນກັບສາກົນຂອງພັກກອມມູນິດ ຫວຽດນາມເປັນຫຼາຍຮູບຫຼາຍແບບ ແລະຫຼາຍຝ່າຍ;	Các văn kiện được ký kết và phương hướng hợp tác quốc phòng trong tương lai đã biến nội dung hội đàm giữa Lãnh đạo Việt Nam và Pháp trở nên chi tiết, phù hợp với quan điểm quan hệ quốc tế độc lập, tự chủ, đa đảng, đa đảng của Việt Nam;
ພ້ອມທັງສະແດງໃຫ້ເຫັນຄວາມໄວ້ເນື້ອເຊື່ອໃຈ, ບາດກ້າວພັດທະນາໃນການພົວພັນດ້ານປ້ອງກັນຊາດລະຫວ່າງສອງປະເທດ.	Cũng như thể hiện sự tin tưởng, bước phát triển trong quan hệ quốc phòng giữa hai nước.
ກ່າວຄຳເຫັນທີ່ວັງ Élysée ໃນວັນທີ 27 ມີນາ 2018 ເມື່ອຕ້ອນຮັບທ່ານເລຂາທິການໃຫຍ່ ຫງວຽນຟູ໋ຈ້ອງ, ທ່ານປະທານາທິບໍດີ Emmanuel Macron ຢືນຢັນວ່າ: ພວກເຮົາຮ່ວມກັນຕິດພັນກັບການເຄົາລົບກົດໝາຍສາກົນ ກໍ່ຄື ຄວາມເສລີໃນການເດີນທະເລ.	Phát biểu tại Điện Élysée ngày 27/3/2018, chào mừng Tổng Bí thư Nguyễn Phú Trọng, Tổng thống Emmanuel Macron khẳng định: “Chúng tôi có chung cam kết tôn trọng luật pháp quốc tế và tự do hàng hải.
ທ່ານລັດຖະມົນຕີກະຊວງປ້ອງກັນປະເທດຝະລັ່ງ ຢືນຢັນວ່າ: ບໍ່ພຽງແຕ່ແມ່ນຄູ່ຮ່ວມມືຍຸດທະສາດເທົ່ານັ້ນ, ຫາກຍັງໃນອະນາຄົດ, ຝະລັ່ງປາດຖະໜາຢາກແມ່ນ “ຄູ່ຮ່ວມມືຍຸດທະສາດມີຄວາມໄວ້ເນື້ອເຊື່ອໃຈ , ຄຽງບ່າຄຽງໄຫຼ່ກັບຫວຽດນາມ ເມື່ອຍາມທີ່ມີຄວາມສະດວກ ກໍ່ຄືຍາມທີ່ປະສົບກັບຄວາມຫຍຸ້ງຍາກອີກດ້ວຍ.	Bộ trưởng Bộ Quốc phòng Pháp khẳng định Pháp không chỉ là đối tác chiến lược mà trong tương lai, mong muốn là “Đối tác chiến lược tin cậy, sát cánh cùng Việt Nam trong lúc khó khăn cũng như lúc khó khăn.
ສິ່ງດັ່ງກ່າວ ໄດ້ຢືນຢັນເຖິງຄຸນຄ່າຂອງການພົວພັນຄູ່ຮ່ວມມືຍຸດທະສາດ, ບົດບາດສຳຄັນຂອງການພົວພັນຕ່າງປະເທດເວົ້າລວມ, ການພົວພັນຕ່າງປະເທດດ້ານປ້ອງກັນຊາດເວົ້າສະເພາະ, ແນໃສ່ປັບປຸງຄວາມໄວ້ເນື້ອເຊື່ອໃຈຍຸດທະສາດ, ຜົນປະໂຫຍດຍຸດທະສາດສະຫຼັບກັນ, ຍາດແຍ່ງເອົາຄວາມສະໜັບສະໜູນຂອງສາກົນ ເພື່ອສະກັດກັ້ນ, ຍູ້ຖອຍໄພອັນຕະລາຍ, ສິ່ງທ້າທາຍ, ປະຕິບັດການປົກປັກຮັກສາປະເທດແຕ່ຢູ່ໄກ.	Điều đó khẳng định giá trị của quan hệ Đối tác chiến lược, vai trò quan trọng của đối ngoại nói chung, đối ngoại quốc phòng nói riêng, nhằm nâng cao lòng tin chiến lược, lợi ích chiến lược, có đi có lại, hợp tác quốc tế, phòng ngừa, răn đe, trấn áp.
ໝາກຜົນແຫ່ງການພົວພັນຮ່ວມມືລະຫວ່າງຫວຽດນາມ-ຝະລັ່ງ ໃນບັນດາຂົງເຂດເວົ້າລວມ, ຂົງເຂດປ້ອງກັນຊາດເວົ້າສະເພາະໄດ້ສະແດງໃຫ້ເຫັນຄວາມໄວ້ເນື້ອເຊື່ອໃຈ, ຄວາມເຄົາລົບຂອງຝະລັ່ງກັບຫວຽດນາມ.	Kết quả hợp tác Việt - Pháp trong lĩnh vực nói chung, lĩnh vực quốc phòng nói riêng đã thể hiện sự tin cậy và coi trọng của Pháp đối với Việt Nam.
ໂດຍຮັບຮູ້ຢ່າງຖືກຕ້ອງ, ມີຄວາມໝາຍຢ່າງຄົບຖ້ວນ, ຄວາມສຳຄັນຂອງການຮ່ວມມືດ້ານປ້ອງກັນຊາດຫວຽດນາມ-ຝະລັ່ງ ໃນພາລະກິດສ້າງສາ ແລະປົກປັກຮັກສາປະເທດຊາດ, ບົນພື້ນຖານແນວທາງ, ທັດສະນະພົວພັນຕ່າງປະເທດຂອງພັກ, ພວກເຮົາຕ້ອງຜັນຂະຫຍາຍປະຕິບັດແຜນງານ “ເຊື່ອມໂຍງເຂົ້າກັບສາກົນດ້ານປ້ອງກັນຊາດຮອດປີ 2030 ;	Nhận thức được tầm quan trọng của hợp tác quốc phòng Việt - Pháp trong sứ mệnh xây dựng và bảo vệ Tổ quốc, trên cơ sở đường lối đối ngoại của Đảng, chúng ta phải triển khai Chương trình “Quốc tế tổng hợp” đến năm 2030;
ບັນດາຂໍ້ຕົກລົງກ່ຽວກັບການຮ່ວມມືດ້ານປ້ອງກັນຊາດໃນການຢ້ຽມຢາມຝະລັ່ງ ຂອງທ່ານເລຂາທິການໃຫຍ່ ຫງວຽນຟູ໋ຈ້ອງ ເປັນຢ່າງດີ, ມີປະສິດທິຜົນ ແລະບັນດາເອກະສານທີ່ຈະໄດ້ຮັບການລົງນາມໃນບັນດາການຢ້ຽມຢາມຝະລັ່ງ ຂອງທ່ານລັດຖະມົນຕີກະຊວງປ້ອງກັນປະເທດຫວຽດນາມ ໃນໄລຍະຈະມາເຖິງ.	Các thỏa thuận hợp tác quốc phòng trong chuyến thăm Pháp của Tổng Bí thư Nguyễn Phú Trọng là tốt, có hiệu lực và là văn kiện sẽ được ký kết trong chuyến thăm Pháp sắp tới của Bộ trưởng Bộ Quốc phòng Việt Nam.
ແປໂດຍ: ຮຸຍດົງ.	Dịch bởi: Huy Đông.
