ກປ.ອອນໄລ - ປີຊວດ 2020 ເປັນຂີດໝາຍແຫ່ງການຄອງຄອຍ.	KPR Online - Năm 2020 là một dấu hiệu của sự mong đợi.
ພາບປະກອບຄັດຈາກ: vov.vn.	Hình minh họa: vov.vn.
ຜ່ານການປ່ຽນແປງໃໝ່ເປັນເວລາ 30 ກວ່າປີ, ຫວຽດນາມ ໄດ້ມີພາລະກິດທີ່ນັບມື້ນັບໃຫຍ່ຫຼວງ ແລະຄວາມສາມາດບົ່ມຊ້ອມພັດທະນາທີ່ອຸດົມສົມບູນ.	Trải qua hơn 30 năm chuyển mình, Việt Nam ngày càng có sứ mệnh và tiềm năng phát triển phong phú.
ສິ່ງນັ້ນເຮັດໃຫ້ພວກເຮົາມີພື້ນຖານ, ມີຄວາມໄວ້ເນື້ອເຊື່ອໃຈ, ຄວາມໃຝ່ຝັນກ່ຽວກັບປະເທດທີ່ເຂັ້ມແຂງແຮງກ້າ ເຊິ່ງອາດຈະປະກົດຜົນເປັນຈິງໄດ້ໃນປີ 2045 - ເປັນຂີດໝາຍສະເຫຼີມສະຫຼອງວັນສະຖາປະນາ ປະເທດ ສສ ຫວຽດນາມ ຄົບຮອບ 100 ປີ.	Điều đó tạo cho chúng ta nền tảng, niềm tin, hoài bão có một đất nước giàu mạnh, có thể trở thành hiện thực vào năm 2045 - kỷ niệm 100 năm Ngày thành lập nước Cộng hòa xã hội chủ nghĩa Việt Nam.
ບົດຮຽນລວມໃນໂລກທີ່ສະແດງໃຫ້ເຫັນວ່າ, ປະເທດໜຶ່ງຢາກບືນຕົວຂຶ້ນຕ້ອງມີຄວາມຕ້ອງການພື້ນຖານຢ່າງໜ້ອຍ 3 ຢ່າງຄື: ມີຄວາມບຸກທະລຸທາງດ້ານລະບອບລະບຽບການ, ຍົກສູງຄຸນນະພາບຊັບພະຍາກອນມະນຸດ ແລະພັດທະນາພື້ນຖານໂຄງລ່າງ.	Bài học kinh nghiệm của thế giới cho thấy, một quốc gia đang vươn lên cần đáp ứng ba yêu cầu cơ bản: có những đột phá về quy định, nâng cao chất lượng nguồn nhân lực và phát triển cơ sở hạ tầng.
ໃນຊຸມປີມໍ່ໆມານີ້, ຍ້ອນຕັດສິນໃຈກະທໍາ, ປະເທດເຮົາຈຶ່ງມີການປົວແປງໄວພໍສົມຄວນຂອງທັງ 3 ປັດໄຈດັ່ງກ່າວ.	Trong những năm gần đây, do quyết định hành động nên đất nước ta đã cải thiện tương đối nhanh trên cả ba yếu tố.
ແຕ່ຄືດັ່ງນັ້ນແມ່ນຍັງບໍ່ທັນພຽງພໍເທື່ອ.	Nhưng như vậy là chưa đủ.
ພວກເຮົາຍັງກໍາລັງຢູ່ໃນໄລຍະຍາວ, ຕ້ອງມີການກະທໍາເປັນປະຈໍາ, ຕໍ່ເນື່ອງ ແລະບໍ່ຢຸດ.	Về lâu dài chúng ta vẫn còn, cần hành động thường xuyên, liên tục và không ngừng nghỉ.
ເພື່ອໃຫ້ການກະທໍາປະສົບຜົນສໍາເລັດແມ່ນບໍ່ອາດຂາດໄດ້ຄວາມສາມັກຄີ, ການຮ່ວມແຮງຮ່ວມໃຈ.	Để hành động thành công thì không thể thiếu sự thống nhất, đoàn kết.
ໃນຊຸມປີຜ່ານມາ, ໜຶ່ງໃນບັນດາສາເຫດຕົ້ນຕໍທີ່ເຮັດໃຫ້ພວກເຮົາບັນລຸໄດ້ຜົນງານອັນໃຫຍ່ຫຼວງ ນັ້ນແມ່ນຍ້ອນມີຄວາມສາມັກຄີເປັນເອກະພາບ, ມີຄວາມມານະພະຍາຍາມສູ້ຊົນ, ຮ່ວມແຮງຮ່ວມໃຈຂອງທົ່ວພັກ, ທົ່ວປວງຊົນ ແລະທົ່ວກອງທັບ.	Trong những năm gần đây, một trong những nguyên nhân chính khiến chúng ta đạt được những điều to lớn là do sự đồng lòng, chung sức, đồng lòng của toàn Đảng, toàn dân, toàn quân.
ຄວາມໃຝ່ຝັນຂອງປະເທດ, ຂອງຊາດຕ້ອງໄດ້ຫັນເປັນຄວາມໃຝ່ຝັນ ແລະການກະທໍາຂອງພົນລະເມືອງ, ຂອງຄົນຫວຽດນາມ ທີ່ຖືເຊື້ອສາຍຫວຽດນາມແຕ່ລະຄົນ.	Nguyện vọng của đất nước, của dân tộc phải được biến thành nguyện vọng và hành động của nhân dân, của mỗi người con dân tộc Việt Nam.
ເມື່ອພົນລະເມືອງແຕ່ລະຄົນມີທີ່ຕັ້ງຂອງຕົນແລ້ວລ້ວນແຕ່ມານະພະຍາຍາມປະກອບສ່ວນໃຫ້ແກ່ປະເທດຊາດ, ເຂົ້າໃຈຢ່າງຖືກຕ້ອງກ່ຽວກັບຄວາມຮັບຜິດຊອບ ແລະກຽດສັກສີ, ຍອມເສຍສະຫຼະຜົນປະໂຫຍດສ່ວນຕົວເພື່ອຜົນປະໂຫຍດສ່ວນລວມ ກໍຈະເປັນບຸນໜັກສັກໃຫຍ່ຂອງປະເທດ, ຂອງຊາດ.	Khi mỗi người dân có vị trí của mình, nỗ lực cống hiến cho dân tộc, hiểu đúng trách nhiệm và tôn vinh, xả thân vì lợi ích chung thì đó sẽ là ngày hội lớn của quốc gia, dân tộc.
ປີນີ້, ພັກເຮົາມີອາຍຸຄົບຮອບ 90 ລະດູບານໃໝ່.	Năm nay, bên mình đánh dấu kỷ niệm 90 năm mùa xuân mới.
ນັບຕັ້ງແຕ່ກໍາເນີດຂຶ້ນມາຮອດປັດຈຸບັນ, ພັກກອມມູນິດຫວຽດນາມ ໄດ້ນໍາພາການປະຕິວັດຫວຽດນາມ ຍາດໄດ້ບັນດາຜົນງານອັນໃຫຍ່ຫຼວງ, ນໍາເອົາລະດູບານໃໝ່ທີ່ສວຍງາມມາໃຫ້ປະເທດຊາດ.	Từ khi ra đời đến nay, Đảng Cộng sản Việt Nam đã lãnh đạo cách mạng Việt Nam đạt nhiều thành tựu to lớn, mang lại mùa xuân tươi đẹp cho dân tộc.
ບັນດາຜົນງານບັນລຸໄດ້ໃນໄລຍະຜ່ານມາໄດ້ສະແດງໃຫ້ເຫັນການກໍານົດທິດຍຸດທະສາດເຊິ່ງກອງປະຊຸມໃຫຍ່ ຄັ້ງທີ XII ຂອງພັກ ວາງອອກແມ່ນຖືກຕ້ອງ, ບັນດານະໂຍບາຍ, ກົດໝາຍຂອງລັດ ກໍໄດ້ສອດຄ່ອງກັບສະພາບຕົວຈິງ, ຄ່ອງໆແກ້ໄຂບັນດາຂໍ້ຕິດຂັດໄປເທື່ອລະໜ້ອຍ, ສ້າງແຫຼ່ງບັນດານໃຈ, ປົດປ່ອຍ, ປຸກລຸກຄວາມສາມາດບົ່ມຊ້ອນຂອງທົ່ວ ປວງຊົນທັງຊາດ, ທົ່ວສັງຄົມເພື່ອພັດທະນາປະເທດຊາດ.	Những thành tựu đạt được trong thời gian qua cho thấy đường lối chiến lược mà Đại hội Đảng lần thứ XII đề ra là đúng đắn, chính sách, pháp luật của Nhà nước phù hợp với tình hình thực tiễn, từng bước giải quyết vấn đề, tạo nguồn cảm hứng, giải phóng và thức tỉnh cả dân tộc.
ປີນີ້ຈະດໍາເນີນກອງປະຊຸມໃຫຍ່ອົງຄະນະພັກທຸກຂັ້ນເພື່ອມຸ່ງໄປເຖິງກອງປະຊຸມໃຫຍ່ ຄັ້ງທີ XIII ຂອງພັກ.	Năm nay, Đại hội Đảng bộ các cấp sẽ được tổ chức tiến tới Đại hội Đảng bộ lần thứ 13.
ນີ້ແມ່ນກາລະໂອກາດເພື່ອໃຫ້ພະນັກງານ, ສະມາຊິກພັກ ແລະປະຊາຊົນຍົກສູງນໍ້າໃຈຮັບຜິດຊອບ, ຕັ້ງໜ້າປະກອບສ່ວນອຸທິດສະຕິປັນຍາເຂົ້າໃນການສ້າງ, ເຮັດໃຫ້ບັນດາເອກະສານສົມບູນແບບ, ໃນນັ້ນມີຮ່າງເອກະສານຍື່ນສະເໜີຕໍ່ກອງປະຊຸມໃຫຍ່ ຄັ້ງທີ XIII ຂອງພັກ, ເພື່ອໃຫ້ພວກເຮົາສືບຕໍ່ມີການກໍານົດທິດຍຸດທະສາທີ່ຖືກຕ້ອງ, ເລິກເຊິ່ງ, ສ້າງບາດກ້າວບຸກທະລຸໃຫ້ແກ່ໄລຍະໃໝ່.	Đây là dịp để đội ngũ cán bộ, đảng viên và nhân dân trách nhiệm, đóng góp xây dựng một văn kiện toàn diện, trong đó có dự thảo Văn kiện trình Đại hội Đảng lần thứ 13, để chúng ta tiếp tục đề ra một bước chiến lược. .
ປະກອບສ່ວນຢ່າງດີເດັ່ນເຂົ້າໃນໝາກຜົນລວມຂອງປະເທດ, ໃນໄລຍະ 75 ກວ່າປີຜ່ານມາ, ກອງທັບປະຊາຊົນຫວຽດນາມ ໄດ້ສະແດງໃຫ້ເຫັນຄວາມຈົ່ງຮັກພັກດີຕໍ່ພັກ, ຕໍ່ປະເທດຊາດ ແລະປະຊາຊົນຢ່າງເດັດຂາດ, ປະຕິບັດບັນດາແຜນນະໂຍບາຍ, ນະໂຍບາຍຂອງພັກ ແລະລັດກ່ຽວກັບການປ້ອງກັນຊາດ, ປ້ອງກັນຄວາມສະຫງົບ, ການພົວພັນຕ່າງປະເທດ, ຮັບປະກັນຜົນປະໂຫຍດຂອງປະເທດ, ຂອງຊາດຢ່າງເຂັ້ມງວດ.	75 năm qua, Quân đội nhân dân Việt Nam thể hiện lòng trung với Đảng, trung với dân tộc, thực hiện đường lối, chính sách của Đảng và Nhà nước về quốc phòng, an ninh, quốc gia, vì lợi ích quốc gia.
ໃນສະພາບແວດລ້ອມສາກົນທີ່ນັບມື້ນັບສັບສົນ, ຜົນປະໂຫຍດແຊກຊ້ອນກັນ, ພວກເຮົາທັງປົກປັກຮັກສາເອກະລາດ, ອະທິປະໄຕ, ຜືນແຜ່ນດິນອັນຄົບຖ້ວນຂອງປະເທດຊາດໄວ້ຢ່າງໝັ້ນຄົງ, ແຕ່ຍັງຮັກສາສະພາບແວດລ້ອມແຫ່ງສັນຕິພາບ, ສະຖຽນລະພາບເພື່ອພັດທະນາເສດຖະກິດ, ຍົກສູງຖານະບົດບາດ, ທີ່ຕັ້ງຂອງປະເທດຊາດ.	Trong môi trường quốc tế ngày càng phức tạp, lợi ích chồng chéo, chúng ta không chỉ bảo vệ độc lập, chủ quyền, toàn vẹn lãnh thổ của quốc gia mà còn phải duy trì môi trường hòa bình, ổn định để phát triển kinh tế, nâng cao vị thế, vị thế của quốc gia.
ນັ້ນແມ່ນຄວາມຕ້ອງການຄຽງຄູ່ກັນໄປທີ່ບໍ່ແມ່ນເລື່ອງງ່າຍດາຍ ເຊິ່ງພວກເຮົາໄດ້ປະຕິບັດໃນໄລຍະຜ່ານມາ ແລະຕ້ອງມານະພະຍາຍາມປະຕິບັດໃນໄລຍະຈະມາເຖິງໃຫ້ເປັນຢ່າງດີ.	Đó là một nhu cầu song song không phải dễ dàng mà chúng ta đã giải quyết trong thời gian qua và phải cố gắng thực hiện tốt trong thời gian tới.
ແສງແດດຂອງລະດູບານໃໝ່ໄດ້ແຜ່ກະຈາຍໄປທົ່ວທຸກແຫ່ງຫົນຂອງປະເທດ.	Nắng xuân rực rỡ trên khắp mọi miền đất nước.
ຕັ້ງແຕ່ຊຸມວັນເຮັດວຽກທໍາອິດຂອງປີຊວດ 2020, ພວກເຮົາແຕ່ລະຄົນຕ້ອງເຮັດວຽກທັນທີ, ສ້າງແປວໄຟແຫ່ງຄວາມໃຝ່ຝັນ, ສ້າງກໍາລັງໜູນເພື່ອອຸທິດສ່ວນ, ດ້ວຍບັນຍາກາດ ແລະຄວາມຕັດສິນໃຈສູງ, ປະກອບເຫື່ອແຮງເພື່ອໃຫ້ອົງການກົມກອງ, ອົງການຈັດຕັ້ງ, ວິສາຫະກິດ ແລະທົ່ວປະເທດປະຕິບັດສໍາເລັດ ແລະລື່ນກາຍບັນດາຄາດໝາຍໃຫຍ່, ເພື່ອຄວາມອຸດົມຮັ່ງມີ ແລະເຂັ້ມແຂງຂອງປະເທດ, ຄວາມວັດທະນາຖາວອນຂອງສັງຄົມ ແລະຄວາມຜາສຸກຂອງແຕ່ລະຄອບຄົວ.	Ngay từ những ngày làm việc đầu tiên của năm 2020, mỗi chúng ta phải lao động ngay, tạo ngọn lửa khát vọng, tạo động lực để cống hiến, với khí thế và quyết tâm cao, hết mình vì tổ chức, đoàn thể, doanh nghiệp và đất nước. để thành công và thịnh vượng và thịnh vượng.
ໂດຍ: ໄຊຊະນະ.	Bởi: Chiến thắng.
