ທີ່ມີມູນຄ່ານັບຕື້ດົ່ງໃນແຕ່ລະປີ.	Trị giá hàng tỷ đồng mỗi năm.
ຄະນະໜັງສືພິມກອງທັບປະຊາຊົນລາວ ແລະຄະນະໜັງສືພິມກອງທັບປະຊາຊົນຫວຽດນາມ ຖ່າຍຮູບເປັນທີ່ລະນຶກ.	Đoàn Báo chí QĐND Lào và Đoàn Báo chí QĐND Việt Nam chụp ảnh lưu niệm.
ພາບ: qdnd.vn.	Ảnh: qdnd.vn.
ຄະນະໜັງສືພິມກອງທັບປະຊາຊົນລາວ ຢ້ຽມຢາມຫ້ອງເຕັກນິກ, ຈັດໜ້າ ຂອງໜັງສືພິມກອງທັບປະຊາຊົນຫວຽດນາມ.	Đoàn Báo chí QĐND Lào thăm phòng kỹ thuật QĐND Việt Nam.
ພາບ: qdnd.vn.	Ảnh: qdnd.vn.
ສະຫາຍພັນເອກ ຄໍາສາວ ແກ້ວວິເສດ ສະເໜີວ່າໃນໄລຍະຈະມາເຖິງ, ໜັງສືພິມກອງທັບປະຊາຊົນຫວຽດນາມ ແລະໜັງສືພິມກອງທັບປະຊາຊົນລາວ ຄວນເພີ່ມທະວີການຮ່ວມມືໃນບັນດາຂົງເຂດ ບໍາລຸງສ້າງນັກຂ່າວ, ນັກບັນນາທິການ, ແບ່ງປັນຂໍ້ມູນຂ່າວສານ, ແລກປ່ຽນວິຊາສະເພາະເພື່ອປະຕິບັດໜ້າທີ່ໂຄສະນາຂອງສອງອົງການໃຫ້ດີກວ່າເກົ່າ.	Đồng chí Đại tá Khamsao Keoviseth cho rằng, trong thời gian tới, Quân đội nhân dân Việt Nam và Quân đội nhân dân Lào cần tăng cường hợp tác trong các lĩnh vực đào tạo phóng viên, biên tập viên, chia sẻ thông tin, trao đổi nghiệp vụ nhằm phục vụ tốt hơn cho công tác tuyên truyền của hai tổ chức.
ກ່ອນໜ້ານັ້ນ, ຕອນເຊົ້າວັນດຽວກັນ, ຄະນະໜັງສືພິມກອງທັບປະຊາຊົນລາວ ໄດ້ມາຢ້ຽມຢາມ ແລະເຮັດວຽກກັບສູນວິທະຍຸກະຈາຍສຽງ-ໂທລະພາບກອງທັບ.	Trước đó cùng ngày, Đoàn Báo chí Quân đội nhân dân Lào đã đến thăm và làm việc với Trung tâm Phát thanh - Truyền hình Quân đội.
ສະຫາຍພົນຈັດຕະວາ ຫງວຽນກິມຕົນ, ຜູ້ອໍານວຍການສູນກະຈາຍສຽງ-ໂທລະພາບກອງທັບປະຊາຊົນຫວຽດນາມ ແລກປ່ຽນກັບສະຫາຍພັນເອກ ຄໍາສາວ ແກ້ວວິເສດ, ເລຂາຄະນະພັກ, ຫົວໜ້າບັນນາທິການໜັງສືພິມກອງທັບປະຊາຊົນລາວ.	Trung tướng Nguyễn Kim Tôn, Giám đốc Trung tâm Phát thanh Truyền hình QĐND Việt Nam trao đổi với Đại tá Khamsao Keoviseth, Bí thư Đảng ủy, Tổng Biên tập Báo QĐND Lào.
ພາບ: qdnd.vn.	Ảnh: qdnd.vn.
ຄະນະຜູ້ແທນໜັງສືພິມກອງທັບປະຊາຊົນລາວ ຢ້ຽມຢາມຫ້ອງເຕັກນິກຂອງສູນກະຈາຍສຽງ-ໂທລະພາບກອງທັບ.	Đoàn đại biểu Quân đội nhân dân Lào thăm phòng kỹ thuật của Trung tâm Phát thanh Truyền hình Quân đội.
ພາບ: qdnd.vn.	Ảnh: qdnd.vn.
ບັນດາຜູ້ແທນຖ່າຍຮູບເປັນທີ່ລະນຶກ.	Các đại biểu chụp ảnh lưu niệm.
ພາບ: qdnd.vn.	Ảnh: qdnd.vn.
ໃນຂອບເຂດການປະຕິບັດງານຢູ່ຫວຽດນາມ, ຄະນະໜັງສືພິມກອງທັບປະຊາຊົນລາວ ຈະໄປຢ້ຽມຢາມບາງກົມກອງ, ໂຮງຮຽນ, ປູຊະນີຍະສະຖານປະຫວັດສາດ, ວັດທະນະທໍາ...	Trong khuôn khổ chuyến công tác tại Việt Nam, Quân đội nhân dân Lào sẽ thăm một số sở, trường, di tích, di tích lịch sử, văn hóa ...
ໂດຍ: ເກື່ອງດັ້ງ.	By: Cuong Dang.
