ກປ.ອອນໄລ - ຕອນເຊົ້າວັນທີ 26 ພະຈິກ, ທີ່ Busan, ສ.ເກົາຫຼີ, ທ່ານ ຫງວຽນຊວນຟຸກ ນາຍົກລັດຖະມົນຕີຫວຽດນາມ ພ້ອມກັບບັນດາການນຳສະມາຄົມປະຊາຊາດອາຊີຕາເວັນອອກສ່ຽງໃຕ້ (ອາຊຽນ) ແລະປະທານາທິບໍດີ ສ.ເກົາຫຼີ ເຂົ້າຮ່ວມວາລະປະຊຸມຄັ້ງທີ 1 ຂອງກອງປະຊຸມສຸດຍອດສະເຫຼີມສະຫຼອງ 30 ປີແຫ່ງວັນສ້າງຕັ້ງການພົວພັນຄູ່ຮ່ວມມື ອາຊຽນ- ສ.ເກົາຫຼີ ດ້ວຍຫົວຂໍ້ “ການພົວພັນ ອາຊຽນ - ສ.ເກົາຫຼີ: 30 ປີຜ່ານມາ ແລະ 30 ປີຈະມາເຖິງ.	<br> <br> <br> Khung Hàn Quốc, ASEAN, ASEAN với chủ đề của năm 2010, khung ASEAN với chủ đề này.
ເພີ່ມຈຳນວນທຶນສຶກສາຂຶ້ນທົບສອງເທົ່າໃຫ້ນັກສຶກສາບັນດາປະເທດອາຊຽນ ໄປຮ່ຳຮຽນຢູ່ ສ.ເກົາຫຼີ;	Tăng quỹ giáo dục cấp đỗ, các nước ASEAN ở Lào Hàn Quốc;
ສ້າງຕັ້ງການພົວພັນຄູ່ຮ່ວມມືເລີ່ມທຸລະກິດ ອາຊຽນ - ສ.ເກົາຫຼີ;	Thiết lập một đối tác của mối quan hệ kinh doanh kinh doanh ASEAN - Đông Nam-Hàn Quốc;
ໜູນຊ່ວຍບັນດາວິສາຫະກິດເລີ່ມທຸລະກິດໃນຂົງເຂດເຕັກໂນໂລຢີໃໝ່;	Giúp doanh nghiệp bắt đầu kinh doanh trong công nghệ mới;
ເພີ່ມການໜູນຊ່ວຍ ອາຊຽນ ພັດທະນາເຕັກໂນໂລຢີດີຈີຕອນ...	Tăng hỗ trợ kinh tế ASEAN ...
ກ່າວຄຳເຫັນທີ່ກອງປະຊຸມ, ທ່ານ ຫງວຽນຊວນຟຸກ ເຈາະຈີ້ມບາງການກຳນົດທິດໃນການຮ່ວມມືສຳຄັນສຳລັບ 30 ປີຕໍ່ໜ້າລະຫວ່າງອາຊຽນ ແລະສ.ເກົາຫຼີ, ໃນນັ້ນມີການເພີ່ມລັກສະນະຍຸດທະສາດໃນການພົວພັນຄູ່ຮ່ວມມື;	Nói chuyện tại cuộc họp, Nguyễn Xuân Dieng đã thúc đẩy để xác định hướng hợp tác để hợp tác hợp tác cho Hàn Quốc, đại diện của sự hợp tác;
ຍົກສູງການປະຕິບັດຕາມກົດໝາຍສາກົນ;	Nâng cao luật pháp quốc tế;
ຍູ້ແຮງການຮ່ວມມືດ້ານເສດຖະກິດຕາມທິດດຸ່ນດ່ຽງ.	Thúc đẩy hợp tác kinh tế theo hướng.
ຕ່າງຝ່າຍຕ່າງມີິຜົນປະໂຫຍດ, ສ້າງເງື່ອນໄຂໃຫ້ສິນຄ້າ ແລະການລົງທຶນຂອງສອງຝ່າຍໄດ້ສຳຜັດກັບຕະຫຼາດຂອງກັນ;	Lợi ích, tạo điều kiện cho hai hàng hóa và đầu tư ở cả hai bên chạm vào thị trường;
ຮັບແຮງງານມາຈາກບັນດາປະເທດອາຊຽນ, ໃນນັ້ນມີຫວຽດນາມ.	Nhận lao động từ các nước ASEAN, tại Việt Nam.
ທ່ານ ຫງວຽນຊວນຟຸກ ໄດ້ສະເໜີໃຫ້ ສ.ເກົາຫຼີ ຕັ້ງໜ້າໜູນຊ່ວຍອາຊຽນ ກໍ່ສ້າງຊັບພະຍາກອນມະນຸດທີ່ມີຄຸນນະພາບສູງເພື່ອໃຫ້ກຳລັງແຮງງານອາຊຽນ ສາມາດຕອບສະໜອງຄວາມຮຽກຮ້ອງຕ້ອງການຂອງພື້ນຖານເສດຖະກິດດີຈີຕອນ ແລະໜູນຊ່ວຍອາຊຽນ ສ້າງຕັ້ງສູນຄົ້ນຄວ້າວິທະຍາສາດທະເລ ເພື່ອຊຸກຍູ້ການຮ່ວມມືພັດທະນາເສດຖະກິດທະເລ ແລະອະນຸລັກຮັກສາສິ່ງແວດລ້ອມທະເລແບບຍືນຍົງ.	Nguyễn Xu Xuân cung cấp một chất lượng cao của người Việt Nam của ASEAN hỗ trợ nền kinh tế biển và bảo tồn nền kinh tế biển.
ທ່ານ ຫງວຽນຊວນຟຸກ ກໍ່ເນັ້ນໜັກເຖິງຄວາມສຳຄັນຂອງການຮັບປະກັນສັນຕິພາບ, ສະຖຽນລະພາບ ແລະຄວາມໝັ້ນຄົງຢູ່ພາກພື້ນ.	Thủ tướng Nguyễn Xuân Phúc nhấn mạnh tầm quan trọng của đảm bảo hòa bình, ổn định và ổn định trong khu vực.
ທ່ານ ຫງວຽນຊວນຟຸກ ຢັ້ງຢືນວ່າການຮັກສາສະຖຽນລະພາບ, ຄວາມໝ້ັນຄົງ, ຄວາມປອດໄພ ແລະຄວາມເສລີໃນການເດີນທະເລ ແລະການບິນຢູ່ທະເລຕາເວັນອອກແມ່ນຜົນປະໂຫຍດລວມຂອງທຸກປະເທດ;	Thủ tướng Nguyễn Xuân Phúc khẳng định rằng sự ổn định, ổn định, an ninh và tự do của Biển Đông và các chuyến bay của tất cả các quốc gia;
