ກປ.ອອນໄລ - ເທື່ອທໍາອິດທີ່ໄດ້ໄປຕ່າງປະເທດ, ຂ້າພະເຈົ້າມີຄວາມກະຕືລືລົ້ນ ແລະລະມັດລະວັງທີ່ສຸດໃນການກຽມເຄື່ອງຂອງຕົນ.	KR Online - Lần đầu tiên ra nước ngoài, tôi rất nhiệt tình và cẩn thận trong khâu chuẩn bị.
ພາບ: ຮວ່າງຫວູຕ໋ວນ	Ảnh: Hoàng Vũ Tuấn
ຄະນະປະຕິບັດງານຢູ່ ມຽນມາ ໃນຄາວນັ້ນມີປະມານ 60 ຄົນ, ແບ່ງເປັນຫຼາຍກຸ່ມ, ພ້ອມກັນປະຕິບັດຫຼາຍໜ້າທີ່ແຕກຕ່າງກັນຄືສໍາຫຼວດໂທລະພາບ, ສໍາຫຼວດຕິດຕັ້ງສະຖານີ, ດໍາເນີນແລ່ນສາຍກາບໃຍແກ້ວ...	Lực lượng đặc nhiệm ở Miến Điện lúc đó khoảng 60 người, chia thành nhiều nhóm, đồng thời thực hiện nhiều nhiệm vụ khác nhau như khảo sát truyền hình, khảo sát lắp đặt trạm, chạy cáp quang ...
ໃນນັ້ນ, ຂ້າພະເຈົ້າຮັບຜິດຊອບສໍາຫຼວດດ້ານກົນຈັກໄຟຟ້າ.	Trong đó, tôi phụ trách phần khảo sát cơ điện.
ບໍລິເວນເຄື່ອນໄຫວຂອງອ້າຍນ້ອງພວກຂ້າພະເຈົ້າແມ່ນທົ່ວຜືນແຜ່ນດິນເກືອບ 700.000 ກິໂລຕາແມັດຂອງປະເທດສວຍງາມນີ້.	Lãnh thổ của các Anh em của chúng ta bao gồm gần 700.000 dặm vuông [700.000 km vuông] của đất nước xinh đẹp này.
ເມື່ອໄປປະຕິບັດຕົວຈິງ ຈຶ່ງຮູ້ໄດ້ວ່າ, ມຽນມາ ຍັງທຸກຍາກຫຼາຍຢູ່.	Về thực tế, rõ ràng là Miến Điện vẫn còn rất nghèo.
ບັນດາເຂດຊົນນະບົດເກືອບທັງໝົດມີລະບົບພື້ນຖານໂຄງລ່າງຄົມມະນາຄົມແບບປະຖົມປະຖານທີ່ສຸດ.	Hầu hết các vùng nông thôn đều có cơ sở hạ tầng giao thông cơ bản nhất.
ເສັ້ນທາງໄປຜ່ານເມືອງ, ບ້ານສ່ວນຫຼາຍແມ່ນທາງດິນ, ເຂົ້າລະດູຝົນຕົກກໍ່ເປັນບວກເປັນຕົມ, ລົດໃຫຍ່ຂອງພວກຂ້າພະເຈົ້າມັກຄາເປັນຕະຫຼອດ.	Đường qua thành phố, thôn xóm hầu hết là đường đất, mùa mưa lũ cộng với bùn đất, xe cộ của chúng tôi lúc nào cũng đắt hàng.
ເພື່ອທົດແທນບັນດາເວລາເຄື່ອນຍ້າຍທີ່ແກ່ຍາວຍ້ອນຄວາມຫຍຸ້ງຍາກກ່ຽວກັບຖະໜົນຫົນທາງນັ້ນ, ອ້າຍນ້ອງພັດໃຫ້ກໍາລັງໃຈກັນ, ປຸກລະດົມກັນສຸມໃສ່ເຮັດໃຫ້ໄວກວ່າ, ເຮັດວຽກລ່ວງເວລາ ເພື່ອໃຫ້ວຽກງານບັນລຸໄດ້ຄວາມຄືບໜ້າທີ່ວາງອອກ.	Để bù lại quãng đường dài đi lại vất vả, anh em động viên nhau, tập trung tăng tốc, tăng ca để hoàn thành công việc.
ລົດຄາບວກຄາຕົມໃນແຕ່ລະເທື່ອພວກຂ້າພະເຈົ້າກໍ່ຮ່ວມແຮງຮ່ວມໃຈກັນຍູ້ເມື່ອຮອດກາງຄືນພວກຂ້າພະເຈົ້າກໍ່ປຶກສາຫາລືວິທີການຜັນຂະຫຍາຍວຽກງານ ແລະໄດ້ເຮັດໃຫ້ພວກຂ້າພະເຈົ້າຫຍັບເຂົ້າໃກ້ກັນກວ່າໂດຍບໍ່ຕັ້ງໃຈ.	Mỗi lần lái xe chở bùn, chúng tôi đẩy nhau, tối lại bàn nhau mở rộng công việc, xích lại gần nhau hơn.
ຂ້າພະເຈົ້າຮູ້ສຶກໄດ້ວ່າດ້ວຍກໍາລັງແຮງ, ເປັນຈິດໜຶ່ງໃຈດຽວກັນຂອງທີມ, ແມ່ນບໍ່ມີຄວາມຫຍຸ້ງຍາກໃດສາມາດກີດກັ້ນພວກຂ້າພະເຈົ້າປະຕິບັດສໍາເລັດໜ້າທີ່ໄດ້.	Tôi cảm thấy rằng với sức mạnh, tinh thần đồng đội, không có trở ngại nào có thể ngăn cản chúng tôi đạt được mục tiêu của mình.
ເວລາ 8 ເດືອນຜ່ານພົ້ນໄປ, 6.000/7.114 ສະຖານີໄດ້ສໍາເລັດການສໍາຫຼວດ.	Tám tháng đã trôi qua, 6.000 / 7.114 trạm đã hoàn thành cuộc khảo sát.
ພວກຂ້າພະເຈົ້າປະຕິບັດໜ້າທີ່ວຽກງານຂອງຕົນໃກ້ຈະສຳເລັດແລ້ວ.	Chúng tôi đang làm việc khi công việc của chúng tôi sắp hoàn thành.
ແຕ່ແນ່ນອນວ່າພາຍຫຼັງສໍາເລັດແລ້ວ, ຂ້າພະເຈົ້າຍັງຈະກັບຄືນມາສະຖານທີ່ແຫ່ງນີ້ດ້ວຍໜ້າທີ່ໃໝ່ອີກ.	Nhưng tất nhiên, sau khi kết thúc, tôi sẽ quay lại nơi này với một ước mơ khác.
ຫວັງວ່າດ້ວຍບັນດາຂີດໝາຍຂອງພະນັກງານ Viettel ກໍ່ປະກອບສ່ວນຊ່ວຍໃຫ້ ມຽນມາ ມີການປ່ຽນແປງ, ມື້ອື່ນຈະບໍ່ມີບັນດາຄວາມຫຍຸ້ງຍາກຄືມື້ນີ້ອີກແລ້ວ.	Hy vọng với sự giúp đỡ của các nhân viên Viettel, chúng ta có thể làm nên chuyện trên đất Myanmar, ngày mai sẽ không còn khó khăn như hôm nay.
ແປໂດຍ:ເກື່ອງດັ້ງ.	Dịch bởi: Cuong Dang.
