ກປ.ອອນໄລ - ໂດຍໄດ້ຮັບຄໍາເຊີນຂອງທ່ານ Li Zhanshu ປະທານສະພາຜູ້ແທນປະຊາຊົນທົ່ວປະເທດຈີນ, ທ່ານນາງ ຫງວຽນທິກິມເງິນ ປະທານສະພາແຫ່ງຊາດຫວຽດນາມ ຈະນໍາໜ້າຄະນະຜູ້ແທນຂັ້ນສູງສະພາແຫ່ງຊາດຫວຽດນາມ ຢ້ຽມຢາມ ສປ ຈີນ ຢ່າງເປັນທາງການໃນລະຫວ່າງວັນທີ 8 -12 ກໍລະກົດ 2019.	Lời mời của công tố viên Li Zhanshu mời Quốc hội Quốc hội đến thăm Quốc hội Quốc hội của Quốc hội
ການຮ່ວມມືດ້ານເສດຖະກິດລະຫວ່າງສອງປະເທດສືບຕໍ່ແມ່ນຈຸດພົ້ນເດັ່ນໃນການພົວພັນສອງປະເທດ.	Hợp tác kinh tế giữa hai nước tiếp tục là mối quan hệ hai quốc gia.
ປະຈຸບັນ, ຈີນ ເປັນຄູ່ຮ່ວມມືການຄ້າໃຫຍ່ທີ່ສຸດ, ເປັນຕະຫຼາດນຳເຂົ້າໃຫຍ່ທີ່ສຸດ ແລະຕະຫຼາດສົ່ງອອກໃຫຍ່ທີສອງຂອງຫວຽດນາມ (ຖັດຈາກອາເມລິກາ) ແລະຫວຽດນາມ ເປັນຄູ່ຮ່ວມມືການຄ້າໃຫຍ່ທີ່ສຸດຂອງ ຈີນ ໃນອາຊຽນ, ເປັນຄູ່ຮ່ວມມືການຄ້າໃຫຍ່ທີແປດ, ເປັນ ຕະຫຼາດສົ່ງອອກໃຫຍ່ທີຫ້າ ແລະແມ່ນຕະຫຼາດນຳເຂົ້າໃຫຍ່ທີເກົ້າຂອງຈີນ.	Trung Quốc hiện là đối tác thương mại lớn nhất, thị trường thương mại lớn nhất Việt Nam, đối tác thương mại lớn nhất, đối tác kinh doanh lớn lớn nhất, đối tác thương mại lớn nhất và thị trường xuất khẩu lớn nhất Nineth.
ປີ 2018, ວົງເງິນການຄ້າສອງສົ້ນ ບັນລຸ 106,7 ຕື້ໂດລາສະຫະລັດ (ເພີ່ມຂຶ້ນ 13,8% ເມື່ອທຽບໃສ່ປີ 2017).	2018, giảm thương mại hai lần đạt 106,7,7% US $ 106,7,7% (tăng 13,8% so với năm 2017).
ໃນ 4 ເດືອນຕົ້ນປີ 2019, ວົງເງິນການຄ້າຫວຽດນາມ-ຈີນ ບັນລຸ 33,24 ຕື້ໂດລາສະຫະລັດ (ເພີ່ມຂຶ້ນ 11,58%) ເມື່ອທຽບໃສ່ປີ 2018.	Đầu 4 tháng, Trung Quốc, Trung Quốc đạt 33,24 tỷ USD (tăng 11,58%) so với năm 2018.
ຄິດໄລ່ຮອດທ້າຍເດືອນພຶດສະພາ 2019, ຈີນ ມີ 2.387 ໂຄງການລົງທຶນມີຜົນສັກສິດຢູ່ຫວຽດນາມ ດ້ວຍຍອດຈໍານວນທຶນຈົດທະບຽນບັນລຸ 15,1 ຕື້ໂດລາສະຫະລັດ, ຢືນອັນດັບທີ 7/131 ປະເທດ ແລະເຂດແຄ້ວນ.	Tính theo cuối tháng 5 năm 2019, Trung Quốc có 2.387 dự án đầu tư tại Việt Nam với tổng số vốn, 7/131 quốc gia và quốc gia.
ກ່ຽວກັບດ້ານການທ່ອງທ່ຽວ, ໃນ 4 ເດືອນຕົ້ນປີ 2019, ນັກທ່ອງທ່ຽວ ຈີນ ມາທ່ຽວຫວຽດນາມ ມີ 1,3 ລ້ານເທື່ອຄົນ.	Trong chuyến lưu diễn, trong 4 tháng đầu năm 2019, khách du lịch Trung Quốc có Việt Nam.
ແຕ່ລະປີນັກທ່ອງທ່ຽວຫວຽດນາມ ໄປ ຈີນ ກວ່າ 1 ລ້ານເທື່ອຄົນ.	Mỗi năm, khách du lịch Việt Nam đến Trung Quốc hơn 1 triệu lần.
ກ່ຽວກັບບັນຫາຢູ່ທະເລຕາເວັນອອກ, ສອງຝ່າຍຮັກສາການແລກປ່ຽນກ່ຽວກັບບັນຫານີ້ທີ່ບັນດາການພົບປະຂັ້ນສູງ ແລະທຸກຂັ້ນເປັນປະຈໍາ.	Về các vấn đề ở Biển Đông, hai đối tác tiếp tục chia sẻ về vấn đề này trong các cuộc họp nâng cao và mọi cấp độ.
ສອງຝ່າຍໄດ້ລົງນາມໃນ “ຂໍ້ຕົກລົງກ່ຽວກັບບັນດາຫຼັກການພື້ນຖານຊີ້ນຳແກ້ໄຂບັນຫາບົນທະເລ ແລະບັນລຸໄດ້ຄວາມຮັບຮູ້ລວມກ່ຽວກັບເລື່ອງຄວບຄຸມຄວາມບໍ່ລົງລອຍກັນ, ຮັກສາສັນຕິພາບ, ສະຖຽນລະພາບຢູ່ທະເລຕາເວັນອອກ.	Hai bên đã ký "Hiệp định" về các nguyên tắc cơ bản đã lập cơ định so với việc phát hành sự kiểm soát, hòa bình, ổn định ở Biển Đông.
ການຢ້ຽມຢາມ ຈີນ ຢ່າງເປັນທາງການຂອງທ່ານນາງ ຫງວຽນທິກິມເງິນ ປະທານສະພາແຫ່ງຊາດ ສະແດງໃຫ້ເຫັນພັກ, ລັດ ແລະສະພາແຫ່ງຊາດຫວຽດນາມ ຖືການພັດທະນາສາຍພົວພັນມິດຕະພາບທີ່ເປັນມູນເຊື້ອ, ຄູ່ຮ່ວມມືຍຸດທະສາດຮອບດ້ານກັບຈີນ ເປັນສໍາຄັນ;	Chuyến thăm chính thức tới Trung Quốc Nguyễn Thượng sinh Đại học nói Quốc hội, Quốc hội nắm giữ một thành viên của sự phát triển hữu nghị quốc gia, Trung Quốc
ປາດຖະໜາຢາກ ກໍ່ສ້າງ ແລະພັດທະນາການພົວພັນຮ່ວມມືລະຫວ່າງສອງອົງການນິຕິບັນຍັດຂຶ້ນສູ່ລະດັບສູງໃໝ່.	Chúc và phát triển hợp tác giữa hai cơ quan lập pháp ở cấp độ cao mới.
ການຢ້ຽມຢາມກໍ່ແນໃສ່ເພີ່ມທະວີຄວາມໄວ້ເນື້ອເຊື່ອໃຈດ້ານການເມືອງ, ຊຸກຍູ້ການປະຕິບັດຄວາມຮັບຮູ້ລວມ ແລະຂໍ້ຕົກລົງຂັ້ນສູງທີ່ບັນລຸໄດ້ລະຫວ່າງການນໍາຂັ້ນສູງຂອງຫວຽດນາມ ກັບການນໍາຂັ້ນສູງຈີນ;	Tham quan nhằm tăng sự tin tưởng chính trị, thúc đẩy hiệu suất tổng hợp và thỏa thuận tích cực về lãnh đạo Trung Quốc;
ປະຕິບັດບັນດາຂໍ້ຕົກລົງຮ່ວມມືລະຫວ່າງສອງສະພາແຫ່ງຊາດ, ບັນດາເອກະສານ, ລາຍການ, ໂຄງການຮ່ວມມືທີ່ໄດ້ລົງນາມ;	Thỏa thuận hợp tác hoàn thành giữa hai Quốc hội, hồ sơ, mặt hàng, chương trình hợp tác;
ທິດທາງຮ່ວມມືລະຫວ່າງສະພາແຫ່ງຊາດຫວຽດນາມ ກັບສະພາຜູ້ແທນປະຊາຊົນທົ່ວປະເທດຈີນ ໃນໄລຍະຈະມາເຖິງຢ່າງມີປະສິດທິຜົນ.	Quốc hội của Quốc hội với các đại diện của Cộng hòa Trung Quốc trên khắp Trung Quốc trong thời gian kết thúc.
ສອງຝ່າຍກໍ່ແລກປ່ຽນບັນດາມາດຕະການ ເພື່ອແນໃສ່ເພີ່ມທະວີການຮ່ວມມືຮອບດ້ານລະຫວ່າງຫວຽດນາມ ກັບຈີນ ໃນຂົງເຂດຕ່າງໆ, ຄື: ການເມືອງ, ເສດຖະກິດ, ການປ້ອງກັນຊາດ, ປ້ອງກັນຄວາມສະຫງົບ, ການສຶກສາ;	Cả hai bên trao đổi các biện pháp nâng cao Trung Quốc tại Trung Quốc, chính trị, kinh tế, giáo dục;
ການຮ່ວມມືໃນບັນດາເວທີປາໄສຫຼາຍຝ່າຍ;	Hợp tác giữa các diễn đàn đa phương;
ແລກປ່ຽນກ່ຽວກັບບັນດາບັນຫາສາກົນເຊິ່ງຕ່າງຝ່າຍຕ່າງມີຄວາມສົນໃຈ...	Trao đổi về các vấn đề quốc tế, đó là sự can thiệp ...
ໂດຍ: ເຈິ່ນຮວ່ຽນ.	Bởi: Trần thông minh.
