ກປ.ອອນໄລ - ບົດກ່າວປາໄສປິດກອງປະຊຸມຂອງທ່ານ ຫງວຽນຊວນຟຸກ ນາຍົກລັດຖະມົນຕີຫວຽດນາມ	Thủ tướng Nguyễn Xuân Phúc phát biểu bế mạc cuộc gặp người đồng cấp Việt Nam Nguyễn Phú Trọng
- ການນຳບັນດາປະເທດອາຊຽນ ຮັບຮອງເອົາ: ບົດລາຍງານຕີລາຄາກາງໄລຍະບັນດາແຜນສັງລວມໃນການປະຕິບັດວິໄສທັດປະຊາຄົມອາຊຽນ 2025;	Sự chấp nhận của các nước ASEAN: Thông qua báo cáo đánh giá giữa kỳ về kế hoạch toàn diện thực hiện Tầm nhìn Cộng đồng ASEAN 2025;
ເຫັນດີເປັນເອກະພາບຕໍ່ຄວາມຈຳເປັນດຳເນີນ, ກວດຄືນການຜັນຂະຫຍາຍກົດບັດອາຊຽນ, ຢັ້ງຢືນຄວາມມານະພະຍາຍາມເສີມຂະຫຍາຍບົດບາດຂອງອາຊຽນ ໃນການຊຸກຍູ້ການຮ່ວມມືອະນຸພາກພື້ນທີ່ຕິດພັນກັບວິວັດການພັດທະນາຂອງອາຊຽນ ເພື່ອໃຫ້ປະຊາຊົນທຸກຄົນ, ທຸກແຖບຖິ່ນມີໂອກາດປະກອບສ່ວນໃຫ້ປະຊາຄົມ.	Nhất trí về sự cần thiết phải hành động, rà soát việc thực hiện Hiến chương ASEAN, khẳng định nỗ lực tăng cường vai trò của ASEAN trong việc thúc đẩy hợp tác tiểu vùng liên quan đến sự phát triển của ASEAN để mọi người dân, mọi khu vực đều có cơ hội đóng góp cho cộng đồng.
ກອງປະຊຸມກໍ່ໄດ້ຮັບຮອງເອົາຖະແຫຼງການຮ່າໂນ້ຍ ກ່ຽວກັບວິໄສທັດປະຊາຄົມອາຊຽນ ຫຼັງປີ 2025 ດ້ວຍຄວາມຄາດຫວັງກໍ່ສ້າງພື້ນຖານທີ່ໝັ້ນຄົງເຂັ້ມແຂງໃຫ້ເສັ້ນທາງພັດທະນາໃນຕໍ່ໜ້າຂອງປະຊາຄົມອາຊຽນ.	Hội nghị cũng thông qua Tuyên bố Hà Nội về Tầm nhìn Cộng đồng ASEAN sau năm 2025 với kỳ vọng xây dựng nền tảng vững chắc cho con đường phát triển của Cộng đồng ASEAN trong tương lai.
- ມຸ່ງໄປເຖິງປະຊາຄົມອາຊຽນທີ່ເຕັມໄປດ້ວຍສີສັນສະເພາະ, ການນຳອາຊຽນ ສົ່ງເສີມການຊັກທຸງອາຊຽນ ແລະໃຊ້ບົດເພງອາຊຽນ, ເພື່ອໃຫ້ພາບພົດອາຊຽນຫຍັບມໍ່ໆໃກ້ກັບປະຊາຊົນ ແລະປະຊາຄົມ...	Hướng tới một cộng đồng ASEAN với nhiều màu sắc độc đáo, Ban lãnh đạo ASEAN thúc đẩy việc treo cờ ASEAN và sử dụng quốc ca ASEAN, nhằm đưa hình ảnh ASEAN đến gần hơn với người dân và cộng đồng ...
- ມີຫຼາຍຂໍ້ລິເລີ່ມຂອງອາຊຽນກ່ຽວກັບການຮ່ວມມືຮັບມືກັບພະຍາດໂຄວິດ - 19 ແລະບັນດາຄວາມສ່ຽງໂລກພະຍາດຕ່າງໆທີ່ໄດ້ຮັບການປະກາດຜັນຂະຫຍາຍ, ຄື: ກອງທຶນອາຊຽນ ຮັບມືກັບພະຍາດໂຄວິດ - 19, ຄັງແຮໄວ້ຢາປົວພະຍາດ ແລະອຸປະກອນການແພດສຸກເສີນໃນພາກພື້ນ...	Có một số sáng kiến của ASEAN về hợp tác trong lĩnh vực Bờ Biển Ngà - 19 và các nguy cơ dịch bệnh khác nhau đã được công bố, chẳng hạn như: Quỹ Bảo hiểm ASEAN - 19, Dự trữ Thuốc và Vật tư Y tế Khẩn cấp Khu vực ...
ອາຊຽນ ກໍ່ໄດ້ຮັບຮອງເອົາຮ່າງຟື້ນຟູສັງລວມອາຊຽນ ແລະແຜນການຜັນຂະຫຍາຍຢ່າງຄົບຊຸດໃນ 3 ເສົາຄໍ້າປະຊາຄົມເພື່ອແນໃສ່ໜູນຊ່ວຍປະຊາຊົນ ແລະວິສາຫະກິດສາມາດແກ້ໄຂຜົນຮ້າຍຢ້ອນຫຼັງຈາກພະຍາດ, ເຮັດໃຫ້ຊີວິດທາງດ້ານເສດຖະກິດ - ສັງຄົມຢູ່ບັນດາປະເທດເປັນປົກກະຕິ.	ASEAN cũng đã thông qua dự thảo Kế hoạch tái thiết ASEAN và kế hoạch triển khai toàn diện cho ba trụ cột của cộng đồng, nhằm giúp đỡ người dân và doanh nghiệp đối phó với hậu quả của dịch bệnh, bình thường hóa đời sống kinh tế - xã hội ở các nước.
- ເປີດກວ້າງຢ່າງບໍ່ຢຸດຢັ້ງ ແລະເຮັດໃຫ້ການພົວພັນກັບບັນດາຄູ່ຮ່ວມເລິກເຊິ່ງກວ່າອີກ, ອາຊຽນ ເຫັນດີເປັນເອກະສັນເປີດກວ້າງສົນທິສັນຍາໄມຕີຈິດ ແລະການຮ່ວມມືຢູ່ອາຊີຕາເວັນອອກສ່ຽງໃຕ້ (TAC) ເພື່ອໃຫ້ກູບາ, ໂກລົມບີ ແລະອາຟະລິກາໃຕ້ ເຂົ້າຮ່ວມ, ຍົກຈຳນວນປະເທດສະມາຊິກທັງໝົດຂຶ້ນເປັນ 43 ປະເທດ.	ASEAN đã đồng ý mở rộng Hiệp ước Thân thiện và Hợp tác ở Đông Nam Á (TAC) bao gồm Cuba, Colombia và Nam Phi, nâng tổng số quốc gia thành viên lên 43 quốc gia.
ກອງປະຊຸມສຸດຍອດອາຊີຕາເວັນອອກ (EAS) ຄັ້ງທີ 15 ກໍ່ໄດ້ຮັບຮອງເອົາຖະແຫຼງການທີ່ສຳຄັນ, ໃນນັ້ນມີຖະແຫຼງການ15 ປີກ່ຽວກັບ EAS ແລະຖະແຫຼງການ EAS ກ່ຽວກັບການຮ່ວມມືທາງທະເລແບບຍືນຍົງ.	Hội nghị Cấp cao Đông Á (EAS) lần thứ 15 cũng đã thông qua các tuyên bố chính, bao gồm Tuyên bố 15 năm về EAS và Tuyên bố EAS về Hợp tác hàng hải bền vững.
ຖະແຫຼງການຂອງບັນດາການນຳອາຊຽນ+3 ກ່ຽວກັບການເພີ່ມທະວີກໍາລັງຄວາມສາມາດໃນການສ້າງຄວາມເຂັ້ມແຂງດ້ານເສດຖະກິດ - ການເງິນດ້ວຍຕົນເອງຕໍ່ໜ້າບັນດາສິ່ງທ້າທາຍ, ໄດ້ຢັ້ງຢືນອີກເທື່ອໜຶ່ງບົດບາດ ແລະທ່າແຮງຂອງຂອບເຂດອາຊຽນ+3 ໃນການສະກັດກັ້ນ ແລະຮັບມືກັບຄວາມສ່ຽງໄພວິກິດການເສດຖະກິດ - ການເງິນຢູ່ພາກພື້ນ.	Tuyên bố của các nhà lãnh đạo ASEAN + 3 về Tăng cường năng lực kinh tế và tài chính bền vững để ứng phó với các thách thức, tái khẳng định vai trò và tiềm năng của Khuôn khổ ASEAN + 3 trong việc ngăn ngừa và ứng phó với các nguy cơ của khủng hoảng kinh tế và tài chính trong khu vực.
ເລື່ອງອາຊຽນ ແລະບັນດາຄູ່ຮ່ວມມືສິ້ນສຸດການເຈລະຈາ ແລະການລົງນາມໃນສັນຍາ RCEP ຢ່າງເປັນທາງການໄດ້ສະແດງໃຫ້ເຫັນຄໍາໝັ້ນສັນຍາ ແລະຄວາມຕັດສິນໃຈຢ່າງແຮງຂອງບັນດາປະເທດຢູ່ພາກພື້ນໃນການຊຸກຍູ້ການຫັນເສດຖະກິດເປັນເສລີ ແລະຮ່ວມສໍາພັນ, ທີ່ໜ້າສົ່ງເສີມ.	ASEAN và các đối tác kết thúc đàm phán chính thức và ký kết RCEP, thể hiện cam kết và quyết tâm của các nước trong khu vực trong việc thúc đẩy tự do hóa và bao trùm về kinh tế.
ມີເອກະສານກວ່າ 80 ສະບັບໄດ້ຮັບຮອງເອົາ.	Hơn 80 tài liệu đã được thông qua.
- ດ້ວຍບັນດາສຳພາລະທີ່ອຸດົມສົມບູນໃນປີ 2020 ແລະຂອງຊຸມປີກ່ອນໜ້ານີ້, ອາຊຽນ ສາມາດໝັ້ນໃຈກ້າວເຂົ້າສູ່ທົດສະວັດທີ 6 - ໄລຍະທາງທີ່ຍາວນານ, ມີສິ່ງທ້າທາຍບໍ່ແມ່ນໜ້ອຍແຕ່ກໍ່ເຕັມໄປດ້ວຍຄວາມຫວັງ.	Với những trách nhiệm phong phú của mình trong năm 2020 và những năm trước đó, ASEAN có thể tự tin bước vào thập kỷ thứ sáu.
ເນື່ອງໃນໂອກາດນີ້, ຂ້າພະເຈົ້າຂໍສະແດງຄວາມຂອບໃຈມາຍັງບັນດາປະເທດສະມາຊິກອາຊຽນ, ບັນດາຄູ່ຮ່ວມມື, ອົງການຈັດຕັ້ງສາກົນ ແລະເພື່ອນມິດຂອງອາຊຽນທີ່ໄດ້ໃຫ້ການສະໜັບສະໜູນ ແລະຮ່ວມມືຢ່າງແໜ້ນແຟ້ນພ້ອມກັບຫວຽດນາມ ໃນອາຍຸການເປັນປະທານອາຊຽນ ປີ 2020.	Nhân dịp này, tôi xin cảm ơn các Quốc gia Thành viên ASEAN, các đối tác, tổ chức quốc tế và bạn bè ASEAN đã ủng hộ và hợp tác mạnh mẽ với Việt Nam trong nhiệm kỳ Chủ tịch ASEAN năm 2020.
ຂ້າພະເຈົ້າຕີລາຄາສູງຄວາມມານະພະຍາຍາມ ແລະການປະກອບສ່ວນທີ່ບໍ່ຮູ້ອຶດຮູ້ເມື່ອຍຂອງບັນດາອົງການວິຊາສະເພາະອາຊຽນ ໃນ 3 ເສົາຄ້ຳ ແລະຢູ່ທຸກຂັ້ນກໍ່ຄືຄະນະເລຂາອາຊຽນທີ່ໄດ້ຮ່ວມແຮງຮ່ວມໃຈກັນສ້າງເປັນຜົນງານຢ່າງຕັ້ງໜ້າຂອງອາຊຽນໃນປີທີ່ເຕັມໄປດ້ວຍຄວາມຫຍຸ້ງຍາກ 2020...	Tôi đánh giá cao những nỗ lực và đóng góp không mệt mỏi của các cơ quan chuyên môn ASEAN ở ba trụ cột và các cấp, cũng như Ban Thư ký ASEAN đã cùng nỗ lực để đưa ASEAN đạt được thành tựu vững chắc trong một năm đầy khó khăn 2020 ...
ຂໍຂອບໃຈປະຊາຊົນບັນດາປະເທດສະມາຊິກອາຊຽນທີ່ໄດ້ແບ່ງປັນ, ເຫັນອົກເຫັນໃຈ ແລະຮ່ວມແຮງຮ່ວມໃຈປະກອບກໍາລັງແຮງ, ສະໜັບສະໜູນລັດຖະບານຜ່ານຜ່າຄວາມຫຍຸ້ງຍາກ ແລະສິ່ງທ້າທາຍນາໆປະການ ເພື່ອໃຫ້ປະຊາຄົມອາຊຽນ ສະໜິດຕິດພັນ, ສ້າງຄວາມເຂັ້ມແຂງດ້ວຍຕົນເອງ ແລະໝັ້ນໃຈກ້າວໜ້າ	Trân trọng cảm ơn nhân dân các nước thành viên ASEAN đã chia sẻ, thông cảm và chung sức hỗ trợ Chính phủ vượt qua những khó khăn, thách thức để Cộng đồng ASEAN ngày càng gắn bó, tự chủ và tự cường.
ສຸດທ້າຍ, ຂ້າພະເຈົ້າຂໍສະແດງຄວາມຂອບອົກຂອບໃຈຕໍ່ເພື່ອນຮ່ວມງານຫວຽດນາມ ໃນຖັນແຖວຮັບໃຊ້ປີປະທານອາຊຽນ 2020 ຈາກບັນດາກະຊວງ ແລະອົງການທີ່ກ່ຽວຂ້ອງຂອງຫວຽດນາມ.	Cuối cùng, tôi xin gửi lời cảm ơn tới các đồng chí Việt Nam từ các bộ, ngành liên quan của Việt Nam nhân Năm Chủ tịch ASEAN 2020.
ພວກເພື່ອນທີ່ໄດ້ຄຽງບ່າຄຽງໄຫຼ່, ເປັນຈິດໜຶ່ງໃຈດຽວ ເພື່ອໃຫ້ຫວຽດນາມ ດຳລົງບົດບາດເປັນປະທານອາຊຽນ 2020 ສໍາເລັດຜົນ.	Những người bạn đã kề vai sát cánh ủng hộ Việt Nam đảm nhiệm vai trò chủ tịch ASEAN 2020 thành công.
ຫວຽດນາມ ເຊື່ອໝັ້ນຢ່າງແນ່ວແນ່ວ່າ ບຣູໄນ ໃນຖານະບົດບາດເປັນປະທານອາຊຽນປີ 2021, ຈະນໍາອາຊຽນ ກ້າວຂຶ້ນມຸ່ງໄປເຖິງປະຊາຄົມອາຊຽນ ດ້ວຍວິໄສທັດຮ່ວມສໍາພັນຢ່າງເລິກເຊິ່ງກວ້າງຂວາງ, ເປັນເຈົ້າການຮັບມື, ຟື້ນຟູຢ່າງຮອບດ້ານ ແລະການພັດທະນາແບບຍືນຍົງ.	Việt Nam tin tưởng chắc chắn rằng Brunei, với vai trò chủ tịch ASEAN vào năm 2021, sẽ dẫn dắt ASEAN hướng tới tầm nhìn phát triển sâu rộng, bao trùm, bao trùm, toàn diện và bền vững.
ຂໍສົ່ງພອນໄຊອັນປະເສີດເຖິງປະທານອາຊຽນ ປີ 2021, ປະເທດບຣູໄນ.	Xin gửi lời chào tới Chủ tịch ASEAN 2021, Brunei.
ຂ້າພະເຈົ້າຂໍປະກາດປິດກອງປະຊຸມສຸດຍອດອາຊຽນ ຄັ້ງທີ 37 ແລະບັນດາກອງປະຊຸມຂັ້ນສູງທີ່ກ່ຽວຂ້ອງກັບບັນຄູ່ຮ່ວມມື.	Tôi tuyên bố bế mạc Hội nghị Cấp cao ASEAN lần thứ 37 và các Cuộc họp liên quan đến Hội nghị Cấp cao.
(*) ຫົວຂໍ້ຂອງໜັງສືພິມກອງທັບປະຊາຊົນ.	(*) Tên báo Quân đội nhân dân.
ໂດຍ: ທະນາພອນ.	Theo: Thanaphone.
