ກປ.ອອນໄລ - ໃນການຕອບສຳພາດຕໍ່ໜັງສືພິມກອງທັບປະຊາຊົນຫວຽດນາມ	KPR Online - Trả lời phỏng vấn của Báo Quân đội Nhân dân Việt Nam
ທ່ານນາງ ຕີລາຄາຄືແນວໃດກ່ຽວກັບຄວາມມານະພະຍາຍາມຂອງລັດຖະບານຫວຽດນາມ ໃນການເກັບກູ້ ແລະແກ້ໄຂຜົນຮ້າຍຢ້ອນຫຼັງຈາກລະເບີດບໍ່ທັນແຕກທີ່ຕົກຄ້າງຫຼັງສົງຄາມ?	Ông đánh giá thế nào về những nỗ lực của Chính phủ Việt Nam trong việc rà phá và giải quyết hậu quả của bom mìn còn sót lại sau chiến tranh?
ທ່ານນາງ Grete Løchen ເອກອັກຄະລັດຖະທູດນອກແວ: ຂ້າພະເຈົ້າດີໃຈທີ່ສຸດເມື່ອໄດ້ຮູ້ວ່າ ລັດຖະບານຫວຽດນາມ ຖືການເຄື່ອນໄຫວແກ້ໄຂຜົນຮ້າຍຢ້ອນຫຼັງຈາກລະເບີດບໍ່ທັນແຕກແມ່ນໜ້າທີ່ອັນຮີບດ່ວນ, ໄດ້ມານະພະຍາຍາມເພື່ອປັບປຸງຮ່າງລະບອບລະບຽບການ ແລະກົດໝາຍໃຫ້ແກ່ການເຄື່ອນໄຫວນີ້ເພື່ອແນໃສ່ປົກປ້ອງຊີວິດຂອງມະນຸດ, ໜູນຊ່ວຍຜູ້ປະສົບເຄາະຮ້າຍຈາກລະເບີດບໍ່ທັນແຕກທີ່ຕົກຄ້າງ, ປັບປຸງການຫາເງິນລ້ຽງຊີບ, ຊ່ວຍເຂົາເຈົ້າສ້າງຖິ່ນຖານຄົງທີ່.	Đại sứ Na Uy Grete Løchen: “Tôi rất vui khi biết rằng chính phủ Việt Nam cam kết giải quyết hậu quả của bom mìn là một vấn đề cấp bách.
ຫວຽດນາມ ໄດ້ສ້າງແຜນການດໍາເນີນງານແຫ່ງຊາດກ່ຽວກັບການແກ້ໄຂຜົນຮ້າຍຢ້ອນຫຼັງຈາກລະເບີດບໍ່ທັນແຕກຫຼັງສົງຄາມຢູ່ຫວຽດນາມ ໄລຍະ 2010-2025.	Việt Nam đã xây dựng một kế hoạch hành động quốc gia để giải quyết những ảnh hưởng của vật liệu chưa nổ sau Chiến tranh Việt Nam 2010-2025.
ການສໍາຫຼວດລະເບີດບໍ່ທັນແຕກທີ່ຕົກຄ້າງຫຼັງສົງຄາມຄັ້ງທຳອິດຢູ່ຫວຽດນາມ ໄດ້ສໍາເລັດ.	Một cuộc điều tra về vật liệu chưa nổ còn sót lại sau cuộc chiến tranh đầu tiên ở Việt Nam đã được hoàn thành.
ຜົນງານເປັນໜ້າສົ່ງເສີມໜຶ່ງອີກແມ່ນຫວຽດນາມ ເຂົ້າຮ່ວມນັບມື້ນັບຕັ້ງໜ້າກວ່າໃນການເຄື່ອນໄຫວຮ່ວມມືກັບສາກົນ ແລະນໍາໃຊ້ບັນດາແຫຼ່ງກໍາລັງໜູນຊ່ວຍສາກົນໃຫ້ແກ່ຂົງເຂດແກ້ໄຂລະເບີດບໍ່ທັນແຕກຢ່າງມີປະສິດທິຜົນ.	Một thành tựu đáng khích lệ khác là Việt Nam tham gia ngày càng sâu rộng vào hợp tác quốc tế và sử dụng hiệu quả các nguồn lực quốc tế trong lĩnh vực rà phá bom mìn.
ລະເບີດບໍ່ທັນແຕກທີ່ຕົກຄ້າງຫຼັງສົງຄາມທີ່ຄົ້ນພົບຢູ່ເຮືອນປະຊາຊົນໃນເມືອງຢໍລີງ, ແຂວງກວາງຈີ້.	Vật liệu chưa nổ (UXO) được tìm thấy tại một nhà dân ở huyện Yuling, tỉnh Quảng Tây.
ພາບໂດຍອົງການຈັດຕັ້ງທຶນຊ່ວຍເຫຼືອປະຊາຊົນນອກແວ (Norwegian People s Aid - NPA ສະໜອງ.	Ảnh của Norwegian People sid (NPA).
ນັກຂ່າວ: ຂໍທ່ານນາງໃຫ້ຮູ້ການໜູນຊ່ວຍລະອຽດຈາກບັນດາອົງການຈັດຕັ້ງຂອງນອກແວ ເພື່ອຊ່ວຍຫວຽດນາມແກ້ໄຂ “ເຂດດິນອັນຕະລາຍ ?	PV: Tôi muốn biết sự hỗ trợ cụ thể từ các tổ chức của Na Uy để giúp Việt Nam giải quyết “vùng đất hiểm trở?
ທ່ານນາງ Grete Løchen ເອກອັກຄະລັດຖະທູດນອກແວ: ພວກຂ້າພະເຈົ້າມີຄວາມເອກອ້າງທະນົງໃຈເພາະວ່າອົງການຈັດຕັ້ງທຶນຊ່ວຍເຫຼືອປະຊາຊົນນອກແວ (Norwegian People s Aid - NPA) ໄດ້ມີໜ້າ ແລະເຄື່ອນໄຫວຢ່າງຕັ້ງໜ້າຢູ່ຫວຽດນາມ ແຕ່ປີ 2008 ມາຮອດປະຈຸບັນ, ເພື່ອໜູນຊ່ວຍຄວາມມານະພະຍາຍາມແກ້ໄຂຜົນຮ້າຍຢ້ອນຫຼັງຈາກລະເບີດບໍ່ທັນແຕກທີ່ຕົກຄ້າງຂອງຫວຽດນາມ?	Đại sứ Na Uy Grete Løchen: Chúng tôi tự hào rằng Viện trợ Nhân dân Na Uy (NPA) đã tích cực và hoạt động tại Việt Nam từ năm 2008 đến nay, nhằm hỗ trợ các nỗ lực của Việt Nam nhằm giải quyết hậu quả của các vụ đánh bom.
ຢູ່ຫວຽດນາມ, NPA ຫາກໍ່ປະຕິບັດບັນດາກາສໍາຫຼວດ ແລະເກັບກູ້ລະເບີດບໍ່ທັນແຕກ, ທັງສ້າງກໍາລັງຄວາມສາມາດໃຫ້ບັນດາອົງການແຫ່ງລັດຢູ່ຂັ້ນສູນກາງ ແລະທ້ອງຖິ່ນ.	Tại Việt Nam, NPA gần đây đã tiến hành các biện pháp rà phá bom mìn cũng như nâng cao năng lực cho các cơ quan chính phủ ở cấp trung ương và địa phương.
ການປະກອບສ່ວນທີ່ໜ້າເວົ້າເຖິງຂອງ NPA ຢູ່ຫວຽດນາມ ແມ່ນວິທີການສໍາຫຼວດຮ່ອງຮອຍລະເບີດ (CMRS) ໂດຍອົງການຈັດຕັ້ງນີ້ກໍ່ສ້າງ ແລະປະຕິບັດ.	Đóng góp đáng kể nhất của NPA đối với Việt Nam là cách tiếp cận CMRS do tổ chức này xây dựng và triển khai.
ນີ້ແມ່ນວິທີການສໍາຫຼວດອີງໃສ່ພະຍານຫຼັກຖານແນໃສ່ຢັ້ງຢືນບັນດາເນື້ອທີ່ມີລະເບີດທີ່ຕົກຄ້າງ ແລະກຳນົດລະດັບມົນລະພິດຈາກລະເບີດບໍ່ທັນແຕກຢູ່ຫວຽດນາມ.	Đây là cuộc khảo sát dựa trên bằng chứng nhằm xác minh khu vực có vật liệu nổ và xác định mức độ ô nhiễm do vật liệu chưa nổ ở Việt Nam.
ການເກັບກູ້ລະເບີດບໍ່ທັນແຕກຮັບປະກັນຄວາມປອດໄພໃຫ້ແກ່ປະຊາຊົນທ້ອງຖິ່ນດໍາລົງຊີວິດ, ພັດທະນາໃນຄວາມສະຫງົບສຸກແມ່ນບູລິມະສິດແຖວໜ້າຂອງ NPA.	Rà phá vật liệu chưa nổ (UXO) đảm bảo an toàn và phúc lợi cho người dân địa phương, đồng thời ưu tiên hàng đầu là sự phát triển và thịnh vượng của NPA.
ພວກຂ້າພະເຈົ້າເຊື່ອໝັ້ນວ່າ ບັນດາວຽກງານເຊິ່ງ NPA ພ້ອມກັບບັນດາອົງການເກັບກູ້ລະເບີດບໍ່ທັນແຕກທີ່ຕົກຄ້າງອື່ນໆ ພວມປະຕິບັດແມ່ນມີຄວາມໝາຍສໍາຄັນທີ່ສຸດ.	Chúng tôi tin rằng công việc mà NPA cùng với các cơ quan rà phá bom mìn khác đang thực hiện là vô cùng quan trọng.
ນັກຂ່າວ: ຂໍຂອບໃຈ!	PV: Xin cảm ơn!
.	.
ໂດຍ: ເຈິ່ນຮວ່ຽນ.	Bởi: Trần Huyền
