ກປ.ອອນໄລ - ໂດຍຮັບຄໍາເຊີນຂອງທ່ານ ທອງລຸນ ສີສຸລິດ ນາຍົກລັດຖະມົນຕີ ແຫ່ງ ສປປ ລາວ;	KR Online - Nhận lời mời của Thủ tướng Chính phủ nước CHDCND Lào Thongloun Sisoulit;
ຊ່ວຍ ລາວ ປະຕິບັດນະໂຍບາຍລົບລ້າງຄວາມອຶດຫິວ, ຫຼຸດຜ່ອນຄວາມທຸກຍາກໃຫ້ເປັນຢ່າງດີ, ໄດ້ຮັບການຮັບຮູ້ ແລະຕີລາຄາສູງຈາກເພື່ອນມິດ.	Giúp anh thực hiện chính sách xóa đói, giảm nghèo, được đồng nghiệp ghi nhận và đánh giá cao.
ສອງຝ່າຍໄດ້ເຊັນສັນຍາການຄ້າສະບັບໃໝ່ໃນເດືອນມີນາ 2015 ແລະສັນຍາການຄ້າຊາຍແດນໃນເດືອນມິຖຸນາ 2015.	Hai bên đã ký hiệp định thương mại mới vào tháng 3/2015 và hiệp định thương mại biên giới vào tháng 6/2015.
ວົງເງິນການຄ້າ ຫວຽດນາມ-ລາວ ປີ 2016 ບັນລຸໄດ້ 823 ລ້ານ ໂດລາສະຫະລັດ.	Kim ngạch thương mại Việt Nam - Lào năm 2016 đạt 823 triệu USD.
ເພື່ອຊຸກຍູ້ການແລກປ່ຽນການຄ້າ, ກະຊວງອຸດສາຫະກໍາ ແລະການຄ້າສອງປະເທດໄດ້ສົມທັບກັນຈັດຕັ້ງກອງປະຊຸມເຜີຍແຜ່ສັນຍາການຄ້າ ແລະສັນຍາການຄ້າຊາຍແດນ ຫວຽດນາມ-ລາວ ຢູ່ແຂວງ ສະຫວັນນະເຂດ ແລະນະຄອນຫຼວງ ວຽງຈັນ (ແຕ່ວັນທີ 5-6 ກໍລະກົດ 2016).	Để thúc đẩy thương mại, Bộ Công Thương hai nước đã phối hợp tổ chức Hội thảo phổ biến Hiệp định thương mại và biên giới Việt Nam - Lào tại Savannakhet và Viêng Chăn (5-6 / 7/2016).
ໃນຊຸມປີຜ່ານມາ, ການຮ່ວມມືດ້ານປ້ອງກັນຊາດ, ປ້ອງກັນຄວາມສະຫງົບລະຫວ່າງສອງປະເທດ ໄດ້ເພີ່ມທະວີໃນທຸກຂົງເຂດຢ່າງບໍ່ຢຸດຢັ້ງ, ພິເສດແມ່ນກ່ຽວກັບການຝຶກແອບ, ບໍາລຸງສ້າງ.	Trong những năm gần đây, hợp tác quốc phòng - an ninh giữa hai nước không ngừng tăng lên trên tất cả các lĩnh vực, nhất là về đào tạo, bồi dưỡng.
ສອງຝ່າຍສືບຕໍ່ສົມທົບກັນຜັນຂະຫຍາຍບັນດາຂໍ້ຕົກລົງການຮ່ວມມືດ້ານປ້ອງກັນຊາດ, ປ້ອງກັນຄວາມສະຫງົບເປັນຢ່າງດີ;	Hai bên tiếp tục phối hợp thực hiện tốt các thỏa thuận hợp tác quốc phòng, bảo đảm an ninh;
ໄດ້ຈັດຕັ້ງສໍາເລັດພິທີສະຫຼຸບໝາກຜົນໂຄງການເພີ່ມຄວາມຖີ່ ແລະບູລະນະລະບົບຫຼັກໝາຍຊາຍແດນ ຫວຽດນາມ-ລາວ ຢູ່ຮ່າໂນ້ຍ ໃນວັນທີ 16 ມີນາ 2016, ດ້ວຍການເຂົ້າຮ່ວມຂອງນາຍົກລັດຖະມົນຕີສອງທ່ານ.	Lễ tổng kết Dự án Cải tạo và nâng cấp hệ thống cửa khẩu biên giới Việt Nam - Lào được tổ chức tại Hà Nội vào ngày 16 tháng 3 năm 2016, với sự tham dự của hai Thủ tướng Chính phủ.
ສອງຝ່າຍກໍ່ເຊັນອະນຸສັນຍາກ່ຽວກັບເສັ້ນຊາຍແດນ ແລະຫຼັກໝາຍຊາຍແດນ ຫວຽດນາມ-ລາວ;	Hai bên cũng đã ký Nghị định thư về đường biên giới, phân giới cắm mốc Việt Nam - Lào;
ສືບຕໍ່ຍູ້ແຮງການຜັນຂະຫຍາຍຂໍ້ຕົກລົງລະຫວ່າງສອງລັດຖະບານກ່ຽວກັບການແກ້ໄຂບັນຫາຜູ້ອົບພະຍົບເສລີ ແລະການສົມລົດບໍ່ໄດ້ຈົດທະບຽນຢູ່ເຂດຊາຍແດນ ຫວຽດນາມ-ລາວ.	Tiếp tục thúc đẩy thực hiện thỏa thuận giữa Chính phủ hai nước về giải quyết vấn đề người di cư tự do và kết hôn không đăng ký trên tuyến biên giới Việt Nam - Lào.
ວຽກງານການຊອກຫາ, ທ້ອນໂຮມອັດຖິນັກຮົບເສຍສະຫຼະຊີວິດເພື່ອຊາດ ທະຫານອາສາສະໝັກ ຫວຽດນາມ ກໍ່ໄດ້ຜັນຂະຫຍາຍເປັນຢ່າງດີ.	Công tác tìm kiếm và hồi hương quân tình nguyện Việt Nam được thực hiện tốt.
ລະດູແລ້ງ ປີ 2015-2016, ສອງຝ່າຍໄດ້ຊອກຫາ, ຂຸດເອົາແລະທ້ອນໂຮມອັດຖິນັກຮົບເສຍສະຫຼະຊີວິດເພື່ອຊາດ ທະຫານອາສາສະໝັກ ຫວຽດນາມ ທີ່ໄດ້ເສຍສະຫຼະຊີວິດ ຢູ່ລາວ ໄດ້ 233 ຊຸດ ກັບຄືນປະເທດ.	Mùa khô năm 2015-2016, hai bên đã tìm kiếm, quy tập và hồi hương 233 quân nhân Việt Nam hy sinh vì nước bạn Lào.
ຄຽງຂ້າງນັ້ນ, ສອງຝ່າຍຍັງຍູ້ແຮງການຜັນຂະຫຍາຍບັນດາໂຄງການເຊື່ອມຕໍ່ກ່ຽວກັບຄົມມະນາຄົມຂົນສົ່ງໃນຂອບເຂດການຮ່ວມມືສອງຝ່າຍ, ກໍ່ຄືເຂດອະນຸພາກພື້ນ;	Ngoài ra, hai bên cũng thúc đẩy triển khai các dự án giao thông vận tải trong khuôn khổ hợp tác song phương, cũng như tiểu vùng;
ໄດ້ເຊັນບົດບັນທຶກຊ່ວຍຈໍາລະຫວ່າງສອງລັດຖະບານກ່ຽວກັບຍຸດທະສາດການຮ່ວມມືໃນຂົງເຂດຄົມມະນາຄົມຂົນສົ່ງ ໄລຍະ 2016-2025, ວິໄສທັດຮອດ ປີ 2030;	Ký kết biên bản ghi nhớ giữa Chính phủ hai nước về chiến lược hợp tác trong lĩnh vực giao thông vận tải 2016-2025, tầm nhìn đến năm 2030;
ສືບຕໍ່ຄົ້ນຄ້ວາ, ທະວີຄູນຮູບແບບກວດກາ “ໜຶ່ງປະຕູ, ໜຶ່ງຄັ້ງຢຸດ ໄປສູ່ບັນດາຄູ່ດ່ານຊາຍແດນສາກົນອື່ນລະຫວ່າງສອງປະເທດ.	Tiếp tục nghiên cứu và nhân rộng các trạm kiểm soát “một cửa, một lần dừng” đối với các cửa khẩu quốc tế khác giữa hai nước.
ກ່ຽວກັບການສຶກສາ, ປີ 2015-2016, ຫວຽດນາມ ສືບຕໍ່ສະຫງວນໃຫ້ແກ່ ລາວ ທຶນການສຶກສາ 1.000 ທຶນ, ໃນຂະນະທີ່ ລາວ ສະຫງວນໃຫ້ ຫວຽດນາມ ທຶນການສຶກສາ 60 ທຶນ.	Về giáo dục, năm 2015-2016, Việt Nam tiếp tục dành 1.000 suất học bổng cho Lào, trong khi Lào dành 60 suất học bổng cho Việt Nam.
ເປັນຄັ້ງທໍາອິດທີ່ ກະຊວງສຶກສາທິການ ແລະກິລາ ລາວ ຈັດຕັ້ງ “ງານວາງສະແດງການສຶກສາມະຫາວິທະຍາໄລ ຫວຽດນາມ ຢູ່ນະຄອນຫຼວງ ວຽງຈັນ (ເດືອນພຶດສະພາ 2016) ເພື່ອດຶງດູດນັກຮຽນ ລາວ ໄປຮຽນຢູ່ບັນດາໂຮງຮຽນມະຫາວິທະຍາໄລຂອງຫວຽດນາມດ້ວຍທຶນຕົນເອງ.	Lần đầu tiên, Bộ Giáo dục và Thể thao Lào tổ chức “Hội chợ Giáo dục Đại học Việt Nam tại Viêng Chăn (tháng 5/2016) nhằm thu hút sinh viên Lào sang học tập tại các trường đại học Việt Nam bằng kinh phí của mình.
ສອງຝ່າຍກໍ່ສົມທົບກັນຢ່າງແໜ້ນແຟ້ນ, ສະໜັບສະໜູນເຊິ່ງກັນ ແລະກັນຢູ່ບັນດາເວທີປາໄສການຮ່ວມມືໃນພາກພື້ນ ແລະສາກົນ;	Hai bên phối hợp chặt chẽ với nhau tại các diễn đàn hợp tác khu vực và quốc tế;
ສືບຕໍ່ເພີ່ມທະວີການຮ່ວມມື, ສົມທົບກັບບັນດາປະເທດສະມາຊິກອື່ນໃນການສ້າງປະຊາຄົມອາຊຽນ, ຮັກສາຄວາມສາມັກຄີ, ເຫັນດີເຫັນພ້ອມຂອງອາຊຽນໃນບັນດາບັນຫາຍຸດທະສາດຢູ່ພາກພື້ນ.	Tiếp tục tăng cường hợp tác, liên kết với các nước thành viên trong việc xây dựng Cộng đồng ASEAN, duy trì sự thống nhất và đồng thuận của ASEAN trong các vấn đề chiến lược ở khu vực.
ການຢ້ຽມຢາມ ສປປ ລາວ ຄັ້ງນີ້ຂອງທ່ານນາຍົກລັດຖະມົນຕີ ຫງວຽນຊວນຟຸກ ແລະພັນລະຍາ ສະແດງໃຫ້ເຫັນການຖືເປັນສໍາຄັນຂອງລັດຖະບານ ແລະປະຊາຊົນ ຫວຽດນາມ ກັບປະເທດເພື່ອນມິດ ລາວ, ປະກອບສ່ວນສໍາຄັນເຂົ້າໃນການສືບຕໍ່ຊຸກຍູ້ການພົວພັນມິດຕະພາບທີ່ເປັນມູນເຊື້ອ, ຄວາມສາມັກຄີແບບພິເສດ ແລະການຮ່ວມມືຮອບດ້ານ ຫວຽດນາມ-ລາວ ນັບມື້ນັບເຂົ້າສູ່ລວງເລິກ, ມີປະສິດທິພາບ, ແທດຈິງ.	Chuyến thăm của Thủ tướng Nguyễn Xuân Phúc và Phu nhân tới CHDCND Lào thể hiện sự coi trọng của Chính phủ và nhân dân Việt Nam đối với CHDCND Lào, góp phần tiếp nối quan hệ hữu nghị truyền thống, đoàn kết đặc biệt và hợp tác toàn diện Việt Nam - Lào.
ແປໂດຍ: ເຈິ່ນຮວ່ຽນ.	Người dịch: Trần Huyền
