ກປ.ອອນໄລ - ແຂວງກອນຕູມ (ຫວຽດນາມ), ແຂວງອັດຕະປື, ແຂວງເຊກອງ (ລາວ), ແຂວງ Rattnakiri (ກໍາປູເຈຍ) ມີຫຼາຍຈຸດຄ້າຍຄືກັນກ່ຽວກັບເງື່ອນໄຂທໍາມະຊາດ, ປະຫວັດແຫ່ງການພັດທະນາ ແລະເຄີຍຮ່ວມທຸກຮ່ວມສຸກສູ້ຮົບກັບສັດຕູດຽວ, ສ້າງຄວາມສາມັກຄີມິດຕະພາບ, ການຮ່ວມມືພັດທະນາຢູ່ທາງສາມແຍກອິນດູຈີນ...	KRT Online - Tỉnh Con Tum (Việt Nam), Tỉnh Attapeu, Tỉnh Sekong (Lào), Tỉnh Rattnakiri (Campuchia)
ໃນການຕໍ່ສູ້ຕ້ານອາເມລິກາ, ກູ້ຊາດ, ອໍານາດການປົກຄອງ, ປະຊາຊົນແຂວງກອນຕູມ ພ້ອມກັບແຂວງເຊກອງ, ແຂວງອັດຕະປື ແລະແຂວງ Ratanakiri ຍາມໃດກໍ່ສາມັກຄີ, ແບ່ງປັນ, ຊ່ວຍເຫຼືອເຊິ່ງກັນ ແລະກັນເພື່ອສໍາເລັດພາລະກໍາປົດປ່ອຍຊົນຊາດ, ປົດປ່ອຍປະເທດຊາດ.	Trong kháng chiến chống Mỹ, cứu nước, chính quyền, nhân dân Kontum cùng với các tỉnh Sê Kông, Attapeu, Ratanakiri luôn đoàn kết, chia sẻ, giúp đỡ nhau hoàn thành nhiệm vụ giải phóng dân tộc, giải phóng dân tộc.
ໃນ 5 ປີທີ່ຜ່ານມາ, ແຂວງກອນຕູມ ໄດ້ໜູນຊ່ວຍແຂວງເຊກອງ, ແຂວງອັດຕະປື ແລະແຂວງ Ratanakiri ກໍ່ສ້າງໂຮງຮຽນ, ໂຮງໝໍ...	Năm năm qua, tỉnh Kontum đã giúp các tỉnh Sekong, Attapeu và Ratanakiri xây dựng trường học, điểm trường ...
ມີມູນຄ່າກວ່າ 16 ຕື້ດົ່ງ.	Trị giá hơn 16 tỷ đồng.
ແຂວງເຊກອງ, ແຂວງອັດຕະປື ແລະແຂວງ Ratanakiri ກໍ່ໜູນຊ່ວຍແຂວງກອນຕູມ ໃນຫຼາຍດ້ານ, ພິເສດແມ່ນໃນການປົກປັກຮັກສາອະທິປະໄຕ, ຄວາມສະຫງົບຢູ່ເຂດຊາຍແດນ;	Các tỉnh Sekong, Attapeu và Ratanakiri đã giúp đỡ Kon Tum về nhiều mặt, nhất là trong việc giữ gìn chủ quyền, an ninh biên giới;
ຊອກຫາ, ທ້ອນໂຮມອັດຖິທະຫານທີ່ເສຍສະຫຼະຊີວິດເພື່ອຊາດ ກັບຄືນປະເທດ, ຕໍ່ສູ້ສະກັດກັ້ນ ແລະຕ້ານອາດຊະຍາກໍາ...	Tìm, hồi hương những chiến sĩ đã hy sinh vì Tổ quốc, đấu tranh phòng, chống tội phạm ...
.	.
ການນໍາ ແລະກໍາລັງປ້ອງກັນຊາຍແດນແຂວງກອນຕູມ, ແຂວງອັດຕະປື, ແຂວງເຊກອງ, ແຂວງ Rattnakiri ປູກຕົ້ນໄມ້ມິດຕະພາບຢູ່ທາງສາມແຍກຊາຍແດນຫວຽດນາມ-ລາວ-ກໍາປູເຈຍ.	Lãnh đạo, bảo vệ biên giới các tỉnh Kon Tum, Attapeu, Sê Kông và Rattnakiri trồng cây hữu nghị tại biên giới Việt Nam-Lào-Campuchia.
ພາບ: ຫງວຽນແອງເຊີນ.	Ảnh: Nguyễn Anh Sơn
ຄວາມສາມາດບົ່ມຊ້ອນໃນການຮ່ວມມື, ພັດທະນາ	Tiềm năng hợp tác và phát triển
ແຂວງກອນຕູມ ແມ່ນແຂວງນອນໃນເຂດສາມຫຼ່ຽມພັດທະນາກໍາປູເຈຍ-ຫວຽດນາມ-ລາວ, ມີທ່າໄດ້ປຽບ, ຄວາມສາມາດບົ່ມຊ້ອນໃນການຮ່ວມມືກັບບັນດາແຂວງຂອງປະເທດເພື່ອນມິດເພື່ອພັດທະນາເສດຖະກິດ-ສັງຄົມ, ລົບລ້າງຄວາມອຶດຫິວ, ຫຼຸດຜ່ອນຄວາມທຸກຍາກ, ຮັບປະກັນຄວາມໝັ້ນຄົງດ້ານການເມືອງ, ຄວາມສະຫງົບ, ຄວາມປອດໄພຢູ່ເຂດຊາຍແດນ.	Kontum là tỉnh trong Tam giác phát triển Campuchia - Việt Nam - Lào, có tiềm năng hợp tác với các tỉnh lân cận để phát triển kinh tế - xã hội, xóa đói, giảm nghèo, đảm bảo ổn định chính trị, hòa bình, an ninh dọc biên giới.
ນັບແຕ່ປີ 2011 ມາຮອດປະຈຸບັນ, ແຂວງກອນຕູມ ໄດ້ເປັນເຈົ້າການເຊັນຂໍ້ຕົກລົງສາກົນພາຍໃຕ້ຮູບແບບ “ບົດບັນທຶກຊ່ວຍຈໍາ ກວ່າ 30 ສະບັບ ແລະຈັດຕັ້ງການພົບປະແລກປ່ຽນ, ກອງປະຊຸມເພີ່ມທະວີການຮ່ວມມືພັດທະນາສໍາເລັດຜົນ.	Từ năm 2011 đến nay, tỉnh đã ký thỏa thuận quốc tế với chủ đề “Hơn 30 biên bản ghi nhớ” và tổ chức các hoạt động giao lưu, gặp gỡ nhằm tăng cường hợp tác phát triển.
ໃນເກືອບ 8 ປີຜ່ານມາໄດ້ມີຜູ້ເຂົ້າ, ອອກເມືອງກວ່າ 2,5 ລ້ານເທື່ອຄົນ;	Trong tám năm qua, hơn 2,5 triệu người đã ra vào thành phố;
ວົງເງິນນໍາເຂົ້າ, ສົ່ງອອກສິນຄ້າຜ່ານຊາຍແດນບັນລຸໄດ້ 1 ຕື້ 191 ລ້ານໂດລາສະຫະລັດ;	Lượng hàng hóa xuất nhập khẩu qua biên giới đạt 1 tỷ 191 triệu đô la Mỹ;
ລວມຍອດລາຍຮັບງົບປະມານໃນບໍລິເວນບັນລຸ 1.340 ຕື້ດົ່ງ.	Tổng thu ngân sách trên địa bàn đạt 1.340 tỷ đồng.
ປະຈຸບັນມີ 3 ວິສາຫະກິດຂອງແຂວງກອນຕູມ ໄດ້ອອກໃບອະນຸຍາດປະຕິບັດ 4 ໂຄງການລົງທຶນຢູ່ບັນດາແຂວງຂອງກໍາປູເຈຍ ດ້ວຍທຶນຈົດທະບຽນທັງໝົດປະມານ 1.034 ຕື້ດົ່ງ ແລະ 2 ວິສາຫະກິດດ້ວຍ 2 ໂຄງການພວມລົງທຶນ, ຮ່ວມມືດໍາເນີນທຸລະກິດຢູ່ລາວ ດ້ວຍທຶນຈົດທະບຽນທັງໝົດປະມານ 747 ຕື້ດົ່ງ.	Hiện 3 doanh nghiệp của tỉnh Kontum đã cấp phép cho 4 dự án đầu tư vào các tỉnh của Campuchia với tổng vốn đăng ký khoảng 1.034 tỷ đồng, 2 doanh nghiệp với 2 dự án đang đầu tư liên doanh tại Lào với tổng vốn đăng ký. khoảng 747 tỷ đồng.
ທ່ານ ເລັດ ໄຊຍະພອນ, ເລຂາພັກແຂວງ, ເຈົ້າແຂວງໆອັດຕະປື ໃຫ້ຮູ້ວ່າ: “ສາຍພົວພັນຮ່ວມມືລະຫວ່າງແຂວງອັດຕະປື ກັບແຂວງກອນຕູມ ແມ່ນຮອບດ້ານ ແລະມີປະສິດທິຜົນທີ່ສຸດ.	Ông Leth Xayaphone, Bí thư Tỉnh ủy kiêm Tỉnh trưởng tỉnh Attapeu, cho biết: “Quan hệ hợp tác giữa tỉnh Attapeu và tỉnh Kontum là toàn diện và rất hiệu quả.
ບໍ່ພຽງແຕ່ພ້ອມກັນຮັກສາຄວາມເປັນລະບຽບຮຽບຮ້ອຍ, ຄວາມໝັ້ນຄົງຢູ່ຊາຍແດນເທົ່ານັ້ນ, ຫາກຍັງຊຸກຍູ້ການເຄື່ອນໄຫວດ້ານການຄ້າ, ການທ່ອງທ່ຽວທີ່ເໝາະສົມກັບຄວາມສາມາດບົ່ມຊ້ອນ, ທ່າແຮງຂອງທ້ອງຖິ່ນອີກດ້ວຍ.	Đồng thời, không chỉ giữ vững ổn định trật tự biên giới mà còn thúc đẩy các hoạt động thương mại, du lịch phù hợp với tiềm năng của cộng đồng địa phương.
ຫຼາຍໂຄງການເສດຖະກິດ-ສັງຄົມໃນບໍລິເວນແຂວງອັດຕະປື ໄດ້ຮັບການໜູນຊ່ວຍຢ່າງມີປະສິດທິຜົນຈາກລັດຖະບານຫວຽດນາມ ແລະແຂວງກອນຕູມ.	Nhiều dự án kinh tế - xã hội trên địa bàn tỉnh Attapeu đã được Chính phủ Việt Nam và Chính phủ Việt Nam hỗ trợ hiệu quả.
ຕາມບັນດານັກຊ່ຽວຊານແລ້ວ, ເພື່ອໃຫ້ແຂວງກອນຕູມ ແລະບັນດາແຂວງຂອງປະເທດເພື່ອນມິດຮ່ວມມືຢ່າງຮອບດ້ານ, ມີປະສິດທິຜົນ, ພິເສດແມ່ນໃນການປະຕິບັດຂໍ້ຕົກລົງເຂດສາມຫຼ່ຽມພັດທະນາກໍາປູເຈຍ-ຫວຽດນາມ-ລາວ, ຄວນປະຕິບັດບັນດາມາດຕະການຢ່າງຄົບຊຸດ, ຄື: ປະຕິບັດການວາງແຜນສັງລວມເຂດສາມຫຼ່ຽມພັດທະນາຢ່າງຂ້ຽວຂາດ;	Theo các chuyên gia, để tỉnh Con Toum và các tỉnh của các nước hữu nghị hợp tác toàn diện, hiệu quả, nhất là trong việc thực hiện Hiệp định Tam giác phát triển Campuchia-Việt Nam-Lào, cần thực hiện đồng bộ các biện pháp: thực hiện đầy đủ. kế hoạch tam giác phát triển toàn diện;
ບຸລິມະສິດແຫຼ່ງກໍາລັງເພື່ອລົງທຶນກໍ່ສ້າງພື້ນຖານໂຄງລ່າງເສດຖະກິດ-ສັງຄົມ, ເປັນຕົ້ນແມ່ນເສັ້ນທາງຄົມມະນາຄົມ, ຕະຫຼາດຊາຍແດນ, ຕະຫຼາດດ່ານສາກົນ...	Ưu tiên nguồn lực đầu tư kết cấu hạ tầng kinh tế - xã hội như đường giao thông, chợ biên giới, cửa khẩu quốc tế ...
ໂດຍ: ແສງພະຈັນ.	Bởi: Moonlight.
