ກປ.ອອນໄລ - ວັນທີ 2 ຕຸລາ, ຄະນະໂຮງໝໍກາງສະໜາມຂັ້ນ 2 ເລກ 1 ຫວຽດນາມ ໄດ້ໄປຮອດສະໜາມບິນສາກົນ Juba, ຊູດັງໃຕ້ ຖືກຕາມແຜນການ.	Ngày 2/10, đoàn Việt Nam đã đến sân bay quốc tế Juba, Nam Sudan theo kế hoạch.
ສອງຝ່າຍໄດ້ເຫັນດີເປັນເອກະພາບກ່ຽວກັບແຜນການມອບສົ່ງ ແລະຄຸ້ມຄອງໂຮງໝໍຢູ່ Bentiu.	Hai bên đã thống nhất phương án bàn giao và quản lý nhà máy tại Bentiu.
ທ່ານພັນໂທ ຫວູວັນຮຽບ ພວມປະຕິບັດໜ້າທີ່ຢູ່ UNMISS ມາຕ້ອນຮັບຄະນະຢູ່ສະໜາມບິນ.	Trung tá Vũ Văn Hiệp làm nhiệm vụ tại UNMISS chào đoàn tại sân bay.
ພາບ: ໝິແຮ້ງ.	Ảnh: Shi Haeng.
ຄະນະໂຮງໝໍກາງສະໜາມຂັ້ນ 2 ເລກ 1 ຢູ່ສະໜາມບິນສາກົນ Juba, ຊູດັງໃຕ້.	Ban Giám đốc Sân bay Trung tâm số 2 tại Sân bay Quốc tế Juba, Nam Sudan.
ພາບ: ໝິແຮ້ງ.	Ảnh: Shi Haeng.
ທ່ານພັນເອກ ໝາກດຶກຈ້ອງ ໃຫ້ຮູ້ວ່າ, ສອງກິດຈະການສໍາຄັນທີ່ປະເທດອັງກິດ ມອບສົ່ງໃຫ້ໂຮງໝໍກາງສະໜາມຂັ້ນ 2 ເລກ 1 ຂອງຫວຽດນາມ ແມ່ນພື້ນຖານໂຄງລ່າງ ແລະປະມວນຂັ້ນຕອນການເຄື່ອນໄຫວຖືກຕາມ (SOP) ຂອງໂຮງໝໍກາງສະໜາມອັງກິດ.	Theo Đại tá Đức Trọng, hai nhiệm vụ quan trọng mà Vương quốc Anh giao cho Trung tâm Di sản Thế giới thứ hai và thứ hai của Việt Nam là cơ sở hạ tầng và quy trình hoạt động (SOP) của Tòa án Trung ương Anh.
ໂຮງໝໍກາງສະໜາມຂອງຫວຽດນາມ ຈະຄັດເລືອກ ແລະໝູນໃຊ້ບັນດາຂໍ້ກຳນົດມາດຕະຖານທີ່ສອດຄ່ອງຂອງອັງກິດ.	Tòa án Trung ương của Việt Nam sẽ lựa chọn và áp dụng các tiêu chuẩn liên quan của Anh.
ທ່ານພັນໂທ ຟ້າມກວາງທ່ຽວ, ຮອງຜູ້ອໍານວຍການຮັບຜິດຊອບດ້ານການທະຫານ, ພະລາທິການ, ເຕັກນິກຂອງໂຮງໝໍກາງສະໜາມຂັ້ນ 2 ເລກ 1 ໃຫ້ຮູ້ວ່າ, ໄດ້ມີແຜນການເຮັດວຽກໃນເວລາ 24 ຊົ່ວໂມງທໍາອິດພາຍຫຼັງທີ່ໂຮງໝໍໄດ້ຜັນຂະຫຍາຍຢູ່ Bentiu.	Trung tá Phạm Quang Thiều, Phó Giám đốc phụ trách Quân sự, Thư ký, Kỹ thuật Trại 2 Trung ương trại số 1 cho biết, 24 giờ đầu tiên sau khi trại được triển khai ở Bentiu đã có kế hoạch.
ທີ່ Bentiu, ຜູ້ບັນຊາການໂຮງໝໍກາງສະໜາມຂັ້ນ 2 ເລກ 1 ຂອງຫວຽດນາມ ຈະເຮັດວຽກໂດຍກົງກັບຜູ້ບັນຊາການໂຮງໝໍກາງສະໜາມຂອງອັງກິດ.	Tại Bentiu, Tư lệnh Bộ chỉ huy số 2 và số 1 của Việt Nam sẽ làm việc trực tiếp với Tư lệnh Bộ chỉ huy Anh.
ຫຼັງຈາກນັ້ນ, ຜູ້ບັນຊາການຂອງແຕ່ລະຂະແໜງ, ພະແນກພ້ອມກັບບັນດາຕໍາແໜ່ງຫຼັກແຫຼ່ງຂອງໂຮງໝໍຈະເຮັດວຽກໂດຍກົງກັບບັນດານັກຊ່ຽວຊານອັງກິດ ເພື່ອຮັບບັນດາເນື້ອໃນທີ່ໄດ້ຮັບການມອບສົ່ງ ເພື່ອແນໃສ່ເປັນເຈົ້າການໃນການປະຕິບັດໜ້າທີ່.	Sau đó, chỉ huy từng phòng, ban cùng với các nguồn chính của nhà máy sẽ trực tiếp làm việc với các chuyên gia Anh để tiếp thu các nội dung được giao cho các cán bộ phụ trách trực ban.
ໂດຍ: ທະນາພອນ.	Theo: Thanaphone.
