ກປ.ອອນໄລ - ທ້າຍອາທິດ, ກຸ່ມເພື່ອນສະໜິດພວກຂ້າພະເຈົ້າໄດ້ຊວນກັນໄປໂຮງງານເຂື່ອນໄຟຟ້ານ້ຳຕົກ ຮ່ວາບີ່ງ.	KR Online - Cuối tuần qua, một nhóm bạn thân rủ chúng tôi đến Nhà máy Thủy điện Hòa Bình.
ຈາກນັ້ນ, ຊາວບ້ານຢູ່ແຫ່ງນີ້ໄດ້ເຮັດເຮືອເພື່ອບໍລິການຮັບໃຊ້ແຂກທ່ອງທ່ຽວມາຈາກທຸກສາລະທິດ.	Từ đó dân làng đóng thuyền phục vụ du khách tứ phương.
ເຮືອໄປຮອດເກາະ ກັງຫັນລົມ, ອ້າຍຮົ່ງ ໄດ້ເວົ້າອວດດ້ວຍຄວາມເອກອ້າງທະນົງໃຈວ່າ: ນີ້ແມ່ນສະຖານທີ່ໄດ້ຮັບຄວາມນິຍົມຊົມຊອບຈາກແຂກທ່ອງທ່ຽວຫຼາຍຄົນ.	Đi thuyền ra đảo cối xay gió, Ái Hồng tự hào khoe rằng đây là điểm đến quen thuộc của nhiều du khách.
ເກາະກັງຫັນລົມເຖິງວ່າຈະນ້ອຍກໍ່ຕາມ, ແຕ່ກໍ່ຍັງເປັນບ່ອນເພື່ອໃຫ້ແຂກທ່ອງທ່ຽວຈັດງານລ້ຽງກາງແຈ້ງ, ສຸມໄຟຄ້າຍ, ເພີດເພີນກັບບັນຍາກາດທີ່ສະຫງົບງຽບ.	Đảo cối xay gió tuy nhỏ nhưng vẫn là nơi để du khách tổ chức tiệc ngoài trời, đốt lửa trại, tận hưởng bầu không khí yên tĩnh.
ອາຫານກິນຢູ່ທີ່ນີ້ມີຫຼາຍຮູບຫຼາຍແບບພໍສົມຄວນດ້ວຍບັນດາສີສັນທີ່ເປັນເອກະລັກສະເພາະ “ຂອງໃນບ້ານຫວ້ານໃນສວນ ຄື: ຊີ້ນໝູ ເມື່ອງປີ້ງ, ປາຢ້າງແມ່ນໍ້າດາ, ໄກ່ລ້ຽງຕາມທຳມະຊາດ...	Đồ ăn ở đây rất đa dạng với nhiều màu sắc độc đáo.
ທິວທັດທຳມະຊາດຢູ່ ທຸງນາຍ.	Khung cảnh thiên nhiên tại Thông Nai.
ພາບ: nhasanthungnai.com	Ảnh: nhasanthungnai.com
ໃນເກາະກັງຫັນລົມ, ພວກຂ້າພະເຈົ້າໄດ້ພົບກັບອາວ ເລຈ້ອງມຽງ ເຊິ່ງແມ່ນໜຶ່ງໃນບັນດາຜູ້ຄົນມາຢູ່ເກາະນີ້ທຳອິດ.	Trên đảo Wind Turbine, chúng tôi gặp Ao Le Trong Miang, một trong những người đầu tiên đến đảo.
ອາວ ມຽງ ມີເຄົ້າກຳເນີດຢູ່ ໄທບີ່ງ.	Ao Mying sinh ra tại Thái Bình.
ຕາມຄຳເລົ່າຂອງອາວ ມຽງ ແລ້ວ: ແຂກທ່ອງທ່ຽວມາຢ້ຽມຢາມ ທຸງນາຍ ບໍ່ພຽງແຕ່ຊົມເບິ່ງທິວທັດທຳມະຊາດທີ່ສວຍງາມເທົ່ານັ້ນແຕ່ຍັງມີໂອກາດໄດ້ເຂົ້າຮ່ວມຕະຫຼາດນໍ້າ ຕາດເບີ່ ຫຼືວ່າໄດ້ເຂົ້າວັດ ຕາດເບີ່ ອີກດ້ວຍ.	Theo Ao Miêng: Du khách đến thăm Tùng Nại không chỉ để ngắm cảnh đẹp thiên nhiên, mà còn để tham quan Chợ nước Tad Ber hay chùa Tad Ber.
ຕະຫຼາດນໍ້າ ຕາດເບີ່ ໄດ້ເປີດໃນວັນທິດຄົນບໍ່ຫຼາຍປານໃດແຕ່ມີບັນດາສິນຄ້າຫຼາຍຊະນິດດຶງດູດແຂກທ່ອງທ່ຽວທີ່ສຸດ.	Chợ Nước mở cửa vào một vài ngày Chủ Nhật, nhưng có rất nhiều điểm thu hút khách du lịch.
ຕະຫຼາດເປັນບ່ອນຊື້ຂາຍຂອງບັນດາເຮືອພາຍຫຼັງກັບມາແຕ່ຫາປາຢູ່ໜອງເປັນເວລາຄືນໜຶ່ງປາໂຄກ, ປາແກງມີນ້ຳໜັກນັບເປັນສິບໆກິໂລ...	Chợ là nơi buôn bán của những chiếc thuyền sau một đêm đánh bắt cá của Phong trở về.
ເມື່ອໄປວັດ ຕາດເບີ່ ໄດ້ບູຊາທ່ານນາງ ດິງທິ້ເວີນ, ຊົນເຜົ່າເມື່ອງ ແລະອີກທ່ານນາງຊົນເຜົ່າຢ້າວຢູ່ ເວີ່ຍເນືອ (ຍັງບໍ່ທັນຮູ້ຊື່).	Khi đến thăm chùa Ta Be, họ thờ bà Đinh Thị Vân, người dân tộc Muang, và một thành viên khác của dân tộc Yao ở Việt Nuea (không rõ tên tuổi).
ມີເລື່ອງເລົ່າສືບທອດກັນມາວ່າ, ສອງທ່ານນາງໄດ້ມີຄຸນງາມຄວາມດີຊ່ວຍເຈົ້າຊີວິດ ເລຂ້າມ ຕາດເບີ່ ເຄື່ອນທັບໄປ ເມື່ອງເລ໊ (ເຊີນລາ) ປາບເສິກພັກແດ່ວກ໋າດຮ໋ານ.	Tương truyền, hai người đã đủ đức hạnh giúp vua Lê vượt qua ải Tad Ber tiến đến Muang Le (Sơn La) để chống lại Đảng Daew Kad Han.
ພາຍຫຼັງເສຍຊີວິດ, ສອງທ່ານນາງໄດ້ດົນບັນດານໃຫ້ ທຸງນາຍ ມີດິນຟ້າອາກາດທີ່ເອື້ອອຳນວຍ.	Sau khi bà mất, cả hai cùng mong mỏi cờ mưa thuận gió hòa.
ສະນັ້ນປະຊາຊົນຊາວບ້ານໄດ້ສ້າງຫໍບູຊາຂຶ້ນ.	Vì vậy dân làng đã lập miếu thờ.
ແຂກທ່ອງທ່ຽວຫຼາຍຄົນເມື່ອມາຢ້ຽມຢາມ ທຸງນາຍ ໄດ້ປຽບທຽບສະຖານທີ່ແຫ່ງນີ້ວ່າແມ່ນອ່າວ ຫ້າລອງ ເທິງບົກ.	Nhiều du khách khi đến thăm Thông Nại đã so sánh nơi đây với Vịnh Hạ Long trên cạn.
ແຕ່ວ່າ ທຸງນາຍ ມີຫຼາຍຈຸດພິເສດພໍສົມຄວນເມື່ອສົມທົບລະຫວ່າງການທ່ອງທ່ຽວ ແລະຈິດວິນຍານໃສ່ກັນ.	Nhưng xứ cờ hoa có nhiều điểm đặc biệt khi kết hợp giữa du lịch và tâm hồn.
ໃນຊຸມປີມໍໍ່ໆມານີ້, ທຸງນາຍ ເປັນສະຖານທີ່ດຶງດູດແຂກທ່ອງທ່ຽວທີ່ສຸດ, ເປັນຕົ້ນແມ່ນນັກສຶກສາຍ້ອນມີຄ່າໃຊ້ຈ່າຍພໍດີພໍງາມ.	Những năm gần đây, cột cờ trở thành điểm thu hút đông đảo khách du lịch, đặc biệt là học sinh sinh viên do chi phí hợp lý.
ແຂກແຕ່ລະຄົນຕ້ອງຈ່າຍເງິນ 200.000-400.000 ດົງກໍ່ສາມາດໄປທ່ອງທ່ຽວຢູ່ທຸງນາຍໄດ້ໜຶ່ງມື້ໜຶ່ງຄືນ.	Mỗi khách phải trả 200.000-400.000 đồng và có thể đi tham quan Tùng Nại trong một ngày một đêm.
ສຳລັບພວກຂ້າພະເຈົ້າຫາກໍ່ມາທ່ຽວ ທຸງນາຍ ເປັນເທື່ອທຳອິດ, ສະນັ້ນຈຶ່ງມີຄວາມນິຍົມຊົມຊອບກັບການໄດ້ມານັ່ງເຮືອຊົມທິວທັດທຳມະຊາດໃນໜອງ.	Đây là lần đầu tiên chúng tôi đến thăm Thông Nại, nên việc đi thuyền để ngắm cảnh thiên nhiên trong lon là rất phổ biến.
ໃນເຮືອ ອ້າຍຮົ່ງ ພວກຂ້າພະເຈົ້າໄດ້ຮັບປະທານອາຫານທີ່ເປັນເອກະລັກສະເພາະໝູເມື່ອງ, ປາແມ່ ນໍ້າດ່າ...	Trên thuyền Ái Hồng, chúng tôi ăn những món ăn độc đáo đặc trưng của Phú Muang, cá sông Đà ...
ຫຼືວ່າບາງຕອນນັ່ງດື່ມນ້ຳຊາ ແລະຕຶກປາໃນໜອງ.	Hoặc đôi khi ngồi uống trà và xây bể cá.
ໃຕ້ແສງແດດອ່ອນຍາມແລງໃນຕົ້ນລະດູໜາວ, ທຸງນາຍ ປະກົດອອກແສງເຫຼື້ອມຍິບຍັບ.	Trong nắng sớm, những ngọn cờ thấp thoáng.
ໃນຊຸມໝູ່ພວກຂ້າພະເຈົ້າ, ແມ່ນໃຜກໍ່ມີຄວາມຮູ້ສຶກສະຫວາດສະເຫວີຍຕໍ່ບັນຍາກາດທີ່ສະຫງົບງຽບ.	Trong cộng đồng của chúng tôi, tất cả mọi người đều bị choáng ngợp bởi bầu không khí yên tĩnh.
ແປໂດຍ: ເກື່ອງດັ້ງ.	Dịch bởi: Cuong Dang.
