ກປ.ອອນໄລ - ພັກກອມມູນິດຫວຽດນາມ ໄດ້ຮັບການກຳເນີດໃນຕົ້ນປີ 1930, ມາຮອດປະຈຸບັນແມ່ນ 90 ລະດູບານໃໝ່	KPR Online - Đảng Cộng sản Việt Nam ra đời từ đầu những năm 1930, đến nay là mùa xuân thứ 90.
ຢູ່ນອກພັກ, ພະຍາດນີ້ຈະທຳລາຍຄວາມສາມັກຄີທ່ົວປວງຊົນ.	Bệnh ngoài đảng sẽ phá hoại khối đoàn kết toàn dân.
ສາມັກຄີແມ່ນມູນເຊື້ອອັນລ້ຳຄ່າທີ່ສຸດຂອງພັກ ແລະຂອງປະຊາຊົນຫວຽດນາມ.	Đoàn kết thống nhất là di sản quý báu nhất của Đảng và dân tộc Việt Nam.
ບັນດາສະຫາຍນັບແຕ່ສູນກາງຮອດບັນດາໜ່ວຍພັກຕ້ອງຮັກສາຄວາມສາມັກຄີຂອງພັກຄືຮັກສາແກ້ວຕາຂອງຕົນ.	Các đồng chí từ trung ương đến chi bộ phải giữ được sự đoàn kết nhất trí của đảng là phải để mắt tới.
ສຳລັບຄວາມສາມັກຄີທົ່ວປວງຊົນທັງຊາດ	Vì sự đoàn kết toàn dân tộc
ພາຍຫຼັງຮັບການສ້າງຕັ້ງ, ພັກເຮົາໄດ້ຈັດຕັ້ງບັນດາອົງການຈັດຕັ້ງມະຫາຊົນກຳມະກອນ, ຊາວນາ, ຊາວໜຸ່ມ, ແມ່ຍິງເພື່ອລະດົມກຳລັງໃຈທຸກກຳລັງຂອງປະຊາຊົນເຂົ້າຮ່ວມ ແລະສະໜັບສະໜູນການປະຕິວັດ.	Sau khi thành lập, Đảng ta đã tổ chức các tổ chức quần chúng của công nhân, nông dân, thanh niên, phụ nữ để huy động mọi lực lượng nhân dân tham gia, ủng hộ cách mạng.
ປີ 1941, ແນວໂຮມຫວຽດມິນ ກຳເນີດ, ລວມມີບໍ່ພຽງແຕ່ບັນດາອົງການຈັດຕັ້ງມະຫາຊົນກຳມະກອນ, ຊາວນາ, ຊາວໜູ່ມ, ແມ່ຍິງເທົ່ານັ້ນຫາກຍັງມີວົງການປັນຍາຊົນ ແລະບັນດາອົງການຈັດຕັ້ງຊົນເຜົ່າ, ສາສະໜາ.	Năm 1941, Mặt trận Việt-Nam được thành lập không chỉ bởi các đoàn thể công nhân, nông dân, nông dân, mà cả trí thức và các tổ chức dân tộc, tôn giáo.
ບັນດາພັກປະຊາທິປະໄຕ ແລະສັງຄົມກໍ່ຢືນຢູ່ໃນຖັນແຖວການປະຕິວັດອີກດ້ວຍ.	Các đảng phái dân chủ và xã hội cũng đứng vào hàng ngũ của cách mạng.
ໃນໜັງສືພິມຫວຽດນາມ ເອກະລາດຂອງຫວຽດມິນ, ລຸງໂຮ່ ແຕ່ງບົດກະວີ:	Trên báo Việt Nam độc lập, Bác Hồ đã viết bài thơ:
“ຫວຽດນາມ ເອກະລາດ ເປົ່າແຄນ/ຮຽກຮ້ອງປະຊາຊົນເຮົາທັງຜູ້ໜຸ່ມຜູ້ເຖົ້າ/ສາມັກຄີຍືນຍົງຄືກ້ອນເຫຼັກ/ເພື່ອພ້ອມກັນກູ້ເອົາປະເທດເຮົາ.	“Nước Việt Nam độc lập / kêu gọi nhân dân ta, cả già lẫn trẻ / đoàn kết bền vững / cùng nhau cứu nước.
ເດືອນທັນວາ 1946, ການຕໍ່ຕ້ານລະເບີດຂຶ້ນໃນທົ່ວປະເທດ, ລຸງໂຮ່ ອອກຄຳຮຽກຮ້ອງ:	Tháng 12 năm 1946, cuộc biểu tình nổ ra khắp cả nước, Bác Hồ yêu cầu:
“ພໍ່ແມ່ປະຊາຊົນທີ່ຮັກແພງ!	“Cha mẹ, những người thân yêu!
ພວກເຮົາ ຕ້ອງລຸກຮືຂຶ້ນ!	Chúng ta phải vươn lên!
ບໍ່ວ່າຜູ້ຊາຍ, ຜູ້ຍິງ, ບໍ່ວ່າຜູ້ເຖົ້າ, ຜູ້ໜຸ່ມ, ບໍ່ຈຳແນກສາສະໜາ, ພັກຝ່າຍ, ຊົນຊາດ.	Đàn ông, phụ nữ, người già, người trẻ, người phân biệt chủng tộc, đảng phái, chủng tộc.
ແມ່ນຄົນຫວຽດນາມ ຕ້ອງລຸກຮືຂຶ້ນຕີພວກລ່າເມືອງຂຶ້ນຝະລັ່ງເພື່ອກູ້ເອົາປະເທດ.	Người Việt Nam đã vùng lên chống giặc Pháp để cứu nước.
ຜູ້ໃດມີປືນນຳໃຊ້ປືນ.	Ai có súng thì dùng súng.
ຜູ້ໃດມີດາບນຳໃຊ້ດາບ, ບໍ່ມີດາບນຳໃຊ້ຈົກ, ສຽມ, ໄມ້ຄ້ອນ.	Ai có gươm thì dùng gươm, không ai dùng rựa, rựa, búa.
ໃຜກໍ່ຕ້ອງອອກກຳລັງຕ້ານພວກລ່າເມືອງຂຶ້ນຝະລັ່ງກູ້ຊາດ.	Ai cũng phải chống giặc Pháp để cứu nước.
ເດືອນເມສາ 1961, ແນວໂຮມປະເທດຊາດ ຈັດຕັ້ງກອງປະຊຸມ ຄັ້ງທີ 2.	Tháng 4 năm 1961, Mặt trận dân tộc thống nhất tổ chức Hội nghị lần thứ hai.
ໂອ້ລົມຢ່າງສະໜິດສະໜົມທີ່ກອງປະຊຸມໃຫຍ່, ລຸງໂຮ່ ຢັ້ງຢືນວ່າ “ແນວໂຮມຂອງປະຊາຊົນສາມັກຄີ ຢ່າງແໜ້ນແຟ້ນ ແລະກວ້າງຂວາງແມ່ນກຳລັງຈະຮັບໄຊຊະນະຢ່າງແນ່ນອນ.	Phát biểu tại hội nghị, Bác Hồ khẳng định “đoàn kết toàn dân vững chắc thắng lợi.
ເພິ່ນ ກໍ່ສະຫຼຸບການໂອ້ລົມດ້ວຍຄຳເວົ້າອະມະຕະ “ສາມັກຄີ, ສາມັກຄີ, ມະຫາສາມັກຄີ/ສຳເລັດຜົນ, ສຳເລັດຜົນ, ມະຫາສຳເລັດຜົນ.	Ông tổng kết bài diễn văn bằng câu nói bất hủ “Đoàn kết, thống nhất, đại đoàn kết / thành công, thành công, đại thành công”.
ສຳລັບຄວາມສາມັກຄີສາກົນ	Vì tình đoàn kết quốc tế
ປີ 1951, ທີ່ກອງປະຊຸມໃຫຍ່ເອກະພາບຫວຽດມິນ-ລຽນຫວຽດ, ໃນບົດກ່າວປາໄສໄຂກອງປະຊຸມໃຫຍ່, ຊົມເຊີຍບັນດາຜູ້ແທນເຂົ້າຮ່ວມກອງປະຊຸມໃຫຍ່, ລຸງໂຮ່ ເວົ້າວ່າ:	Năm 1951, tại lễ khai mạc Đại hội Liên Việt Việt Nam, trong bài phát biểu tại Đại hội, Bác Hồ đã nói:
“ຂ້າພະເຈົ້າຮູ້ສຶກສະໜຸກສະໜານກ່ວາຍ້ອນວ່ານັບແຕ່ນີ້ເປັນຕົ້ນໄປພໍ່ພຽງແຕ່ແມ່ນທົ່ວປວງຊົນຫວຽດນາມ ມະຫາສາມັກຄີເທົ່ານັ້ນ, ຫາກຍັງທົ່ວປວງຊົນສອງປະເທດອ້າຍນ້ອງແມ່ນກຳປູເຈຍ ແລະລາວ ກໍ່ຮ່ວມກັນໄປເຖິງມະຫາສາມັກຄີ.	“Tôi thấy vui hơn vì từ nay cha tôi không chỉ là nhân dân Việt Nam, mà còn là nhân dân của hai nước Campuchia - Lào anh em đoàn kết.
ຂ່າວດີຂ່າວມ່ວນກ່ຽວກັບຄວາມມະຫາສາມັກຄີຂອງສອງຊາດອ້າຍນ້ອງນັ້ນໂດຍບັນດາຜູ້ແທນກຳປູເຈຍ, ລາວ ນຳມາໃຫ້ພວກເຮົາ.	Tin vui, tin vui về đại đoàn kết hai dân tộc anh em do đoàn đại biểu Campuchia, anh mang đến cho chúng tôi.
ຈັ່ງຊັ້ນແມ່ນຊາດຫວຽດນາມ ມະຫາສາມັກຄີ, ຊາດກຳປູເຈຍ ມະຫາສາມັກຄີ, ຊາດລາວ ມະຫາສາມັກຄີ.	Tổ quốc Việt Nam đoàn kết, dân tộc Campuchia đoàn kết, dân tộc Lào đoàn kết.
ໃນຕໍ່ໜ້າພວກເຮົາຈະໄປເຖິງຫວຽດ-ມຽນ-ລາວ ມະຫາສາມັກຄີຢ່າງແນ່ນອນ.	Trong tương lai, chúng ta nhất định sẽ tiến tới Đại đoàn kết Việt Nam-Myanmar-Lào.
ປີ 1969, ໃນພິໄນກໍາ, ລຸງໂຮ່ ຂຽນວ່າ: “ຂ້າພະເຈົ້າ ຫວັງວ່າພັກເຮົາຈະອອກແຮງເຄື່ອນໄຫວ, ປະກອບສ່ວນຢ່າງໄດ້ການໄດ້ງານເຂົ້າໃນວຽກງານຟື້ນຟູກຸ່ມກ້ອນສາມັກຄີລະຫວ່າງບັນດາພັກອ້າຍນ້ອງບົນພື້ນຖານລັດທິມາກ-ເລນິນ ແລະລັດທິສາກົນກຳມະຊີບຄືນ, ສົມເຫດສົມຜົນ.	Năm 1969, Bác Hồ viết: “Mong rằng Đảng ta sẽ ra sức làm việc, góp phần khôi phục tình đoàn kết giữa các đảng anh em trên cơ sở chủ nghĩa Mác - Lê-nin và chủ nghĩa quốc tế.
ສາມັກຄີກັບບັນດາປະເທດເອກະລາດຊົນຊາດ ແລະຂະບວນການປົດປ່ອຍຊາດແມ່ນທິດທາງຍຸດທະສາດຂອງພັກເຮົາ ເຊິ່ງລຸງໂຮ່ ແມ່ນຜູ້ດີເດັ່ນທີ່ສຸດ.	Đoàn kết với các dân tộc độc lập và tiến hành công cuộc giải phóng dân tộc là phương hướng chiến lược của Đảng ta, trong đó nổi bật nhất là Bác Hồ.
ພາຍຫຼັງສົງຄາມໂລກ ຄັ້ງທີ 2, ໂລກແບ່ງອອກເປັນສອງຝ່າຍ: ຝ່າຍໜຶ່່ງແມ່ນທຶນນິຍົມຈັກະພັດ ແລະຝ່າຍໜຶ່ງແມ່ນລັດທິສັງຄົມນິຍົມ;	Sau Chiến tranh thế giới thứ hai, thế giới bị chia cắt thành hai phần: một bên là chủ nghĩa tư bản đế quốc và một bên là xã hội chủ nghĩa;
“ຢູ່ກາງ ແມ່ນຂະບວນການເອກະລາດຊົນຊາດ, ເວົ້າກວ້າງແມ່ນຂະບວນການບໍ່ຮ່ວມກຸ່ມ.	Trung tâm là phong trào độc lập dân tộc, rộng ra là phong trào không liên kết.
ຫວຽດນາມ ທັງຢືນຢູ່ໃນຝ່າຍລັດທິສັງຄົມນິຍົມ, ທັງແມ່ນນັກຮົບປະຈັນບານຂອງຂະບວນການເອກະລາດຊົນຊາດ, ສະມາຊິກຫຼັກແຫຼ່ງຂອງກຳລັງບໍ່ຮ່ວມກຸ່ມ.	Việt Nam vừa là một đảng xã hội chủ nghĩa, vừa là người ủng hộ nhiệt thành của phong trào độc lập dân tộc, là thành viên chủ chốt của Phong trào Không liên kết.
ຫວຽດນາມ ຢຶດໝັ້ນຕ້ານບັນດາອິດທິກຳລັງຈັກກະພັດ, ລ່າເມືອງຂຶ້ນ, ແຕ່ຍັງຄົງຖືປະຊາຊົນບັນດາປະເທດນັ້ນແມ່ນເພື່ອນມິດ.	Việt Nam chống lại các thế lực đế quốc, xâm lược nhưng vẫn coi nhân dân các nước là bạn.
ຄວາມເປັນຈິງນັ້ນສະແດງໃຫ້ເຫັນວ່າ, ເປັນຫຍັງຫວຽດນາມ ຈຶ່ງມີນ້ຳໃຈສາມັກຄີສາກົນຢ່າງເຕັມປ່ຽມຄືແນວນັ້ນ!	Thực tế đó cho thấy tại sao Việt Nam lại có một tình đoàn kết quốc tế đầy đủ như vậy!
ໂດຍ: ແສງເດືອນ.	Bởi: Moonlight.
