ກປ.ອອນໄລ - ຈາກສະໜາມບິນຢາເລິມ, ເຮລີກອບເຕີ EC-155B1 ທະຍານຂຶ້ນທ້ອງຟ້າ.	KR Online - Từ sân bay Yale, máy bay trực thăng EC-155B1 bay vút lên bầu trời.
ຫຼັງຈາກນັ້ນ, ໜ່ວຍບິນໄດ້ຮັບໜ້າທີ່ຈາກແມ່ທັບນ້ອຍ 18: “ເຊົ້າມື້ອື່ນປະຕິບັດໜ້າທີ່ກອບກູ້ລູກເຮືອໃນກໍາປັ່ນປະສົບເຄາະຮ້ອຍ.	Máy bay sau đó nhận được lời khuyên từ Trung đoàn Bộ binh 18:
ໜ່ວຍບິນໄດ້ຂຶ້ນແຜນການບິນໂດຍທັນທີ່.	Hãng ngay lập tức lên chuyến bay.
ອີງຕາມຂໍ້ມູນໄດ້ຮັບ, ໜ່ວຍບິນ ໄດ້ກໍານົດບຸລິມະສິດກອບກູ້ລູກເຮືອແຕ່ລະຄົນ.	Trên cơ sở thông tin nhận được, hãng đã ưu tiên giải cứu từng thành viên phi hành đoàn.
ໜ່ວຍບິນດໍາເນີນການປະສານສົມທົບຢ່າງລະອຽດກ່ຽວກັບຄໍາສັ່ງ, ຈັງຫວະ, ວິທີແກ້ໄຂເມື່ອເກີດເຫດ.	Hãng hàng không cẩn thận điều phối thứ tự, tốc độ và phản ứng trong trường hợp xảy ra tai nạn.
ໃນຄືນມື້ນັ້ນ, ກໍາລັງຂອງສູນຝຶກແອບ ແລະຊອກຫາກູ້ໄພທາງອາກາດແຫ່ງຊາດ (ເຫຼົ່າທັບປ້ອງກັນອາກາດ-ທະຫານອາກາດ) ກໍ ຮີບຮ້ອນໄປຍັງສະໜາມບິນດົ່ງເຮີ໊ຍ, ດໍາເນີນການປະສານສົມທົບວິທີຍົກລູກເຮືອກັບໜ່ວຍບິນ.	Ngay trong đêm đó, Trung tâm Huấn luyện và Tìm kiếm cứu nạn Phòng không Quốc gia (Quân chủng Phòng không - Không quân) tức tốc đến sân bay Đồng Hới, phối hợp tổ chức di tản với lực lượng phòng không.
ເວລາເກືອບ 6 ໂມງຂອງວັນທີ 10 ຕຸລາ 2020, ເຮລີກອບເຕີ EC-155B1 ທະຍານຂຶ້ນຈາກສະໜາມບິນດົ່ງເຮີ້້ຍ, ເລືອກບ່ອນລົງຈອດທີ່ຫ່າງຈາກກໍາປັ່ນ Vietship 01 ປະມານ 2 ກິໂລແມັດ ເພື່ອກູ້ໄພໃຫ້ສະດວກກວ່າ.	Khoảng 6 giờ ngày 10/10/2020, máy bay trực thăng EC-155B1 đã cất cánh từ Sân bay Đồng Hới, chọn điểm hạ cánh cách Vietship 01 khoảng 2 km để việc cứu nạn được thuận lợi hơn.
ພາຍຫຼັງປຶກສາຫາລື, ກໍາແໜ້ນສະພາບການ, ເຫັນດີຕໍ່ແຜນການກູ້ໄພກັບກໍາລັງກູ້ໄພ-ກູ້ຊີບເທິງບົກ, ໜ່ວຍບິນຮີບຮ້ອນບິນຂຶ້ນ.	Sau khi bàn bạc, quyết định tình huống, thống nhất phương án ứng cứu với lực lượng cứu hộ mặt đất, lực lượng không quân khẩn trương cất cánh.
ຕາມການປະສານສົມທົບ, ນັກບິນ 1 ສຸມໃສ່ວຽກງານບັນຊາເຮືອບິນ, ເປັນເຈົ້າຂໍ້ມູນ, ບິນເຖິງບ່ອນກໍາປັ່ນປະສົບເຄາະຮ້າຍ;	Theo phối hợp, Phi công 1 tập trung chỉ huy máy bay, phụ trách thông tin, bay đến hiện trường máy bay rơi;
ນັກບິນຍັງເຫຼືອສັງເກດສະພາບການຢູ່ນອກເຮືອບິນ;	Phi công vẫn quan sát tình hình bên ngoài máy bay;
ສ່ວນພາລະກອນ 2 ຄົນບັນຊາເຄື່ອງຍົກປ່ອຍກໍາລັງຂອງສູນຝຶກແອບ ແລະຊອກຫາກູ້ໄພທາງອາກາດແຫ່ງຊາດລົງກໍາປັ່ນ Vietship 01.	Hai thuyền viên chỉ huy tàu Huấn luyện và Tìm kiếm cứu nạn của Lực lượng Phòng không Quốc gia trên tàu Vietship 01.
3 ຖ້ຽວບິນດ້ວຍເວລາປະມານ 40 ນາທີໄດ້ຂົນສົ່ງບັນດາລູກເຮືອຂຶ້ນຝ່ັງຢ່າງຮຽບຮ້ອຍ.	Chuyến bay kéo dài ba phút mất khoảng 40 phút để đưa cả phi hành đoàn vào bờ.
ການບິນກູ້ໄພກູ້ຊີບຜ່ານມາແມ່ນການທົດສອບສໍາລັບໜ່ວຍບິນເວົ້າສະເພາະ ແລະບໍລິສັດເຮລີກອບເຕີ ເວົ້າລວມ, ແຕ່ກໍນໍາເອົາປະສົບການທີ່ມີປະໂຫຍດມາໃຫ້ບໍລິສັດ.	Chuyến bay cứu hộ vừa qua là một cuộc thử nghiệm đối với máy bay nói riêng và công ty trực thăng nói chung, nhưng cũng mang lại kinh nghiệm hữu ích cho công ty.
ຕາມທ່ານພັນເອກ ຟ້າມວັນຢຸ້ງ ແລ້ວ, ໝາກຜົນຈາກການບິນ ຄັ້ງນີ້ໄດ້ຢັ້ງຢືນວ່າ, ເພື່ອຈັດຕັ້ງສໍາເລັດບັນດາຖ້ຽວບິນທີ່ສັບສົນ, ຮຽກຮ້ອງວຽກງານກະກຽມຕ້ອງຮອບຄອບຖີ່ຖ້ວນ, ມີແຜນການວິທະຍາສາດ ແລະແຜນການບິນຢ່າງລະອຽດ, ນັກບິນ, ເຮືອບິນ, ພາຫະນະອຸປະກອນຕ້ອງສອດຄ່ອງກັບແຕ່ລະໜ້າທີ່.	Theo Đại tá Phạm Văn Dũng, kết quả của chuyến bay này khẳng định, để hoàn thành những chuyến bay phức tạp, công tác chuẩn bị chu đáo phải được thực hiện chu đáo, có phương án khoa học, kế hoạch bay chi tiết, phi công, máy bay, phương tiện, thiết bị phải đồng bộ. với mỗi nhiệm vụ.
ສິ່ງສໍາຄັນກວ່ານັ້ນແມ່ນຕ້ອງຈັດຕັ້ງການຝຶກແອບເປັນປະຈໍາ, ໃກ້ຊິດຕິດແທດກັບເງື່ອນໄຂຕົວຈິງ, ຜ່ານນັ້ນຍົກສູງຄວາມຮູ້ຄວາມສາມາດໃຫ້ແກ່ທຸກພາກສ່ວນ.	Điều quan trọng hơn là tổ chức tập huấn thường xuyên, sát với điều kiện thực tế, từ đó nâng cao nhận thức của các bên.
ການບິນຄັ້ງຜ່ານມາກໍ່ແມ່ນບົດກວດກາຊັດເຈນ, ຖືກຕ້ອງທີ່ສຸດສໍາລັບການປະຕິບັດໜ້າທີ່ປະຈໍາການຂັ້ນ 2 ກ່ຽວກັບການກູ້ໄພກູ້ຊີບ ເຊິ່ງກະຊວງປ້ອງກັນປະເທດ ແລະແມ່ທັບນ້ອຍ 18 ມອບໝາຍໃຫ້ບໍລິສັດເຮລີກອບເຕີພາກເໜືອ.	Chuyến bay vừa qua là cuộc kiểm tra rõ ràng nhất, chính xác nhất cho nhiệm vụ cứu hộ cấp 2 mà Bộ Quốc phòng và Binh đoàn 18 đã chi viện cho Công ty Trực thăng miền Bắc.
ໂດຍ: ໄຊຊະນະ.	Bởi: Chiến thắng.
