ກປ.ອອນໄລ - ໂລກລະບາດ ໂຄວິດ-19 ຍັງແຜ່ລະບາດ “ຢ່າງຮ້າຍແຮງ ແລະອາດຈະເຮັດໃຫ້ໂລກຕົກເຂົ້າສູ່ສະພາບ “ແຕກຕື່ນ, ລົ້ມຫາຍຕາຍຈາກ.	Đại dịch Kovid-19 tiếp tục lây lan "nghiêm trọng và có khả năng làm cả thế giới lao dốc"
ທຸກສິ່ງທີ່ພວມດໍາເນີນຢູ່ບັນດາປະເທດໄດ້ຖືວ່າແມ່ນ “ຈຸດຮ້ອນ ຂອງໂລກລະບາດທີ່ໄດ້ພິສູດໃຫ້ເຫັນວ່າ ເຊື້ອໄວຣັດ SARS-CoV-2 ອັັນຕະລາຍທີ່ສຸດ, ສາມາດທໍາລາຍຢ່າງຮ້າຍແຮງໃນພາບດຽວ.	Tất cả những gì đang diễn ra tại các quốc gia được coi là “điểm nóng về dịch bệnh đã được chứng minh là loại virus SARS-CoV-2 nguy hiểm nhất, có khả năng tàn phá thiệt hại chỉ trong một cú ngã.
ສ່ວນຕາມຂໍ້ສັງເກດຂອງຊ່ຽວຊານການແພດຫຼາຍທ່ານແລ້ວ ບໍ່ມີປະເທດໃດໜຶ່ງສາມາດຮັບມືເອງກັບການແຜ່ລະບາດຂອງພະຍາດ ໂຄວິດ-19 ຢ່າງມີປະສິດທິຜົນໄດ້.	Theo nhiều chuyên gia y tế, không quốc gia nào có thể đối phó hiệu quả với sự lây lan của quver-19.
ເວົ້າແນວອື່ນ, ນີ້ແມ່ນຈຸດເວລາທີ່ໂລກຕ້ອງມີການກະທໍາ ແລະຮ່ວມແຮງຮ່ວມໃຈຮັບມືກັບຄວາມສ່ຽງໄພຈາກໂລກລະບາດນີ້.	Nói cách khác, đây là thời điểm mà thế giới cần phải hành động và chung sức để đối phó với những nguy cơ của dịch bệnh này.
ຍ້ອນເຫດນັ້ນ, ສານຂອງການນໍາລັດຖະບານຫວຽດນາມ ກໍ່ມຸ່ງໄປເຖິງຄວາມສາມັກຄີ, ການຮ່ວມມືໃນຂອບເຂດທ່ົວໂລກ-ການເລືອກເຟັ້ນດີທີ່ສຸດໃນສະພາບການຫຍຸ້ງຍາກໃນປະຈຸບັນນີ້.	Do do, cac toà án của chính phủ Việt Nam cam kết thống nhất, hợp tác trên toàn thế giới - là sự lựa chọn tốt nhất trong hoàn cảnh khó khăn hiện nay.
ຄວາມຈິງສະແດງໃຫ້ເຫັນວ່າ, ບົນຖານະຕໍາແໜ່ງເປັນປະທານອາຊຽນ 2020, ຫວຽດນາມ ໄດ້ເສີມຂະຫຍາຍຈິດໃຈ “ສະໜິດຕິດພັນ ແລະເປັນເຈົ້າການຮັບມື ແລະພ້ອມກັບບັນດາປະເທດສະມາຊິກມີການກະທໍາຢ່າງແຮງ ເພື່ອຍູ້ຖອຍໂລກລະບາດໂຄວິດ-19, ພົ້ນເດັ່ນແມ່ນເລື່ອງອອກຖະແຫຼງການປະທານອາຊຽນ ໃນວັນທີ 14 ກຸມພາ 2020, ນັ້ນແມ່ນຄໍາຢັ້ງຢືນຄວາມຕັດສິນໃຈ ແລະຄໍາໝັ້ນສັນຍາດ້ານການເມືອງໃນລະດັບສູງສຸດຂອງອາຊຽນ ເພື່ອຄວບຄຸມ ແລະສະກັດກັ້ນໂລກລະບາດ.	Thực tế cho thấy, với vai trò chủ trì ASEAN 2020, Việt Nam đã tăng cường tinh thần “gắn bó, đồng sở hữu, cùng với các nước thành viên nỗ lực làm chậm dịch Khowit-19.
ມາຮອດປະຈຸບັນ, ການຮ່ວມມືເພື່ອຮັບມືກັບພະຍາດ ໂຄວິດ-19 ແມ່ນບຸລິມະສິດແຖວໜ້າຂອງອາຊຽນ ໄດ້ສະແດງອອກຜ່ານບັນດາຄວາມມານະພະຍາຍາມຮ່ວມມືພາຍໃນກຸ່ມກໍ່ຄືລະຫວ່າງອາຊຽນ ກັບບັນດາຄູ່ຮ່ວມມື, ຄື: ອາເມລິກາ, ຍີ່ປຸ່ນ, ສ.ເກົາຫຼີ, ອົດສະຕາລີ, ອິນເດຍ, ນິວຊີແລນ...	Cho đến nay, hợp tác khắc phục Kovi-19 là một ưu tiên của ASEAN thông qua các nỗ lực hợp tác trong khối cũng như giữa ASEAN và các đối tác: Hoa Kỳ, Nhật Bản, Hàn Quốc, Australia, Ấn Độ, New Zealand .. .
ອາດເວົ້າໄດ້ວ່າ, ໂລກລະບາດ ໂຄວິດ-19 ກໍາລັງພາໃຫ້ໂລກລ້ຽວໄປຕາມກະແສໃໝ່, ຂະນະທີ່ຄົນເຮົາກໍາລັງສົງໄສກ່ຽວກັບການຕົກຕ່ຳຂອງລັດທິຫຼາຍຝ່າຍນັ້ນ, ຄວາມຕ້ອງການຮ່ວມມືໃນທົ່ວໂລກພັດລຸກຂຶ້ນຢ່າງແຮງ.	Có thể nói, đại dịch Kovid-19 đang làm đảo lộn thế giới, khi người ta hoài nghi về sự sụp đổ của chủ nghĩa đa phương, nhu cầu hợp tác toàn cầu ngày một tăng cao.
ອະທິບາຍໃຫ້ແກ່ການຫັນປ່ຽນໂດຍບັງເອີນນີ້ຈະບໍ່ແມ່ນເລື່ອງຍາກ.	Giải thích cho sự biến đổi tình cờ này sẽ không khó.
ນັ້ນຍ້ອນວ່າ, ສະກັດກັ້ນ ແລະປ້ອງກັນພະຍາດກໍາລັງກາຍເປັນເປົ້າໝາຍ, ຜົນປະໂຫຍດລວມຂອງທົ່ວໂລກ ແລະເພື່ອເຮັດໄດ້ສິ່ງເຫຼົ່ານັ້ນ, ແມ່ນຕ້ອງມີການສົມທົບກັນຢ່າງຄົບຊຸດໃນທົ່ວໂລກ.	Do đó, công tác phòng, chống dịch bệnh đang trở thành mục tiêu, lợi ích chung của toàn thế giới, và để đạt được những điều đó, cần phải chung sức trong bối cảnh toàn cầu.
ຄຽງຂ້າງກັບການຕໍ່ສູ້ຕ້ານພະຍາດຢູ່ແຕ່ລະປະເທດ, ກະແສຮ່ວມມືສາກົນໃໝ່ກໍາລັງປະກົດຂຶ້ນ, ເຊິ່ງໃນນັ້ນ, ທຸກປະເທດ ແລະອົງການຈັດຕັ້ງໃຫຍ່, ນ້ອຍ, ຮັ່ງມີ, ທຸກຍາກຕ້ອງຮ່ວມສຳພັນຢ່າງແໜ້ນແຟ້ນ ແລະສົ່ງຜົນສະທ້ອນຕໍ່ກັນຢ່າງແນ່ນອນ.	Cùng với cuộc chiến chống dịch bệnh ở mỗi nước, xu thế hợp tác quốc tế đang nổi lên hiện nay, trong đó các quốc gia, tổ chức lớn, nhỏ, giàu, nghèo đều phải phối hợp chặt chẽ với nhau và có tác dụng nhất định với nhau.
ກໍ່ຄວນໃສ່ໃຈວ່າ, ປະຫວັດແຫ່ງການພັດທະນາຂອງໂລກໃຫ້ເຫັນວ່າ ບັນດາວິກິດການຍາມໃດກໍ່ໄປຄຽງຄູ່ກັບຄວາມກ້າວໜ້າ ແລະການບຸກທະລຸ.	Cần lưu ý rằng, lịch sử phát triển của thế giới cho thấy, các cuộc khủng hoảng luôn song hành với những đột phá, đột phá.
ໂລກລະບາດ ໂຄວິດ-19 ອາດຈະເປັນເງື່ອນໄຂໃຫ້ແກ່ການປ່ຽນແປງໃໝ່, ຊ້ຳບໍ່ໜຳແມ່ນການກະໂດດຂັ້ນໃນຂົງເຂດສາທາລະນະສຸກ.	Đại dịch Kovid-19 có thể là chất xúc tác cho sự thay đổi, chắc chắn là một bước tiến nhảy vọt trong lĩnh vực y tế.
ພາຍຫຼັງແກ້ລະຫັດແຫຼ່ງກໍາເນີດ ແລະລັກສະນະສະເພາະຂອງເຊື້ອໄວຣັດ SARS-CoV-2, ບາງປະເທດ, ໃນນັ້ນມີ ຫວຽດນາມ, ໄດ້ຜະລິດສໍາເລັດບັນດາຊຸດວິເຄາະໂດຍໄວ ແລະພວມສຸມກໍາລັງໃຫ້ແກ່ການຄົ້ນຄວ້າວັກແຊງ, ຢາປົວພະຍາດໂຄວິດ-19.	Sau khi giải mã được mã nguồn và tính đặc hiệu của virus SARS-CoV-2, một số quốc gia, trong đó có Việt Nam, đã hoàn thành bộ phân tích nhanh và đang tập trung nghiên cứu vắc xin Kovich-19.
ສ່ວນໂລກກໍາລັງມຸ່ງໄປເຖິງການຮ່ວມມືໄລຍະຍາວ ແລະ “ຮ່ວມມືບວກ ໃນຂົງເຂດສາທາລະນະສຸກ, ໂດຍສະເພາະແມ່ນບັນດາປັດໄຈຄື ພົນລະເມືອງເພີ່ມຂຶ້ນຢ່າງໄວ, ໂລກນັບມືນັບຮ້ອນຂຶ້ນພ້ອມກັບສະພາບການຫັນເປັນຕົວເມືອງຢ່າງຮຸນແຮງພວມເປັນຄວາມສ່ຽງປະກົດມີພະຍາດໃໝ່ທີ່ອັນຕະລາຍຄ້າຍຄືກັນ ຫຼື ແຮງກວ່າທົບຫຼາຍເທົ່າກັບພະຍາດໂຄວິດ-19.	Thế giới đang hướng tới sự hợp tác lâu dài và “hợp tác tích cực trong lĩnh vực y tế, đặc biệt là do các yếu tố như dân số tăng nhanh, trái đất nóng lên và đô thị hóa nghiêm trọng có nguy cơ phát triển một căn bệnh tương tự hoặc nặng hơn căn bệnh -19.
ສະຫຼຸບໄດ້ວ່າ, ເພື່ອຜ່ານຜ່າຄວາມສ່ຽງໃນປະຈຸບັນ ແລະກຽມພ້ອມປະເຊີນໜ້າກັບວິກິດການໃຫຍ່ກວ່າໃນອະນາຄົດນັ້ນ, ຄວາມສາມັກຄີ ແລະການຮ່ວມມືແມ່ນການເລືອກເຟັ້ນຂອງພວກເຮົາຢ່າງແນ່ນອນ.	Tóm lại, để vượt qua những rủi ro hiện tại và chuẩn bị cho một cuộc khủng hoảng lớn hơn trong tương lai, đoàn kết và hợp tác chắc chắn là sự lựa chọn của chúng tôi.
ໂດຍ: ເກື່ອງດັ້ງ.	By: Cuong Dang.
