ກປ.ອອນໄລ - ວັນທີ 3 ກຸມພາ, ທົ່ວພັກ, ທົ່ວປວງຊົນທັງຊາດ, ທົ່ວກອງທັບເຮົາພ້ອມກັນສະເຫຼີມສະຫຼອງ 91 ປີແຫ່ງວັນສ້າງຕັ້ງພັກກອມມູນິດຫວຽດນາມ ຢ່າງເບີກບານມ່ວນຊື່ນ.	Ngày 3/2, toàn Đảng, toàn dân, toàn quân sẽ kỷ niệm 91 năm Ngày thành lập Đảng Cộng sản Việt Nam.
ພັກເຮົາແມ່ນຜູ້ປຸກລຸກກຳລັງແຮງຂອງຊາດ;	Đảng ta là người thức tỉnh dân tộc;
ເປົ້າໝາຍສູ້ຊົນຂອງພັກແມ່ນເອກະລາດແຫ່ງຊາດ ແລະລັດທິສັງຄົມນິຍົມ, “ປະຊາຊົນຮັ່ງມີ, ປະເທດເຂັ້ມແຂງ, ປະຊາທິປະໄຕ, ຍຸຕິທຳ, ສີວິໄລ.	Mục tiêu của Đảng là độc lập dân tộc và chủ nghĩa xã hội, “dân giàu, nước mạnh, dân chủ, công bằng, văn minh”.
ພັກເຮົາຍາມໃດກໍ່ຜ່ານຜ່າຄວາມຫຍຸ້ງຍາກ, ສິ່ງກີດຂວາງ ເພື່ອນຳພາການປະຕິວັດ, ຈາກໄຊຊະນະນີ້ໄປສູ່ໄຊຊະນະອື່ນ, ຍາດໄດ້ຜົນງານທີ່ມະຫັດສະຈັນຫຼາຍຢ່າງ, ຍາດໄດ້ໄຊຊະນະທີ່ຍິ່ງໃຫຍ່, ໂດຍສະເພາະແມ່ນໃນຈຸດເວລາທີ່ມີລັກສະນະບາດລ້ຽວ, ຕັດສິນຊາຕາກຳຂອງປະເທດ.	Đảng ta đã luôn vượt qua gian khổ, trở ngại để lãnh đạo cách mạng, đi từ thắng lợi này đến thắng lợi khác, lập được nhiều thành tích thần kỳ, giành được nhiều thắng lợi to lớn, nhất là vào thời điểm then chốt, có tính chất quyết định của đất nước.
ພາຍໃຕ້ການນຳພາຂອງພັກ, ປະເທດບັນລຸໄດ້ຜົນງານຢ່າງໃຫຍ່ຫຼວງ, ມີຄວາມໝາຍປະຫວັດສາດ, ມີການພັດທະນາຢ່າງແຮງ, ຮອບດ້ານ.	Dưới sự lãnh đạo của Đảng, đất nước đã đạt được những thành tựu to lớn, có bề dày lịch sử, phát triển mạnh mẽ, toàn diện.
ຈາກນັ້ນຍິ່ງເປັນການຢັ້ງຢືນທັດສະນະຢ່າງເລິກເຊິ່ງ: ການນຳພາຂອງພັກແມ່ນສິ່ງຈຳເປັນພາວະວິໄສຢ່າງເດັດຂາດ, ແມ່ນປັດໄຈແຖວໜ້າໃນການຕັດສິນທຸກຜົນສຳເລັດຂອງການປະຕິວັດ.	Điều đó cũng khẳng định thêm quan điểm sâu sắc rằng, sự lãnh đạo của Đảng là tuyệt đối sống còn, là nhân tố quyết định mọi thành quả của cách mạng.
ປີ 2021, ຄາດວ່າສະພາບການໂລກ, ພາກພື້ນຍັງມີການຜັນແປສັບສົນຫຼາຍຢ່າງ;	Năm 2021, tình hình toàn cầu, khu vực được dự báo sẽ có nhiều biến động phức tạp;
ພະຍາດໂຄວິດ-19, ການກະທົບຈາກສິ່ງທ້າທາຍຄວາມໝັ້ນຄົງບໍ່ແມ່ນການທະຫານຈະສົ່ງຜົນກະທ້ອນສິ່ງຫຍໍ້ທໍ້ເຖິງສະພາບການດ້ານເສດຖະກິດ, ການເມືອງ-ສັງຄົມຂອງທົ່ວໂລກໃນນັ້ນມີປະເທດເຮົາ.	Kovid-19, tác động của các thách thức an ninh phi quân sự sẽ có ảnh hưởng bất lợi đến tình hình kinh tế, chính trị và xã hội của thế giới, trong đó có nước ta.
ເຊິ່ງແມ່ນປີທຳອິດທີ່ທົ່ວພັກ, ທົ່ວປວງຊົນ, ທົ່ວກອງທັບເຮົາປະຕິບັດມະຕິກອງປະຊຸມໃຫຍ່ ຄັ້ງທີ XIII ຂອງພັກ;	Đây là năm đầu tiên toàn Đảng, toàn dân và toàn quân thực hiện các nghị quyết Đại hội 13 của Đảng;
ການປ່ອນບັດເລືອກຕັ້ງສະມາຊິກສະພາແຫ່ງຊາດ ສະໄໝທີ XV ແລະສະມາຊິກສະພາປະຊາຊົນທຸກຂັ້ນອາຍຸການ 2021-2026.	Bầu cử đại biểu Quốc hội khóa XV và đại biểu Quốc hội các cấp nhiệm kỳ 2021-2026.
ບັນດາອິດທິກຳລັງປໍລະປັກສືບຕໍ່ຕ້ານ ແລະທໍາລາຍການປະຕິວັດຂອງປະເທດເຮົາດ້ວຍກົນອຸບາຍ, ເລລ່ຽມທີ່ນັບມື້ນັບຂ້ຽວຂາດ, ເລິກແລບແນບນຽນ, ໂຫດຫ້ຽມສ້ຽມແຫຼມ...	Các thế lực chống đối tiếp tục chống phá, chống phá cách mạng nước ta bằng những âm mưu, thủ đoạn ngày càng sắc bén, tinh vi, tàn bạo ...
ຕໍ່ໜ້າສະພາບການນັ້ນ, ຮຽກຮ້ອງໃຫ້ພັກຕ້ອງສືບຕໍ່ປ່ຽນແປງໃໝ່ຈິນຕະນາການຢ່າງແຮງ, ມີຄວາມຕັດສິນດ້ານການເມືອງສູງ, ຄາດຄະເນການຜັນແປຂອງສະພາບການຢ່າງຊັດເຈນ, ທັນການ, ເປັນເຈົ້າການຮັບມືທຸກກໍລະນີຢ່າງທັນການ, ມານະພະຍາຍາມໃຫ້ຫຼາຍກວ່າອີກເພື່ອສືບຕໍ່ຍູ້ແຮງກິດຈະການປ່ຽນແປງໃໝ່;	Trước tình hình đó, kêu gọi đảng viên tiếp tục thay đổi trí tưởng tượng, có quyết tâm chính trị cao, lường trước sự chuyển biến của tình hình rõ ràng, kịp thời, chủ động giải quyết mọi vụ việc kịp thời, đến nơi đến chốn, làm nhiều hơn nữa để tiếp tục thúc đẩy các hoạt động thay đổi;
ຍູ້ແຮງການກໍ່ສ້າງ, ປັບປຸງພັກ, ກໍ່ສ້າງລັດແຫ່ງອຳນາດນິຕິບັນຍັດສັງຄົມນິຍົມ ແລະລະບົບການເມືອງໃຫ້ປອດໃສ, ໝັ້ນຄົງເຂັ້ມແຂງ.	Chúng ta sẽ đẩy mạnh công tác xây dựng Đảng, đổi mới Đảng, xây dựng Nhà nước pháp chế xã hội chủ nghĩa và hệ thống chính trị an ninh, vững mạnh, ổn định.
ສືບຕໍ່ຍູ້ແຮງການຕໍ່ສູ້ໃນການປ້ອງກັນ, ຕ້ານການອາດຍາສິດ, ສໍ້ລາດບັງຫຼວງ, ຟຸມເຟືອຍ, ປະກົດການຫຍໍ້ທໍ້, ປະກົດການ "ການຜັນ ແປ ດ້ວຍຕົນເອງ", "ການຫັນປ່ຽນ ດ້ວຍ ຕົນ ເອງ" ພາຍໃນພັກ.	Tiếp tục tăng cường đấu tranh phòng, chống tội phạm, tham nhũng, lãng phí, hiện tượng nhụt chí, hiện tượng “tự chuyển hóa”, “tự chuyển hóa” trong nội bộ đảng.
ກໍ່ສ້າງຖັນແຖວພະນັກງານທຸກຂັ້ນ, ໂດຍສະເພາະແມ່ນຂັ້ນຍຸດທະສາດໃຫ້ມີຄຸນນະທາດ, ມີກຳລັງຄວາມສາມາດ, ອິດທິພົນຊື່ສຽງ.	Xây dựng đội ngũ cán bộ các cấp, nhất là cấp chiến lược có phẩm chất, năng lực và uy tín.
ປັບປຸງຄວາມໄວ້ເນື້ອເຊື່ອໃຈ, ຄວາມສະໜິດຕິດພັນຂອງປະຊາຊົນທີ່ມີຕໍ່ພັກ, ລັດ, ລະບອບສັງຄົມນິຍົມ.	Nâng cao lòng tin và sự đoàn kết của nhân dân với đảng, nhà nước và chế độ xã hội chủ nghĩa.
ເພີ່ມທະວີຄວາມສາມາດບົ່ມຊ້ອນທຸກດ້ານຂອງປະເທດຢ່າງບໍ່ຢຸດຢັ້ງ, ປົກປັກຮັກສາເອກະລາດ, ອະທິປະໄຕ, ເອກະພາບ, ຜືນແຜ່ນດິນອັນຄົບຖ້ວນຂອງປະເທດຊາດ ແລະຜົນງານພັດທະນາທີ່ບັນລຸໄດ້, ຄືດັ່ງຄໍາສັ່ງສອນຂອງປະທານໂຮ່ຈີມິນ ທີ່ວ່າ “ຕ້ອງຮັກສາພັກເຮົາໃຫ້ມີຄວາມປອດໃສທີ່ສຸດ, ສົມກັບເປັນຜູ້ນຳ, ຜູ້ຮັບໃຊ້ທີ່ມີຄວາມຈົ່ງຮັກພັກດີຂອງປະຊາຊົນ.	Không ngừng nâng cao tiềm lực của đất nước, bảo vệ độc lập, chủ quyền, thống nhất, toàn vẹn lãnh thổ và những thành tựu của dân tộc, như lời Chủ tịch Hồ Chí Minh đã tuyên bố: “Đảng ta phải giữ cho được an toàn.
ກອງທັບປະຊາຊົນຫວຽດນາມ ໄດ້ກຳເນີດມາຈາກປະຊາຊົນ, ເພື່ອປະຊາຊົນຈຶ່ງສູ້ຮົບ.	Quân đội nhân dân Việt Nam từ nhân dân mà ra, vì nhân dân mà chiến đấu.
ກວ່າ 76 ປີຜ່ານມາ, ກອງທັບປະຊາຊົນຫວຽດນາມ ຍາມໃດກໍ່ຢູ່ພາຍໃຕ້ການນໍາພາທຸກດ້ານຂອງພັກຢ່າງເດັດຂາດ ແລະໂດຍກົງ, ມີຄວາມຈົ່ງຮັກພັກດີຕໍ່ພັກ, ລັດ ແລະປະຊາຊົນຢ່າງເດັດຂາດ, ເຕີບໃຫຍ່ເຂັ້ມແຂງ ແລະເຕີບໂຕຢ່າງບໍ່ຢຸດຢັ້ງ, ສຳເລັດໜ້າທີ່ຢ່າງດີເດັ່ນ.	Trong hơn 76 năm qua, Quân đội nhân dân Việt Nam luôn đặt dưới sự lãnh đạo tuyệt đối, trực tiếp của Đảng, tuyệt đối trung thành với Đảng, nhà nước và nhân dân, ngày càng lớn mạnh, không ngừng, với nhiều thành tích xuất sắc.
ເນື່ອງໃນໂອກາດສະເຫຼີມສະຫຼອງ 91 ປີແຫ່ງວັນສ້າງຕັ້ງພັກກອມມູນິດຫວຽດນາມ, ພະນັກງານ, ນັກຮົບທົ່ວກອງທັບໃຫ້ຄຳໝັ້ນໝາຍວ່າຈະມານະພະຍາຍາມສູ້ຊົນຜ່ານຜ່າທຸກຄວາມຫຍຸ້ງຍາກ, ປົກປັກຮັກສາປະເທດຊາດໄວ້ໃຫ້ໝັ້ນຄົງເຂັ້ມແຂງ, ປະກອບສ່ວນຮັກສາສະພາບແວດລ້ອມແຫ່ງສັນຕິພາບ, ສະຖຽນລະພາບເພື່ອສ້າງສາ ແລະພັດທະນາປະເທດຊາດ;	Nhân kỷ niệm 91 năm Ngày thành lập Đảng Cộng sản Việt Nam, toàn thể cán bộ, chiến sĩ các Lực lượng vũ trang nguyện quyết tâm ra sức khắc phục mọi khó khăn, giữ nước mạnh, góp phần giữ vững môi trường hòa bình, ổn định cho dân tộc- xây dựng và phát triển;
ສົມກັບຄວາມໄວ້ເນື້ອເຊື່ອໃຈ ແລະຮັກແພງຂອງພັກ, ລັດ, ປະຊາຊົນ.	Tương đương với sự tin cậy, yêu mến của đảng, nhà nước, nhân dân.
ໂດຍ: ແສງເດືອນ.	Bởi: Moonlight.
