ກປ.ອອນໄລ - ໂດຍຕອບສະໜອງຕາມຄໍາເຊີນຂອງທ່ານນາງ V.	KPR Online - Đáp lại lời mời của chị V.
ສອງຝ່າຍໄດ້ແລກປ່ຽນຄະນະຜູ້ແທນທຸກຂັ້ນເປັນປະຈໍາ, ພິເສດແມ່ນຂັ້ນສູງ.	Hai bên thường xuyên trao đổi đoàn các cấp, đặc biệt là các đoàn cán bộ cấp cao.
ບັນດາການຢ້ຽມຢາມເປັນປະຈໍາຂອງການນໍາຂັ້ນສູງສອງປະເທດແມ່ນກໍາລັງໜູນຢ່າງແຮງເພື່ອຊຸກຍູ້ການພົວພັນຮ່ວມມືສອງຝ່າຍ.	Các chuyến thăm cấp cao của lãnh đạo hai nước đang có nhiều nỗ lực thúc đẩy quan hệ song phương.
ທີ່ບັນດາເວທີປາໄສຫຼາຍຝ່າຍຢູ່ພາກພື້ນ ແລະສາກົນ, ສອງຝ່າຍສົມທົບກັນຢ່າງແໜ້ນແຟ້ນ, ສະໜັບສະໜູນທັດສະນະຂອງກັນ.	Tại các diễn đàn đa phương khu vực và quốc tế, hai bên phối hợp chặt chẽ và trao đổi quan điểm.
ທ່ານນາງ ຫງວຽນທິກິມເງິນ ປະທານສະພາແຫ່ງຊາດຫວຽດນາມ ແລະທ່ານ V.	Bà Nguyễn Thị Kim Ngưng, Chủ tịch Quốc hội Việt Nam và ông V.
Volodin ປະທານສະພາຕໍ່າ (Duma) ສະພາແຫ່ງຊາດສະຫະພັນລັດເຊຍ ລົງນາມໃນຂໍ້ຕົກລົງວ່າດ້ວຍການສ້າງຕັ້ງຄະນະກໍາມາທິການຮ່ວມມືລະຫວ່າງລັດຖະສະພາລະຫວ່າງສະພາແຫ່ງຊາດຫວຽດນາມ ແລະສະພາຕໍ່າ (Duma) ສະພາແຫ່ງຊາດສະຫະພັນລັດເຊຍ ຢູ່ຮ່າໂນ້ຍ ປີ 2018.	Volodin, Chủ tịch Quốc hội Nga (Duma), đã ký thỏa thuận về việc thành lập Ủy ban hợp tác nghị viện giữa Quốc hội Việt Nam và Quốc hội Nga (Duma) tại Hà Nội vào năm 2018.
ສະພາແຫ່ງຊາດຫວຽດນາມ ແລະສະພາຕໍ່າ (Duma) ສະພາແຫ່ງຊາດສະຫະພັນລັດເຊຍ, ສະພາສະຫະພັນລັດເຊຍ ພ້ອມກັບລັດຖະບານສອງປະເທດສ້າງຂອບນິຕິກໍາ, ສ້າງສະພາບແວດລ້ອມແຫ່ງການດໍາເນີນທຸລະກິດ, ການຮ່ວມມືເສດຖະກິດ-ການຄ້າ-ການລົງທຶນຢ່າງສະດວກໃຫ້ແກ່ວິສາຫະກິດ ແລະປະຊາຊົນ, ຊຸກຍູ້ການຮ່ວມມືເພື່ອຜົນປະໂຫຍດຢ່າງແທດຈິງ ແລະຄວາມວັດທະນາຖາວອນ ຂອງສອງປະເທດຫວຽດນາມ-ສະຫະພັນລັດເຊຍ.	Quốc hội Việt Nam và Đuma Quốc gia Liên bang Nga cùng với Chính phủ hai nước tạo hành lang pháp lý, tạo môi trường kinh doanh, thương mại, đầu tư thuận lợi cho doanh nghiệp và người dân, thúc đẩy hợp tác vì lợi ích của hai nước.
ການຮ່ວມມືດ້ານເສດຖະກິດ-ການຄ້າ-ການລົງທຶນລະຫວ່າງສອງປະເທດໃນໄລຍະມໍ່ໆມານີ້ມີບາດກ້າວພັດທະນາຢ່າງວ່ອງໄວ.	Hợp tác kinh tế, thương mại và đầu tư giữa hai nước phát triển nhanh chóng trong những năm gần đây.
ປີ 2018, ວົງເງິນການຄ້າລະຫວ່າງສອງປະເທດບັນລຸໄດ້ 4,5 ຕື້ໂດລາສະຫະລັດ, ເພີ່ມຂຶ້ນ 30% ເມື່ອທຽບໃສ່ປີ 2017;	Năm 2018, kim ngạch thương mại giữa hai nước đạt 4,5 tỷ đô la Mỹ, tăng 30% so với năm 2017;
9 ເດືອນປີ 2019 ບັນລຸໄດ້ 3,4 ຕື້ໂດລາສະຫະລັດ.	9 tháng năm 2019 đạt 3,4 tỷ đô la Mỹ.
ເລື່ອງຫວຽດນາມ ແລະສະຫະພັນລັດເຊຍ ເຂົ້າຮ່ວມສັນຍາການຄ້າເສລີຫວຽດນາມ-ສະຫະພັນລັດເຊຍ ໄດ້ປະກອບສ່ວນເພີ່ມທະວີການຮ່ວມມືດ້ານການຄ້າ-ການລົງທຶນລະຫວ່າງສອງປະເທດກວ່າອີກ.	Việc Việt Nam và Liên bang Nga gia nhập Hiệp định Thương mại tự do Việt Nam - Liên bang Nga đã góp phần tăng cường hơn nữa quan hệ hợp tác thương mại và đầu tư giữa hai nước.
ການຮ່ວມມືໃນຂົງເຂດການສຶກສາ-ກໍ່ສ້າງນັບແຕ່ດົນນານໄດ້ຖືເປັນຂົງເຂດຮ່ວມມືທີ່ເປັນມູນເຊື້ອລະຫວ່າງສອງປະເທດ.	Hợp tác trong lĩnh vực giáo dục và xây dựng từ lâu đã được coi là lĩnh vực hợp tác truyền thống giữa hai nước.
ການຮ່ວມມືດ້ານວັດທະນາທໍາ, ການທ່ອງທ່ຽວ ແລະການພົບປະແລກປ່ຽນປະຊາຊົນກໍ່ໄດ້ຮັບການຍູ້ແຮງດ້ວຍບັນດາຕົວເລກການເຕີບໂຕທີ່ມີຄວາມປະທັບໃຈ.	Hợp tác văn hóa, du lịch và giao lưu nhân dân cũng được thúc đẩy bởi những con số tăng trưởng ấn tượng.
ຄຽງຄູ່ກັບການຮ່ວມມືຢູ່ຂັ້ນກະຊວງ, ຂະແໜງການສູນກາງ, ການຮ່ວມມືລະຫວ່າງບັນດາທ້ອງຖິ່ນກໍ່ໄດ້ຮັບການປັບປຸງຢ່າງບໍ່ຢຸດຢັ້ງ ແລະຊຸກຍູ້ຢ່າງແຮງ, ບໍ່ພຽງແຕ່ລະຫວ່າງບັນດານະຄອນຫຼວງ, ນະຄອນໃຫຍ່, ຄື: ຮ່າໂນ້ຍ-ມົດສະກູ, ນະຄອນໂຮ່ຈີມິນ-Saint Petersburg ເທົ່ານັ້ນ ຫາກຍັງລະຫວ່າງບັນດາທ້ອງຖິ່ນທີ່ມີຄວາມສາມາດບົ່ມຊ້ອນຫຼາຍຢ່າງຄື ລະຫວ່າງແຂວງບິ່ງຖ້ວນ ກັບແຂວງ Kaluga, ແຂວງຮ່າຕິ້ງ ກັບແຂວງ Tula, ແຂວງນາມດິ້ງກັບ Krasnodar...	Cùng với hợp tác cấp Bộ, Trung ương không ngừng cải thiện và thúc đẩy quan hệ hợp tác không chỉ giữa các thủ đô, thành phố mà cả Hà Nội, Mátxcơva, Thành phố Hồ Chí Minh và Sankt-Peterburg.
ອີກດ້ວຍ.	Cũng thế.
ນັກຂ່າວ: ຮຽນທ່ານນາງ ຫງວຽນທິກິມເງິນ ປະທານສະພາແຫ່ງຊາດ ຫວຽດນາມ, ຂໍທ່ານນາງໃຫ້ຮູ້ວ່າ ບັນດາທິດຮ່ວມມືໃດ ເຊິ່ງສອງຝ່າຍສາມາດສຸມໃສ່ເພື່ອເຮັດໃຫ້ເລິກເຊິ່ງກວ່າອີກ?	PV: Thưa bà Nguyễn Thị Kim Ngưng, Chủ tịch Quốc hội Việt Nam, xin bà cho biết hai bên có thể tập trung vào những lĩnh vực hợp tác nào để đi vào chiều sâu?
ທ່ານນາງ ຫງວຽນທິກິມເງິນ ປະທານສະພາແຫ່ງຊາດຫວຽດນາມ: ເພື່ອປັບປຸງ ແລະຊຸກຍູ້ການພົວພັນຄູ່ຮ່ວມມືຍຸດທະສາດຮອບດ້ານລະຫວ່າງສອງປະເທດໃຫ້ພັດທະນາອັນດີງາມຢ່າງບໍ່ຢຸດຢັ້ງ, ສອງຝ່າຍຄວນສືບຕໍ່ຮັກສາການແລກປ່ຽນຄະນະຜູ້ແທນທຸກຂັ້ນ, ເປັນຕົ້ນແມ່ນຂັ້ນສູງ, ຂັ້ນກະຊວງ, ຂະແໜງການ ແລະທ້ອງຖິ່ນສອງປະເທດ, ຮ່ວມມືຢ່າງແໜ້ນແຟ້ນ ເພື່ອແກ້ໄຂບັນດາຂໍ້ຄົງຄ້າງ;	Chủ tịch Quốc hội Nguyễn Thị Kim Ngưng: Để không ngừng cải thiện và thúc đẩy quan hệ Đối tác chiến lược toàn diện giữa hai nước, hai bên cần tiếp tục trao đổi đoàn các cấp, kể cả cấp cao, cấp bộ, cấp khu vực và cấp địa phương.
ຕັັ້ງໜ້າສົມທົບກັນ, ທາບທາມຄໍາເຫັນ ແລະສະໜັບສະໜູນເຊິ່ງກັນ ແລະກັນຢູ່ບັນດາເວທີປາໄສພາກພື້ນ ແລະສາກົນ, ຕັ້ງໜ້າພົບປະ, ແລກປ່ຽນກ່ຽວກັບບັນດາບັນຫາ ເຊິ່ງຕ່າງຝ່າຍຕ່າງມີຄວາມສົນໃຈ.	Phối hợp, giao lưu, trao đổi quan điểm tại các diễn đàn khu vực và quốc tế, gặp gỡ, trao đổi về các vấn đề hai bên cùng quan tâm.
ຈາກແງ່ມູນຂອງອົງການນິຕິບັນຍັດ, ຂ້າພະເຈົ້າ ແລະບັນດາສະຫາຍການນໍາສະຫະພັນລັດເຊຍ ຈະແລກປ່ຽນເພື່ອບັນລຸໄດ້ຄວາມເຫັນດີເຫັນພ້ອມສູງໃນທິດທາງສືບຕໍ່ເພີ່ມທະວີການຮ່ວມມືລະຫວ່າງອົງການນິຕິບັນຍັດສອງປະເທດ, ລາຍລະອຽດແມ່ນ:	Dưới góc độ của cơ quan lập pháp, tôi và các nhà lãnh đạo Liên bang Nga sẽ trao đổi để đạt được sự nhất trí cao về việc tăng cường hơn nữa hợp tác giữa hai cơ quan lập pháp, cụ thể là:
ສືບຕໍ່ແລກປ່ຽນຄະນະຜູ້ແທນທຸກຂັ້ນຂອງການນໍາສະພາແຫ່ງຊາດ, ບັນດາອົງການຂອງສະພາແຫ່ງຊາດ ແລະກຸ່ມສະມາຊິກລັດຖະສະພາຂອງສະພາແຫ່ງຊາດ;	Tiếp tục trao đổi đoàn các cấp của Quốc hội, các cơ quan của Quốc hội, đoàn đại biểu Quốc hội;
ເພີ່ມທະວີການແລກປ່ຽນຂໍ້ມູນຂ່າວສານ, ບົດຮຽນກ່ຽວກັບການເຄື່ອນໄຫວລັດຖະສະພາຂອງແຕ່ລະປະເທດ...	Tăng cường trao đổi thông tin, bài học về hoạt động nghị viện của mỗi nước ...
ເພີ່ມທະວີການສົມທົບກັນຕິດຕາມກວດກາ, ກະຕຸກຊຸກຍູ້ການປະຕິບັດບັນດາຂໍ້ຕົກລົງຮ່ວມມື ເຊິ່ງລັດຖະບານສອງປະເທດໄດ້ລົງນາມ ແລະບັນດາໂຄງການຮ່ວມມືຍຸດທະສາດຢ່າງມີປະສິດທິຜົນ.	Tăng cường phối hợp, giám sát và thúc đẩy triển khai hiệu quả các thỏa thuận hợp tác mà Chính phủ hai nước đã ký kết và các dự án hợp tác chiến lược.
ເພີ່ມທະວີການພົບປະ, ທາບທາມຄໍາເຫັນ, ສົມທົບກັນ ແລະສະໜັບສະໜູນເຊິ່ງກັນ ແລະກັນຢູ່ບັນດາເວທີລັດຖະສະພາຫຼາຍຝ່າຍ ເຊິ່ງສະພາແຫ່ງຊາດສອງປະເທດເປັນສະມາຊິກກວ່າອີກ, ເປັນຕົ້ນແມ່ນໃນບັນດາກົນໄກຮ່ວມມື, ຄື: ສະຫະພັນລັດຖະສະພາສາກົນ (IPU), ເວທີປາໄສລັດຖະສະພາອາຊີ-ປາຊີຟິກ (APPF)...	Tăng cường gặp gỡ, trao đổi, giao lưu, trao đổi tại các diễn đàn nghị viện đa phương mà nghị viện hai nước có nhiều thành viên hơn, trong đó có các cơ chế hợp tác như Liên minh Nghị viện quốc tế (IPU), Diễn đàn Nghị viện châu Á - Thái Bình Dương (APPF) ...
ຮັກສາວາລະປະຊຸມປະຈໍາປີຂອງຄະນະກໍາມາທິການຮ່ວມມືລະຫວ່າງລັດຖະສະພາລະຫວ່າງສະພາແຫ່ງຊາດຫວຽດນາມ ແລະສະພາຕໍ່າ (Duma) ສະພາແຫ່ງຊາດສະຫະພັນລັດເຊຍ...	Duy trì phiên họp thường niên của Ủy ban hợp tác liên nghị viện giữa Quốc hội Việt Nam và Duma Quốc hội Liên bang Nga ...
ນອກຈາກນັ້ນ, ຄຽງຂ້າງບັນດາຄວາມມານະພະຍາຍາມຮ່ວມມືສ້າງສະພາບແວດລ້ອມນິຕິກໍາສະດວກຊຸກຍູ້ການພົວພັນຄູ່ຮ່ວມມືຍຸດທະສາດຮອບດ້ານລະຫວ່າງສອງປະເທດ, ສອງຝ່າຍຄວນເອົາໃຈໃສ່ວຽກງານສຶກສາອົບຮົມບັນດາຄົນໄວໜຸ່ມກ່ຽວກັບສາຍພົວພັນມິດຕະພາບທີ່ເປັນມູນເຊື້ອ ແລະການຮ່ວມມືອັນດີງາມລະຫວ່າງສອງປະເທດ...	Ngoài ra, bên cạnh việc cùng nhau tạo môi trường pháp lý thuận lợi để thúc đẩy quan hệ Đối tác chiến lược toàn diện giữa hai nước, hai bên cần chú trọng giáo dục thanh niên về tình hữu nghị và hợp tác tốt đẹp được kế thừa giữa hai nước.
ນັກຂ່າວ: ຮຽນທ່ານນາງ ຫງວຽນທິກິມເງິນ ປະທານສະພາແຫ່ງຊາດ ຫວຽດນາມ, ຂໍທ່ານນາງໃຫ້ຮູ້ ຕາມຂໍ້ລິເລີ່ມຂອງທ່ານ V.	PV: Thưa bà Nguyễn Thị Kim Ngưng, Chủ tịch Quốc hội Việt Nam, xin trân trọng thông báo về sáng kiến của ông V.
Volodin ປະທານສະພາຕໍ່າ (Duma) ສະພາແຫ່ງຊາດສະຫະພັນລັດເຊຍ, ຄະນະກໍາມາທິການຮ່ວມມືລະຫວ່າງລັດຖະສະພາຫວຽດນາມ ແລະສະຫະພັນລັດເຊຍ ຢູ່ຂັ້ນສູງໄດ້ຮັບການສ້າງຕັ້ງດ້ວຍເປົ້າໝາຍຕິດຕາມກວດກາການປະຕິບັດບັນດາຂໍ້ຕົກລົງສອງຝ່າຍ.	Volodin, Chủ tịch Duma Quốc hội Liên bang Nga và Ủy ban hợp tác nghị viện cấp cao giữa Việt Nam và Liên bang Nga đã thành lập Tổ công tác giám sát việc thực hiện các thỏa thuận song phương.
ກົນໄກນີ້ພວມເຄື່ອນໄຫວຢ່າງມີປະສິດທິຜົນຄືແນວໃດ?	Hiệu quả của cơ chế này như thế nào?
ບັນດາຫົວຂໍ້ຕົ້ນຕໍຂອງໂຄງການດໍາເນີນງານຂອງການຮ່ວມມືລະຫວ່າງສະພາແຫ່ງຊາດສອງປະເທດຫວຽດນາມ ແລະສະຫະພັນລັດເຊຍ ແມ່ນຫຍັງ?	Các chủ đề chính của Dự án hợp tác giữa hai Quốc hội Việt Nam và Liên bang Nga là gì?
ທ່ານນາງ ຫງວຽນທິກິມເງິນ ປະທານສະພາແຫ່ງຊາດຫວຽດນາມ: ໃນການຢ້ຽມຢາມຫວຽດນາມ ຢ່າງເປັນທາງການເມື່ອປີກາຍ, ປະທານສະພາແຫ່ງຊາດຫວຽດນາມ ແລະປະທານສະພາຕໍ່າ (Duma) ສະພາແຫ່ງຊາດສະຫະພັນລັດເຊຍ ໄດ້ລົງນາມໃນຂໍ້ຕົກລົງວ່າດ້ວຍການສ້າງຕັ້ງຄະນະກໍາມາທິການຮ່ວມມືລະຫວ່າງລັດຖະສະພາລະຫວ່າງສະພາແຫ່ງຊາດຫວຽດນາມ ແລະສະພາຕໍ່າ (Duma) ສະພາແຫ່ງຊາດສະຫະພັນລັດເຊຍ.	Diễn giả Quốc hội Nguyễn Thị Kim Ngưng: Trong chuyến thăm chính thức Việt Nam năm ngoái, Chủ tịch Quốc hội và Chủ tịch Duma Quốc gia Liên bang Nga đã ký thỏa thuận về việc thành lập Ủy ban hợp tác nghị viện giữa Quốc hội Việt Nam và Duma.
