ກປ.ອອນໄລ - ຕອນບ່າຍວັນທີ 26 ກຸມພາ, ທ່ານ ຫງວຽນຝູຈ້ອງ ເລຂາທິການໃຫຍ່, ປະທານປະເທດຫວຽດນາມ ໄດ້ມາເຖິງຮ່າໂນ້ຍ, ສິ້ນສຸດການຢ້ຽມຢາມສັນຖະວະໄມຕີ ສປປ ລາວ ຢ່າງເປັນທາງການ ແລະຢ້ຽມຢາມທາງລັດຖະກິດລາຊະອານາຈັກກໍາປູເຈຍ (ໃນລະຫວ່າງວັນທີ 24-26 ກຸມພາ 2019) ຕາມຄໍາເຊີນຂອງທ່ານ ບຸນຍັງ ວໍລະຈິດ ເລຂາທິການໃຫຍ່, ປະທານປະເທດລາວ ແລະຄໍາເຊີນຂອງພະບາດສົມເດັດພະບໍລົມມະນຽດ Norodom Sihamoni ພະມະຫາກະສັດແຫ່ງລາຊະອານາຈັກກໍາປູເຈຍ.	DPA - Nguyễn Phú Trọng, Chủ tịch của Công ty Nguyễn Phú Thượng, Chủ tịch Lào
ພະບາດສົມເດັດພະບໍລົມມະນຽດ Norodom Sihamoni ພະມະຫາກະສັດແຫ່ງລາຊະອານາຈັກ ກໍາປູເຈຍ ແນະນໍາບັນດາເຈົ້າໜ້າທີ່ກໍາປູເຈຍເຂົ້າຮ່ວມພິທີຕ້ອນຮັບກັບທ່ານ ຫງວຽນຝູຈ້ອງ ເລຂາທິການໃຫຍ່, ປະທານປະເທດຫວຽດນາມ.	Gánh nặng, Norodom, Camotodom, Vương quốc của Vương quốc Campuchia, Vương quốc Campuchia, tham gia Vương quốc Nguyễn Tấn
ພາບ: ຫງວຽນເຕິ໋ນຕວນ.	Ảnh: Nguyễn Khan Diah.
ທ່ານ ຫງວຽນຝູຈ້ອງ ເລຂາທິການໃຫຍ່, ປະທານປະເທດຫວຽດນາມ ແລະທ່ານ Heng Samrin ປະທານສະພາແຫ່ງຊາດກໍາປູເຈຍ.	Tổng thư ký Nguyễn Phú Trọng, Tổng thống Hungary, Chủ tịch Quốc hội Campuchia.
ພາບ: ຫງວຽນເຕິ໋ນຕວນ.	Ảnh: Nguyễn Khan Diah.
ຮູບພາບທ່ານ ຫງວຽນຝູຈ້ອງ ເລຂາທິການໃຫຍ່, ປະທານປະເທດຫວຽດນາມ ແລະພະບາດສົມເດັດພະບໍລົມມະນຽດ Norodom Sihamoni ພະມະຫາກະສັດແຫ່ງລາຊະອານາຈັກກໍາປູເຈຍ, ພ້ອມກັບທຸງຊາດສອງປະເທດທີ່ປະດັບຢູ່ຕາມຖະໜົນສາຍຕ່າງໆທີ່ນະຄອນຫຼວງພະນົມເປັນ.	Ảnh: Tổng thư ký Việt Nam Nguyễn Phú Tấn Sang, Tổng thống Norodom Sihamoni, với những lá cờ hai con đường của Vương quốc Luông.
ພາບ: ຫງວຽນເຕິ໋ນຕວນ.	Ảnh: Nguyễn Khan Diah.
ພະມະຫາອາຈານ Bour Kry ຕ້ອນຮັບທ່ານ ຫງວຽນຝູຈ້ອງ ເລຂາທິການໃຫຍ່, ປະທານປະເທດຫວຽດນາມ ມາຢ້ຽມຢາມວັດ Svay Pope, ພະນົມເປັນ.	Tổng thống Trương Triang Trọng nhận Tổng Tổng thư ký Nguyễn Phú Trọng, Tổng thống thăm đền Svay Pope, Phnom Penh.
ພາບ: ຫງວຽນເຕິ໋ນຕວນ.	Ảnh: Nguyễn Khan Diah.
ທ່ານ ຫງວຽນຝູຈ້ອງ ເລຂາທິການໃຫຍ່, ປະທານປະເທດຫວຽດນາມ ຢ້ຽມຢາມ, ຖະຫວາຍທູບທຽນທີ່ວັດ Unalom, ພະນົມເປັນ.	Tổng thống Nguyễn Bí thư Tổng thư ký Nguyễn Phú Trọng thăm Kẹo, Đền thờ Đền Unalom, Phnom Penh.
ພາບ: ຫງວຽນເຕິ໋ນຕວນ.	Ảnh: Nguyễn Khan Diah.
ຄະນະຜູ້ແທນຂັ້ນສູງຫວຽດນາມ ຖະຫວາຍດອກໄມ້ທີ່ອະນຸສາວະລີມິດຕະພາບຫວຽດນາມ-ກໍາປູເຈຍ.	Việt Nam, phái đoàn tiếng Việt tại Việt Nam-Campuchia Moscience.
ພາບ: ຫງວຽນເຕິ໋ນຕວນ.	Ảnh: Nguyễn Khan Diah.
ໂດຍ: ໄຊຊະນະ.	Bởi: chiến thắng.
