ກປ.ອອນໄລ - ວັນທີ 3 ກຸມພາ 2020, ພັກກອມມູນິດຫວຽດນາມ ຄົບຮອບ 90 ປີ.	Ngày 03/02/2020, kỷ niệm 90 năm ngày thành lập Đảng Cộng sản Việt Nam.
ຕໍ່ຈາກນັ້ນແມ່ນການກຳເນີດຂອງ “ກອງທະຫານໂຄສະນາປົດປ່ອຍຊາດຫວຽນາມ (ປະຈຸບັນແມ່ນກອງທັບປະຊາຊົນຫວຽດນາມ) ແລະເມື່ອຍີ່ປຸນ ຍອມຈຳນົນກຳລັງສຳພັນທະມິດ, ກາລະໂອກາດປົດປ່ອຍຊາດໄດ້ມາຮອດແລ້ວ, ພັກເຮົາຕົກລົງປຸກລະດົມທົ່ວປວງຊົນລຸກຮືຂຶ້ນໃນທົ່ວປະເທດການປະຕິວັດເດືອນ ສິງຫາ 1945 ສໍາເລັດຜົນ.	Tiếp theo là sự thành lập “Quân giải phóng dân tộc Việt Nam (nay là Quân đội nhân dân Việt Nam)) và khi Nhật đầu hàng Đồng minh, thời cơ giải phóng dân tộc đã đến, Đảng ta nhất trí động viên cả nước làm Cách mạng Tháng Tám năm 1945 .
ວັນທີ 2 ກັນຍາ 1945, ປະທານ ໂຮ່ຈີມິນ ໄດ້ກ່າວຖະແຫຼງການປະກາດເອກະລາດສະຖາປະນາປະເທດ ສາທາລະນະລັດ ປະຊາທິປະໄຕ ຫວຽດນາມ - ລັດກຳມະກອນ-ຊາວນາທໍາອິດຢູ່ອາຊີຕາເວັນອອກສ່ຽງໃຕ້, ນໍາປະເທດເຮົາກ້າວເຂົ້າສູ່ໜຶ່ງສັກກະຫຼາດໃໝ່-ສັກກະຫຼາດເອກະລາດແຫ່ງຊາດທີ່ຕິດພັນກັບລັດທິສັງຄົມນິຍົມ.	Ngày 2-9-1945, Chủ tịch Hồ Chí Minh ra bản Tuyên ngôn độc lập cho nước Việt Nam Cộng hòa - nền dân chủ của giai cấp công nhân đầu tiên ở Đông Nam Á, đưa nước ta đi đầu lên chủ nghĩa xã hội và độc lập dân tộc.
ພາຍຫຼັງການຕໍ່ສູ້ຕ້ານພວກລ່າເມືອງຂຶ້ນຝະລັ່ງ ຮຸກຮານ, ພາກເໜືອຫວຽດນາມ ໄດ້ຮັບການປົດປ່ອຍຢ່າງສົມບູນ, ປະຕິບັດໄລຍະຂ້າມຜ່ານຂຶ້ນສູ່ລັດທິສັງຄົມນິຍົມ, ແຕ່ວ່າພໍ່ແມ່ປະຊາຊົນພາກໃຕ້ຍັງຕົກຢູ່ໃນການປົກຄອງຂອງລະບອບອາເມລິກາ-ຢ້ຽມ.	Sau cuộc chiến đấu chống giặc Pháp xâm lược, miền Bắc nước ta hoàn toàn giải phóng, đang trong thời kỳ quá độ lên chủ nghĩa xã hội, nhưng nhân dân miền Nam vẫn nằm dưới ách thống trị của chế độ giặc Mỹ.
ບົນພື້ນຖານໄຈແຍກສະພາບການທັງພາຍໃນ ແລະໂລກ, ມະຕິກອງປະຊຸມສູນກາງພັກ ຄັ້ງທີ 15-ຊຸດທີ II (ເປີດກວ້າງ) ໄດ້ວາງອອກໜ້າທີ່ລວມຂອງການປະຕິວັດຫວຽດນາມ ແມ່ນ: “ເພີ່ມທະວີຄວາມສາມັກຄີໃນທົ່ວປະຊາຊົນ, ເດັດດ່ຽວຕໍ່ສູ້ເພື່ອຮັກສາສັນຕິພາບ;	Trên cơ sở tách bạch bối cảnh trong nước và thế giới, Nghị quyết lần thứ 15 Ban Chấp hành Trung ương Đảng khóa II (Mở) đề ra mục tiêu tổng quát của cách mạng Việt Nam là: “Tăng cường đoàn kết toàn dân, kiên quyết đấu tranh vì hòa bình;
ປະຕິບັດການໂຮມປະເທດຊາດເປັນເອກະພາບບົນພື້ນຖານເອກະລາດ ແລະປະຊາທິປະໄຕ, ປະຕິບັດສໍາເລັດໜ້າທີ່ການປະຕິວັດຊາດປະຊາທິປະໄຕ ປະຊາຊົນໃນທົ່ວປະເທດ;	Đoàn kết dân tộc trên cơ sở độc lập, dân chủ, hoàn thành thắng lợi nhiệm vụ của cách mạng dân tộc dân chủ nhân dân trong cả nước;
ອອກແຮງໃນການປັບປຸງພາກເໜືອ ແລະນໍາພາກເໜືອກ້າວສູ່ສັງຄົມນິຍົມ;	Ra sức cải tạo khu vực và đưa khu vực đi lên chủ nghĩa xã hội;
ກໍ່ສ້າງປະເທດຫວຽດນາມ ສັນຕິພາບ, ເອກະພາບ, ເອກະລາດ, ປະຊາທິປະໄຕ ແລະຮັ່ງມີເຂັ້ມແຂງ;	Xây dựng một nước Việt Nam hòa bình, thống nhất, độc lập, dân chủ và thịnh vượng;
ຕັ້ງໜ້າປະກອບສ່ວນປົກປັກຮັກສາສັນຕິພາບຢູ່ອາຊີຕາເວັນອອກສ່ຽງໃຕ້ ແລະໂລກ.	Góp phần gìn giữ hòa bình ở Đông Nam Á và thế giới.
ພາຍໃຕ້ແສງສະຫວ່າງມະຕິ 15, ເມື່ອອາເມລິກາ ນໍາທະຫານເຂົ້າຮຸກຮານຢູ່ພາກໃຕ້, ດໍາເນີນສົງຄາມພາກສ່ວນບຸກໂຈມຕີທຳລາຍບັນດາເຂດທີ່ໝັ້ນປະຕິວັດພາກໃຕ້, ພັກເຮົາຕົກລົງສ້າງຕັ້ງ “ແນວໂຮມຊາດປົດປ່ອຍພາກໃຕ້ , ສ້າງບາດລ້ຽວປະຫວັດສາດກ່ຽວກັບການເມືອງ, ການທະຫານ, ການທູດບົນສະໜາມຮົບພາກໃຕ້.	Dưới ánh sáng của Nghị quyết 15, khi Mỹ xâm lược miền Nam và tiến hành chiến tranh phá hoại vùng cách mạng miền Nam, Đảng ta đã nhất trí thành lập “Mặt trận Dân tộc Giải phóng miền Nam, một bước ngoặt lịch sử về chính trị, quân sự và ngoại giao. trên chiến trường miền nam. "
ດ້ວຍແນວຄິດຊີ້ນໍາຍຸດທະສາດ, ດ້ວຍການບຸກໂຈມຕີຂະໜາດໃຫຍ່ ແລະລຸກຮືຂຶ້ນລະດູບານໃໝ່ປີ 1975 ເຊິ່ງສຸດຍອດແມ່ນບັ້ນຮົບປະຫວັດສາດໂຮ່ຈີມິນ, ສິ້ນສຸດການການຕໍ່ສູ້ຕ້ານອາເມລິກາ ກູ້ຊາດຢ່າງມີໄຊ, ປົດປ່ອຍພາກໃຕ້ຢ່າງສົມບຸນ, ທ້ອນໂຮມປະເທດຊາດເປັນເອກະພາບ.	Với định hướng chiến lược, với cuộc tổng tiến công và nổi dậy mùa Xuân 1975, đỉnh cao là trận đánh lịch sử của Hồ Chí Minh, kết thúc thắng lợi cuộc kháng chiến chống Mỹ, cứu nước, giải phóng hoàn toàn miền Nam, thống nhất đất nước. .
ພາຍຫຼັງເມື່ອພາກໃຕ້ໄດ້ຮັບການປົດປ່ອຍຢ່າງສົມບຸນ, ທ້ອນໂຮມປະເທດຊາດເປັນເອກະພາບ, ປະຊາຊົນເຮົາກ້າວເຂົ້າສູ່ໄລຍະໃໝ່-ທົ່ວປະເທດຂ້າມຜ່ານສຶ້ນສູ່ສັງຄົມນິຍົມ, ເຖິງວ່າພົບປະກັບຄວາມຫຍຸງຍາກລໍາບາກນາໆປະການ, ແຕ່ພາຍໃຕ້ການຊີ້ນໍາ, ນໍາພາຂອງພັກ, ການປະຕິວັດຫວຽດນາມ ໄດ້ບັນລຸບັນດາຜົນງານສໍາຄັນ: ຕີເອົາຊະນະທຸກການສົງຄາມຢູ່ຊາຍແດນທາງທິດຕາເວັນຕົກສ່ຽງໃຕ້ ແລະຊາຍແດນພາກເໜືອ;	Sau khi giải phóng hoàn toàn miền Nam, thống nhất đất nước, nhân dân ta bước vào thời kỳ quá độ - đi lên con đường xã hội chủ nghĩa, mặc dù có muôn vàn khó khăn gian khổ, nhưng dưới sự dẫn dắt của Đảng, cách mạng Việt Nam đã giành được những thắng lợi to lớn ở miền Nam.
ເຮັດຫຼ້ອນພັນທະສາກົນ, ປົກປັກຮັກສາປະເທດຊາດໄວ້ຢ່າງໝັ້ນຄົງເຂັ້ມແຂງ;	Thực hiện nghĩa vụ quốc tế, bảo vệ an toàn quốc gia;
ແກ້ໄຂຜົນຮ້າຍຢ້ອນຫຼັງຈາກ ສົງຄາມ, ຟື້ນຟູ ແລະພັດທະນາເສດຖະກິດ.	Khắc phục hậu quả chiến tranh, khôi phục và phát triển kinh tế.
ຕໍ່ຈາກການໄຊຊະນະຂອງໂຄງການການເມືອງກໍ່ສ້າງປະເທດຊາດ ໄລຍະປ່ຽນແປງໃໝ່ໂດຍກອງປະຊຸມໃຫຍ່ທົ່ວປະເທດຄັ້ງທີ VI ຂອງພັກ ໄດ້ວາງອອກ, ບັນດາມະຕິກອງປະຊຸມໃຫຍ່ພັກຄັ້ງທີ VII, VIII, IX, XI, XII ອີກຄັ້ງໜຶ່ງໄດ້ຢັ້ງຢືນວ່າ: “ໄຊຊະນະຂອງການປ່ຽນແປງໃໝ່, ດຳເນີນການຫັນເປັນອຸດສາຫະກໍາ, ທັນສະໄໝ ແລະເຊື່ອມໂຍງເຂົ້າກັບສາກົນ, ສືບຕໍ່ນໍາປະເທດຂ້າມຜ່ານຂຶ້ນສູ່ສັງຄົມນິຍົມເທື່ອລະກ້າວດ້ວຍຄວາມຮັບຮູ້ ແລະຈິນຕະນາການໃໝ່ທີ່ຖືກຕ້ອງ, ສອດຄ່ອງກັບພຶດຕິກຳຕົວຈິງຂອງຫວຽດນາມ...	Sau thắng lợi của thành phố xây dựng đất nước vượt qua Đại hội toàn quốc lần thứ VI, các Nghị quyết Đại hội Đảng bộ thành phố lần thứ VII, VIII, IX, XI, XII một lần nữa khẳng định “có chuyển biến mới có thắng lợi”. công nghiệp, hiện đại hóa và hội nhập quốc tế, tiếp tục đưa đất nước đi dần lên chủ nghĩa xã hội bằng nhận thức và trí tưởng tượng phù hợp với hành vi của người Việt Nam hiện thực ...
ປະເທດເຮົາໄດ້ອອກຈາກສະພາບການປະເທດທີ່ທຸກຍາກ, ດ້ອຍພັດທະນາ, ພວມຍູ້ແຮງການຫັນເປັນອຸດສາຫະກໍາ, ທັນສະໄໝ, ມີການພົວພັນກັບສາກົນທີ່ກວ້າງຂວາງ, ມີຖານະບົດບາດນັບມື້ນັບສໍາຄັນໃນພາກພື້ນ ແລະໂລກ.	Nước ta thoát khỏi tình trạng một nước nghèo, kém phát triển, đang đẩy mạnh công nghiệp hóa, hiện đại hóa, có quan hệ quốc tế rộng rãi, ngày càng có vai trò quan trọng trong khu vực và trên thế giới.
ໂດຍ: ເກື່ອງດັ້ງ.	By: Cuong Dang.
