ກປ.ອອນໄລ - ປີ 2019 ສິ້ນສຸດລົງດ້ວຍຜົນງານຕ່າງໆຂອງປະເທດ.	Miễn phí - kết thúc 2019 với công việc của đất nước.
ດ້ວຍລະດັບການເປີດກວ້າງເສດຖະກິດນັ້ນ, ບັນດາຜົນກະທົບທີ່ຫຍໍ້ທໍ້ຂອງພື້ນຖານເສດຖະກິດໃນໂລກຕະຫຼອດຮອດເສດຖະກິດຢູ່ພາຍໃນປະເທດແມ່ນມີຄວາມວ່ອງໄວ ແລະແຮງກວ່າ.	Với mức độ kinh tế mở, thế giới của nền tảng kinh tế toàn cầu trong cả nước đang ở trong một đất nước.
ຄຽງຂ້າງນັ້ນ, ວິວັດການສ້າງໂຄງປະກອບເສດຖະກິດຄືນໃໝ່ຕິດພັນກັບການປ່ຽນແປງໃໝ່ຮູບແບບການເຕີບໂຕບັນລຸໄດ້ໝາກຜົນຕັ້ງໜ້າໄດ້ປະກອບສ່ວນປັບປຸງຄຸນນະພາບການເຕີບໂຕ.	Về phía, cơ cấu kinh tế mang tính cách mạng có liên quan đến sự thay đổi hình thành chuyển đổi, góp phần phát triển chất lượng tăng trưởng.
ລາຍລະອຽດ, ເລື່ອງສ້າງໂຄງປະກອບຂະແໜງການ, ຂົງເຂດຄືນໃໝ່ເພື່ອບັນລຸໄດ້ໝາກຜົນເປັນໜ້າຊື່ນຊົມ, ການສົ່ງອອກຜະລິດຕະພັນກະເສດ, ເຄື່ອງປ່າຂອງດົງ, ສິນໃນນໍ້າແມ່ນກຳລັງຫຼັກແຫຼ່ງໃນການພັດທະນາ, ປະກົດອອກການບໍລິການໃໝ່ຫຼາຍຮູບແບບ, ທັນສະໄໝ, ຊຸກຍູ້ການຫັນປ່ຽນໂຄງປະກອບພື້ນຖານເສດຖະກິດຕາມທິດຫຼຸດຜ່ອນຜະລິດຕະພັນກະເສດ, ເຄື່ອງປ່າຂອງດົງ ແລະສິນໃນນໍ້າ, ເພີ່ມອຸດສາຫະກໍາ, ກໍ່ສ້າງ ແລະບໍລິການ;	Chi tiết, ngành, khu vực giảm, xuất khẩu nông nghiệp, cấp nước và dịch vụ, xây dựng và dịch vụ;
ຄ່ອຍໆຫຼຸດຜ່ອນການເຕີບໂຕທີ່ອີງໃສ່ການຂຸດຄົ້ນແຮ່ທາດ ແລະການເຕີບໂຕຂອງສິນເຊື່ອ;	Từ từ giảm tăng trưởng dựa trên mỏ khoáng sản và tăng trưởng tăng trưởng;
ການປະກອບສ່ວນຂອງສະມັດຕະພາບທີ່ເປັນປັດໄຈສັງລວມ (TFP) ໃນແຕ່ລະປີແມ່ນຫຼາຍກວ່າ 40%, ສູງກວ່າໄລຍະກ່ອນນີ້ (33,58%), ເລື່ອນກາຍຄາດໝາຍທີ່ວາງອອກ (30-35%);	Đóng góp xây dựng là một yếu tố kết luận (TFP) hàng năm là hơn 40%, giảm 33,58% so với dự kiến (30 - 35%);
ສະມັດຕະພາບແຮງງານສະເລ່ຍໃນໄລຍະ 2016-2019 ບັນລຸ 5,8%/ປີເລື່ອນກາຍຄາດໝາຍ 5 ປີແມ່ນ 5,5%/ປີ.	Lao động trung bình của năm 2016-2019 đạt 5,8% / floobox trong hơn 5 năm kỳ vọng là 5,5% / năm.
ປະຕິບັດສໍາເລັດກົນໄກເສດຖະກິດຕະຫຼາດກໍານົດທິດສັງຄົມນິຍົມຢ່າງຄົບຖ້ວນ, ຄົບຊຸດ	Hoàn thành cơ chế kinh tế thị trường xác định hoàn chỉnh, chủ nghĩa xã hội hoàn chỉnh
ນັກຂ່າວ: ກະຊວງແຜນການ ແລະການລົງທຶນ ພວມຊ່ວຍອະນຸກໍາມະການເສດຖະກິດ-ສັງຄົມກອງປະຊຸມໃຫຍ່ ຄັ້ງທີ XIII ຂອງພັກ ກໍ່ສ້າງຍຸດທະສາດພັດທະນາເສດຖະກິດ-ສັງຄົມ ໃນປີ 2021-2030, ແຜນການພັດທະນາເສດຖະກິດ-ສັງຄົມໃນປີ 2021-2025 ຢ່າງຮີບດ່ວນ.	Nhà báo: Bộ Kế hoạch và Hỗ trợ đầu tư của Đại hội kinh tế xã hội năm 2021-2030 kế hoạch phát triển kinh tế khẩn cấp.
ສະນັ້ນ, ອັນໃດເປັນໜ້າເອົາໃຈໃສ່ໃນຍຸດທະສາດ ແລະແຜນການນີ້, ຂໍຮຽນທ່ານລັດຖະມົນຕີ?	Vì vậy, đó là sự chú ý của chiến lược và kế hoạch này, yêu cầu một bộ trưởng?
ທ່ານລັດຖະມົນຕີ ຫງວຽນຈີ໊ຢຸງ: ກອງປະຊຸມໃຫຍ່ຄັ້ງທີ XIII ຂອງພັກແມ່ນເຫດການການເມືອງທີ່ສໍາຄັນທີ່ສຸດ, ໃນນັ້ນມີການພິຈາລະນາ ແລະຮັບຮອງເອົາຍຸດທະສາດພັດທະນາເສດຖະກິດ-ສັງຄົມ ໄລຍະ 10 ປີ 2021-2030 ແລະແຜນການພັດທະນາເສດຖະກິດ-ສັງຄົມ ໄລຍະ 5 ປີ 2021-2025 ໃຫ້ອາຍຸການຈະມາເຖິງ.	Bên của Bộ trưởng Nguyễn X XIII Đảng là Hội nghị chính trị quan trọng nhất, 2021-2025 cho cơ quan sắp tới của 2021-2025 đến tuổi tới.
ພາຍຫຼັງເກືອບ 35 ປີປ່ຽນແປງໃໝ່, ປະເທດເຮົາບັນລຸໄດ້ບັນດາຜົນງານຢ່າງໃຫຍ່ຫຼວງ, ມີຄວາມໝາຍປະຫວັດສາດ.	Sau gần 35 năm thay đổi, chúng tôi đã đạt được những thành tựu lớn, với lịch sử.
ທ່ວງທ່າ ແລະກໍາລັງແຮງຂອງປະເທດເຮົາມີຄວາມເຂັ້ມແຂງກວ່າ, ເຮັດໃຫ້ພວກເຮົາມີບັນດາຈິນຕະນາການແຂງກ້າກວ່າ, ແຂງແຮງກວ່າ ເພື່ອນໍາປະເທດພັດທະນາຢ່າງວ່ອງໄວ ແລະຍືນຍົງ.	Sức mạnh và sức mạnh của đất nước chúng ta mạnh hơn, mạnh mẽ hơn để mang lại đất nước phát triển nhanh chóng và duy trì.
ໃນສະພາບການສາກົນໃໝ່, ດ້ວຍການແກ່ງແຍ້ງຢ່າງຂ້ຽວຂາດກວ່າ, ທ່າອ່ຽງມີການຜັນແປຢ່າງວ່ອງໄວຂອງວິທະຍາສາດ ແລະເຕັກໂນໂລຢີ, ຂອງການປະຕິວັດອຸດສາຫະກໍາ 4.0 ຮຽກຮ້ອງຕ້ອງມີຈິນຕະນາການໃໝ່, ວິໄສທັດໃໝ່ ແລະນີ້ແມ່ນບັນດາຈຸດທີ່ເປັນໜ້າເອົາໃຈໃສ່ໃນຍຸດທະສາດ, ແຜນການພັດທະນາເສດຖະກິດ-ສັງຄົມໃນຄັ້ງນີ້.	Trong bối cảnh quốc tế mới, với sự xuất phát, xu hướng kết án khoa học và công nghệ, kế hoạch kinh tế xã hội.
ນັກຂ່າວ: ຂໍສະເໜີໃຫ້ທ່ານລັດຖະມົນຕີ ເວົ້າແຈ້ງກວ່າກ່ຽວກັບຈິນຕະນາການໃໝ່, ວິໄສທັດໃໝ່ທີ່ໄດ້ເຕື້ອງເຖິງໃນຍຸດທະສາດ, ແຜນການພັດທະນາເສດຖະກິດ-ສັງຄົມໃນ ໄລຍະ 2021-2030?	Nhà báo: Tại sao đề xuất với Bộ trưởng có giá trị mới, tầm nhìn mới chiếm một kế hoạch kinh tế xã hội hơn 2021-2030?
ທ່ານລັດຖະມົນຕີ ຫງວຽນຈີ໊ຢຸງ: ກ່ອນອື່ນໝົດ, ຕ້ອງເອົາການ “ພັດທະນາຢ່າງວ່ອງໄວ ແລະຍາວນານໂດຍອີງໃສ່ວິທະຍາຍາດ, ເຕັກໂນໂລຢີ ແລະການປ່ຽນແປງໃໝ່ປະດິດຄິດສ້າງ;	Bộ trưởng Nguyễn S. Nguyễn X X Thư ký, đầu tiên, phát triển "phát triển nhanh chóng, công nghệ, công nghệ và công nghệ;
ຕ້ອງເປັນເຈົ້າການ, ຕັ້ງໜ້າເຂົ້າຮ່ວມການປະຕິວັດອຸດສາຫະກໍາ 4.0 ຕິດພັນກັບວິວັດການເຊື່ອມໂຍງເຂົ້າກັບສາກົນ, ປ່ຽນແປງໃໝ່ຈິນຕະນາການ ແລະການກະທໍາ, ກໍາແໜ້ນຢ່າງທັນການ, ຍາດແຍ່ງບັນດາກາລະໂອກາດເພື່ອພັດທະນາຢ່າງມີປະສິດທິຜົນ.	Phải được sở hữu, tham gia cuộc cách mạng công nghiệp 4.0 liên quan đến hội nhập quốc tế, và các hành vi, tương đương, hiệu quả.
ຕໍ່ໄປແມ່ນ “ເອົາການປັບປຸງ, ຍົກສູງຄຸນນະພາບກົນໄກເສດຖະກິດຕະຫຼາດກໍານົດທິດສັງຄົມນິຍົມໃຫ້ສຳເລັດ, ຄົບຖ້ວນ, ຄົບຊຸດ, ທັນສະໄໝ, ປະສິດທິຜົນແມ່ນເງື່ອນໄຂຕັດສິນຊີ້ຂາດເພື່ອຊຸກຍູ້ການພັດທະນາປະເທດຊາດ.	Tiếp theo là "cải tiến, nâng cao thị trường chất lượng thị trường cơ khí, hoàn chỉnh, toàn diện, phân hủy, phân trộn, toàn diện, hiệu quả, hiệu quả, hiệu quả, toàn diện.
ແລະພິເສດ, ຕາມຂ້າພະເຈົ້າແລ້ວແມ່ນເຮັດແນວໃດເພື່ອປຸກລຸກຄວາມມຸ່ງມາດປາດຖະໜາຂອງຊາດ, ເຈດຈໍານົງສ້າງຄວາມເຂັ້ມແຂງດ້ວຍຕົນເອງ ແລະເສີມຂະຫຍາຍກໍາລັງແຮງຂອງກຸ່ມກ້ອນມະຫາສາມັກຄີທົ່ວປວງຊົນທັງຊາດເພື່ອສ້າງສາປະເທດຊາດໃຫ້ມີການພັດທະນາ ແລະຈະເລີນຮຸ່ງເຮືອງ;	Và đặc biệt, như tôi đã làm để thoát khỏi quốc tịch của đất nước và tăng trưởng;
ເສີມຂະຫຍາຍປັດໄຈມະນຸດຈົນສຸດຄວາມສາມາດ, ຖືເອົາຄຸນຄ່າວັດທະນະທໍາ, ຊາວຫວຽດນາມ ເປັນພື້ນຖານ, ເປັນກໍາລັງແຮງພາຍໃນສໍາຄັນເພື່ອຮັບປະກັນການພັດທະນາແບບຍືນຍົງ.	Tăng cường các yếu tố con người tốt nhất, mang theo giá trị văn hóa, tiếng Việt là lực lượng cơ bản, thông tin để đảm bảo sự phát triển bền vững.
ພ້ອມທັງ, ກໍ່ສ້າງພື້ນຖານເສດຖະກິດເອກະລາດ, ເປັນເຈົ້າຕົນເອງຕ້ອງອີງໃສ່ພື້ນຖານການນໍາໃຊ້ເຕັກໂນໂລຢີຢ່າງຄ່ອງແຄ້ວໄປຄຽງຄູ່ກັບການເປັນເຈົ້າການ, ຕັ້ງໜ້າເຊື່ອມໂຍງ, ຫັນຕະຫຼາດເປັນຫຼາຍຮູບຫຼາຍແບບ, ຍົກສູງຄວາມທົນທານ ແລະຄວາມສາມາດໃນການຮັບມືຂອງພື້ນຖານເສດຖະກິດ.	Ngoài ra, xây dựng một nền kinh tế độc lập, vì chính mình phải dựa vào cơ sở công nghệ, đua xe về mặt nền kinh tế.
ຂໍຂອບໃຈທ່ານລັດຖະມົນຕີ !	Cảm ơn bạn!
ໂດຍ: ເກື່ອງດັ້ງ.	Bởi: Trương.
