ກປ.ອອນໄລ - ບຸນເຕັດປີມະເມຍ 1930, ກ່ອນນີ້ 88 ປີ, ພັກກອມມູນິດຫວຽດນາມ ໄດ້ຮັບການສ້າງຕັ້ງ.	Đảng Cộng sản Việt Nam được thành lập cách đây 88 năm vào năm 1930.
ປຶກສາຫາລືການຕໍ່ຕ້ານ, ລຸງໂຮ່ ເວົ້າວ່າ: “ການຕໍ່ຕ້ານຢ່າງຍືດເຍື້ອຍາວນານຕ້ອງລະດົມກໍາລັງໃຈຢ່າງຍືດເຍື້ອຍາວນານ.	Bàn về kháng chiến, Bác Hồ căn dặn: “Kháng chiến lâu dài cần động lực lâu dài.
ລະດົມກໍາລັງໃຈດ້ານຈິດໃຈ ແລະວັດຖຸ, ລະດົມກໍາລັງແຮງຂອງມະນຸດ, ຂອງຊັບສິນ ເພື່ອປະຕິບັດການທົ່ວປວງຊົນຕໍ່ຕ້ານ, ຕໍ່ຕ້ານຢ່າງຮອບດ້ານ, ທັງຕໍ່ຕ້ານທັງສ້າງສາປະເທດຊາດ, ເຮັດໃຫ້ທ່າທີ ແລະກໍາລັງແຮງຂອງເຮົາມີການຫັນປ່ຽນ.	Huy động tinh thần, vật chất, huy động sức người, sức của để thực hiện cuộc kháng chiến toàn dân, vừa kháng chiến, vừa kiến quốc, thay đổi thế và lực của ta.
ວັນທີ 24 ກຸມພາ 1948 (ກົງກັບວັນທີ 15 ເດືອນຈຽງປີຊວດຕາມຈັນທະປະຕິທິນ), ລຸງໂຮ່ ໄດ້ຂຽນຈົດໝາຍຍ້ອງຍໍທະຫານເຂດ 2 ແລະເຂດ 3 ທຸກໆຄົນກ່ຽວກັບຜົນງານລົບລ້າງໄພກືກໜັງສື.	Ngày 24 tháng 2 năm 1948 (ứng với ngày 15 tháng Giêng âm lịch), Bác Hồ viết thư khen toàn thể cán bộ chiến sĩ Khu 2 và Khu 3 đã có công xóa nạn mù chữ.
ກ່ອນ ແລະຫຼັງບຸນເຕັດປີຊວດ 1948, ປະທານ ໂຮ່ຈິມິນ ໄດ້ມີບັນດາລັດຖະນະໂຍບາຍຊີ້ຂາດໃຫຍ່ ເພື່ອຍູ້ແຮງການຕໍ່ຕ້ານ.	Trước và sau Tết năm 1948, Chủ tịch Hồ Chí Minh đã ban hành một loạt chủ trương quyết liệt để tăng cường kháng chiến.
ສົ່ງຈົດໝາຍເຖິງກອງປະຊຸມສືບຂ່າວທົ່ວປະເທດ, ລຸງໂຮ່ ໄດ້ຊົມເຊີຍບັນດາຄວາມມານະພະຍາຍາມ, ຂໍ້ລິເລີ່ມຂອງບັນດາພະນັກງານ ແລະຕັກເຕືອນວ່າ: “ແຕ່ເຖິງຮອດລຸ່ມ, ທຸກຄົນຕ້ອງມານະພະຍາຍາມຄົ້ນຄວ້າ, ຮໍ່າຮຽນ ...	Phát biểu tại hội nghị tình báo toàn quốc, Bác Hồ khen ngợi những nỗ lực, sáng kiến của đội ngũ cán bộ và dặn dò: “Từ dưới lên, ai cũng phải ra sức nghiên cứu, học tập ...
ລຸງໂຮ່ ຍາມໃດກໍ່ຕັກເຕືອນພະນັກງານການນໍາວ່າຕ້ອງຖືເປັນສຳຄັນໃນການນຳໃຊ້ຜູ້ທີ່ເກັ່ງກ້າສາມາດ, ເຄົາລົບ ແລະຮໍ່າຮຽນນຳປະຊາຊົນ, ຮັບຟັງຄວາມຄິດເຫັນຜູ້ຊົງຄຸນວຸດທິ, ປັນຍາຊົນ.	Bác Hồ luôn nhắc nhở đội ngũ cán bộ lãnh đạo phải trọng dụng người tài, tôn trọng giáo dục nhân dân, lắng nghe ý kiến của những người có trình độ, trí thức.
ລະດູບານໃໝ່ປີຊວດ 1948 ກໍ່ຄືທຸກໆລະດູບານໃໝ່ອື່ນ, ກ່ອນໜ້ານັ້ນກໍ່ຄືພາຍຫຼັງ, ລຸງໂຮ່ ຍາມໃດກໍ່ໝົດຈິດໝົດໃຈເບິ່ງແຍງດູແລໃຫ້ປະເທດ, ໃຫ້ຊາດ, ໃຫ້ພັກ, ໃຫ້ວຽກງານ ແລະໃຫ້ແຕ່ ລະຄົນ.	Mùa xuân năm 1948, cũng như bao mùa xuân khác, trước sau như một, Bác luôn chăm lo cho Tổ quốc, cho dân tộc, cho đảng, cho dân, vì dân.
ລະດູບານໃໝ່ປີຈໍ 2018 ປີນີ້, ກໍ່ຄືທຸກໆລະດູບານໃໝ່ອື່ນນັບແຕ່ເມື່ອລຸງໂຮ່ ໄດ້ເຖິງແກ່ມໍລະນະກຳ, ພວກເຮົາຍັງຮູ້ສຶກວ່າຍາມໃດກໍ່ມີລຸງໂຮ່ ຢູ່ຄຽງຂ້າງຕົນເອງ.	Hội Xuân 2018 Năm nay, cũng như bao mùa xuân khác kể từ ngày Bác mất, chúng ta vẫn cảm nhận được Bác luôn ở bên cạnh chúng ta.
ປາດຖະໜາວ່າ ລະດູບານໃໝ່ປີນີ້ຈະເລີ່ມຕົ້ນປີໃໝ່ທີ່ເຕັມໄປດ້ວຍຄວາມຈະເລີນເຕີບໂຕ.	Mong rằng mùa xuân này sẽ khởi đầu cho một năm mới đầy trưởng thành.
ພາລະກິດກໍ່ສ້າງ, ປັບປຸງພັກ, ກໍ່ສ້າງກົງຈັກນໍາພາ ແລະບໍລິຫານຢ່າງກະທັດຮັດ, ມີປະສິດທິຜົນຈະຍາດໄດ້ໝາກຜົນໃໝ່ຫຼາຍຢ່າງຕື່ມອີກ;	Nhiệm vụ xây dựng, chỉnh đốn Đảng, xây dựng bộ máy lãnh đạo, điều hành tinh gọn, hiệu quả sẽ mang lại nhiều lợi ích hơn nữa;
ການຮໍ່າຮຽນ ແລະປະຕິບັດຕາມແນວຄິດ, ຄຸນສົມບັດ, ແບບແຜນການດໍາລົງຊີວິດຂອງປະທານ ໂຮ່ຈິມິນ ສືບຕໍ່ໄດ້ຍູ້ແຮງ, ເພື່ອໃຫ້ປະເທດຊາດນັບມື້ນັບໄດ້ຮັບການພັດທະນາ, ເກີດດອກອອກຜົນ.	Việc học tập và làm theo tư tưởng, phẩm chất, phong cách sống của Chủ tịch Hồ Chí Minh tiếp tục được đẩy mạnh, để dân tộc ngày một phát triển, hưng thịnh.
ແປໂດຍ: ຫງວຽນກຸກ.	Dịch bởi: Nguyen Kuk.
