ກປ.ອອນໄລ - ເນື່ອງໃນໂອກາດສະເຫຼີມສະຫຼອງ 70 ປີແຫ່ງວັນປະທານ ໂຮ່ຈິມິນ ອອກຄຳຮຽກຮ້ອງແຂ່ງຂັນຮັກຊາດ;	Nhân kỷ niệm 70 năm Ngày Chủ tịch Hồ Chí Minh ra Lời kêu gọi thi đua ái quốc;
ໂດຍໄດ້ຮັບການປຸກລະດົມຫ່າງຈາກນີ້ 10 ປີ (ເດືອນເມສາ 2008), ໄລ່ມາຮອດປະຈຸບັນໄດ້ມີບົດຂຽນເກືອບ 4.000 ບົດຂອງບັນດານັກປະພັນໃນທົ່ວປະເທດ.	Ra mắt cách đây 10 năm (4/2008), đến nay Lài đã là tác giả của gần 4.000 bài báo của các tác giả trên khắp mọi miền đất nước.
ບັນດາບົດປະພັນເຫຼົ່ານີ້ໄດ້ສ້າງການໂຄສະນາ, ປຸກລະດົມ, ໃຫ້ກຳລັງໃຈທົ່ວປວງຊົນຢ່າງແຮງຕໍ່ການຮໍ່າຮຽນ ແລະປະຕິບັດຕາມປະທານ ໂຮ່ຈິມິນ.	Những bài báo này đã truyền cảm hứng, sáng tạo và động viên mọi người học tập và làm theo Chủ tịch Hồ Chí Minh.
ທ່ານນາງ ຕ່ອງທິຟ໋ອງ ແລະທ່ານ ຫວໍວັນເຖືອງ ມອບລາງວັນທີໜຶ່ງໃຫ້ນັກປະພັນ ດັ້ງທູຮ່າ.	Cô Tòng Thị Phóng và thầy Võ Văn Thưởng trao giải Nhất cho em Đặng Thu Hà.
ພາບ: ຈ້ອງຫ໊າຍ.	Ảnh: Trọng Hải
ທ່ານນາງ ຕ່ອງທິຟ໋ອງ ແລະທ່ານ ຫວໍວັນເຖືອງ ພ້ອມກັບຜູ້ແທນ ແລະຄະນະຈັດຕັ້ງມອບຊໍ່ດອກໄມ້ອວຍພອນບັນດານັກປະພັນ, ບຸກຄົນທີ່ດີເດັ່ນ, ໝູ່ຄະນະຕັ້ງໜ້າຮ່ວມເດີນທາງພ້ອມການເສັງຂຽນ.	Bà Tòng Thị Phóng và ông Võ Văn Thưởng cùng các vị đại biểu và ban tổ chức đã tặng bó hoa cho các tác giả, cá nhân xuất sắc, tiểu ban đi thi viết.
ພາບ: ຈ້ອງຫ໊າຍ.	Ảnh: Trọng Hải
ທ່ານພົນຈັດຕະວາ ຟ້າມວັນຮ໋ວນ ຢືນຢັນວ່າ: “ພວກຂ້າພະເຈົ້າກໍານົດການຈັດຕັ້ງເສັງຂຽນທັງແມ່ນຄວາມເປັນກຽດ, ທັງແມ່ນຄວາມຮັບຜິດຊອບຂອງບັນດາຜູ້ເປັນນັກຂ່າວຢູ່ໜັງສືພິມກອງທັບປະຊາຊົນຫວຽດນາມ.	Chuẩn tướng Phạm Văn Huấn khẳng định: “Việc đưa tin về Báo Quân đội nhân dân Việt Nam là vinh dự và trách nhiệm đối với những người làm báo.
ເນື່ອງໃນໂອກາດນີ້, ທ່ານພົນຈັດຕະວາ ຟ້າມວັນຮ໋ວນ ຝາກຄໍາຂອບໃຈຢ່າງເລິກເຊິ່ງເຖິງບັນດາການນໍາພັກ, ລັດ, ກອງທັບ, ບັນດາອົງການທີ່ກ່ຽວຂ້ອງ, ຫົວໜ່ວຍຮ່ວມເດີນທາງ ແລະເພື່ອນຜູ້ອ່ານທີ່ໄດ້ແບ່ງປັນ, ຊ່ວຍເຫຼືອໜັງສືພິມກອງທັບປະຊາຊົນຫວຽດນາມ ຈັດຕັ້ງການເສັງຂຽນ “ບັນດາແບບຢ່າງທີ່ລຽບງ່າຍແຕ່ສູງສົ່ງ ປະສົບຜົນສໍາເລັດຢ່າງຈົບງາມໃນຕະຫຼອດ 10 ປີຜ່ານມາ.	Nhân dịp này, Chuẩn tướng Phạm Văn Huấn bày tỏ lòng biết ơn sâu sắc tới các đồng chí lãnh đạo Đảng, Nhà nước, Quân đội, các tổ chức hữu quan, những người bạn đồng hành và bạn đọc đã chia sẻ, giúp đỡ tổ chức Kỳ thi viết “Đơn giản nhưng đạt hiệu quả cao” của Quân đội nhân dân Việt Nam.
ທ່ານ ຫວໍວັນເຖືອງ ມອບໃບຍ້ອງຍໍຂອງຄະນະໂຄສະນາສຶກສາສູນກາງໃຫ້ໜັງສືພິມກອງທັບປະຊາຊົນຫວຽດນາມ.	Đồng chí Võ Văn Thưởng trao tặng Thư khen của Hội đồng Giáo dục Trung ương cho Báo Quân đội nhân dân Việt Nam.
ພາບ: ຈ້ອງຫ໊າຍ.	Ảnh: Trọng Hải
ພິທີສະເຫຼີມສະຫຼອງ 10 ປີແຫ່ງວັນປຸກລະດົມການເສັງຂຽນ “ບັນດາແບບຢ່າງທີ່ລຽບງ່າຍແຕ່ສູງສົ່ງ ;	Kỷ niệm 10 năm Ngày thi viết “Những tấm gương giản dị mà cao cả”;
ສະຫຼຸບມອບລາງວັນການເສັງຂຽນຄັ້ງທີ 9 (2017-2018) ແລະລາຍການພົບປະແລກປ່ຽນສິລະປະ “ຈົດຈຳຄຳສັ່ງສອນຂອງລຸງໂຮ່ ສິ້ນສຸດ, ໄດ້ສ້າງຄວາມຕື້ນຕັນໃຈແບບປະສົມປະສານໃຫ້ບັນດາຜູ້ເຂົ້າຮ່ວມການເສັງຂຽນ ແລະຜູ້ຊົມໃນທົ່ວປະເທດ.	Kết thúc Giải thưởng cuộc thi viết lần thứ IX (2017-2018) và chương trình giao lưu nghệ thuật “Nhớ lời Bác Hồ dạy” đã tạo nên nhiều xúc động cho những người tham gia cuộc thi viết và khán giả cả nước.
ແປໂດຍ: ເຈິ່ນຮວ່ຽນ.	Người dịch: Trần Huyền
