ກປ.ອອນໄລ - ໄດ້ຍິນຮ້ອຍເທື່ອບໍ່ທໍ່ເຫັນເທື່ອໜຶ່ງ!	KP Online - Đã nghe cả trăm lần, chưa thấy một lần!
ແຕ່ຖ້າຍິງບໍ່ຖືກເປົ້າໝາຍຈະເປັນຈັ່ງໃດ;	Nhưng điều gì sẽ xảy ra nếu cô gái không phải là mục tiêu;
ລົດແລ່ນໄວໂພດຍ້ອນຫ້າມບໍ່ໄດ້, ແລ່ນໃຕ້ແສງແດດອົບເອົ້າຕ້ອງເຮັດແນວໃດ...	Xe chạy nhanh quá không dừng được, chạy trời nắng thì làm sao ...
ນັ້ນບໍ່ພຽງແຕ່ແມ່ນຄວາມດັນຕໍ່ກັບບັນດາສະມາຊິກໃນໝູ່ປືນເທົ່ານັ້ນຫາກຍັງແມ່ນຄວາມເປັນຫ່ວງເປັນໃຍຂອງການນຳກົມອົບຮົມ ແລະກອງບັນຊາການປືນໃຫຍ່ອີກດ້ວຍ.	Đó không chỉ là áp lực đối với các thành viên trong pháo binh mà còn là nỗi lo của Cục Huấn luyện, Bộ Tư lệnh Pháo binh.
ເປັນຫຍັງລູກປືນຍິງບໍ່ຖືກເປົ້າໝາຍ, ເປັນຫຍັງຫ້າມລົດບໍ່ໄດ້..	Tại sao đạn không trúng mục tiêu, tại sao không thể dừng xe ..
ຂໍ້ຂ້ອງໃຈທັງໝົດນັ້ນ, ທ່ານພົນຈັດຕະວາ ຖ໊າຍວັນມິງ (ຫົວໜ້າກົມອົບຮົມ), ພົນຈັດຕະວາ ຫງວຽນຮົ່ງຟອງ (ຜູ້ບັນຊາການເຫຼົ່າຮົບປືນໃຫຍ່), ພັນເອກພິເສດ ກ່ຽວວັນມິງ...	Với tất cả những trăn trở đó, Trung tướng Thái Văn Minh (Cục trưởng Cục Huấn luyện), Trung tướng Nguyễn Hồng Phương (Chỉ huy trưởng Tiểu đoàn Pháo binh), Đại tá Đặc công Văn Minh ...
ໄດ້ແລກປ່ຽນຢ່າງລະອຽດລະອໍ, ຊອກຫາສາຍເຫດ, ເພື່ອຈາກນັ້ນມີການຊີ້ນຳຢ່າງຊັດເຈນ, ມີພິບໄຫວ.	Được trao đổi cặn kẽ, tìm nguyên nhân, từ đó có hướng dẫn rõ ràng, dí dỏm.
ການເອົາໃຈໃສ່, ລະດົມກຳລັງໃຈຢ່າງທັນການຂອງການນຳກົມອົບຮົມ, ກອງບັນຊາການປືນໃຫຍ່ ແລະການນຳບັນດາກົມກອງ (ກອງພົນໃຫຍ່ 1, ກອງພົນໃຫຍ່ 2), ເຊິ່ງແມ່ນກົມກອງທີ່ມີບັນດາສະມາຊິກເຂົ້າຮ່ວມບັນດາໝູ່ປືນຝຶກແອບໃນຄັ້ງນີ້ນັ້ນ, ຍັງຊ່ວຍໃຫ້ອ້າຍນ້ອງອຸ່ນອ່ຽນໃຈຫ້າວຫັນຝຶກແອບ.	Sự quan tâm, động viên kịp thời của Cục Huấn luyện, Bộ Tư lệnh Pháo binh và chỉ huy các sư đoàn (Lữ đoàn 1, Lữ đoàn 2) là lữ đoàn có thành viên tham gia các đợt huấn luyện cũng góp phần giữ ấm cho anh em.
ຮັບຮູ້ຈິດໃຈຝຶກແອບຂອງທີມປືນໃຫຍ່, ທ່ານພົນຈັດຕະວາ ຖ໊າຍວັນມິງ ຍ້ອງຍໍຊົມເຊີຍຄວາມມານະພະຍາຍາມແກ້ໄຂທຸກຄວາມຫຍຸ້ງຍາກໃນການຝຶກແອບ, ບໍ່ຄຶດງໍ້ເຖິງວັນ ແລະຄືນຂອງບັນດາສະມາຊິກໃນທີມ.	Ghi nhận tinh thần huấn luyện của bộ đội pháo binh, Chuẩn tướng Thầy Văn Minh biểu dương sự nỗ lực của toàn đội đã giải quyết mọi khó khăn trong huấn luyện, không quản ngại ngày đêm của các thành viên trong đội.
ຖອດຖອນບົດຮຽນໃນວຽກງານຝຶກແອບຂອງທີມ, ທ່ານພົນຈັດຕະວາ ຫງວຽນຮົ່ງຟອງ ເນັ້ນໜັກວ່າ ບັນດາສະມາຊິກໃນທີມຕ້ອງຮັບຮູ້ຢ່າງຈະແຈ້ງວ່າ ການເຂົ້າຮ່ວມ Army Games ບໍ່ພຽງແຕ່ຄວາມເປັນກຽດເທົ່ານັ້ນຫາກຍັງແມ່ນຄວາມຮັບຜິດຊອບຂອງສະມາຊິກແຕ່ລະຄົນອີກດ້ວຍ.	Rút kinh nghiệm trong quá trình huấn luyện của đội, Trung tướng Nguyễn Hồng Phong nhấn mạnh, các thành viên trong đội phải nhận rõ tham gia Hội thao Quân đội không chỉ là vinh dự mà còn là trách nhiệm của mỗi thành viên.
ເພາະສະນັ້ນ, ບັນດາສະມາຊິກໃນທີມຕ້ອງເອົາໃຈໃສ່ຫັດກາຍ, ຝຶກຝົນທັກສະໃຫ້ຊຳນິຊຳນານກວ່າອີກ ເພື່ອບັນລຸໝາກຜົນດີທີ່ສຸດໃນການແຂ່ງຂັນຈະມາເຖິງ.	Vì vậy, các thành viên trong đội cần chú ý rèn luyện sức khỏe, rèn luyện các kỹ năng để ngày càng tốt hơn nhằm đạt kết quả tốt nhất trong cuộc thi sắp tới.
ບັນດາຄວາມຫຍຸ້ງຍາກລຳບາກຂອງອ້າຍນ້ອງທີມປືນໃຫຍ່ໃນໄລຍະຜ່ານມາ, ຂ້າພະເຈົ້າຄິດວ່າການນຳກົມອົບຮົມ, ການນຳກອງບັນຊາການປືນໃຫຍ່ລ້ວນແຕ່ຮັບຮູ້ໄດ້.	Những khó khăn của anh em Pháo binh trong thời gian qua, tôi nghĩ lãnh đạo Cục Huấn luyện, lãnh đạo Bộ Tư lệnh Pháo binh ai cũng nhận thấy được.
ແຕ່ໃນເງື່ອນໄຂແກ້ໄຂຄວາມຫຍຸ້ງຍາກທັງດ້ານອັດຕະວິໄສ ກໍ່ຄືພາວະວິໄສຍັງບໍທັນອຳນວຍຄວາມສະດວກນັ້ນ, ຄວາມໄວ້ວາງໃຈ, ຄວາມມຸ່ງຫວັງທັງໝົດລ້ວນແຕ່ຂຶ້ນກັບບັນດານັກຮົບ.	Nhưng trên phương diện giải quyết những khó khăn vừa ích kỷ vừa khó lường, niềm tin và nguyện vọng đều phụ thuộc vào các chiến binh.
ຄວາມເປັນກຽດ, ຄວາມຮັບຜິດຊອບ, ຄວາມເອກອ້າງທະນົງໃຈກໍ່ຂຶ້ນກັບພວກອ້າຍເອງ.	Danh dự, trách nhiệm, niềm tự hào, tất cả đều phụ thuộc vào anh em.
ເມື່ອມີຄວາມຫຍຸ້ງຍາກຕ້ອງອາໄສພວກອ້າຍ, ບັນດານັກຮົບ “ຕີນທອງ, ບ່າເຫຼັກ.	Khi khó khăn, chúng ta phải dựa vào các anh chị em “chân vàng, vai sắt.
