ກປ.ອອນໄລ - ເດືອນຕຸລາ 1931, ທ່ານ Paul Reynaud ລັດຖະມົນຕີກະຊວງຫົວເມືອງຂຶ້ນຝລັ່ງ ໄປຢ້ຽມຢາມອິນດູຈີນ.	KR Online - Tháng 10-1931, Bộ trưởng Ngoại giao Pháp Paul Reynaud đến thăm Đông Dương.
ດ້ວຍແຫຼ່ງຊັບພະຍາກອນທີ່ອຸດົມສົມບູນ, ຄື: ສັງກະສີ, ຊືນ, ເຫຼັກ, ຖ່ານຫີນ...	Với nguồn tài nguyên phong phú như: kẽm, chì, sắt, than ...
ພ້ອມກັບທີ່ດິນຈະເລີນພັນເພື່ອປູກຕົ້ນໄມ້ຊະນິດຕ່າງໆທີ່ມີຄຸນຄ່າສູງ, ຄື: ຢາສູບ, ຢາງພາລາ, ສະນັ້ນໄດ້ດຶງດູດການລົງທຶນຈາກບັນດາບໍລິສັດຝລັ່ງ ເຂົ້າຫວຽດນາມ.	Cùng với đất đai màu mỡ để trồng các loại cây có giá trị kinh tế cao như thuốc lá, cao su, các công ty của Pháp đã thu hút đầu tư vào Việt Nam.
ການຫັນເປັນອຸດສາຫະກໍາໄດ້ຮັບການຍູ້ແຮງເພື່ອສ້າງກໍາໄລໃຫ້ໄດ້ຫຼາຍທີ່ສຸດຈາກການຂູດຮີດປະຊາຊົນ.	Công nghiệp hoá đã được thúc đẩy để tối đa hoá lợi nhuận từ việc bóc lột nhân dân.
ຍ້ອນມີຄວາມຂັດແຍ້ງກັນລະຫວ່າງປະຊາຊົນຫວຽດນາມ ກັບລ່າເມືອງຂຶ້ນຝລັ່ງ, ລະຫວ່າງຊົນຊັ້ນກໍາມະກອນ, ຊາວນາກັບເຈົ້າທີ່ດິນສັກດີນາຢ່າງຮ້າຍແຮງ ສະນັ້ນການປະຕິວັດຈຶ່ງກາຍເປັນເສັ້ນທາງທີ່ຈໍາເປັນ.	Do mâu thuẫn gay gắt giữa nhân dân Việt Nam với giặc Pháp, giữa giai cấp công nhân, nông dân và địa chủ, nên cách mạng trở thành con đường cần thiết.
ວັນທີ 3 ກຸມພາ 1930, ພັກກອມມູນິດຫວຽດນາມ ໄດ້ຮັບການສ້າງຕັ້ງຂຶ້ນ.	Ngày 3/2/1930, Đảng Cộng sản Việt Nam được thành lập.
ຫຼັງຈາກນັ້ນ, ພັກໄດ້ນໍາພາຂະບວນການປະຕິວັດ, ດ້ວຍຈຸດສູງສຸດແມ່ນຂະບວນການໂຊວຽດ-ເງະຕິງ.	Sau đó, đảng này đã lãnh đạo quá trình cách mạng, mà đỉnh cao là phong trào Xô Viết.
ກໍ່ໃນປີນັ້ນ, ການລຸກຮື້ຂຶ້ນຂອງປະຊາຊົນຫວຽດນາມ ໄດ້ເກີດຂຶ້ນຢ່າງຕໍ່ເນື່ອງໃນທົ່ວປະເທດ.	Trong năm đó, cuộc khởi nghĩa của nhân dân Việt Nam tiếp tục diễn ra trong cả nước.
ເພື່ອຮັກສາກົງຈັກອໍານາດການປົກຄອງ, ລ່າເມືອງຂຶ້ນຝລັ່ງໄດ້ກໍ່ການຮ້າຍ, ປາບປາມຜູ້ຮັກຊາດຢ່າງໂຫດຮ້າຍສາມານ.	Để giữ vững chính quyền của nhà cầm quyền, giặc Pháp đã tiến hành khủng bố, đàn áp dã man những người yêu nước.
ທ່ານນາງ Viollis ໄດ້ສໍາຜັດກັບຜູ້ຮັກຊາດເຫຼົ່ານີ້ຢູ່ໃນຄຸກຝລັ່ງ, ພົ້ນເດັ່ນແມ່ນວິລະຊົນ ຫຼີຕຶຈ້ອງ.	Bà Viollis xúc động kể về những người yêu nước này trong một nhà tù của Pháp, trong đó đáng chú ý nhất là anh hùng Lý Tu Jong.
ເຖິງວ່າປະລາໄຊໃນເບື້ອງຕົ້ນແຕ່ຂະບວນການຕໍ່ສູ້ໃນທົ່ວປະເທດໄດ້ສ້າງບົດຮຽນອັນລ້ໍາຄ່າຫຼາຍຢ່າງ, ເປັນການພິສູດໃຫ້ເຫັນແນວທາງນໍາພາຂອງພັກກອມມູນິດຫວຽດນາມ ທີ່ສອດຄ່ອງກັບຄວາມມຸ່ງມາດປາດຖະໜາຂອງປະຊາຊົນ.	Mặc dù có những bước đầu khó khăn, nhưng cuộc đấu tranh trong cả nước đã dạy cho nhiều bài học kinh nghiệm quý báu, minh chứng cho đường lối lãnh đạo của Đảng Cộng sản Việt Nam phù hợp với nguyện vọng của nhân dân.
ປີ 1935, ທ່ານນາງ Viollis ຂຽນປຶ້ມທີ່ມີຊື່ວ່າ “SOS Indochina (ແປວ່າ: ອິນດູຈີນ ຮຽກຮ້ອງຂໍຄວາມຊ່ວຍເຫຼືອ) ເຊິ່ງໄດ້ພັນລະນາຢ່າງລະອຽດ, ເປັນຈິງກ່ຽວກັບການກົດຂີ່ຂົ່ມເຫັງຂອງລ່າເມືອງຂຶ້ນຝລັ່ງ ຕໍ່ກັບປະຊາຊົນໃນຫົວເມືອງຂຶ້ນ.	Năm 1935, Viollis đã viết một cuốn sách, SOS Đông Dương, trong đó mô tả chi tiết sự áp bức của thực dân Pháp đối với người dân thành thị.
ອໍານາດການປົກຄອງຝລັ່ງ ໄດ້ປະຕິເສດເນື້ອໃນຂອງປຶ້ມເຫຼັ້ມນີ້, ຖືວ່າທ່ານນາງໄດ້ເສກສັນປັ້ນແຕ່ງ, ໃສ່ຮ້າຍປ້າຍສີປະເທດ.	Các nhà chức trách Pháp đã phủ nhận cuốn sách, nói rằng đây là một sự bịa đặt và vu khống.
ແຕ່ວ່າປຶ້ມເຫຼັ້ມນີ້ຍັງໄດ້ພິມຈໍາໜ່າຍຄືນໃໝ່ເມື່ອປີ 1949, ປະກອບສ່ວນຊ່ວຍໃຫ້ຫາງສຽງຝລັ່ງ ຄັດຄ້ານສົງຄາມ ແລະລັດທິລ່າເມືອງຂຶ້ນຢ່າງແຮງກວ່າ.	Tuy nhiên, cuốn sách đã được tái bản vào năm 1949, góp phần vào việc người Pháp phản đối chiến tranh và chủ nghĩa thực dân.
ປີ 1945, ຊາວຫວຽດນາມ ຍາດໄດ້ເອກະລາດ.	Năm 1945, Việt Nam giành được độc lập.
ພັກກອມມູນິດຫວຽດນາມ ໄດ້ຜ່ານໄລຍະ 15 ປີແຫ່ງການຕໍ່ສູ້, ຖອດຖອນບົດຮຽນ, ກໍາແໜ້ນກາລະໂອກາດ ແລະໂດຍສະເພາະແມ່ນມີການສະໜັບສະໜູນຂອງປະຊາຊົນ, ແອກປົກຄອງຂອງລ່່າເມືອງຂຶ້ນຝລັ່ງເກືອບ 100 ປີໄດ້ຢຸດຕິລົງພາຍຫຼັງການປະຕິວັດເດືອນສິງຫາປະສົບຜົນສໍາເລັດ, ສ້າງຕັ້ງປະເທດສາທາລະນະລັດປະຊາທິປະໄຕຫວຽດນາມ ຂຶ້ນ.	Đảng Cộng sản Việt Nam đã trải qua 15 năm đấu tranh, rút ra những bài học kinh nghiệm, nắm bắt thời cơ, và đặc biệt là được nhân dân đồng tình ủng hộ.
ແຕ່ວົງການກໍາອໍານາດຢູ່ປາຣີ ຍັງບໍ່ທັນຍອມປ່ອຍໜຶ່ງໃນບັນດາຫົວເມືອງຂຶ້ນທີ່ສົມບູນທີ່ສຸດຂອງຕົນ, ຍັງກັບມາຮຸກຮານຄືນໃໝ່ໃນປີ 1946 ແລະແລ້ວກໍ່ຖືກປະລາໄຊໃນປີ 1954.	Tuy nhiên, các nhà chức trách ở Paris đã từ chối từ bỏ quyền kiểm soát một trong những quận đông dân nhất của họ, đã trả đũa vào năm 1946 và bị đánh bại vào năm 1954.
ໂດຍ: ດັ້ງເກື່ອງ.	By: Dang Cuong.
