ພົນເອກ ໂງຊວນລິກ ກ່າວຄໍາເຫັນທີ່ພິທີສະເຫຼີມສະຫຼອງ.	Đại tướng Ngô Xuân Lik phát biểu tại buổi lễ.
ໃນນັ້ນ, ການຮ່ວມມືດ້ານປ້ອງກັນຊາດໃນຊຸມປີຜ່ານມາໄດ້ນໍາມາເຊິ່ງປະສິດທິຜົນຢ່າງແທດຈິງ, ກາຍເປັນໜຶ່ງໃນບັນດາເສົາຄໍ້າສໍາຄັນໃນການພົວພັນສອງປະເທດ.	Về mặt này, hợp tác quốc phòng trong thời gian qua đã mang lại hiệu quả thực chất, trở thành một trong những trụ cột của quan hệ hai nước.
ບັນດາຜູ້ແທນສອງປະເທດ ເຂົ້າຮ່ວມພິທີສະເຫຼີມສະຫຼອງ ຖ່າຍຮູບລວມ.	Đại biểu hai nước tham dự lễ kỷ niệm chụp ảnh chung.
ພາບ: ທູຈາງ.	Ảnh: Thu Zhang
ທ່ານພົນເອກ ໂງຊວນລິກ ເນັ້ນໜັກວ່າ: “ພັກ, ລັດ, ກອງທັບ ແລະປະຊາຊົນຫວຽດນາມ ຈະສືບຕໍ່ເຮັດຈົນສຸດຄວາມສາມາດຂອງຕົນເພື່ອເພີ່ມພູນຄູນສ້າງສາຍພົວພັນສາມັກຄີແບບພິເສດ, ຄວາມສະໜິດຕິດພັນສັດຊື່ບໍລິສຸດທີ່ມີມາແຕ່ດົນນານລະຫວ່າງສອງຊາດ;	Đại tướng Ngô Xuân Lik nhấn mạnh: “Đảng, Nhà nước, quân đội và nhân dân Việt Nam sẽ tiếp tục làm hết sức mình để nâng cao tình đoàn kết hữu nghị đặc biệt, bền chặt, lâu đời giữa hai dân tộc;
ສືບຕໍ່ຊຸກຍູ້ຢ່າງແຮງ, ຍົກສູງປະສິດທິຜົນການຮ່ວມມືກັບພັກ, ລັດ, ກອງທັບ ແລະປະຊາຊົນລາວບັນດາເຜົ່າໃນບັນດາຂົງເຂດ: ເສດຖະກິດ, ການເມືອງ, ວັດທະນະທໍາ, ການສຶກສາ, ສາທາລະນະສຸກ, ວິທະຍາສາດ-ເຕັກນິກ, ການປ້ອງກັນຊາດ-ປ້ອງກັນຄວາມສະຫງົບ, ການທູດ, ໃນນັ້ນເອົາໃຈໃສ່ນໍາການພົວພັນດ້ານ ການເມືອງເຂົ້າສູ່ລວງເລິກ, ກໍານົດທິດສັງລວມໃຫ້ແກ່ການພົວພັນຮ່ວມມືລະຫວ່າງສອງປະເທດ.	Tiếp tục phát huy mạnh mẽ hiệu quả hợp tác với Đảng, Nhà nước, Quân đội và nhân dân các dân tộc Lào anh em trên các lĩnh vực: kinh tế, chính trị, văn hóa, giáo dục, y tế, khoa học và công nghệ, quốc phòng, an ninh, ngoại giao, ngày càng sâu rộng. quan hệ chính trị.
ລາຍການສະແດງສິລະປະທີ່ພິທີສະເຫຼີມສະຫຼອງ.	Các tác phẩm nghệ thuật trưng bày tại buổi lễ.
ພາບ: ທູຈາງ.	Ảnh: Thu Zhang
ເຂົ້າຮ່ວມພິທີຍັງມີທ່ານພົນຈັດຕະວາ ຮວິ່ງດັກເຮືອງ, ປະທານສະມາຄົມມູນເຊື້ອທະຫານອາສາສະໝັກ ແລະຊ່ຽວຊານຫວຽດນາມຢູ່ລາວ ຮູ້ສຶກຕື້ນຕັນໃຈເມື່ອຫວນຄືນຊຸມປີເດືອນທີ່ຄຽງບ່າຄຽງໄຫຼ່ພ້ອມກັບບັນດາກໍາລັງປະກອບອາວຸດ ແລະປະຊາຊົນລາວບັນດາເຜົ່າຕໍ່ສູ້ຢ່າງອົງອາດກ້າຫານ.	Dự lễ còn có sự tham dự của Chuẩn tướng Hoàng Đắk Hương, Chủ tịch Hội Bộ đội tình nguyện Việt Nam và các chuyên gia Việt Nam tại Lào.
ທ່ານພົນຈັດຕະວາ ຮວິ່ງດັກເຮືອງ ຢັ້ງຢືນວ່າ: “ນໍ້າໃຈສາມັກຄີ ລະຫວ່າງສອງຊາດຫວຽດນາມ - ລາວ ໄດ້ກາຍເປັນກົດເກນ.	Trung tướng Hồ Vinh Đắk Hương khẳng định: “Tinh thần đoàn kết giữa hai dân tộc đã thành quy luật.
ອາລົມຈິດອັນເລິກເຊິ່ງລະຫວ່າງສອງຊາດແມ່ນເກີດມາຈາກສ່ວນເລິກຂອງໝາກຫົວໃຈ.	Tình cảm sâu nặng giữa hai dân tộc được nảy sinh từ sâu thẳm trái tim.
ຂ້າພະເຈົ້າຈະມານະພະຍາຍາມຈົນສຸດຄວາມສາມາດຂອງຕົນເພື່ອສືບຕໍ່ເພີ່ມພູນຄູນສ້າງໃຫ້ແກ່ສາຍພົວພັນອ້າຍນ້ອງລະຫວ່າງສອງຊາດໃຫ້ນັບມື້ນັບຂຽວສົດງົດງາມ, ໝັ້ນຄົງທະນົງແກ່ນຈົນຊົ່ວກາລະນານ.	Tôi sẽ nỗ lực hết sức mình để tiếp tục làm phong phú thêm mối quan hệ anh em giữa hai dân tộc để ngày càng xanh, đẹp hơn, bền chặt lâu dài về sau.
