ກປ.ອອນໄລ - ທ່ານນາຍົກລັດຖະມົນຕີ ຫງວຽນຊວນຟຸກ ຫາກໍ່ມີການຕອບສໍາພາດຕໍ່ໜັງສືພິມການເງິນ (Financail Times) ແລະໜັງສືພິມເສດຖະກິດ Nikkei.	Thủ tướng Nguyễn Xuân Phúc vừa trả lời phỏng vấn của Financial Times và Nikkei.
ນັກຂ່າວ: ຂໍຮຽນທ່ານນາຍົກລັດຖະມົນຕີ, ບັນດາຄວາມມານະພະຍາຍາມເຊື່ອມໂຍງຂອງຫວຽດນາມ ໃນໄລຍະຜ່ານມາສົ່ງຜົນກະທົບຄືແນວໃດເຖິງແງ່ຫວັງເຕີບໂຕເສດຖະກິດຂອງຫວຽດນາມ ໃນໄລຍະຍາວ?	Nhà báo: Thưa Thủ tướng, những nỗ lực hội nhập của Việt Nam trong thời gian qua đã ảnh hưởng như thế nào đến triển vọng tăng trưởng kinh tế dài hạn của Việt Nam?
ຫວຽດນາມ ສາມາດຮັກສາການເຕີບໂຕເສດຖະກິດໃນລະດັບ 7% ຫຼື ລື່ນລະດັບນີ້ໄດ້ ຫຼືບໍ່?	Liệu Việt Nam có thể duy trì tốc độ tăng trưởng kinh tế ở mức 7% hoặc vượt mức này?
ທ່ານນາຍົກລັດຖະມົນຕີ ຫງວຽນຊວນຟຸກ: ຫວຽດນາມ ໄດ້ເຊັນສັນຍາການຄ້າເສລີ 12 ສະບັບ, ສັນຍາໃໝ່ຫຼ້າສຸດແມ່ນສັນຍາ CPTPP.	Thủ tướng Nguyễn Xuân Phúc: Việt Nam đã ký 12 hiệp định thương mại tự do, trong đó hiệp định thương mại tự do gần đây nhất là CPTPP.
ພວກຂ້າພະເຈົ້າຫວັງວ່າສັນຍານີ້ພ້ອມກັບສັນຍາ RCEP ໃນອະນາຄົດຈະແມ່ນກໍາລັງໜູນສໍາຄັນເພື່ອໃຫ້ເສດຖະກິດຫວຽດນາມ ເຕີບໂຕດີກວ່າໃນໄລຍະຈະມາເຖິງ.	Chúng tôi hy vọng rằng hiệp định này cùng với các hiệp định RCEP trong tương lai sẽ là động lực quan trọng thúc đẩy tăng trưởng kinh tế của Việt Nam trong tương lai.
ໃນເງື່ອນໄຂອາກາດບໍ່ອຳນວຍຄວາມສະດວກ ຄື ປີ 2017, ເສດຖະກິດຫວຽດນາມ ຍັງຄົງເຕີບໂຕໃນລະດັບ 6,81% ແລະໃນໄຕມາດທີ I ປີນີ້, ເສດຖະກິດຫວຽດນາມ ໄດ້ເຕີບໂຕຢູ່ໃນລະດັບ 7,41%.	Bất chấp điều kiện thời tiết không thuận lợi trong năm 2017, kinh tế Việt Nam tiếp tục tăng trưởng ở mức 6,81% và trong quý đầu tiên của năm nay, kinh tế Việt Nam tăng trưởng ở mức 7,41%.
ຫວັງວ່າ ປີ ນີ້ລະດັບເຕີບໂຕຈະສູງກວ່າເມື່ອທຽບໃສ່ປີກາຍ ແລະສາມາດຮັກສາລະດັບນີ້ເຖິງປີ 2020 ຢ່າງຕໍ່ເນື່ອງ.	Hy vọng rằng tốc độ tăng trưởng năm nay sẽ cao hơn năm ngoái và có thể duy trì đến năm 2020.
ພ້ອມກັນນັ້ນ, ພວກຂ້າພະເຈົ້າ ຈະສືບຕໍ່ສ້າງສະພາບແວດລ້ອມດໍາເນີນທຸລະກິດສະດວກທີ່ສຸດ, ເຊື່ອມໂຍງເຂົ້າກັບສາກົນຢ່າງເລິກເຊິ່ງກວ້າງຂວາງ, ປ່ຽນແປງໃໝ່, ມີຫົວຄິດປະດິດສ້າງ, ໂດຍສະເພາະແມ່ນສໍາລັບເສດຖະກິດເອກະຊົນເພື່ອໃຫ້ເສດຖະກິດຫວຽດນາມ ມີເງື່ອນໄຂເຕີບໂຕ ແລະແກ້ໄຂບັນຫາພັດທະນາໃຫ້ດີກວ່າອີກ.	Đồng thời tiếp tục tạo môi trường kinh doanh thuận lợi nhất, hội nhập sâu rộng với cộng đồng quốc tế, đổi mới, sáng tạo, nhất là đối với khu vực kinh tế tư nhân, để nền kinh tế Việt Nam ngày càng phát triển và giải quyết các vấn đề phát triển tốt hơn.
ການເຕີບໂຕໄດ້ດີ, ການແກ້ໄຂວຽກເຮັດງານທໍາ, ການເກັບລາຍຮັບງົບປະມານ, ການເພີ່ມລາຍຮັບສະເລ່ຍຕໍ່ຫົວຄົນ, ການຫັນປ່ຽນໂຄງປະກອບເສດຖະກິດ ແມ່ນບັນດາເນື້ອໃນໃຫຍ່ເຊິ່ງລັດຖະບານຫວຽດນາມ ພວມເອົາໃຈໃສ່.	Tăng trưởng tốt, tạo việc làm, thu ngân sách, tăng thu nhập bình quân đầu người, chuyển dịch cơ cấu kinh tế là những vấn đề lớn mà Chính phủ Việt Nam đang tập trung thực hiện.
ພິເສດ, ໃນຂົງເຂດກະສິກໍາ, ຊົນນະບົດ.	Đặc biệt, trong lĩnh vực nông nghiệp, nông thôn.
ນີ້ແມ່ນທິດເຊິ່ງພວກຂ້າພະເຈົ້າຈະຊີ້ນໍາເພື່ອໃຫ້ມີການພັດທະນາຢ່າງຮອບດ້ານ, ຮັບປະກັນໃຫ້ປະຊາຊົນໝົດທຸກຄົນລ້ວນແຕ່ໄດ້ຊົມໃຊ້ຜົນປະໂຫຍດຈາກການເຕີບໂຕຢູ່ຫວຽດນາມ.	Đây là định hướng mà chúng tôi sẽ định hướng để phát triển toàn diện, đảm bảo mọi người dân Việt Nam đều có thể thụ hưởng các lợi ích của tăng trưởng tại Việt Nam.
ນັກຂ່າວ: ຂໍທ່ານໃຫ້ຮູ້ພາກສ່ວນເອກະຊົນຢູ່ຫວຽດນາມ ສາມາດພັດທະນາໄວໄດ້ ຫຼືບໍ່?	PV: Xin ông cho biết khu vực kinh tế tư nhân ở Việt Nam có thể phát triển nhanh không?
ຫຼືພາກສ່ວນນີ້ຕ້ອງການມີກໍາລັງໜູນຕື່ມອີກ?	Hay bên này cần thêm lực lượng?
ຖ້າຫາກເປັນແນວນັ້ນ, ແຜນການຂອງຫວຽດນາມແມ່ນຫຍັງແດ່?	Nếu vậy, Việt Nam có những kế hoạch gì?
ທ່ານນາຍົກລັດຖະມົນຕີ ຫງວຽນຊວນຟຸກ: ເສດຖະກິດເອກະຊົນຢູ່ຫວຽດນາມ ແມ່ນກໍາລັງໜູນພັດທະນາສໍາຄັນຂອງປະເທດ.	Thủ tướng Nguyễn Xuân Phúc: Kinh tế tư nhân của Việt Nam là động lực then chốt của sự phát triển đất nước.
ພວກຂ້າພະເຈົ້າຈະຊຸກຍູ້ດ້ວຍລະບອບລະບຽບການ, ນະໂຍບາຍ, ສ້າງສະພາບແວດລ້ອມສະດວກທີ່ສຸດເພື່ອຮອດປີ 2020 ຈະມີກວ່າ 1 ລ້ານວິສາຫະກິດ ແລະປະກອບກວ່າ 50% GDP ໃຫ້ແກ່ຫວຽດນາມ.	Chúng tôi sẽ hỗ trợ các quy định, chính sách và tạo môi trường thuận lợi nhất để đến năm 2020 có hơn 1 triệu doanh nghiệp và đóng góp hơn 50% GDP cho Việt Nam.
ພວກຂ້າພະເຈົ້າຈະສ້າງເງື່ອນໄຂສະດວກໃຫ້ແກ່ເສດຖະກິດເອກະຊົນໝູນໃຊ້ວິທະຍາສາດ ແລະເຕັກໂນໂລຢີເພື່ອຍົກສູງສະມັດຕະພາບແຮງງານຂອງເສດຖະກິດເອກະຊົນ.	Chúng ta sẽ tạo điều kiện thuận lợi cho kinh tế tư nhân bằng cách ứng dụng khoa học công nghệ để tăng năng suất lao động của kinh tế tư nhân.
ພວກຂ້າພະເຈົ້າຫວັງວ່າໃນໄລຍະຈະມາເຖິງຈະຍົກຕົວເລກນີ້ໃຫ້ສູງກວ່າ 4-5% ເມື່ອທຽບໃສ່ປັດຈຸບັນ.	Chúng tôi hy vọng trong thời gian tới sẽ nâng con số này lên 4-5% so với hiện nay.
ນັກຂ່າວ: ຫວຽດນາມ ໄດ້ເຊັນສັນຍາຄູ່ຮ່ວມມືຮອບດ້ານ ແລະກ້າວໜ້າຂ້າມປາຊີຟິກ CPTPP, ແຕ່ສັນຍານີ້ພັດບໍ່ມີການເຂົ້າຮ່ວມຂອງອາເມລິກາ.	PV: Việt Nam đã ký Hiệp định Đối tác Toàn diện và Tiến bộ xuyên Thái Bình Dương (CPTPP), nhưng hiệp định này không có sự tham gia của Hoa Kỳ.
ເຮັດຈັ່ງໃດເພື່ອໃຫ້ຫວຽດນາມ ສາມາດຊົມໃຊ້ຜົນປະໂຫຍດຈາກສັນຍາ CPTPP ໄດ້.	Có thể làm gì để Việt Nam có thể đạt được những lợi ích từ CPTPP?
ຂໍທ່ານຕີລາຄາກ່ຽວກັບແງ່ຫວັງເມື່ອ ອາເມລິກາ ເຂົ້າຮ່ວມຂໍ້ຕົກລົງນີ້ ?	Ông có thể nhận xét về triển vọng của việc Hoa Kỳ tham gia hiệp định này?
ທ່ານນາຍົກລັດຖະມົນຕີ ຫງວຽນຊວນຟຸກ: ກ່ອນອື່ນໝົດ, ຍີ່ປຸ່ນ ແລະຫວຽດນາມ ມີບົດບາດສໍາຄັນໃນການຊຸກຍູ້ຖະແຫຼງການລັດຖະມົນຕີທີ່ກອງປະຊຸມສຸດຍອດ APEC ຢູ່ຫວຽດນາມ ຜ່ານມາ ແລະແກ້ໄຂບັນດາບັນຫາທີ່ວາງອອກເພື່ອເຊັນສັນຍາ CPTPP.	Thủ tướng Nguyễn Xuân Phúc: Trước hết, Nhật Bản và Việt Nam đóng vai trò quan trọng trong việc thúc đẩy Tuyên bố cấp Bộ trưởng tại Hội nghị Cấp cao APEC ở Việt Nam vừa qua và giải quyết các vấn đề để ký kết CPTPP.
ຢູ່ສັນຍາ CPTPP ມີ 11 ປະເທດ, ພວກເຮົາຮູ້ສຶກເສຍດາຍເມື່ອບໍ່ມີການເຂົ້າຮ່ວມຂອງ ອາເມລິກາ, ຖ້າຫາກວ່າມີ ອາເມລິກາ ຈະດີກວ່າ, ເພາະວ່າອາເມລິກາ ແມ່ນຕະຫຼາດໃຫຍ່, ເຖິງວ່າບໍ່ມີ ອາເມລິກາ, 11 ປະເທດທີ່ຍັງເຫຼືອຍັງຄົງລົງນາມ ແລະປະຕິບັດສັນຍານີ້.	Trong CPTPP có 11 nước, chúng tôi rất tiếc là không có sự tham gia của Hoa Kỳ, nếu có Hoa Kỳ thì càng tốt, vì Hoa Kỳ là thị trường lớn, dù không có Hoa Kỳ thì 11 nước còn lại vẫn ký và thực hiện thỏa thuận này.
ເລື່ອງ CPTPP ໄດ້ຮັບການລົງນາມຈະນໍາມາເຊິ່ງຜົນປະໂຫຍດໃຫ້ທັງ 11 ປະເທດ.	Việc ký kết CPTPP sẽ mang lại lợi ích cho cả 11 quốc gia.
ການເຕີບໂຕຂອງແຕ່ລະປະເທດຈາກສັນຍາ CPTPP ແມ່ນຄືແນວໃດຍັງຂຶ້ນກັບກໍາລັງແຮງພາຍໃນ, ການຈັດຕັ້ງດໍາເນີນທຸລະກິດຂອງພື້ນຖານເສດຖະກິດນັ້ນ.	Tăng trưởng của mỗi nước từ CPTPP như thế nào phụ thuộc vào nội lực, tổ chức kinh doanh của cơ sở kinh tế đó.
ຫວຽດນາມ ຈະເຮັດທຸກລະບຽບການພາຍໃນເພື່ອຮັບຮອງເອົາສັນຍາ CPTPP ໂດຍໄວ.	Việt Nam sẽ thực hiện mọi thỏa thuận nội bộ để phê chuẩn CPTPP trong thời gian sớm nhất.
ແປໂດຍ: ທູຈາງ.	Dịch bởi: Tu Zhang.
