ກປ.ອອນໄລ - ການເຕີບໂຕ GDP ບັນລຸໄດ້ 6,81% - ລະດັບເຕີບໂຕສູງສຸດໃນຊຸມປີຜ່ານມາ.	KPR Online - Tăng trưởng GDP đạt 6,81% - mức tăng trưởng cao nhất trong nhiều năm trở lại đây.
ເສດຖະກິດມະຫາພາກເປັນປົກກະຕິເຂັ້ມແຂງກວ່າອີກ, ສະພາບແວດລ້ອມລົງທຶນດໍາເນີນທຸລະກິດ, ກໍາລັງຄວາມສາມາດແກ່ງແຍ້ງ, ດັດຊະນີມີການປ່ຽນໃໝ່, ມີຫົວຄິດປະດິດສ້າງ, ມີການປັບປຸງຢ່າງເຫັນໄດ້ຊັດ....	Kinh tế vĩ mô bình thường mạnh lên, môi trường đầu tư kinh doanh, năng lực cạnh tranh, chỉ số thay đổi, có sự đổi mới, cải thiện rõ nét….
ທ່ານນາຍົກລັດຖະມົນຕີ ຫງວຽນຊວນຟຸກ ຖືວ່າ, ປີ 2018, ຫວຽດນາມ ຄວນໜູນໃຊ້ປະໂຫຍດທ່ວງທ່າພັດທະນາປີ 2017, ຊຸກຍູ້ໂຄງການພັດທະນາເສດຖະກິດ-ສັງຄົມ, ປະຕິຮູບເສດຖະກິດຢ່າງເລິກເຊິ່ງກວ້າງຂວາງ, ບັນລຸໄດ້ ແລະລື່ນກາຍບັນດາເປົ້າໝາຍສໍາຄັນໃນປີຕໍ່ໄປ ແລະທັງອາຍຸການ.	Thủ tướng Nguyễn Xuân Phúc tin tưởng, trong năm 2018, Việt Nam cần tận dụng tối đa các cơ hội phát triển của năm 2017, hỗ trợ các dự án phát triển kinh tế - xã hội, cải cách kinh tế sâu rộng, đạt và vượt các mục tiêu lớn của năm tiếp theo và sau này.
ບັນດາຜູ້ແທນເຂົ້າຮ່ວມກອງປະຊຸມ.	Các đại biểu tham dự cuộc họp.
ພາບ: ສໍານັກຂ່າວສານຫວຽດນາມ	Ảnh: Thông tấn xã Việt Nam
ອີງໃສ່ເປົ້າໝາຍ ແລະບັນດາດັດຊະນີພັດທະນາ-ເສດຖະກິດ ປີ 2018 ຕາມມະຕິຂອງສະພາແຫ່ງຊາດ, ໃນຮ່າງມະຕິເລກທີ 01, ລັດຖະບານໄດ້ວາງອອກບາງຄາດໝາຍຢ່າງລະອຽດໃນບັນດາຂະແໜງການ, ຂົງເຂດ ເພື່ອສູ້ຊົນປະຕິບັດຄືດັ່ງກ່າວ: GDP ເພີ່ມຂຶ້ນ 6,7% , ໃນນັ້ນ: ຂົງເຂດກະສິກໍາ, ປ່າໄມ້, ສິນໃນນໍ້າເພີ່ມຂຶ້ນ 3%;	Trên cơ sở các mục tiêu, chỉ tiêu phát triển kinh tế năm 2018 theo nghị quyết của Quốc hội, tại dự thảo nghị quyết số 01, Chính phủ đã đưa ra một số dự báo chi tiết về các lĩnh vực sau: GDP tăng 6,7%, trong đó nông, lâm, thủy sản tăng 3%;
ຂົງເຂດອຸດສາຫະກໍາ ແລະກໍ່ສ້າງເພີ່ມຂຶ້ນ 7,7%;	Khu vực công nghiệp và xây dựng tăng 7,7%;
....	....
ບັນດາຄາດໝາຍກ່ຽວກັບຄຸນນະພາບການເຕີບໂຕ, ລວມມີ: ອັດຕາສ່ວນເງິນລົງທຶນພາກເອກະຊົນໃນຍອດຈໍານວນການລົງທຶນທົ່ວສັງຄົມປະມານ 41%,...	Kỳ vọng về chất lượng tăng trưởng, bao gồm: Tỷ trọng đầu tư tư nhân trong tổng vốn đầu tư toàn xã hội khoảng 41%, ...
ທີ່ກອງປະຊຸມ, ບັນດາທ້ອງຖິ່ນ ແລະກະຊວງ, ຂະແໜງການໄດ້ສຸມໃສ່ປຶກສາຫາລື, ປະກອບຄໍາເຫັນເພື່ອສໍາເລັດຮ່າງມະຕິ, ຈາກນັ້ນເຫັນດີເປັນເອກະພາບ, ຮ່ວມແຮງຮ່ວມໃຈເປັນຈິດໜຶ່ງໃຈດຽວເພື່ອປະຕິບັດບັນດາເປົ້າໝາຍ, ໜ້າທີ່ທີ່ໄດ້ວາງອອກຢ່າງມີໄຊ.	Tại cuộc họp, các địa phương, bộ ngành đã tập trung thảo luận, cho ý kiến vào dự thảo nghị quyết, sau đó nhất trí cao, cùng nhau thực hiện các mục tiêu, mục tiêu đề ra.
ແປໂດຍ: ກວຽດເຕີມ.	Dịch bởi: Việt Tâm.
