ກປ.ອອນໄລ - ບັ້ນຮົບມະຫາໄຊ ຫງອກໂຮ່ຍ-ດົ໋ງດາ ໄດ້ຢັ້ງຢືນສິລະປະຍຸດການທະຫານຂອງກອງທະຫານ ໄຕເຊີນ.	KR Online - Trận đại chiến Ngọc Hồi - Đống Đa khẳng định võ công của Đạo quân Thái Sơn.
ລາຍການຟ້ອນມັງກອນ ແລະສິງໂຕ ຂໍ່ານັບຮັບຕ້ອນພິທີ.	Chương trình Múa Lân Sư Rồng chào mừng buổi lễ.
ພາບ: ຖຸຍຫງອກ.	Ảnh: Thùy Ngọc
ລາຍການຕີກ້ອງ ຂໍ່ານັບຮັບຕ້ອນພິທີ.	Các chương trình ngầm chào mừng buổi lễ.
ພາບ: ຖຸຍຫງອກ.	Ảnh: Thùy Ngọc
ພາຍຫຼັງພິທີແຫ່ວໍ, ການນໍາພັກ, ລັດ ຖະຫວາຍທູບທຽນຢູ່ອະນຸສາວະລີເຈົ້າຊີວິດ ກວາງຈູງ-ຫງວຽນເຫວ້.	Sau buổi lễ, đoàn lãnh đạo thành ủy đã dâng hương tại Tượng đài Quảng Trung-Nguyễn Huệ.
ພາບ: ຖຸຍຫງອກ.	Ảnh: Thùy Ngọc
ວາດພາບຮູບພາບເຈົ້າຊີວິດ ກວາງຈູງ ຢ່າງສະຫງ່າຜ່າເຜີຍດ້ວຍຄໍາເວົ້າທີ່ມີຊື່ສຽງ “ຕີເພື່ອຈົ່ງຜົມຍາວ, ຕີເພື່ອຈົ່ງແຂ້ວດໍາ.	Ông vẽ một bức tranh về hoàng đế Quảng Trung với câu nói nổi tiếng: “Đánh để có được tóc dài, đánh để có được răng đen.
ພາບ: ຖຸຍຫງອກ.	Ảnh: Thùy Ngọc
ບັ້ນຮົບມະຫາໄຊ ຫງອກໂຮ່ຍ-ດົ໋ງດາ ໄດ້ຢັ້ງຢືນສິລະປະຍຸດການທະຫານຂອງກອງທະຫານ ໄຕເຊີນ.	Trận Maha Ngọc Hồi-Đống Đa khẳng định võ công của Đạo quân Thái Sơn.
ດ້ວຍໄຊຊະນະອັນຍິ່ງໃຫຍ່ນີ້, ຊົນຊາດຫວຽດນາມ ພາຍໃຕ້ການນໍາພາອັນປີຊາສາມາດຂອງເຈົ້າຊີວິດ ກວາງຈູງ-ຫງວຽນເຫວ້ ໄດ້ທັບມ້າງກົນອຸບາຍຮຸກຮານຂອງກອງທັບ ຊິງ, ປົດປ່ອຍປະເທດຊາດ, ປົກປັກຮັກສາພື້ນຖານເອກະລາດແຫ່ງຊາດ.	Với chiến thắng vĩ đại này, nhân dân Việt Nam dưới sự lãnh đạo của Hoàng đế Quang Trung - Nguyễn Huệ đã chiến thắng âm mưu xâm lược của quân Thanh, giải phóng dân tộc, bảo vệ độc lập dân tộc.
ໄຊຊະນະນີ້ແມ່ນບົດເພງໄຊອະມະຕະໃນປະຫວັດສາດແຫ່ງການຕໍ່ສູ້ສ້າງສາ ແລະປົກປັກຮັກສາປະເທດຊາດທີ່ຍິ່ງໃຫຍ່ຂອງຊົນຊາດຫວຽດນາມ.	Chiến thắng này là bài ca bất hủ trong lịch sử đấu tranh dựng nước và giữ nước vĩ đại của dân tộc Việt Nam.
ແປໂດຍ: ກວຽດເຕິມ.	Dịch bởi: Việt Tâm.
