ກປ.ອອນໄລ - ມາຮອດປະຈຸບັນ, ພັກກອມມູນິດຫວຽດນາມ ມີອາຍຸຄົບຮອບ 90 ລະດູບານໃໝ່.	KR Online - Đảng Cộng sản Việt Nam vẫn đang kỷ niệm 90 năm thành lập.
ຍົກສູງບົດບາດຂອງການສ້າງກົດໝາຍ ແລະປະຕິບັດກົດໝາຍໃນນະໂຍບາຍ ແລະຄຸ້ມຄອງສັງຄົມແມ່ນຈຸດສຸມໃນການນຳພາຂອງພັກ ຕໍ່ກັບລັດໃນປະຈຸບັນ.	Nâng cao vai trò xây dựng pháp luật và thực thi pháp luật trong điều hành và chính sách xã hội là trọng tâm lãnh đạo của Đảng trong nhà nước hiện nay.
ກໍ່ສ້າງລັດແຫ່ງອຳນາດນິຕິບັນຍັດສັງຄົມນິຍົມຕ້ອງຮັບປະກັນໃຫ້ລັດເຮົາແມ່ນລັດຂອງປະຊາຊົນ, ໂດຍປະຊາຊົນ ແລະເພື່ອປະຊາຊົນ, ສະນັ້ນ, ລັດ ຕ້ອງຢູ່ພາຍໃຕ້ການນຳພາຂອງພັກ.	Xây dựng nhà nước pháp quyền xã hội chủ nghĩa phải bảo đảm nhà nước ta là nhà nước của dân, do dân, vì dân, do đó, nhà nước phải đặt dưới sự lãnh đạo của đảng.
ໃຜມີກົນອຸບາຍແຍກລັດອອກຈາກພັກແມ່ນປະຕິເສດການນຳພາຂອງພັກຕໍ່ກັບລັດ.	Bất cứ ai âm mưu tách nhà nước ra khỏi đảng là phủ nhận vai trò lãnh đạo của đảng đối với nhà nước.
ພວກເຮົາເອກອ້າງທະນົງໃຈທີ່ມີພັກປະຕິວັດຢ່າງແທ້ຈິງ-ນັ້ນແມ່ນພັກກອມມູນິດຫວຽດນາມ.	Chúng ta tự hào có một Đảng chân chính cách mạng - Đảng Cộng sản Việt Nam.
ພວກເຮົາບໍ່ຕ້ອງການມີຫຼາຍພັກ.	Chúng tôi không muốn có quá nhiều bữa tiệc.
ພັກກອມມູນິດກຳອຳນາດກໍ່ສ້າງລັດຫວຽດນາມສັງຄົມນິຍົມບົນພື້ນຖານປະຊາທິປະໄຕໝັ້ນຄົງເຂັ້ມແຂງແມ່ນກົດເກນຈຳເປັນທີ່ຂາດບໍ່ໄດ້ເພື່ອກໍ່ສ້າງປະເທດຫວຽດນາມໃໝ່ໃຫ້ມີຄວາມເຂັ້ມແຂງແຮງກ້າ.	Đảng cộng sản xây dựng nhà nước Việt Nam xã hội chủ nghĩa trên cơ sở dân chủ vững mạnh là quy luật tất yếu để xây dựng một nước Việt Nam giàu mạnh.
ນັ້ນແມ່ນລັກສະນະທີ່ເປັນເອກະລັກສະເພາະຂອງການປະຕິວັດຫວຽດນາມ.	Đó là nét đặc sắc của cách mạng Việt Nam.
ແນວໂຮມປະເທດຊາດຫວຽດນາມ ແມ່ນອົງການຈັດຕ້ັງສັງຄົມກວ້າງຂວາງ, ລວມມີບັນດາຊົນຊັ້ນ, ບັນດາຊັ້ນວັນນະ, ບັນດາອົງການຈັດຕັ້ງມະຫາຊົນ, ບັນດາບຸກຄົນດີເດັ່ນເຕົ້າໂຮມກັນເຂົ້າ, ບັນດາສາສະໜາ ແລະຊົນຊາດ, ໃນນັ້ນ, ພັກກອມມູນິດຫວຽດນາມ ທັງແມ່ນສະມາຊິກ, ທັງແມ່ນກຳລັງນຳພາ.	Mặt trận dân tộc thống nhất Việt Nam là một tổ chức xã hội rộng rãi, bao gồm các giai cấp, tầng lớp, đoàn thể, cá nhân, tôn giáo, dân tộc ưu tú, trong đó Đảng Cộng sản Việt Nam vừa là thành viên, vừa là lực lượng lãnh đạo.
ຍ້ອນເຫດນັ້ນພັກ ຈຶ່ງມີຄວາມສາມາດເປີດກວ້າງການດຳເນີນຊີວິດປະຊາທິປະໄຕໃນສັງຄົມຢ່າງກວ້າງຂວາງ, ເສີມຂະຫຍາຍໄດ້ພູມປັນຍາຂອງທົ່ວປວງຊົນ, ສ້າງກຳລັງຄວາມສາມາດປະດິດຄິດສ້າງຂອງທົ່ວປວງຊົນທັງຊາດ ເພື່ອນຳປະເທດຊາດກ້າວຂຶ້ນຕາມເສັ້ນທາງຫັນປະເທດເປັນປະເທດອຸດສາຫະກຳ ແລະທັນສະໄໝ.	Vì vậy, Đảng có khả năng khai mở rộng rãi đời sống dân chủ trong xã hội, nâng cao trí tuệ của nhân dân, xây dựng năng lực sáng tạo của cả dân tộc để lãnh đạo dân tộc trên con đường đưa đất nước trở thành nước công nghiệp, hiện đại.
ຮັກສາທາດແທ້ຂອງການປະຕິວັດ ແລະວິທະຍາສາດ, ຄຸນນະທາດ, ວິຖີຊີວິດທີ່ປອດໃສເພື່ອເຮັດໃຫ້ພະນັກງານ, ສະມາຊິກພັກແຕ່ລະຄົນກາຍເປັນແບບຢ່າງຄຸນສົມບັດປະຕິວັດອັນໃສແຈ້ງຕໍ່ກັບປະຊາຊົນ ແລະປະເທດຊາດ, ແມ່ນການຮັບປະກັນບົດບາດນຳພາຕົວຈິງຂອງພັກ, ແມ່ນເງື່ອນໄຂຕັດສິນຊີ້ຂາດເພື່ອໃຫ້ພັກປະຕິບັດສຳເລັດພາລະກຳປະຫວັດສາດຂອງຕົນ.	Giữ vững bản chất cách mạng và khoa học, phẩm chất, lối sống an toàn nhằm làm cho mỗi cán bộ, đảng viên trở thành tấm gương sáng về phẩm chất cách mạng trước nhân dân và dân tộc, là bảo đảm thực sự vai trò lãnh đạo của Đảng. đảng, là điều kiện quyết định để đảng thực hiện lịch sử của mình.
ຕັດສິນໃຈນຳເອົາມະຕິຂອງພັກເຂົ້າສູ່ຊີວິດຕົວຈິງ ແລະນຳຊີວິດຕົວຈິງເຂົ້າໃນມະຕິແມ່ນສອງດ້ານຂອງບາງບັນຫາສ້າງກຳລັງແຮງຂອງພັກເຂົ້າຊີວິດຕົວຈິງໃນປະຈຸບັນ ແລະອະນາຄົດ.	Quyết tâm đưa nghị quyết của Đảng vào thực tiễn cuộc sống và đưa nghị quyết vào thực tiễn cuộc sống là hai mặt trong một số mặt mạnh của Đảng trong thực tiễn cuộc sống, hiện tại và tương lai.
ປະເທດເຄີຍໄດ້ຮັບໄຊຊະນະຈາກພວກສັດຕູຜູ້ຮຸກຮານ, ເຄີຍມີຊຸມປີເດືອນຕໍ່ຕ້ານຢ່າງລຳບາກກາກກຳ, ດຸເດືອດ ແລະກໍ່ສ້າງສັນຕິພາບ, ຍ້ອນແນວນັ້ນ, ຍິ່ງຕ້ອງປົກປັກຮັກສາ, ຮັກສາສັນຕິພາບເພື່ອໃຫ້ປະເທດຊາດມີຄວາມໝັ້ນຄົງ ແລະພັດທະນາ.	Đất nước đã thắng giặc, đang trong quá trình kháng chiến ác liệt và xây dựng hòa bình, vì vậy, phải giữ gìn và giữ vững hòa bình để dân tộc ổn định và phát triển.
ໂດຍ: ສົມເພັດ.	Bởi: Somphet.
