ກປ.ອອນໄລ - ຕອນບ່າຍວັນທີ 11 ກໍລະກົດ, ພິທີຕ້ອນຮັບທ່ານນາງ ຫງວຽນທິກິມເງິນ ປະທານສະພາແຫ່ງຊາດຫວຽດນາມ ໄດ້ດໍາເນີນຢ່າງສົມກຽດຢູ່ນະຄອນຫຼວງປັກກິ່ງ (ຈີນ).	Chiều 11/7, tại Bắc Kinh đã diễn ra Lễ đón Chủ tịch Quốc hội Nguyễn Thị Kim Ngưng.
ຈັດຕັ້ງບັນດາການພົບປະແລກປ່ຽນເປັນຢ່າງດີ...	Tổ chức tốt các cuộc gặp gỡ trao đổi ...
ບັນຍາກາດທີ່ການພົບປະເຈລະຈາ.	Bầu không khí tại các cuộc đàm phán.
ພາບ:ຈ໊ຽນຖັ໊ງ.	Ảnh: Chiến Thắng
ຕີລາຄາສູງການຮ່ວມມືດ້ານການຄ້າ, ການພົບປະແລກປ່ຽນປະຊາຊົນສອງປະເທດ, ທ່ານ Li Zhanshu ເນັ້ນໜັກວ່າ, ສອງຝ່າຍຄວນຍູ້ແຮງການປະຕິບັດບົດບັນທຶກຊ່ວຍຈໍາກ່ຽວກັບການເຊື່ອມຕໍ່ລະຫວ່າງຂອບເຂດ “ສອງແລວທາງ, ໜຶ່ງເສັ້ນທາງ , ສ້າງເຂດເສດຖະກິດຊາຍແດນ, ເພີ່ມທະວີການລົງທຶນ...	Đánh giá cao hợp tác thương mại, giao lưu nhân dân giữa hai nước, ông Li Zhanshu nhấn mạnh, hai bên cần tăng cường triển khai Bản ghi nhớ về “hành lang hai làn, một chiều, khu kinh tế cửa khẩu, tăng cường đầu tư. ...
ທ່ານກໍ່ຢັ້ງຢືນວ່າຈະສົ່ງເສີມວິສາຫະກິດຈີນ ເພີ່ມທະວີການລົງທຶນເຂົ້າຫວຽດນາມ;	Ông cũng cam kết khuyến khích các doanh nghiệp Trung Quốc tăng cường đầu tư vào Việt Nam;
ສະເໜີຫວຽດນາມ ສ້າງຄວາມສະດວກໃຫ້ແກ່ວິສາຫະກິດຈີນ ລົງທຶນ, ດໍາເນີນທຸລະກິດໃນບັນດາຂົງເຂດ ຄື: ເຕັກໂນໂລຢີສູງ, ກະສິກໍາຢູ່ຫວຽດນາມ...	Việt Nam tạo điều kiện cho các doanh nghiệp Trung Quốc đầu tư, kinh doanh lĩnh vực công nghệ cao, nông nghiệp tại Việt Nam ...
ກ່ຽວກັບບັນຫາຢູ່ທະເລ, ສອງຝ່າຍໃຫ້ຄໍາໝັ້ນສັນຍາວ່າ ຈະສືບຕໍ່ປະຕິບັດຕາມຄວາມຮັບຮູ້ລວມຂອງການນໍາຂັ້ນສູງສອງພັກ, ສອງລັດ, “ຂໍ້ຕົກລົງວ່າດ້ວຍບັນດາຫຼັກການພື້ນຖານຊີ້ນໍາການແກ້ໄຂບັນຫາຢູ່ທະເລຫວຽດນາມ-ຈີນ ...	Về vấn đề trên biển, hai bên cam kết tiếp tục tuân thủ sự nhất trí của hai bên và hai nhà nước “Việt Nam - Trung Quốc về các nguyên tắc chỉ đạo giải quyết tranh chấp trên biển ...
ສອງຝ່າຍເພີ່ມທະວີການແລກປ່ຽນບັນດາມາດຕະການເພື່ອແນໃສ່ຮັກສາຄວາມໝັ້ນຄົງຢູ່ທະເລ, ປະຕິບັດຖະແຫຼງການແຫ່ງການປະພຶດຂອງບັນດາຝ່າຍຢູ່ທະເລຕາເວັນອອກ (DOC) ເປັນຢ່າງດີ ແລະກ້າວໄປເຖິງການລົງນາມໃນກົດແຫ່ງການປະພຶດຢູ່ທະເລຕາເວັນອອກ (COC) ໂດຍໄວເພື່ອຮັກສາສັນຕິພາບ, ສະຖຽນລະພາບຢູ່ພາກພື້ນ.	Hai bên tăng cường trao đổi các biện pháp duy trì ổn định hàng hải, thực hiện Tuyên bố về ứng xử của các bên ở Biển Đông (DOC) và tiến tới sớm ký Bộ Quy tắc ứng xử ở Biển Đông (COC) để duy trì hòa bình và ổn định trong khu vực.
ການນໍາສອງທ່ານໄດ້ຕີລາຄາຢ່າງຕັ້ງໜ້າຕໍ່ສະພາບການເສັ້ນຊາຍແດນລະຫວ່າງສອງປະເທດໃນຊຸມປີຜ່ານມາ.	Hai nhà lãnh đạo đánh giá cao tình hình biên giới giữa hai nước trong thời gian qua.
ການນໍາສອງທ່ານກໍ່ເຫັນດີເປັນເອກະພາບນຳກັນວ່າ, ສອງຝ່າຍຈະເພີ່ມທະວີການຊີ້ນໍາ, ສະໜັບສະໜູນບັນດາການເຄື່ອນໄຫວພົບປະແລກປ່ຽນປະຊາຊົນ, ການຮ່ວມມືລະຫວ່າງບັນດາອົງການ ແລະທ້ອງຖິ່ນຢູ່ເຂດຊາຍແດນສອງປະເທດ;	Hai nhà lãnh đạo cũng nhất trí hai bên tăng cường hướng dẫn, phối hợp giao lưu nhân dân, hợp tác giữa các tổ chức, địa phương dọc biên giới hai nước;
ຊຸກຍູ້ການຮ່ວມມືຢ່າງແທດຈິງໃນບັນດາຂົງເຂດເສດຖະກິດ, ການຄ້າ, ການທ່ອງທ່ຽວ...	Khuyến khích hợp tác thực chất trong lĩnh vực kinh tế, thương mại, du lịch ...
ສອງຝ່າຍກໍ່ໄດ້ແລກປ່ຽນກ່ຽວກັບບົດຮຽນໃນວຽກງານກໍ່ສ້າງພັກ, ວຽກງານຕ້ານ ແລະສະກັດກັ້ນການສໍ້ລາດບັງຫຼວງ...	Hai bên cũng trao đổi về những bài học kinh nghiệm trong công tác xây dựng đảng, phòng, chống tham nhũng ...
ສອງຝ່າຍກໍ່ຈະກະຕຸກຊຸກຍູ້ລັດຖະບານສອງປະເທດຜັນຂະຫຍາຍບັນດາຂໍ້ຕົກລົງທີ່ໄດ້ຮັບການລົງນາມໃຫ້ມີປະສິດທິຜົນ;	Hai bên cũng sẽ khuyến khích Chính phủ hai nước triển khai hiệu quả các thỏa thuận đã ký kết.
ສົມທົບກັນໃນວຽກງານຕິດຕາມກວດກາບັນດາຂໍ້ຕົກລົງຮ່ວມມືທີ່ໄດ້ຮັບການລົງນາມ...	Phối hợp theo dõi các thỏa thuận hợp tác đã được ký kết ...
ໂດຍ: ທະນາພອນ.	Theo: Thanaphone.
