ກປ.ອອນໄລ - ປີ 2020 ເປັນຂີດໝາຍເຫດການສະເຫຼີມສະຫຼອງ 25 ປີແຫ່ງການຫັນການພົວພັນດ້ານການທູດຫວຽດນາມ-ອາເມລິກາ ເປັນປົກກະຕິ.	Năm 2020 đánh dấu kỷ niệm 25 năm bình thường hóa quan hệ ngoại giao Việt Nam - Hoa Kỳ.
ພາບ: ຖຸ່ຍລີງ.	Ảnh: Thùy Ling
ໂດຍແມ່ນອົງການບໍ່ຂຶ້ນກັບລັດຖະບານແຫ່ງທໍາອິດທີ່ໄດ້ຮັບໜັງສືອະນຸຍາດຈາກຫວຽດນາມ ທີ່ເຄື່ອນໄຫວໃນຂົງເຂດເກັບກູ້ ແລະທໍາລາຍລະເບີດບໍ່ທັນແຕກທີ່ຕົກຄ້າງພາຍຫຼັງສົງຄາມ, ໃນເບື້ອງຕົ້ນ, PeaceTrees Vietnam ໄດ້ປະຕິບັດການເກັບກູ້ ແລະທໍາລາຍລະເບີດບໍ່ທັນແຕກ ແລະປູກຕົ້ນໄມ້ຢູ່ເຂດດິນແດນທີ່ຫາກໍ່ໄດ້ທຳການກວດກາແລ້ວ.	Là tổ chức phi chính phủ đầu tiên được Việt Nam cấp phép hoạt động trong lĩnh vực rà phá, tiêu hủy vật liệu chưa nổ sau chiến tranh, PeaceTrees Việt Nam bước đầu rà phá, tiêu hủy vật liệu chưa nổ và trồng cây xanh tại các khu vực mới rà soát.
ປັດຈຸບັນ, PeaceTrees Vietnam ເຄື່ອນໄຫວໃນຂົງເຂດໜູນຊ່ວຍການເກັບກູ້ ແລະທໍາລາຍລະເບີດບໍ່ທັນແຕກ ແລະສຶກສາອົບຮົມຍົກສູງຄວາມຮັບຮູ້ກ່ຽວກັບລະເບີດ, ພັດທະນາປະຊາຄົມຢູ່ສອງແຂວງກວ໋າງບີ່ງ ແລະກວ໋າງຈິ.	Hiện tại, PeaceTrees Việt Nam đang hoạt động trong lĩnh vực rà phá bom mìn, cũng như nâng cao nhận thức về bom mìn và phát triển cộng đồng tại các tỉnh Quảng Bình và Quảng Chí.
ຄິດໄລ່ມາຮອດປັດຈຸບັນ, PeaceTrees Vietnam ໄດ້ຈັດຕັ້ງການເກັບກູ້ ແລະທຳລາຍວັດຖຸລະເບີດຢ່າງປອດໄພໄດ້ 105.855 ຢ່າງຢູ່ແຂວງກວ໋າງຈິ;	Đến nay, PeaceTrees Việt Nam đã tổ chức 105.855 hoạt động rà phá bom mìn tại tỉnh Quảng Chí;
ຜັນຂະຫຍາຍລາຍການສຶກສາອົບຮົມກ່ຽວກັບການປ້ອງກັນ ແລະຫຼີກລ້ຽງລະເບີດໃຫ້ແກ່ 86.830 ເດັກນ້ອຍ ແລະຄອບຄົວ;	Phân phối các chương trình giáo dục và phòng tránh bom mìn cho 86.830 trẻ em và gia đình;
ມອບທຶນສຶກສາ 1.664 ທຶນໃຫ້ແກ່ເດັກນ້ອຍ, ຄອບຄົວທີ່ມີຜູ້ປະສົບເຄາະຮ້າຍຈາກລະເບີດ, ກໍ່ສ້າງບ້ານມິດຕະພາບຕົ້ນໄມ້ສັນຕິພາບໃຫ້ແກ່ 100 ຄອບຄົວທີ່ມີຜູ້ປະສົບເຄາະຮ້າຍຈາກລະເບີດ, ກໍ່ສ້າງໂຮງຮຽນອະນຸບານ 15 ແຫ່ງ, ຫໍສະໝຸດ 11 ແຫ່ງ...	Cấp 1.664 suất học bổng cho trẻ em, gia đình bị ảnh hưởng bởi bom mìn, xây dựng Làng Hữu nghị Cây Hữu nghị cho 100 gia đình bị ảnh hưởng bởi bom mìn, xây dựng 15 trường mầm non, 11 thư viện ...
ໃນຕະຫຼອດຫຼາຍປີຜ່ານມາ, ດ້ວຍຄວາມມານະພະຍາຍາມຢ່າງບໍ່ຢຸດຢັ້ງ, ທ່ານນາງ Jerilyn Brusseau ໄດ້ຂົນຂວາຍການອຸປະຖໍາຈາກກະຊວງປ້ອງກັນປະເທດອາເມລິກາ, ບັນດາກອງທຶນກໍ່ຄືບັນດາທະຫານຜ່ານເສິກອາເມລິກາ ເພື່ອກໍ່ສ້າງ ແລະຜັນຂະຫຍາຍບັນດາໂຄງການຂອງ PeaceTrees Vietnam.	Trong những năm qua, với sự nỗ lực không ngừng của mình, Jerilyn Brusseau đã vận động sự hỗ trợ từ Bộ Quốc phòng Hoa Kỳ, các quỹ và các cựu chiến binh Mỹ để xây dựng và thực hiện các chương trình PeaceTrees Việt Nam.
ດ້ວຍບັນດາການກະທໍາຢ່າງແທດຈິງ ແລະມີປະສິດທິຜົນນັ້ນ, ທ່ານນາງ Jerilyn Brusseau ໄດ້ກາຍເປັນເພື່ອນມິດທີ່ເຕັມໄປດ້ວຍຄວາມສຸດອົກສຸດໃຈຕໍ່ກັບປະຊາຊົນຫວຽດນາມ.	Với những việc làm thiết thực và hiệu quả đó, Jerilyn Brusseau đã trở thành người bạn chân tình đối với nhân dân Việt Nam.
ເດືອນສິງຫາ 2019, ທ່ານນາງ Jerilyn Brusseau ເປັນກຽດໄດ້ຮັບປະດັບຫຼຽນໄຊມິດຕະພາບຂອງປະທານປະເທດແຫ່ງ ສສ.ຫວຽດນາມ ຍ້ອນມີການປະກອບສ່ວນອັນໃຫຍ່ຫຼວງໃນການຊຸກຍູ້ຄວາມສາມັກຄີມິດຕະພາບ, ການຮ່ວມມືລະຫວ່າງປະຊາຊົນສອງປະເທດຫວຽດນາມ ແລະອາເມລິກາ.	Tháng 8 năm 2019, bà Jerilyn Brusseau vinh dự được Chủ tịch nước Cộng hòa xã hội chủ nghĩa Việt Nam tặng thưởng Huân chương Hữu nghị vì đã có nhiều đóng góp trong việc thúc đẩy quan hệ hữu nghị, đoàn kết và hợp tác giữa hai dân tộc Việt Nam - Hoa Kỳ.
ໂດຍ: ທູຈາງ.	Bởi: Tu Zhang.
