ກປ.ອອນໄລ - ວັນທີ 1 ມີນາ, ທົ່ວກອງທັບ ກ້າວເຂົ້າສູ່ການອົບຮົມ-ຫັດແອບປີ 2021 ໃນເງື່ອນໄຂພະຍາດໂຄວິດ-19 ຍັງຜັນແປຢ່າງສັບສົນ.	KR Online - Ngày 1/3, toàn quân bước vào khóa huấn luyện năm 2021 trong bối cảnh dịch bệnh.
ສືບຕໍ່ສ້າງບາດກ້າວບຸກທະລຸ, ປ່ຽນແປງໃໝ່, ຍົກສູງຄຸນນະພາບຂອງການຝຶກແອບຕາມບົດສະຫຼຸບເລກທີ 60 ຂອງຄະນະ ພັກການທະຫານສູນກາງ;	Tiếp tục thực hiện đột phá, chuyển mục tiêu, nâng cao chất lượng huấn luyện theo Nghị quyết số 60 của Quân ủy Trung ương;
ປະຕິບັດໃຫ້ເປັນຢ່າງດີກ່ຽວກັບຫົວຂໍ້ຂອງປີ 2021 ນັ້ນແມ່ນ “ຍົກສູງຄຸນນະພາບ, ປະສິດທິພາບຂອງການຝຶກຊ້ອມ, ການແຂ່ງຂັນ, ການສະແດງກຳລັງການທະຫານຢູ່ພາຍໃນປະເທດ, ພາກພື້ນ ແລະສາກົນ.	Thực hiện tốt chủ đề năm 2021 là “Nâng cao chất lượng, hiệu quả huấn luyện, hội thi, thao diễn quân sự trong nước, khu vực và quốc tế.
ກໍານົດການຝຶກແອບແມ່ນໜ້າທີ່ຈຸດສຸມ, ເປັນປະຈໍາໃນສະໄໝສັນຕິພາບ, ຕິດພັນກັບການກໍ່ສ້າງກົມກອງໃຫ້ມີລະບຽບວິໄນ, ກໍ່ສ້າງກົມກອງ ໃຫ້ໝັ້ນຄົງເຂັ້ມແຂງ “ເປັນແບບຢ່າງ, ດີເດັ່ນ.	Xác định đào tạo là một trọng tâm, thường xuyên trong việc theo đuổi hòa bình.
ພະນັກງານ, ນັກຮົບກອງພັນທີ 1, ກອງພັນໃຫຍ່ 2, ກອງພົນທີ 3 (ທະຫານເຂດ 1) ເຄື່ອນທັບຝຶກຊ້ອມ.	Cán bộ, cựu chiến binh Tiểu đoàn 1, Tiểu đoàn 2, Lữ đoàn 3 (Quân khu 1) chuyển sang huấn luyện.
ພາບ: ບຸ່ຍຮຽບ.	Ảnh: Bùi Hiệp
ປີ 2021, ພ້ອມກັບການສຸມໃສ່ຝຶກແອບ, ນໍາໃຊ້ອາວຸດຍຸດໂທປະກອນເຕັກນິກໃຫ້ມີຄວາມຊໍານິຊໍານານ ແລະຈັດຕັ້ງການຍິງອາວຸດປະເພດຕ່າງໆ;	Năm 2021, trọng tâm là huấn luyện, sử dụng vũ khí, trang bị kỹ thuật thành thạo và tổ chức bắn các loại vũ khí;
ທົ່ວກອງທັບເພີ່ມທະວີການຝຶກແອບກາງຄືນ, ຝຶກແອບເຄື່ອນທີ່, ສົມທົບເປັນຢ່າງດີລະຫວ່າງການຝຶກແອບກັບຫັດແອບກໍາລັງກາຍໃຫ້ແກ່ທະຫານ.	Trong toàn Quân chủng tăng cường huấn luyện ban đêm, huấn luyện cơ động, kết hợp tốt giữa huấn luyện và diễn tập bộ đội.
ບັນດາກົມກອງຄວນເອົາໃຈໃສ່ຝຶກຊ້ອມເປັນຮອບສັງລວມ, ກຸ່ມກໍາລັງ, ການຝຶກຊ້ອມຍິງລູກປືນແທ້ຂັ້ນຕ່າງໆ, ຝຶກຊ້ອມການສູ້ຮົບດ້ວຍການປະສານສົມທົບລະຫວ່າງເຫຼົ່າຮົບ-ເຫຼົ່າທັບ;	Các sở, ngành cần tập trung huấn luyện trực ban, lực lượng, huấn luyện bắn đạn thật các cấp, huấn luyện chiến đấu với hiệp đồng;
ປ່ຽນແປງໃໝ່ການຈັດຕັ້ງ ແລະວິທີການເພື່ອຍົກສູງຄຸນນະພາບການຝຶກແອບ, ຝຶກຊ້ອມ.	Những thay đổi về tổ chức và phương pháp nhằm nâng cao chất lượng đào tạo.
ຄະນະພັກທຸກຂັ້ນຍາມໃດກໍເອົາໃຈໃສ່ຊີ້ນໍາ, ນໍາພາຢ່າງຮອບດ້ານກ່ຽວກັບວຽກງານຝຶກແອບ, ເສີມຂະຫຍາຍບົດບາດຂອງຜູ້ບັນຊາການ, ຫົວໜ້າການເມືອງ ແລະບັນດາກົມກອງ, ສ້າງການຫັນປ່ຽນຢ່າງແທ້ຈິງກ່ຽວກັບຄຸນນະພາບການຝຶກແອບ.	Cấp ủy các cấp quan tâm chỉ đạo sâu sát, chỉ đạo toàn diện về công tác huấn luyện, tăng cường vai trò của người chỉ huy, chủ trì chính trị và phân đội, tạo bước chuyển biến thực sự về chất lượng huấn luyện.
ສົມທົບກັນຢ່າງແໜ້ນແຟ້ນລະຫວ່າງການຝຶກແອບກັບການຖ່າຍທອດບົດຮຽນສູ້ຮົບ;	Kết hợp chặt chẽ giữa huấn luyện với vượt qua các bài học chiến đấu;
ຕັ້ງໜ້າໝູນໃຊ້ເຕັກໂນໂລຢີຂໍ້ມູນຂ່າວສານເຂົ້າໃນການຝຶກແອບ, ຝຶກຊ້ອມ...	Sử dụng công nghệ thông tin trong đào tạo, tập huấn ...
ໄປຄຽງຄູ່ກັນນັ້ນ, ຕ້ອງເອົາໃຈໃສ່ວຽກງານສຶກສາອົບຮົມ, ຍົກສູງຄວາມຮັບຮູ້ໃຫ້ແກ່ພະນັກງານ, ນັກຮົບ;	Đồng thời, phải chú trọng công tác giáo dục, rèn luyện, nâng cao nhận thức của cán bộ, chiến sĩ;
ຮັກສາລະບອບ, ລະບຽບວິໄນຢ່າງເຂັ້ມງວດ;	Duy trì nghiêm chế độ, nền nếp;
ເສີມຂະຫຍາຍລັກສະນະນໍາໜ້າ, ເປັນແບບຢ່າງຂອງຖັນແຖວພະນັກງານ.	Nâng cao tính năng dẫn nước, ví dụ như cột nhân viên.
ສືບຕໍ່ຍົກສູງຄຸນນະພາບການຝຶກແອບ ແລະການເຄື່ອນໄຫວຂອງກໍາລັງທະຫານລາດປ້ອງກັນຕົວ.	Tiếp tục nâng cao chất lượng huấn luyện và hoạt động của Lực lượng Dân quân tự vệ.
ການຝຶກແອບຕ້ອງຕິດພັນກັບວຽກງານຂົນຂວາຍປະຊາຊົນຢ່າງແໜ້ນແຟ້ນ, ປະກອບສ່ວນກໍ່ສ້າງ “ທ່າຮົບໃນຈິດໃຈປະຊາຊົນ, ໃຫ້ໝັ້ນຄົງໜັກແໜ້ນ.	Công tác huấn luyện phải gắn chặt với công tác vận động quần chúng, góp phần xây dựng “thế trận trong lòng dân, kiên trung, bền bỉ”.
ພິເສດ, ການປ່ຽນແປງໃໝ່, ຍົກສູງຄຸນນະພາບການຝຶກແອບ, ຝຶກຊ້ອມຕ້ອງຕອບສະໜອງເງື່ອນໄຂສູ້ຮົບໃໝ່ແມ່ນຍາມໃດກໍຕ້ອງຕິດພັນກັບການຮັດກຸມລະບຽບວິໄນ.	Đặc biệt, chuyển mục tiêu, nâng cao chất lượng huấn luyện, huấn luyện phải đáp ứng điều kiện chiến đấu, việc di chuyển luôn gắn với siết chặt kỷ luật.
ຕັ້ງໜ້າ, ເປັນເຈົ້າການຝຶກແອບເພື່ອຮັບມືກັບບັນດາກໍລະນີຄວາມໝັ້ນຄົງແບບໃໝ່, ໂດຍສະເພາະແມ່ນພະຍາດໂຄວິດ-19 ແລະການປ້ອງກັນ, ຕ້ານໄພທໍາມະຊາດ, ຊອກຫາກູ້ໄພກູ້ຊີບຢ່າງມີປະສິດທິຜົນ...	Đặt tiền đề, huấn luyện thuần thục để xử lý các vụ việc an ninh theo nguyện vọng, đặc biệt là dịch bệnh Kovid-19 và phòng, chống thiên tai, tìm kiếm cứu nạn hiệu quả ...
ວຽກງານພະລາທິການ, ເຕັກນິກຮັບໃຊ້ການຝຶກແອບ, ກຽມພ້ອມສູ້ຮົບຕ້ອງເປັນເຈົ້າການ, ມີຫົວຄິດປະດິດສ້າງ, ຕ້ອງຮັບປະກັນຄວາມຮອບຄອບຖີ່ຖ້ວນ.	Công tác của cấp ủy viên, kỹ thuật sử dụng cho huấn luyện, sẵn sàng chiến đấu phải thuần thục, sáng tạo, bảo đảm tính kỹ lưỡng.
ຍົກສູງຄຸນນະພາບການຝຶກແອບໃນເງື່ອນໄຂໃໝ່, ຕ້ອງຕອບສະໜອງຄວາມຮຽກຮ້ອງຂອງໜ້າທີ່ກໍ່ສ້າງກອງທັບໃຫ້ຍອດຢ້ຽມ, ກະທັດຮັດ, ເຂັ້ມແຂງ, ກ້າວຂຶ້ນສູ່ຄວາມເປັນທັນສະໄໝ, ປົກປັກຮັກສາປະເທດຊາດໃນສະພາບການໃໝ່ໄວ້ຢ່າງໝັ້ນຄົງ, ຮຽກຮ້ອງໃຫ້ມີຄວາມຕັດສິນໃຈສູງ ແລະມານະພະຍາຍາມຢ່າງໃຫຍ່ຫຼວງ, ມີການກະທໍາຢ່າງຂ້ຽວຂາດຂອງຄະນະພັກ, ຜູ້ບັນຊາການ, ກົມກອງຂັ້ນຕ່າງໆ ແລະພະນັກງານ, ນັກຮົບທົ່ວກອງທັບພ້ອມກັບກໍາລັງທະຫານລາດປ້ອງກັນຕົວ.	Nâng cao chất lượng huấn luyện trong điều kiện mới, đáp ứng yêu cầu của quân đội là xây dựng quân đội tinh, gọn, mạnh, từng bước hiện đại, bảo vệ Tổ quốc trong tình trạng thường xuyên xung kích, gọi là sĩ quan cao cấp và toàn quân. -lực lượng vũ trang,
ໃນຂະນະທີ່ພະຍາດໂຄວິດ-19 ຍັງຜັນແປຢ່າງສັບສົນ, ການກໍ່ສ້າງແຜນການ, ຕາຕະລາງການຝຶກແອບ ແລະການຈັດຕັ້ງ, ຮັກສາການຝຶກແອບ ໃຫ້ແໜ້ນແຟ້ນ ແຕ່ຕ້ອງມີໄຫວພິບ, ມີວິທະຍາສາດ ເພື່ອທັງຝຶກແອບ ໃຫ້ດີທັງປ້ອງກັນ, ສະກັດກັ້ນພະຍາດໂຄວິດ-19 ຢ່າງມີປະສິດທິຜົນ...	Trong khi Kovid-19 vẫn đang phát triển theo chiều hướng phức tạp, việc xây dựng kế hoạch, lịch trình huấn luyện và tổ chức, giữ cho huấn luyện ngăn nắp đòi hỏi sự huấn luyện khéo léo, khoa học để có thể ngăn chặn và kiềm chế Kovid-19 một cách hiệu quả ...
ການສ້າງກໍາລັງໜູນສູ້ຊົນແຂ່ງຂັນເພື່ອໃຫ້ນັບມື້ນັບມີຫຼາຍໝູ່ຄະນະ, ບຸກຄົນແບບຢ່າງຝຶກແອບເກັ່ງແມ່ນສໍາຄັນທີ່ສຸດ.	Việc xây dựng lực lượng thi đấu để ngày càng có nhiều tập thể, cá nhân được đào tạo bài bản là rất quan trọng.
ຢາກເຮັດໄດ້ຄືແນວນັ້ນ, ຕ້ອງເອົາໃຈໃສ່ຮັກສາປະສິດທິຜົນຂອງຂະບວນການແຂ່ງຂັນເດັດຂາດມີໄຊຕິດພັນກັບການປະຕິບັດບັ້ນຂົນຂວາຍ “ເສີມຂະຫຍາຍມູນເຊື້ອ, ອຸທິດສະຕິປັນຍາ, ສົມເປັນທະຫານລຸງໂຮ່ ;	Muốn vậy, cần quan tâm duy trì hiệu quả công tác thi đua quyết thắng gắn với thực hiện Cuộc vận động “Tiếp sức, cống hiến trí tuệ, trở thành Bộ đội Cụ Hồ;
ຍາມໃດກໍ່ເອົາໃຈໃສ່ເບິ່ງແຍງດູແລຊີວິດທາງດ້ານວັດຖຸ ແລະຈິດໃຈ, ສຸຂະພາບຂອງທະຫານ, ໂດຍສະເພາະແມ່ນໃນເງື່ອນໄຂພະຍາດໂຄວິດ-19;	Luôn quan tâm đến đời sống vật chất và tinh thần, sức khỏe của bộ đội, nhất là đối với trường hợp mắc bệnh Kovich-19;
ຮັບປະກັນການຝຶກແອບໃຫ້ມີຄວາມປອດໄພຢ່າງເດັດຂາດ.	Đảm bảo đào tạo an toàn tuyệt đối.
ປີຝຶກແອບ 2021 ດ້ວຍຄວາມຮຽກຮ້ອງຕ້ອງການສູງເພື່ອຕອບສະໜອງກັບໜ້າທີ່ໃນການສະພາບການໄດ້ເລີ່ມຕົ້ນ.	Năm 2021 đào tạo với nhu cầu cao để đáp ứng những thách thức mà tình hình đã bắt đầu.
ດ້ວຍການຊີ້ນໍາ, ນໍາພາຢ່າງແໜ້ນແຟ້ນ, ຮອບດ້ານຈາກຄະນະພັກການທະຫານສູນກາງ, ກະຊວງປ້ອງກັນປະເທດ;	Dưới sự chỉ đạo, chỉ đạo quyết liệt, toàn diện của Quân ủy Trung ương, Bộ Quốc phòng;
ການເຂົ້າຮ່ວມຢ່າງຂ້ຽວຂາດ, ໃກ້ຊິດຕິດແທດຂອງຄະນະພັກ, ຜູ້ບັນຊາການບັນດາອົງການ, ກົມກອງ;	Sự vào cuộc quyết liệt, chặt chẽ của cấp ủy, chỉ huy các tổ chức, phòng, ban;
ການເປັນເຈົ້າການ, ຄວາມມານະພະຍາຍາມຜ່ານຜ່າຄວາມຫຍຸ້ງຍາກຂອງພະນັກງານ, ນັກຮົບແຕ່ລະຄົນ, ແນ່ນອນວ່າ ທົ່ວກອງທັບ ແລະກໍາລັງທະຫານລາດປ້ອງກັນຕົວ ໃນທົ່ວປະເທດ ຈະປະຕິບັດໜ້າທີ່ຝຶກແອບ, ກຽມພ້ອມສູ້ຮົບສໍາເລັດເປັນຢ່າງດີ.	Làm chủ, sự nỗ lực vượt khó của cán bộ, chiến sĩ, đương nhiên trong toàn quân và lực lượng tự vệ trong cả nước sẽ thực hiện tốt công tác huấn luyện, sẵn sàng chiến đấu.
ໂດຍ: ໄຊຊະນະ.	Bởi: Chiến thắng.
