ກປ.ອອນໄລ - ເນື່ອງໃນໂອກາດສະເຫຼີມສະຫຼອງ 75 ປີແຫ່ງວັນສ້າງຕັ້ງກອງທັບປະຊາຊົນຫວຽດນາມ.	Nhân kỷ niệm 75 năm Ngày thành lập Quân đội nhân dân Việt Nam.
ແຕ່ປີ 1954 ຫາປີ 1975, ຫວຽດນາມ ຕ້ອງດໍາເນີນການຕໍ່ສູ້ຕ້ານຈັກກະພັດອາເມລິກາ, ປົກປັກຮັກສາພາກເໜືອ, ປົດປ່ອຍພາກໃຕ້.	Từ năm 1954 đến năm 1975, Việt Nam đã chiến đấu chống lại Đế quốc Mỹ, bảo vệ miền Bắc, giải phóng miền Nam.
ໃນການຕໍ່ຕ້ານຢ່າງລຳບາກກາກກຳ, ບໍ່ສົມກັນດ້ານກຳລັງນັ້ນ, ທາດແທ້ວິລະຊົນປະຕິວັດຂອງກອງທັບ ແລະປະຊາຊົນຫວຽດນາມ ອີກເທື່ອໜຶ່ງໄດ້ສະແດງໃຫ້ເຫັນຄວາມອົງອາດກ້າຫານທີ່ສຸດ, ຕີເອົາຊະນະ “ສົງຄາມພິເສດ , “ສົງຄາມພາກສ່ວນ , “ສົງຄາມທຳລາຍພາກເໜືອ ແລະສຸດທ້າຍແມ່ນການບຸກໂຈມຕີຄັ້ງໃຫຍ່ ແລະການລູກຮື້ຂຶ້ນລະດູບານໃໝ່ປີ 1975 ເຊິ່ງພົ້ນເດັ່ນແມ່ນບັ້ນຮົບໂຮ່ຈີມິນ ປະຫວັດສາດ, ສິ້ນສຸດການຕໍ່ຕ້ານອາເມລິກາ, ກູ້ຊາດ, ປົດປ່ອຍພາກໃຕ້ຢ່າງສົມບູນ, ທ້ອນໂຮມປະເທດຊາດເປັນເອກະພາບ.	Chống lại chiến tranh hạt nhân gian khổ chứ không phải lực lượng an ninh, bản chất anh hùng của Quân đội cách mạng và nước Việt Nam một lần nữa thể hiện anh dũng kiên cường, đánh bại đảng chiến tranh “chiến tranh đặc biệt” “Chiến tranh phá hoại miền Bắc và cuối cùng là xung kích và nổi dậy mùa Xuân 1975 mà nổi bật là chiến dịch Hồ Chí Minh lịch sử, Lào Sin chống Mỹ cứu nước, giải phóng miền nam hoàn hảo, thống nhất Tổ quốc.
ຕໍ່ຈາກນັ້ນ, ກອງທັບປະຊາຊົນຫວຽດນາມ ໄດ້ຕັ້ງໜ້າເຂົ້າຮ່ວມການສ້າງສາ ແລະຟື້ນຟູປະເທດຊາດຈາກຂີ້ເທົ່າຂອງສົງຄາມ;	Sau này, Quân đội nhân dân Việt Nam lên đường tham gia xây dựng và tái thiết đất nước từ tro tàn chiến tranh;
ໄດ້ຕີເອົາຊະນະສົງຄາມຢູ່ຊາຍແດນທິດຕາເວັນຕົກສ່ຽງໃຕ້ ແລະຊາຍແດນພາກເໜືອ, ເຮັດລ້ອນໜ້າທີ່ສາກົນອັນສູງສົ່ງ...	Đã giành thắng lợi trong cuộc chiến tranh biên giới phía Tây Nam và phía Bắc, làm nên vùng biển quốc tế rộng lớn ...
ກອງທັບປະຊາຊົນຫວຽດນາມ ໄດ້ຮັບການຈັດຕັ້ງຕາມທິດຍອດຢ້ຽມ, ກະທັດຮັດ ແລະປະກອບບັນດາປະເພດອາວຸດ, ຍຸດທະພັນທີ່ທັນສະໄໝ, ປະຕິບັດການຝຶກແອບເປັນປະຈຳ, ພ້ອມແລ້ວທີ່ຈະສຳເລັດທຸກໜ້າທີ່ທີ່ໄດ້ຮັບມອບໝາຍ.	Quân đội nhân dân Việt Nam được tổ chức tốt, được trang bị tốt, vũ khí trang bị hiện đại, huấn luyện thường xuyên, sẵn sàng hoàn thành tốt mọi nhiệm vụ được giao.
ກອງທັບປະຊາຊົນຫວຽດນາມ ຕັ້ງໜ້າເຂົ້າຮ່ວມບັນດາການເຄື່ອນໄຫວຮ່ວມມືດ້ານການທະຫານກັບສາກົນ, ຊຸກຍູ້ການຮ່ວມມືຢ່າງເລິກເຊິ່ງກວ້າງຂວາງກັບບັນດາປະເທດບ້ານໃກ້ເຮືອນຄຽງ, ປະເທດໃຫຍ່, ປະເທດສະມາຊິກອາຊຽນ.	QĐND Việt Nam tham gia các hoạt động hợp tác quân sự quốc tế, thúc đẩy quan hệ hợp tác sâu rộng, toàn diện với các nước láng giềng, các nước lớn và các nước thành viên ASEAN.
ຄຽງຂ້າງນັ້ນ, ກອງທັບປະຊາຊົນຫວຽດນາມ ຍັງມີບັນດາການເຄື່ອນໄຫວພົວພັນຕ່າງປະເທດກັບບັນດາອົງການຈັດຕັ້ງສາກົນ, ພາກພື້ນ, ການເຄື່ອນໄຫວຮັກສາສັນຕິພາບຂອງສະຫະປະຊາຊາດ.	Ngoài ra, Quân đội nhân dân Việt Nam còn tích cực trong quan hệ đối ngoại với các tổ chức quốc tế và khu vực, cũng như hoạt động gìn giữ hòa bình của Liên hợp quốc.
ພື້ນຖານຂອງການຜັນຂະຫຍາຍບັນດາການເຄື່ອນໄຫວນັ້ນແມ່ນນະໂຍບາຍພົວພັນຕ່າງປະເທດດ້ານປ້ອງກັນຊາດຂອງຫວຽດນາມ ໄດ້ຮັບການກໍ່ສ້າງບົນຫຼັກການສະເໝີພາບ, ເຄົາລົບເຊິ່ງກັນ ແລະກັນ.	Cơ sở để triển khai các hoạt động này là chính sách đối ngoại quốc phòng của Việt Nam dựa trên nguyên tắc bình đẳng và tôn trọng lẫn nhau.
ກຳນົດລັດເຊຍ ແມ່ນຄູ່ຮ່ວມມືບຸລິມະສິດຮ່ວມມືສອງຝ່າຍແຖວໜ້າ, ໂດຍສະເພາະແມ່ນການພົວພັນດ້ານປ້ອງກັນຊາດ, ໃນໄລຍະຈະມາເຖິງ, ກອງທັບປະຊາຊົນຫວຽດນາມ ຈະສືບຕໍ່ເພີ່ມທະວີການຮ່ວມມືກັບບັນດາກຳລັງປະກອບອາວຸດສະຫະພັນລັດເຊຍ ບົນພື້ນຖານຄວາມໄວ້ເນື້ອເຊື່ອໃຈ, ເຄົາລົບເຊິ່ງກັນ ແລະກັນ ເພື່ອຜົນປະໂຫຍດການປ້ອງກັນຊາດ, ປ້ອງກັນຄວາມສະຫງົບຂອງສອງປະເທດ.	Xác định Nga là đối tác ưu tiên trong hợp tác song phương, nhất là trong quan hệ quốc phòng, trong thời gian tới, Quân đội nhân dân Việt Nam tiếp tục tăng cường hợp tác với các Lực lượng vũ trang Nga trên cơ sở tin cậy, tôn trọng lẫn nhau và an ninh cùng có lợi.
ໂດຍ: ແສງເດືອນ.	Bởi: Moonlight.
