ກປ.ອອນໄລ - ເດືອນພຶດສະພາ ມີວັນໜຶ່ງທີ່ພິເສດ: ນັ້ນແມ່ນວັນສາກົນຮັກສາສັນສັນຕິພາບຂອງສະຫະປະຊາຊາດ (29-5).	KR Online - Tháng 5 có một ngày đặc biệt: Ngày Quốc tế Gìn giữ hòa bình của Liên hợp quốc (29-5).
ເພາະວ່າບັນດາກົມກອງຢູ່ຖານທັບແຫ່ງນີ້ສ່ວນຫຼາຍແມ່ນຄ້າຍຄືກັນດ້ວຍແຖວເຮືອນ container ຮູບສີ່ແຈສາກ ຫຼື ເຮືອນຜ້າໃບ.	Vì các phân khu ở căn cứ này hầu hết giống với nhà container hoặc nhà bạt hình chữ nhật.
ໂຮງໝໍກາງສະໜາມຂອງຫວຽດນາມ ຕັ້ງຢູ່ໃຈກາງຂອງຖານທັບ, ດ້ວຍຫຼາຍກົມກອງແຕກຕ່າງກັນທີ່ຜັນຂະຫຍາຍອ້ອມຂ້າງ, ຢູ່ຄຽງຂ້າງແມ່ນສອງກົມກອງຊ່າງແສງຂອງອັງກິດ ແລະອິນເດຍ.	Pháo đài của Việt Nam nằm ở trung tâm của căn cứ, với một số sư đoàn khác nhau được triển khai xung quanh nó, tiếp giáp với Bộ binh nhẹ của Anh và Ấn Độ.
ມີແຕ່ຍ່າງເຂົ້າເຂດຫໍພັກຂອງພະນັກງານ, ພາລະກອນໂຮງໝໍກາງສະໜາມ ຂັ້ນ 2 ເລກ 1 ຂອງຫວຽດນາມ ຈຶ່ງເຫັນໄດ້ຄວາມແຕກຕ່າງກັນຫຼາຍ.	Chỉ cần bước vào khu ký túc xá cán bộ, nhiệm vụ của Bệnh viện Trung ương hạng 2 số 1 Việt Nam có thể rất khác.
ຢູ່ທີ່ນີ້ປຽບເໝືອນດອນຂຽວແຫ່ງໜຶ່ງຢູ່ກາງ “ຈຸດຮ້ອນ Bentiu.	Đây giống như một hòn đảo xanh ở giữa “điểm nóng Bentiu.
ພັນໂທ ເຈິ່ນຊວັນຖາວ, ຫົວໜ້າພະແນກພະລາທິການ-ເຕັກນິກຂອງໂຮງໝໍກາງສະໜາມຂັ້ນ 2 ເລກ 1 ໄດ້ພາຄະນະໄປຢ້ຽມຢາມ ແລະແນະນໍາກ່ຽວກັບກົມກອງຕາມລໍາດັບດ້ວຍຄວາມພາກພູມໃຈ: ສວນຜັກກວ້າງ 300 ຕາແມັດ ດ້ວຍຜັກຫຼາຍຊະນິດໂດຍແພດໝໍ, ພາລະກອນການແພດຂອງໂຮງໝໍເພີ່ມພູນຜະລິດຜົນເອງ, ຄ້າງໝາກບວບຢູ່ລຽບຕາມຫໍພັກກໍແມ່ນອ້າຍນ້ອງບົວລະບັດເອງໃນແຕ່ລະວັນ...	Trung tá Trần Savanthao, Trưởng phòng Kỹ thuật - Kỹ thuật Trại Trung ương 2, số 1, trân trọng dẫn đoàn đến thăm và giới thiệu lần lượt về Bộ Quốc phòng: Vườn rau rộng 300m2 với một nhiều loại rau của bác sĩ, nhân viên y tế của bệnh viện
ຈາກຄໍາສັ່ງພິເສດ	Từ các đơn đặt hàng đặc biệt
ພາຍຫຼັງທີ່ໂຮງໝໍກາງສະໜາມຂັ້ນ 2 ເລກ 1 ຂອງຫວຽດນາມ ຜັນຂະຫຍາຍຢູ່ຖານທັບ Bentiu ໄດ້ໄລຍະໜຶ່ງ, ທ່ານພົນໂທ ຫງວຽນຈິວິ້ງ, ຮອງລັດຖະມົນຕີກະຊວງປ້ອງກັນປະເທດຫວຽດນາມ ໄດ້ເດີນທາງໄປຢ້ຽມຢາມ ຊູດັງໃຕ້ ດ້ວຍຄໍາສັ່ງພິເສດທີ່ສະຫງວນໃຫ້ແກ່ຖັນແຖວຮັບປະກັນພະລາທິການຂອງໂຮງໝໍ ທີ່ວ່າ: “ເດັດຂາດບໍ່ໃຫ້ອ້າຍນ້ອງຫິວເຂົ້າ ແລະຫົວນໍ້າ!	Sau khi Học viện Quân sự Trung ương 2 của Việt Nam triển khai tại Căn cứ Bentiu một thời gian, Trung tướng Nguyễn Chí Vịnh, Thứ trưởng Bộ Quốc phòng Việt Nam đã có chuyến thăm Nam Sudan theo lệnh đặc biệt dành riêng cho Lực lượng Vệ binh Hoàng gia.
...	...
ພັນໂທ ບຸ່ຍດຶກແທ່ງ, ຜູ້ອໍານວຍການໂຮງໝໍກາງສະໜາມຂັ້ນ 2 ເລກ 1 - ໜຶ່ງໃນຈໍານວນຜູ້ທໍາອິດ ເຊິ່ງຂ້າພະເຈົ້າ ມີໂອກາດໂອ້ລົມຢູ່ຖານທັບ Bentiu ໄດ້ແນະນຳບັນດາຮູບພາບ ເຊິ່ງ ລາວ ຖ່າຍເອົາໄວ້ເມື່ອຫາກໍ່ມາຊູດັງໃຕ້ ແລ້ວເລົ່າສູ່ກັນຟັງວ່າ: ໄລຍະທີ່ຫາກໍ່ມາຄຸ້ມຄອງຈາກໂຮງໝໍກາງສະໜາມຂັ້ນ 2 ຂອງອັງກິດ, ສິນຄ້າທີ່ຂົນສົ່ງທາງທະເລ ບໍ່ທັນມາເທື່ອ, ເຄື່ອງຂອງຂາດແຄນຫຼາຍຢ່າງ, ມີບາງໄລຍະຍັງຂາດນໍ້າປະປາເພື່ອຮັບໃຊ້ການກິນຢູ່ ແລະບັນດາການເຄື່ອນໄຫວວິຊາສະເພາະ.	Đại tá Bùi Đức Thành, Giám đốc bệnh viện dã chiến cấp 2 1 - một trong những người đầu tiên tôi có dịp trò chuyện tại căn cứ Bentiu gợi ý hình ảnh anh chụp khi điều hướng đến Nam Sudan Được mệnh danh là khoảng cách đã bao trùm trung tâm bệnh viện. Bước 2 của Anh hàng vận chuyển bằng đường biển chưa về đến nơi, máy móc thiếu nhiều, thừa thiếu nước phục vụ sinh hoạt và hoạt động nghề nghiệp.
ຕະຫຼອດໄລຍະ 3 ເດືອນ, ທຸກການເຄື່ອນໄຫວກວດ, ປິ່ນປົວພະຍາດຂອງໂຮງໝໍລ້ວນແຕ່ດໍາເນີນຢູ່ຕູບຜ້າໃບ, ເງື່ອນໄຂພື້ນຖານວັດຖຸພະລາທິການບໍ່ພຽງພໍ, ຫ້ອງຄົວກິນກໍແມ່ນຫ້ອງຊົ່ວຄາວ, ອາຫານສ່ວນຫຼາຍແມ່ນອາຫານແຊ່ເຢັນ, ຂາດແຄນຫຼາຍຢ່າງ..	Trong suốt 3 tháng, mọi hoạt động khám chữa bệnh của bệnh viện đều thực hiện trong lều trại, điều kiện cơ bản chưa đủ, bếp ăn là phòng trọ tạm bợ, thực phẩm đa phần là đồ đông lạnh, thiếu thốn nhiều. đồ đạc.
ເມື່ອເປັນເຊັ່ນນັ້ນ, ຈາກຄໍາສັ່ງພິເສດຂອງທ່ານພົນໂທ ຫງວຽນຈິວິ້ງ ແມ່ນທັງປະຕິບັດໜ້າທີ່ກວດ, ປິ່ນປົວພະຍາດແລ້ວນັ້ນ, ບັນດາແພດໝໍ, ພາລະກອນຂອງໂຮງໝໍຮີບຮ້ອນລະດົມກໍາລັງເຂົ້າຮ່ວມການເພີ່ມພູນຜະລິດຜົນ, ປູກຜັກເພື່ອດັດແປງຄາບເຂົ້າໃນແຕ່ລະມື້ໃຫ້ແກ່ອ້າຍນ້ອງ, ພ້ອມທັງປັບປຸງ, ສ້າງພື້ນຖານໂຄງລ່າງ, ຄື: ເຮືອນພັກ, ຖະໜົນຫົນທາງ...	Thực hiện mệnh lệnh đặc biệt của Trung tướng Nguyễn Chí Vịnh, các y, bác sĩ của bệnh viện đang vận động tăng năng suất, trồng rau để cung cấp bữa ăn hàng ngày cho anh em, cũng như cải thiện cơ sở hạ tầng, như nhà ở.
ດ້ວຍຈິດໃຈ “ເຮັດເອງເປັນຫຼັກ ເທື່ອລະກ້າວ.	Với tâm niệm “tự mình làm từng bước một.
ກໍາລັງຮັກສາສັນຕິພາບ ສປຊ ຂອງບັນດາກົມກອງເພື່ອນມິດມາຢ້ຽມຢາມເຂດເພີ່ມພູນຜະລິດຜົນຂອງໂຮງໝໍກາງສະໜາມ ຂັ້ນ 2 ເລກ 1.	Lực lượng gìn giữ hòa bình Liên hợp quốc Khối Bạn thăm khu sản xuất Bệnh viện Trung ương 2 số 1 Xiêm.
ພາບ: ແທ່ງກົງ.	Ảnh: Thành Công
ປັດຈຸບັນ, ທຸກສິ່ງທຸກຢ່າງໄດ້ມີການປ່ຽນແປງຫຼາຍ.	Bây giờ, mọi thứ đã thay đổi rất nhiều.
ໂຮງໝໍກາງສະໜາມ ໄດ້ມີຫ້ອງຄົວກິນທີ່ສະອາດງາມຕາກວ້າງ 120 ຕາແມັດ, ສ້າງຄວາມສະດວກໃຫ້ແກ່ການປຸງແຕ່ງ, ຮັບໃຊ້ບັນດາຄາບເຂົ້າໃນແຕ່ລະມື້ກໍ່ຄືຈັດງານລ້ຽງຕ້ອນຮັບແຂກສາກົນ.	Bệnh viện K Trung ương có khu bếp sạch sẽ, ngăn nắp rộng 120m2, tạo điều kiện thuận lợi cho việc nấu nướng, phục vụ bữa ăn hàng ngày cũng như tổ chức các buổi chiêu đãi quốc tế.
ພັນໂທ ບຸ່ຍດຶກແທ່ງ ໃຫ້ຮູ້ວ່າ, ເຄື່ອງໃຊ້ສ່ວນຕົວທັງໝົດທີ່ຮັບໃຊ້ຊີວິດປະຈຳວັນ ຄື: ໂຕະ, ຕັ່ງ, ຕູ້ໃສ່ເກີບ...	Thượng úy Bùi Đức Thành cho biết, tất cả các vật dụng cá nhân dùng trong sinh hoạt hàng ngày là: bàn ghế, tủ giày ...
ລ້ວນແຕ່ແມ່ນ “ນາຍຊ່າງ ຂອງໂຮງໝໍເຮັດເອງ.	Tất cả họ đều là “bậc thầy của nhà máy.
ມີຫຼາຍກິດຈະກໍາໄດ້ຮັບການຍ້ອງຍໍຈາກກໍາລັງຊ່າງແສງບັນດາກົມກອງເພື່ອນມິດເມື່ອມາຢ້ຽມຢາມຍ້ອນຄວາມຄ່ອງແຄ້ວຂອງບັນດາແພດໝໍຫວຽດນາມ.	Nhiều hoạt động được Lực lượng ánh sáng của Trung đoàn Những người bạn khen ngợi khi đến thăm do tay nghề của các bác sĩ Việt Nam.
ກໍຕ້ອງເວົ້າຕື່ມອີກວ່າ, ນອກຈາກເຮັດໜ້າທີ່ການແພດ ແລະປະຕິບັດບັນດາຂໍ້ກໍານົດຂອງ ສປຊ ແລ້ວ, ພະນັກງານ, ພາລະກອນໂຮງໝໍຍັງປະຕິບັດວຽກງານອື່ນໆຄືທຸກໆກົມກອງໃນກອງທັບຢູ່ພາຍໃນປະເທດ, ຄື: ການເວນຍາມ, ເຂົ້າຮ່ວມວຽກງານພະລາທິການ, ເຮັດອະນາໄມຄ້າຍທະຫານ...	Phải nói rằng, ngoài công tác y tế và tuân thủ các yêu cầu của Liên hợp quốc, cán bộ, nhân viên của nhà máy còn thực hiện các nhiệm vụ khác, như tất cả các bộ phận trong quân đội trong cả nước, như: tuần tra, tham gia công tác trực ban, vệ sinh khu căn cứ quân sự ...
ມີທ່ານໝໍຄົນໜຶ່ງໃນໂຮງໝໍໄດ້ຖາມຂ້າພະເຈົ້າວ່າ: ເປັນນັກຂ່າວທີ່ໄປເຮັດວຽກຫຼາຍວັນຄືແນວນີ້ເຈົ້າຄິດຮອດບ້ານບໍ່?	Một nhân viên gác cổng trong khu tập thể hỏi tôi: “Là một nhà báo đi tác nghiệp nhiều ngày như vậy, anh có nhớ nhà không?”.
ຂ້າພະເຈົ້າຕອບວ່າ ຄິດຮອດຫຼາຍ!	Tôi trả lời rằng tôi nhớ bạn rất nhiều!
ແຕ່ຄວາມຄິດຮອດໄດ້ບັນເທົາສ່ວນໃດສ່ວນໜຶ່ງເພາະວ່າໃນຕະຫຼອດໄລຍະໄປປະຕິບັດງານກວ່າໜຶ່ງເດືອນຢູ່ Bentiu, ຂ້າພະເຈົ້າ ຍັງຄົງເຫັນໄດ້ຮູບພາບຂອງຄອບຄົວ, ກົມກອງ ແລະປະເທດຊາດຂອງຕົນ.	Nhưng suy nghĩ đó nguôi ngoai đi một phần vì trong hơn nửa tháng ở Bentiu, tôi vẫn có thể nhìn thấy những bức ảnh về gia đình, cơ quan và đất nước của anh ấy.
ໂດຍ: ໄຊຊະນະ.	Bởi: Chiến thắng.
