ກປ.ອອນໄລ - ການພັດທະນາຂອງອາຊຽນ ແມ່ນວິວັດທະນາການກ້າວໄປເຖິງຄວາມໜັກແໜ້ນໝັ້ນແກ່ນເທື່ອລະກ້າວ.	KR Online - Sự phát triển của ASEAN là sự phát triển từng bước đến cốt lõi.
ຫຼັກການພື້ນຖານຂອງອາຊຽນແມ່ນບັນດາຂໍ້ຕົກລົງທີ່ໄດ້ຍົກອອກມານັ້ນຈະຕ້ອງອີງຕາມຄວາມເຫັນດີເຫັນພ້ອມຂອງບັນດາປະເທດສະມາຊິກ.	Nguyên tắc cơ bản của ASEAN là các thỏa thuận đạt được phải dựa trên sự đồng thuận của các nước thành viên.
ບັນດາສະມາຊິກຮັບຮູ້ໄດ້ວ່າ, ຖ້າແຍກອອກຈາກອາຊຽນແມ່ນບໍ່ມີຜົນປະໂຫຍດ.	Các thành viên công nhận rằng, ngoài ASEAN, điều đó là vô ích.
ມາຮອດປັດຈຸບັນ, ອາຊຽນຍັງຄົງແມ່ນອົງການຈັດຕັ້ງໄດ້ຮັບຄວາມສົນໃຈຈາກບັນດາຄູ່ຮ່ວມມືໃຫຍ່.	Cho đến ngày nay, ASEAN vẫn là một tổ chức thu hút sự quan tâm của các đối tác lớn.
ທີ່ນະຄອນຫຼວງ Jakarta (ອິນໂດເນເຊຍ), ນອກຈາກຄະນະຜູ້ຕາງໜ້າປະຈໍາການຂອງບັນດາປະເທດອາຊຽນແລ້ວ ຍັງມີ 10 ອົງການຕາງໜ້າຂອງບັນດາປະເທດຄູ່ຮ່ວມມື ແລະອົງການຈັດຕັ້ງໃນພາກພື້ນອາຊຽນ, ຄື: ອີຢູ, ອາເມລິກາ, ການາດາ, ອິນເດຍ, ສ.ເກົາຫຼີ, ຍີ່ປຸ່ນ...	Tại thủ đô Jakarta (Indonesia), ngoài Phái đoàn thường trực các nước ASEAN, còn có 10 phái đoàn của các nước và tổ chức đối tác trong khu vực ASEAN: EU, Hoa Kỳ, Canada, Ấn Độ, Hàn Quốc. , Nhật Bản ...
ບັນດາຄູ່ຮ່ວມມືດັ່ງກ່າວລ້ວນແຕ່ພວມຢາກຍົກລະດັບສາຍພົວພັນກັບອາຊຽນ.	Tất cả các đối tác này đều đang tìm cách tăng cường quan hệ với ASEAN.
ສາມາດຢັ້ງຢືນໄດ້ວ່າ, ອາຊຽນແມ່ນແບບຢ່າງທີ່ປະສົບຜົນສໍາເລັດໃນພາກພື້ນ.	Có thể nói, ASEAN là một hình mẫu thành công trong khu vực.
ໃນອາຊຽນມີຜົນປະໂຫຍດລະຫວ່າງປະເທດສະມາຊິກດ້ວຍກັນ, ສະນັ້ນ, ສະມາຄົມອາຊຽນປະສົບກັບບາງສິ່ງທ້າທາຍກໍ່ແມ່ນສິ່ງທີ່ຈໍາເປັນ, ແຕ່ສິ່ງສໍາຄັນທີ່ສຸດແມ່ນບັນດາປະເທດຄວນຊອກໄດ້ຜົນປະໂຫຍດລວມ, ສ້າງອາຊຽນທີ່ມີຄວາມເປັນເອກະພາບ, ມີທັດສະນະລວມ ແລະນໍາມາເຊິ່ງຜົນປະໂຫຍດໃຫ້ແກ່ໝົດທຸກຄົນ.	Trong ASEAN, có lợi ích giữa các nước thành viên, vì vậy ASEAN đối mặt với một số thách thức là cần thiết, nhưng điều quan trọng nhất là các nước cần tìm ra lợi ích chung, tạo nên một ASEAN thống nhất, có tầm nhìn chung và mang lại lợi ích cho tất cả mọi người.
ທ່ານ ຫງວຽນແຮວ່ງນໍາ ເອກອັກຄະລັດຖະທູດ, ຫົວໜ້າຄະນະຜູ້ຕາງໜ້າຫວຽດນາມ ປະຈໍາ ອາຊຽນ.	Ông Nguyễn Haeng dẫn đầu Đại sứ và Trưởng Phái đoàn Việt Nam tại ASEAN.
ພາບ: baotintuc.vn.	Ảnh: baotintuc.vn.
ນັກຂ່າວ: ປະຊາຊົນຫຼາຍຄົນຍັງບໍ່ທັນມີຄວາມຮູ້ສຶກກ່ຽວກັບປະຊາຄົມອາຊຽນ, ບັນຫານີ້ໄດ້ສໍາຜັດ ແລະແກ້ໄຂຄືແນວໃດໃນວົງການການນໍາຂອງສະມາຄົມອາຊຽນ?	Nhà báo: Nhiều người chưa hiểu rõ về Cộng đồng ASEAN, vấn đề này được quan tâm và giải quyết như thế nào trong Vòng tròn các nhà lãnh đạo ASEAN?
ທ່ານເອກອັກຄະລັດຖະທູດ ຫງວຽນແຮວ່ງນໍາ: ວັດທະນະທໍາ-ສັງຄົມແມ່ນໜຶ່ງໃນ 3 ເສົາຄໍ້າຫຼັກແຫຼ່ງຂອງປະຊາຄົມ.	Đại sứ Nguyễn Haeng Nam: Văn hóa - xã hội là một trong ba trụ cột của cộng đồng.
ເຖິງຢ່າງໃດກໍ່ຕາມ, ໃນໄລຍະຜ່ານມາ, ປະຊາຊົນອາຊຽນພັດມີຄວາມຮູ້ສຶກກ່ຽວກັບເສົາຄໍ້າເສດຖະກິດຫຼາຍກວ່າເມື່ອທຽບໃສ່ເສົາຄໍ້າວັດທະນະທໍາ-ສັງຄົມ.	Tuy nhiên, trong thời gian qua, người dân ASEAN cảm nhận về trụ cột kinh tế nhiều hơn là trụ cột văn hóa - xã hội.
ບັນດາການນໍາຍາມໃດກໍ່ມານະພະຍາຍາມສ້າງບັນດາແຜນການຢູ່ທັງຂັ້ນລັດຖະບານ ແລະຂັ້ນປະຊາຊົນເພື່ອເພີ່ມທະວີຄວາມຮູ້ສຶກກ່ຽວກັບປະຊາຄົມໃນປະຊາຊົນອາຊຽນໃຫ້ຫຼາຍກວ່າອີກ.	Các nhà lãnh đạo luôn cố gắng tạo ra các kế hoạch ở cả cấp chính phủ và người dân để nâng cao ý thức cộng đồng trong người dân ASEAN.
ຢູ່ຂັ້ນສູງ, ຄວາມຮູ້ສຶກກ່ຽວກັບປະຊາຄົມອາຊຽນຄືຄອບຄົວດຽວແມ່ນຈະແຈ້ງແລ້ວ, ແຕ່ວ່າຢູ່ຂັ້ນຕໍ່າກວ່າຄວາມຮູ້ສຶກກ່ຽວກັບປະຊາຄົມຍັງບໍ່ທັນມີຫຼາຍ, ຍ້ອນເຫດນັ້ນ, ປັດຈຸບັນຈຶ່ງມີບາງຄໍາຄິດເຫັນໂດຍຖືວ່າ “ຄວາມຮູ້ສຶກກ່ຽວກັບປະຊາຄົມ ຕ້ອງແມ່ນເສົາຄໍ້າທີ 4 ແລະບັນດາປະເທດສະມາຊິກລ້ວນແຕ່ພະຍາຍາມກໍ່ສ້າງ ແລະພັດທະນາເສົາຄໍ້ານັ້ນ ເພື່ອແນໃສ່ນໍາປະຊາຄົມຢູ່ໃກ້ກັບປະຊາຊົນແຕ່ລະຄົນກວ່າອີກ.	Ở phía trên, ý thức về cộng đồng như một gia đình là rõ ràng, nhưng ở phía dưới thì ý thức về cộng đồng không quá nhiều, vì vậy hiện nay có một số ý kiến cho rằng “ý thức cộng đồng phải là trụ cột thứ tư và tất cả các quốc gia thành viên đều cố gắng xây dựng và phát triển đến gần hơn với người dân ”.
ນັກຂ່າວ: ໂດຍແມ່ນຫົວໜ້າຄະນະຜູ້ຕາງໜ້າຫວຽດນາມ ປະຈໍາ ອາຊຽນ, ຂໍຮຽນທ່ານເອກອັກຄະລັດຖະທູດ ໃຫ້ຮູ້ກ່ຽວກັບຖານະຕໍາແໜ່ງຂອງຫວຽດນາມໃນອາຊຽນ?	PV: Với tư cách là Trưởng đoàn Việt Nam sang ASEAN, xin ông cho biết vị thế của Việt Nam trong ASEAN?
ທ່ານເອກອັກຄະລັດຖະທູດ ຫງວຽນແຮວ່ງນໍາ: ນັບແຕ່ກ່ອນຈົນມາຮອດປັດຈຸບັນ, ເລື່ອງຫວຽດນາມເຂົ້າເປັນສະມາຊິກອາຊຽນ ໄດ້ຮັບການຕີລາຄາສູງຈາກບັນດາປະເທດ.	Đại sứ Nguyễn Haeng: Từ xưa đến nay, việc Việt Nam gia nhập ASEAN đã được nhiều nước đánh giá cao.
ຫວຽດນາມ ມີຖານະຕໍາແໜ່ງສຳຄັນຫຼັກແຫຼ່ງໃນປະຊາຄົມອາຊຽນ, ເຊິ່ງກ່ຽວຂ້ອງເຖິງການຮັກສາສັນຕິພາບ, ສະຖຽນລະພາບ, ຊຸກຍູ້ບົດບາດໃຈກາງ, ຄວາມສາມັກຄີໃນອາຊຽນ ແລະບັນຫາທະເລຕາເວັນອອກ.	Việt Nam đóng vai trò chủ đạo trong Cộng đồng ASEAN, là tổ chức tham gia duy trì hòa bình, ổn định, phát huy vai trò trung tâm, thống nhất trong ASEAN và vấn đề Biển Đông.
ໃນໄລຍະຈະມາເຖິງ, ຫວຽດນາມຄວນມີບາດກ້າວເດີນຢ່າງມີແບບແຜນກວ່າອີກເພື່ອປະກອບສ່ວນເຂົ້າບັນຫາຫຼັກແຫຼ່ງຂອງປະຊາຄົມ.	Trong tương lai, Việt Nam nên thực hiện các bước có hệ thống hơn để đóng góp vào các vấn đề cốt lõi của cộng đồng.
ຖານະຕໍາແໜ່ງຂອງພາກພື້ນ ແລະສາກົນໃນປັດຈຸບັນແມ່ນກາລະໂອກາດໃຫ້ແກ່ຫວຽດນາມ ຕັ້ງໜ້າກໍ່ສ້າງປະຊາຄົມອາຊຽນທີ່ເຂັ້ມແຂງ, ຜັນຂະຫຍາຍວິໄສທັດ 2025 ແລະແຜນການສັງລວມໂດຍຜ່ານບັນດາຂໍ້ລິເລີ່ມ ແລະການສົມທົບກັບປະເທດຕ່າງໆ.	Vị thế khu vực và quốc tế hiện nay là cơ hội để Việt Nam xây dựng cộng đồng ASEAN vững mạnh, thực hiện tầm nhìn 2025 và kế hoạch củng cố thông qua các sáng kiến và hợp tác với các nước.
ນັກຂ່າວ: ຂໍຮຽນທ່ານເອກອັກຄະລັດຖະທູດ, ຍ້ອນເຫດໃດຫວຽດນາມ ຈຶ່ງມີຖານະຕໍາແໜ່ງນັ້ນ?	PV: Thưa Đại sứ, tại sao Việt Nam lại có vị thế như vậy?
ທ່ານເອກອັກຄະລັດຖະທູດ ຫງວຽນແຮວ່ງນໍາ: ຂ້າພະເຈົ້າຖືວ່າ, ຫວຽດນາມມີຖານະຕໍາແໜ່ງນັ້ນໃນອາຊຽນ ແມ່ນຍ້ອນມີນະໂຍບາຍ ຍາມໃດກໍ່ຖືເປັນສໍາຄັນການພັດທະນາສາຍພົວພັນກັບອາຊຽນ ແລະບັນດາປະເທດອາຊຽນ.	Đại sứ Nguyễn Haeng: “Tôi tin rằng vị thế của Việt Nam trong ASEAN là nhờ chính sách luôn coi trọng phát triển quan hệ với ASEAN và các nước ASEAN khác.
ຫວຽດນາມ ຍາມໃດກໍ່ຜັນຂະຫຍາຍບັນດາແຜນການຂອງສະມາຄົມອາຊຽນ, ຈາກນັ້ນໄດ້ສ້າງຂີດໝາຍສໍາຄັນໃນການພັດທະນາຂອງອາຊຽນ ແລະສ້າງອິດທິພົນຊື່ສຽງ, ພາບພົດຂອງຫວຽດນາມໃນອາຊຽນເທື່ອລະກ້າວ.	Việt Nam luôn thực hiện các kế hoạch của Hiệp hội các quốc gia Đông Nam Á (ASEAN), từng bước tạo dấu mốc phát triển của ASEAN và từng bước xây dựng uy tín, hình ảnh của Việt Nam trong ASEAN.
ຄຽງຂ້າງນັ້ນ, ຫວຽດນາມມີສາຍພົວພັນຄູ່ຮ່ວມມືຍຸດທະສາດກັບຫຼາຍປະເທດໃນອາຊຽນ ແລະບັນດາປະເທດໃຫຍ່ໃນໂລກ.	Ngoài ra, Việt Nam có quan hệ đối tác chiến lược với nhiều nước ASEAN và các nước lớn trên thế giới.
ສ່ວນທາງຄະນະຜູ້ຕາງໜ້າ, ພວກເຮົາກໍ່ໄດ້ ແລະກໍາລັງສົມທົບກັບພາຍໃນປະເທດ ແລະອົງການຜູ້ຕາງໜ້າຂອງປະເທດອື່ນປະຈໍາອາຊຽນ ເພື່ອສ້າງມາດຕະການລະອຽດແນໃສ່ປະຕິບັດແຜນການເຊື່ອມຕໍ່ 2025, ຮ່ວມສໍາພັນທາງດ້ານເສດຖະກິດອາຊຽນ ແລະສ້າງກົນໄກສົມທົບກັນຕິດຕາມກວດກາ, ແກ້ໄຂບັນຫາລະຫວ່າງຂະແໜງການຕ່າງໆ.	Về phía đoàn, chúng tôi đã và đang làm việc với các đại diện trong và ngoài nước của các nước ASEAN để xây dựng các biện pháp chi tiết nhằm thực hiện Kế hoạch Kết nối năm 2025, Hợp tác Kinh tế ASEAN và thiết lập một cơ chế chung để giám sát và giải quyết các vấn đề giữa hai bên.
ນັກຂ່າວ: ຂໍຂອບໃຈທ່ານເອກອັກຄະລັດຖະທູດ!	PV: Xin cảm ơn Đại sứ!
ໂດຍ: ທູຈາງ.	Bởi: Tu Zhang.
