ກປ.ອອນໄລ - ລະດູບານໃໝ່ນີ້, ທ່ານພົນຕີ ຟ້າມຕວນ ມີອາຍຸ 74 ປີ.	Thượng tướng Phạm Tuân hưởng thọ 74 tuổi vào mùa xuân năm nay.
ແຕ່ດ້ວຍຄວາມຈິງໃຈ, ສຸດຈິດສຸດໃຈຂອງຄູອາຈານ ແລະປະຊາຊົນປະເທດທີ່ຍິ່ງໃຫຍ່ນັ້ນໄດ້ຊ່ວຍພວກເຮົາໃຫ້ມີຖັນແຖວພະນັກງານທີ່ເຂັ້ມແຂງແຮງກ້າ, ປະກອບສ່ວນເຂົ້າໃນພາລະກິດຕໍ່ສູ້ປົກປັກຮັກສາປະເທດຊາດຢ່າງມີໄຊ ແລະຕໍ່ມາແມ່ນສ້າງສາປະເທດ.	Nhưng tấm lòng thành kính của những người thầy, người cô của đất nước vĩ đại ấy đã giúp chúng tôi có được một đội ngũ cốt cán, góp phần thực hiện sứ mệnh chiến đấu bảo vệ Tổ quốc thành công và sau này là xây dựng đất nước.
ທ່ານພົນໂທ ຫວໍວັນຕ໋ວນ ມອບກະເຊົ້າດອກຄາເນເຊິນ 48 ດອກໃຫ້ແກ່ທ່ານພົນຕີ ຟ້າມຕວນ.	Trung tướng Võ Văn Tuấn tặng Trung tướng Phạm Tuân 48 lẵng hoa cẩm chướng.
ພາບ: ຫງອັກຮືງ	Ảnh: Hong Ak Hung
ພາຍຫຼັງບົດກ່າວປາໄສຂອງທ່ານພົນຕີ ຟ້າມຕວນ, ທ່ານພົນໂທ ຫວໍວັນຕ໋ວນ, ອະດີດຮອງຫົວໜ້າກົມໃຫຍ່ເສນາທິການກອງທັບປະຊາຊົນຫວຽດນາມ ໄດ້ນຳເອົາກະເຊົ້າດອກຄາເນເຊິນສີແດງ 48 ດອກມາມອບໃຫ້ທ່ານພົນຕີ ຟ້າມຕວນ.	Sau bài phát biểu của Thiếu tướng Phạm Tuân, Trung tướng Võ Văn Tuấn, nguyên Phó Tổng Tham mưu trưởng QĐND Việt Nam đã trao tặng 48 lẵng hoa cẩm chướng đỏ cho Thượng tướng Phạm Tuân.
ທ່ານພົນໂທ ຫວໍວັນຕ໋ວນ ເວົ້າດ້ວຍຄວາມຕື້ນຕັນໃຈວ່າ: “ຕາມວັດທະນະທໍາໂຊວຽດ ດອກຄາເນເຊິນເປັນສັນຍາລັກແຫ່ງໄຊຊະນະ.	Trung tướng Võ Văn Tuấn xúc động nói: “Trong văn hóa Liên Xô, hoa cẩm chướng là biểu tượng của chiến thắng.
ນ້ອງມອບໃຫ້ອ້າຍ ເພື່ອຫວນຄືນໄລຍະກ່ອນນີ້ 48 ປີ, ອ້າຍໄດ້ປະກອບສ່ວນເຂົ້າໃນໄຊຊະນະ “ຮ່າໂນ້ຍ-ດ້ຽນບຽນຝູທາງອາກາດ.	Tôi đưa nó để anh ấy nhìn lại 48 năm trước, anh ấy đã góp phần làm nên chiến thắng “Hà Nội - Điện Biên Phủ trên không”.
ສຽງຕົບມືດັງກ້ອງກັງວານໄປທົ່ວສະໂມສອນ...	Tiếng vỗ tay vang vọng khắp câu lạc bộ ...
ຂ້າພະເຈົ້າຫວນຄືນການໄປປະຕິບັດງານຢູ່ລັດເຊຍ ແລະເບລາຣູດ ໃນປີກາຍນີ້, ເມື່ອຂ້າພະເຈົ້າໄປຢາມອະນຸສາວະລີທະຫານໂຊວຽດ, ເພື່ອນມິດລັດເຊຍ ແລະເບລາຣູດ ໄດ້ຊ່ວຍກະກຽມດອກຄາເນເຊິນໃຫ້.	Tôi nhìn lại chuyến đi đến Nga và Belarus năm ngoái, khi tôi đến thăm đài tưởng niệm quân đội Liên Xô, những người bạn Nga và Belarus của tôi đã giúp chuẩn bị hoa cẩm chướng.
ແຕ່ລະດອກຖືກວາງຢູ່ອະນຸສາວະລີ ແລະສຸສານນັກຮົບເສຍສະຫຼະຊີວິດຢ່າງຮຽບຮ້ອຍ.	Từng bông hoa đã được đặt ngay ngắn trong tượng đài và nghĩa trang của các chiến binh.
ຍ້ອນຄວາມນິຍົມ, ເຄົາລົບນັບຖື (ຄວາມໝາຍຂອງດອກຄາເນເຊິນສີແດງ) ນັ້ນ, ນັກບິນຮຸ້ນຫຼັງນີ້ໄດ້ສະຫງວນເວລາໄປຮ້ານຂາຍດອກໄມ້ໃຫຍ່ຢູ່ຮ່າໂນ້ຍ ເພື່ອເລືອກເອົາດອກຄາເນເຊິນທີ່ສວຍງາມໃຫ້ໄດ້ 48 ດອກເພື່ອມອບໃຫ້ຜູ້ທີ່ເຄີຍໄດ້ຮັບນາມມະຍົດວິລະຊົນ 3 ຄັ້ງ: ວິລະຊົນກໍາລັງປະກອບອາວຸດປະຊາຊົນ, ວິລະຊົນແຮງງານ, ວິລະຊົນໂຊວຽດ.	Vì được yêu thích và kính trọng (hoa cẩm chướng đỏ), viên phi công đã dành thời gian đến một cửa hàng hoa lớn ở Hà Nội để chọn 48 bông hoa cẩm chướng đẹp để tặng những người được phong tặng ba danh hiệu: anh hùng, lực lượng vũ trang, anh hùng và nữ anh hùng.
ສະແດງຄວາມເອກອ້າງທະນົງໃຈ ແລະເຄົາລົບຕໍ່ບັນດານາຍພົນຜູ້ທີ່ເຄີຍເຂົ້າຮ່ວມການສູ້ຮົບ, ປະກອບສ່ວນເຮັດໃຫ້ຊື່ສຽງປະເທດຊາດດັງກ້ອງກັງວານໄປທົ່ວ...	Bày tỏ niềm tự hào, kính trọng đối với những vị tướng đã từng ra trận, góp phần làm rạng danh đất nước ...
ໂດຍ: ທະນາພອນ.	Theo: Thanaphone.
