ກປ.ອອນໄລ - ໃນຕະຫຼອດປີຜ່ານມາ, ໂລກຍັງຄົງປະເຊີນໜ້າກັບພະຍາດໂຄວິດ-19.	Trong năm qua, thế giới đã bị ảnh hưởng bởi bệnh Kovid-19.
Kidong Park, ຫົວໜ້າຜູ້ຕາງໜ້າ WHO ປະຈຳ ຫວຽດນາມ ຍ້ອງຍໍວ່າ: “ທຸກສິ່ງທຸກຢ່າງທີ່ລັດຖະບານ, ກະຊວງສາທາລະນະສຸກ ແລະທ້ອງຖິ່ນໄດ້ປະຕິບັດໃນຊຸມວັນຜ່ານມາໄດ້ສ້າງຄວາມປະທັບໃຈໃຫ້ແກ່ພວກຂ້າພະເຈົ້າຍ້ອນປະສິດທິຜົນຂອງມັນ.	Ông Kidong Park, Trưởng đại diện WHO tại Việt Nam, khen ngợi: “Tất cả những gì mà Chính phủ, Bộ Y tế và chính quyền địa phương đã làm trong những ngày qua đã khiến chúng tôi ấn tượng vì tính hiệu quả của nó.
ສິ່ງດັ່ງກ່າວສະແດງໃຫ້ເຫັນວ່າ, ລະບົບຕິດຕາມກວດກາພະຍາດຂອງຫວຽດນາມ ເຄື່ອນໄຫວດີທີ່ສຸດ ແລະສະແດງໃຫ້ເຫັນຄວາມໄວ້ເນື້ອເຊື່ອໃຈຂອງປະຊາຊົນທີ່ມີຕໍ່ອຳນາດການປົກຄອງ.	Điều này cho thấy hệ thống giám sát dịch bệnh của Việt Nam đang hoạt động rất tích cực và thể hiện sự tin tưởng của người dân đối với các cơ quan chức năng.
ເປັນເຈົ້າຂອງເຕັກໂນໂລຢີຜະລິດ kit ທົດລອງໄວຣັດ SARS-CoV-2	Sở hữu công nghệ bộ xét nghiệm vi rút SARS-CoV-2
ໃນການປ້ອງກັນ, ຕ້ານພະຍາດໂຄວິດ-19, ບັນດານັກວິທະຍາສາດຫວຽດນາມ ໄດ້ມານະພະຍາຍາມຢ່າງບໍ່ຢຸດຢັ້ງ ເພື່ອຄົ້ນຄວ້າເທື່ອລະກ້າວ, ສົມທົບກັນຄົ້ນຄວ້າ ແລະຜະລິດຢາຊີວະພາບເພື່ອຮັບໃຊ້ການວິເຄາະ.	Trong công tác phòng, chống Kovid-19, các nhà khoa học Việt Nam đã nỗ lực không mệt mỏi để nghiên cứu, kết hợp nghiên cứu và sản xuất thuốc sinh học phục vụ công tác phân tích.
ໃນຊຸມວັນທໍາອິດ, ເພື່ອວິເຄາະພົບເຫັນໄວຣັດ SARS-CoV-2, ພວກເຮົາຕ້ອງນໍາໃຊ້ຢາຊີວະພາບຈາກຕ່າງປະເທດ (ຈາກ WHO, ສູນຄວບຄຸມ ແລະປ້ອງກັນພະຍາດ (CDC) ອາເມລິກາ, ເຢຍລະມັນ).	Trong những ngày đầu, để chẩn đoán SARS-CoV-2, chúng tôi phải sử dụng sinh phẩm nước ngoài (của WHO, Trung tâm Kiểm soát và Phòng ngừa Dịch bệnh (CDC), Hoa Kỳ, Đức).
ແຕ່ພາຍຫຼັງເວລາພຽງ 4 ເດືອນ, ຫວຽດນາມ ບໍ່ພຽງແຕ່ເປັນເຈົ້າຂອງວິທີການວິເຄາະຊອກຫາ gen ໄວຣັດ SARS-CoV-2 ເທົ່ານັ້ນ, ຫາກຍັງຜະລິດໄດ້ຢາຊີວະພາບເພື່ອວິເຄາະຊອກຫາ gen ໄວຣັດ (PCR) ດີທີ່ສຸດອີກດ້ວຍ, ສາມາດປ່ຽນແທນແຫຼ່ງທີ່ມາຈາກຕ່າງປະເທດ (ຢາຊີວະພາບ ໂດຍວິທະຍາຄານການແພດສົມທົບກັບບໍລິສັດຫຸ້ນສ່ວນເຕັກໂນໂລຢີຫວຽດອ໊າ ພັດທະນາ).	Nhưng chỉ trong vòng 4 tháng, Việt Nam không chỉ làm chủ được phương pháp xét nghiệm chẩn đoán vi rút SARS-CoV-2 mà còn sản xuất được máy phản ứng sinh học tốt nhất cho sinh thiết bioreactor (PCR), thay thế nguồn nước ngoài (dược phẩm sinh học của một công ty y tế liên doanh).
ໃນຈຸດເວລານັ້ນ, ຫວຽດນາມ ແມ່ນປະເທດທີ 5 ໃນໂລກທີ່ຜະລິດ kit ທົດລອງໄວຣັດ SARS-CoV-2 ສຳເລັດ.	Vào thời điểm đó, Việt Nam là nước thứ 5 trên thế giới sản xuất được bộ xét nghiệm SARS-CoV-2 hoàn chỉnh.
ເກັບຕົວຢ່າງມາກວດພະຍາດໂຄວິດ-19.	Lấy mẫu để kiểm tra coban-19.
ພາບ: ຢ້ຽບເຈົາ.	Ảnh: Yeap Chau
ຢາຊີວະພາບວິເຄາະພູມຕ້ານທານ "make in Vietnam" ມີຫຼາຍຈຸດດີ, ຄື: ນໍາໃຊ້ງ່າຍຢູ່ບັນດາຮາກຖານການແພດທຸກຂັ້ນເພື່ອບົ່ງມະຕິພະຍາດຄົນຕິດເຊື້ອ HIV, ໄຂ້ເລືອດອອກ ແລະບາງພະຍາດອື່ນ);	“Make in Vietnam” có nhiều ưu điểm: dễ dàng sử dụng ở tất cả các tuyến trong lĩnh vực y tế để chẩn đoán người nhiễm HIV, sốt xuất huyết và một số bệnh khác);
ຄວາມປອດໄພສູງ (ວິເຄາະຜ່ານເລືອດ).	Bảo mật cao (xét nghiệm máu).
ດ້ວຍວິທີການນີ້, ກະຊວງສາທາລະນະສຸກ ຢັ້ງຢືນສາມາດປ່ຽນແທນຢາຊີວະພາບຄ້າຍຄືກັນຂອງຕ່າງປະເທດ.	Bằng cách này, Bộ Y tế chứng nhận có thể thay thế sinh phẩm của nước ngoài.
ຊຸດຢາຊີວະພາບວິເຄາະດ້ວຍວິທີ PCR ຂອງຫວຽດນາມ ໄດ້ຮັບການຮັບຮອງຈາກ WHO, ລາຊະອານາຈັກອັງກິດ ວ່າມີຄຸນນະພາບ.	Bộ thuốc sinh học PCR của Việt Nam đã được Tổ chức Y tế Thế giới (WHO) tại Vương quốc Anh chứng nhận.
ຍ້ອນມີຢາຊີວະພາບວິເຄາະນີ້, ຫວຽດນາມ ໄດ້ເປັນເຈົ້າການໃນການວິເຄາະເພື່ອກວດພົບຄົນຕິດເຊື້ອພະຍາດໂຄວິດ-19 ໂດຍໄວ, ພ້ອມທັງສົ່ງອອກດ້ວຍຈໍານວນໃຫຍ່ປະກອບສ່ວນຊ່ວຍເຫຼືອປະຊາຄົມສາກົນໃນວຽກງານປ້ອງກັນ, ຕ້ານພະຍາດໂຄວິດ-19 ຢ່າງມີປະສິດທິຜົນ.	Nhờ loại dược phẩm sinh học này, Việt Nam đã có thể chủ động phân tích để phát hiện sớm nhất người nhiễm vi rút H5N1, cũng như xuất khẩu với số lượng lớn, góp phần cùng cộng đồng quốc tế phòng, chống hiệu quả vi rút H5N1.
ເຊື່ອໝັ້ນຕໍ່ວັກຊິນປ້ອງກັນໂຄວິດ-19 ຂອງຫວຽດນາມ	Niềm tin vào vắc xin Kovid-19 của Việt Nam
ລໍາ "ທຸ່ນລອຍກູ້ເອົາຊີວິດ" ໃນຈຸດເວລານີ້ແມ່ນວັກຊິນ.	“Chiếc phao cứu sinh” lúc này chính là vắc xin.
ຫຼາຍປະເທດໃນໂລກພວມ "ຊ່ວງເສັງ" ໃນການຜະລິດວັກຊິນ ແລະຫວຽດນາມ ກໍ່ເຊັ່ນດຽວກັນ.	Nhiều nước trên thế giới đang trong “giai đoạn thử nghiệm” sản xuất vắc xin, và Việt Nam cũng vậy.
ວັນທີ 17 ທັນວາ 2020 ກາຍເປັນຂີດໝາຍປະຫວັດສາດຂອງຂະແໜງສາທາລະນະສຸກຫວຽດນາມ ເວົ້າລວມ, ຂະແໜງການແພດເວົ້າສະເພາະ ເມື່ອວັກຊິນປ້ອງກັນໂຄວິດ-19 ທໍາອິດ ໂດຍບັນດານັກວິທະຍາສາດຫວຽດນາມ ຄົ້ນຄວ້າ, ຜະລິດໄດ້ເອົາມາສັກໃຫ້ຜູ້ອາສາສະໝັກ.	Ngày 17/12/2020 trở thành một dấu mốc lịch sử trong lịch sử ngành y tế Việt Nam nói chung, đặc biệt là lĩnh vực y học, nhất là khi vắc xin Kovi-19 đầu tiên do các nhà khoa học Việt Nam nghiên cứu, sản xuất và trao tặng cho các tình nguyện viên.
ຫວຽດນາມ ໄດ້ຈົດຊື່ຂອງຕົນໃນບັນຊີລາຍຊື່ 40 ປະເທດທີ່ໄດ້ທົດລອງວັກຊິນປ້ອງກັນໂຄວິດ-19 ໃສ່ຄົນ.	Việt Nam được đưa vào danh sách 40 quốc gia đã thử nghiệm vắc xin suy giảm miễn dịch ở người 19.
ທ່ານພົນຕີ ສຈ, ປອ ໂດ້ກວ໊ຽດ, ຜູ້ອໍານວຍການວິທະຍາຄານການແພດ ແບ່ງປັນວ່າ: “ຮອດເວລາແລ້ວທີ່ຫວຽດນາມ ມີສິດເວົ້າກັບໂລກທົ່ວວ່າ, ພວກເຮົາໄດ້ຜະລິດຕະພັນວັກຊິນທີ່ປອດໄພ ແລະມີປະສິດທິຜົນ.	“Đã đến lúc Việt Nam cần có quyền nói với thế giới rằng chúng ta có một sản phẩm vắc xin an toàn và hiệu quả”, Thiếu tướng Podoc Việt, Viện trưởng Viện Y học nói.
ພວກເຮົາໄດ້ຜະລິດ test ທົດລອງໂຄວິດ-19 ໂດຍໄວ ແລະມີຄຸນນະພາບ ແລະປະຈຸບັນແມ່ນຜະລິດວັກຊິນປ້ອງກັນໂຄວິດ-19.	Chúng tôi đã sản xuất thử nghiệm Kovid-19 chất lượng cao và nhanh chóng và hiện đang sản xuất vắc xin Kovid-19.
ເຖິງວ່າຂັ້ນຕອນທົດລອງວັກຊິນໃສ່ຄົນຫາກໍ່ເລີ່ມຕົ້ນ, ແລະຢູ່ຕໍ່ໜ້າຍັງປະສົບກັບສິ່ງທ້າທາຍຫຼາຍຢ່າງ, ແຕ່ການທົດລອງວັກຊິນທຳອິດພາຍໃນປະເທດຜ່ານມາໄດ້ສະແດງໃຫ້ເຫັນລັກສະນະວິທະຍາສາດ, ຄວາມຮັບຜິດຊອບ, ມະນຸດສະທໍາ, ພິບໄຫວ, "ຊ່ວງເສັງ" ກັບເວລາ ແລະຄວາມເຊື່ອໝັ້ນຕົນເອງ, ກຸ້ມຕົນເອງ, ສ້າງຄວາມເຂັ້ມແຂງດ້ວຍຕົນເອງຂອງຫວຽດນາມ ໃນການປົກປ້ອງປະຊາຊົນຕໍ່ໜ້າໂລກລະບາດປະຫວັດສາດຂອງມະນຸດ.	Mặc dù quá trình tiêm chủng cho con người chỉ mới bắt đầu, và đối mặt với nghịch cảnh, các thử nghiệm tiêm chủng đầu tiên trong nước trong quá khứ đã chứng minh tính khoa học, trách nhiệm, nhân đạo, nhanh nhẹn, "thử thách" về thời gian và khả năng tự vệ, tự lực, tự cường. -sự tuân thủ, tự túc.
ຖ້າຫວຽດນາມ ຜະລິດ ແລະນຳເຂົ້ານໍາໃຊ້ວັກຊິນປ້ອງກັນໂຄວິດ-19 ໃນປີ 2021, ນັ້ນຈະແມ່ນຜົນສຳເລັດທີ່ບໍ່ເຄີຍມີມາກ່ອນໃນວິວັດການຄົ້ນຄວ້າ ແລະປະເມີນຜົນວັກຊິນຢູ່ຫວຽດນາມ.	Nếu Việt Nam sản xuất và nhập khẩu vắc xin Kovid-19 vào năm 2021 sẽ là một thành tựu chưa từng có trong nghiên cứu và đánh giá vắc xin của Việt Nam.
ສິ່ງນີ້ກໍ່ສະແດງໃຫ້ເຫັນການພັດທະນາກະໂດດຂັ້ນຂອງຂະແໜງສາທາລະນະສຸກຫວຽດນາມ ໃນວິວັດເປັນເຈົ້າຂອງເຕັກໂນໂລຢີ, ປະກອບສ່ວນເຂົ້າໃນພາລະກິດປົກປ້ອງສຸຂະພາບຂອງປະຊາຊົນ ແລະຈົດຊື່ຂອງຕົນໃນແຜນທີ່ການແພດຂອງໂລກ.	Điều này phản ánh bước phát triển nhảy vọt của ngành y tế Việt Nam trong công cuộc vươn lên làm chủ công nghệ, góp phần thực hiện sứ mệnh bảo vệ sức khỏe nhân dân và đưa ngành y tế lên bản đồ y tế thế giới.
ໂດຍ: ເຈິ່ນຮວ່ຽນ.	Bởi: Trần Huyền
